{' b': -9.0694, ' A': -5.038006, ' B': -0.0068035806, ' "': -9.309352, " '": -10.436121}
{' B': -0.00068194285, ' A': -7.4604325, ' "': -10.307234, ' b': -10.419487, 'B': -10.967267}
{' b': -10.555906, ' A': -7.4802313, 'B': -11.004656, ' B': -0.0006550439, ' "': -10.540061}
{' B': -0.0005232977, ' A': -7.780573, ' "': -10.1926985, ' b': -10.641827, " '": -10.916686}
{' b': -10.497593, ' A': -7.7282453, ' B': -0.00055341335, ' "': -10.126442, " '": -10.875664}
{' b': -10.106095, ' A': -6.5648193, 'B': -10.777046, ' B': -0.001520491, ' "': -10.602493}
{' b': -10.074054, ' A': -6.2687182, 'B': -10.732491, ' B': -0.0020042618, ' "': -10.759888}
{' b': -10.038911, ' A': -6.475795, 'B': -10.724534, ' B': -0.001645384, ' "': -10.920166}
{' b': -10.026906, ' A': -5.9533787, 'B': -10.671254, ' B': -0.0027054343, ' "': -10.929706}
{' B': -0.0018328062, ' A': -6.3573127, ' b': -10.170943, 'B': -10.749384, ' "': -10.878579}
{' b': -10.118132, ' A': -5.666405, 'B': -10.704093, ' B': -0.0035774517, ' "': -10.631213}
{' b': -10.018371, ' A': -5.85724, 'B': -10.646342, ' B': -0.0029696987, ' "': -10.954201}
{' b': -9.998011, ' A': -5.8866954, 'B': -10.674788, ' B': -0.0028876816, ' "': -10.889191}
{' B': -0.0023869919, ' A': -6.083132, ' b': -10.026752, 'B': -10.681862, ' "': -10.982034}
{' b': -10.047534, ' A': -5.683906, 'B': -10.66172, ' B': -0.0035111757, ' "': -10.924552}
{' B': -0.003222373, ' A': -5.7719827, ' b': -10.151247, ' "': -10.733822, 'B': -10.7484865}
{' B': -0.0023119524, ' A': -6.114256, ' b': -10.091198, 'B': -10.738414, ' "': -10.981809}
{' b': -10.175905, ' A': -6.424842, 'B': -10.764095, ' B': -0.0017160728, ' "': -10.975769}
{' b': -10.029967, ' A': -6.105934, 'B': -10.681852, ' B': -0.0023371635, ' "': -10.920955}
{' b': -10.259693, ' A': -6.5641203, 'B': -10.805778, ' B': -0.0015045527, ' "': -10.905815}
{' b': -10.3299675, ' A': -6.8967323, 'B': -10.876703, ' B': -0.0011086769, ' "': -10.657906}
{' b': -10.354857, ' A': -6.3474784, 'B': -10.833593, ' B': -0.0018368678, ' "': -11.00611}
{' b': -10.27514, ' A': -5.9296384, 'B': -10.816837, ' B': -0.0027527714, ' "': -10.965419}
{' b': -10.102358, ' A': -6.307201, 'B': -10.760742, ' B': -0.0019239378, ' "': -10.924457}
{' b': -10.099604, ' A': -5.6642327, 'B': -10.720849, ' B': -0.0035732053, ' "': -10.970371}
{' b': -10.065248, ' A': -5.881599, 'B': -10.798346, ' B': -0.002901012, ' "': -10.718936}
{' b': -10.07253, ' A': -6.1573887, 'B': -10.759662, ' B': -0.0022149344, ' "': -11.122669}
{' b': -10.049101, ' A': -6.5459857, 'B': -10.767531, ' B': -0.0015351742, ' "': -10.991457}
{' b': -10.187996, ' A': -6.5549135, 'B': -10.841728, ' B': -0.0015191787, ' "': -10.852806}
{' b': -10.26651, ' A': -7.182565, 'B': -10.859061, ' B': -0.00084813, ' "': -10.960058}
{' b': -10.021791, ' A': -6.2457495, 'B': -10.856915, ' B': -0.0020556257, ' "': -10.540315}
{' b': -10.227205, ' A': -7.5675583, 'B': -10.87149, ' B': -0.0006108457, ' "': -10.824509}
{' b': -10.0569, ' A': -7.284376, 'B': -10.850586, ' B': -0.00078835577, ' "': -10.804818}
{' b': -10.138416, ' A': -7.502994, 'B': -10.87669, ' B': -0.0006486029, ' "': -10.827254}
{' b': -10.120079, ' A': -7.5257053, 'B': -10.85675, ' B': -0.00063368963, ' "': -10.898991}
{' B': -0.00054769043, ' A': -7.7263603, ' b': -10.064591, ' "': -10.5917845, 'B': -10.935602}
{' b': -10.152003, ' A': -7.6906347, 'B': -10.912043, ' B': -0.0005510283, ' "': -10.867581}
{' b': -10.151528, ' A': -7.7675614, 'B': -10.903914, ' B': -0.0005219864, ' "': -10.716889}
{' b': -10.192291, ' A': -7.697459, 'B': -10.923708, ' B': -0.00054900267, ' "': -10.769539}
{' b': -10.357512, ' A': -8.252049, 'B': -10.986493, ' B': -0.0003558555, ' "': -10.559061}
{' b': -10.2829275, ' A': -7.7359295, 'B': -10.950253, ' B': -0.0005321858, ' "': -10.659832}
{' b': -10.146844, ' A': -6.2418137, 'B': -10.741921, ' B': -0.0020871616, ' "': -10.082651}
{' b': -10.154196, ' A': -5.9720783, 'B': -10.717689, ' B': -0.002677885, ' "': -10.34595}
{' b': -10.075734, ' A': -6.4790936, 'B': -10.742701, ' B': -0.0016578606, ' "': -10.432151}
{' b': -10.056548, ' A': -5.736961, 'B': -10.680622, ' B': -0.0033565075, ' "': -10.376057}
{' b': -10.262142, ' A': -6.330515, 'B': -10.755295, ' B': -0.0018958675, ' "': -10.377846}
{' b': -10.238859, ' A': -5.837965, 'B': -10.66686, ' B': -0.003051964, ' "': -10.112994}
{' B': -0.002787261, ' A': -5.928545, ' b': -10.103263, ' "': -10.457088, 'B': -10.689154}
{' b': -10.0513525, ' A': -5.722689, 'B': -10.670277, ' B': -0.003403456, ' "': -10.373728}
{' b': -10.094368, ' A': -5.897688, 'B': -10.686581, ' B': -0.002868913, ' "': -10.487558}
{' b': -10.085675, ' A': -5.7622356, 'B': -10.685648, ' B': -0.003271347, ' "': -10.431904}
{' b': -10.301477, ' A': -6.122937, 'B': -10.759761, ' B': -0.002311235, ' "': -10.311749}
{' b': -10.132634, ' A': -5.875843, 'B': -10.713684, ' B': -0.0029303646, ' "': -10.419152}
{' B': -0.0012185966, ' A': -6.804082, ' b': -10.232104, ' "': -10.493078, 'B': -10.787095}
{' b': -10.189001, ' A': -6.1242094, 'B': -10.719214, ' B': -0.002303528, ' "': -10.528769}
{' B': -0.0014741066, ' A': -6.5955734, ' b': -10.334601, ' "': -10.485291, 'B': -10.826201}
{' b': -10.382255, ' A': -6.8552575, 'B': -10.841698, ' B': -0.0011665579, ' "': -10.336022}
{' b': -10.332931, ' A': -6.2606454, 'B': -10.810235, ' B': -0.002018535, ' "': -10.460931}
{' b': -10.257556, ' A': -6.0350375, 'B': -10.784093, ' B': -0.0025061928, ' "': -10.480131}
{' B': -0.0016698603, ' A': -6.46511, ' b': -10.240144, ' "': -10.446664, 'B': -10.773713}
{' b': -10.074279, ' A': -5.905788, 'B': -10.759414, ' B': -0.0028482291, ' "': -10.423832}
{' B': -0.0030200959, ' A': -5.8452115, ' b': -10.1932, ' "': -10.276296, 'B': -10.790432}
{' b': -10.113036, ' A': -6.285501, 'B': -10.747423, ' B': -0.001979596, ' "': -10.523563}
{' b': -10.147813, ' A': -6.599426, 'B': -10.772833, ' B': -0.0014745845, ' "': -10.487719}
{' b': -10.30443, ' A': -6.58242, 'B': -10.775069, ' B': -0.0014977466, ' "': -10.376338}
{' b': -10.358272, ' A': -7.1709623, 'B': -10.832295, ' B': -0.0008725265, ' "': -10.467614}
{' b': -10.173528, ' A': -6.5446343, 'B': -10.854022, ' B': -0.0015688464, ' "': -10.142651}
{' B': -0.00065874035, ' A': -7.5147767, ' b': -10.254843, ' "': -10.360537, 'B': -10.843292}
{' b': -10.191128, ' A': -7.2449155, 'B': -10.850404, ' B': -0.00082850276, ' "': -10.355778}
{' b': -10.251154, ' A': -7.6335673, 'B': -10.871304, ' B': -0.0005930761, ' "': -10.409584}
{' b': -10.163804, ' A': -7.1599884, 'B': -10.822428, ' B': -0.0008904247, ' "': -10.420084}
{' B': -0.0007205946, ' A': -7.404508, ' b': -10.242199, ' "': -10.357375, 'B': -10.889177}
{' b': -10.160799, ' A': -7.59016, 'B': -10.838102, ' B': -0.00061764714, ' "': -10.421925}
{' b': -10.193003, ' A': -7.7101274, 'B': -10.916136, ' B': -0.0005592584, ' "': -10.396348}
{' b': -10.337682, ' A': -7.558911, 'B': -10.921965, ' B': -0.00062468514, ' "': -10.459116}
{' b': -10.512574, ' A': -8.0216055, ' B': -0.00043653257, ' "': -10.228714, " '": -10.939901}
{' B': -0.0005350468, ' A': -7.7577615, ' "': -10.278948, ' b': -10.471895, " '": -10.989755}
{' b': -10.125076, ' A': -6.7371707, 'B': -10.812204, ' B': -0.0012931358, ' "': -10.692717}
{' B': -0.0016051423, ' A': -6.5072165, ' b': -10.024382, 'B': -10.75904, ' "': -10.777926}
{' b': -10.007528, ' A': -6.62718, 'B': -10.7732, ' B': -0.0014289829, ' "': -10.9480505}
{' b': -10.109667, ' A': -6.151463, 'B': -10.743412, ' B': -0.0022322552, ' "': -10.958979}
{' b': -10.1933365, ' A': -6.5273795, 'B': -10.790349, ' B': -0.001558099, ' "': -10.936948}
{' b': -10.180487, ' A': -6.0806503, 'B': -10.710541, ' B': -0.0023999563, ' "': -10.593715}
{' B': -0.002366439, ' A': -6.089393, ' b': -10.141914, 'B': -10.724629, ' "': -11.021693}
{' b': -9.968698, ' A': -6.1869264, 'B': -10.690915, ' B': -0.0021680412, ' "': -10.891197}
{' b': -10.005765, ' A': -6.0757465, 'B': -10.6933775, ' B': -0.0024058125, ' "': -10.979479}
{' b': -10.141832, ' A': -6.02746, 'B': -10.730777, ' B': -0.0025119907, ' "': -11.010513}
{' b': -10.2009325, ' A': -6.241134, 'B': -10.795258, ' B': -0.0020500727, ' "': -10.7579565}
{' B': -0.002306037, ' A': -6.114822, ' b': -10.149134, 'B': -10.768794, ' "': -11.0758705}
{' B': -0.0014599038, ' A': -6.5955243, ' b': -10.186878, 'B': -10.807223, ' "': -11.024072}
{' b': -10.105507, ' A': -6.299287, 'B': -10.756529, ' B': -0.0019371354, ' "': -11.02393}
{' b': -10.2914, ' A': -6.580046, 'B': -10.867109, ' B': -0.0014791829, ' "': -10.954373}
{' b': -10.432694, ' A': -6.8564124, 'B': -10.941179, ' B': -0.0011384528, ' "': -10.88047}
{' B': -0.0019973328, ' A': -6.2598, ' b': -10.350865, 'B': -10.845632, ' "': -11.0726795}
{' b': -10.25132, ' A': -6.0648937, 'B': -10.818743, ' B': -0.002414834, ' "': -11.050921}
{' b': -10.214668, ' A': -6.391096, 'B': -10.831151, ' B': -0.0017682008, ' "': -11.030585}
{' b': -10.130082, ' A': -6.0092754, 'B': -10.772898, ' B': -0.002554717, ' "': -11.00806}
{' b': -10.213801, ' A': -5.9281583, 'B': -10.836884, ' B': -0.0027644283, ' "': -10.816977}
{' B': -0.002174732, ' A': -6.1767135, ' b': -10.120699, 'B': -10.779679, ' "': -11.045298}
{' b': -10.167036, ' A': -6.7180953, 'B': -10.8235445, ' B': -0.0013028058, ' "': -10.991195}
{' b': -10.2505045, ' A': -6.444999, 'B': -10.839507, ' B': -0.00168013, ' "': -10.980548}
{' b': -10.344053, ' A': -7.263636, 'B': -10.87083, ' B': -0.0007829877, ' "': -11.075789}
{' b': -10.197976, ' A': -6.2391696, 'B': -10.87401, ' B': -0.002057538, ' "': -10.64708}
{' b': -10.299482, ' A': -7.4217486, 'B': -10.861495, ' B': -0.0006882656, ' "': -10.879511}
{' B': -0.0007408122, ' A': -7.333401, ' b': -10.271701, ' "': -10.932643, 'B': -10.943527}
{' b': -10.153849, ' A': -7.719323, 'B': -10.884822, ' B': -0.0005427982, ' "': -10.795587}
{' b': -10.177588, ' A': -7.578815, 'B': -10.877811, ' B': -0.00060631573, ' "': -10.832579}
{' b': -10.16237, ' A': -7.8698115, 'B': -10.9591055, ' B': -0.00048048302, ' "': -10.727534}
{' b': -10.114272, ' A': -7.7674513, 'B': -10.892635, ' B': -0.00052186626, ' "': -10.807047}
{' B': -0.00047869395, ' A': -7.8522086, ' b': -10.204437, ' "': -10.926213, 'B': -10.926228}
{' b': -10.304839, ' A': -7.8653936, 'B': -10.967069, ' B': -0.00046706502, ' "': -10.996592}
{' b': -10.525718, ' A': -8.539216, 'B': -11.101693, ' B': -0.00027780765, ' "': -10.742366}
{' b': -10.419798, ' A': -7.928965, 'B': -11.029301, ' B': -0.00044738431, ' "': -10.748525}
{' b': -10.2462015, ' A': -6.5085106, 'B': -10.871366, ' B': -0.0015973814, ' "': -10.579576}
{' b': -10.237143, ' A': -6.3224998, 'B': -10.875128, ' B': -0.0018973008, ' "': -10.753646}
{' b': -10.150575, ' A': -6.5800166, 'B': -10.847309, ' B': -0.0014878974, ' "': -10.889388}
{' b': -10.188862, ' A': -5.762944, 'B': -10.771051, ' B': -0.0032473071, ' "': -10.85212}
{' b': -10.390006, ' A': -6.637288, 'B': -10.864039, ' B': -0.0014013472, ' "': -10.814323}
{' B': -0.0025445572, ' A': -6.016191, ' b': -10.335396, ' "': -10.605953, 'B': -10.790907}
{' b': -10.143989, ' A': -6.4381685, 'B': -10.758909, ' B': -0.0017104578, ' "': -10.655826}
{' b': -10.206968, ' A': -5.973743, 'B': -10.786845, ' B': -0.0026489594, ' "': -10.774061}
{' b': -10.143782, ' A': -6.26796, 'B': -10.78118, ' B': -0.0020039033, ' "': -10.719053}
{' b': -10.19876, ' A': -6.329313, 'B': -10.815489, ' B': -0.0018807601, ' "': -10.917912}
{' B': -0.0026845194, ' A': -5.9584265, ' b': -10.327452, ' "': -10.711162, 'B': -10.858815}
{' B': -0.0020349612, ' A': -6.2446566, ' b': -10.276768, 'B': -10.859922, ' "': -10.906149}
{' b': -10.262104, ' A': -6.747965, 'B': -10.88216, ' B': -0.0012690857, ' "': -10.796439}
{' b': -10.289854, ' A': -6.338857, 'B': -10.835834, ' B': -0.0018592029, ' "': -10.927133}
{' b': -10.331996, ' A': -6.8011446, 'B': -10.879054, ' B': -0.0012137054, ' "': -10.634241}
{' b': -10.376286, ' A': -6.909511, 'B': -10.909725, ' B': -0.0011091537, ' "': -10.362239}
{' b': -10.370858, ' A': -6.4356594, 'B': -10.879091, ' B': -0.0017035352, ' "': -10.584316}
{' b': -10.345533, ' A': -6.1524816, 'B': -10.877825, ' B': -0.002221564, ' "': -10.8489065}
{' b': -10.187947, ' A': -6.4067216, 'B': -10.837319, ' B': -0.0017581686, ' "': -10.626098}
{' B': -0.0021902018, ' A': -6.1768727, ' b': -10.154885, ' "': -10.526685, 'B': -10.823602}
{' b': -10.292574, ' A': -5.9868526, 'B': -10.872792, ' B': -0.0026156711, ' "': -10.625937}
{' b': -10.234945, ' A': -6.460722, 'B': -10.8477335, ' B': -0.0016592939, ' "': -10.872962}
{' B': -0.001021801, ' A': -6.9805613, ' b': -10.2652445, ' "': -10.857315, 'B': -10.89688}
{' B': -0.001295046, ' A': -6.722025, ' b': -10.384989, ' "': -10.791021, 'B': -10.883986}
{' b': -10.48192, ' A': -7.4372363, 'B': -10.965024, ' B': -0.00066911994, ' "': -10.953466}
{' b': -10.19381, ' A': -6.799533, 'B': -10.947255, ' B': -0.0012255172, ' "': -10.469912}
{' b': -10.453907, ' A': -7.5090537, 'B': -10.963722, ' B': -0.0006314847, ' "': -10.90036}
{' b': -10.371514, ' A': -7.452187, 'B': -10.981108, ' B': -0.00066852296, ' "': -10.801659}
{' b': -10.403466, ' A': -7.759292, 'B': -10.960797, ' B': -0.0005113694, ' "': -10.896659}
{' b': -10.31989, ' A': -7.25098, 'B': -10.92907, ' B': -0.0008007028, ' "': -10.794085}
{' b': -10.321297, ' A': -7.6826944, 'B': -11.011301, ' B': -0.0005580644, ' "': -10.572773}
{' B': -0.00049634156, ' A': -7.8175597, ' b': -10.301242, ' "': -10.698311, 'B': -10.961763}
{' b': -10.342171, ' A': -7.872772, 'B': -11.014011, ' B': -0.0004675409, ' "': -10.829443}
{' B': -0.00041888215, ' A': -8.039409, ' b': -10.370525, ' "': -10.5663805, 'B': -10.973587}
{' b': -10.545142, ' A': -8.132859, 'B': -11.068404, ' B': -0.00039234746, ' "': -10.380209}
{' b': -10.4760475, ' A': -7.8287106, 'B': -11.037069, ' B': -0.00050171156, ' "': -10.364812}
{' b': -10.211513, ' A': -6.105043, 'B': -10.882854, ' B': -0.0023345936, ' "': -10.749947}
{' b': -10.073339, ' A': -6.0833254, 'B': -10.837549, ' B': -0.0023911726, ' "': -10.714046}
{' b': -10.054417, ' A': -6.3377695, 'B': -10.842248, ' B': -0.0018744307, ' "': -10.792678}
{' b': -10.186147, ' A': -5.746713, 'B': -10.82742, ' B': -0.0032935347, ' "': -10.954453}
{' b': -10.20374, ' A': -6.451093, 'B': -10.836186, ' B': -0.0016798908, ' "': -10.754439}
{' b': -10.28023, ' A': -5.6325145, 'B': -10.787943, ' B': -0.0036849515, ' "': -10.761409}
{' B': -0.0022930733, ' A': -6.1243625, ' b': -10.161082, ' "': -10.759059, 'B': -10.806133}
{' B': -0.002326108, ' A': -6.1076035, ' b': -10.119415, 'B': -10.808538, ' "': -10.976475}
{' b': -10.1417675, ' A': -5.9244137, 'B': -10.823824, ' B': -0.002777518, ' "': -10.794971}
{' b': -10.196968, ' A': -5.948681, 'B': -10.808054, ' B': -0.0027062725, ' "': -11.010799}
{' b': -10.305181, ' A': -5.7963533, 'B': -10.862794, ' B': -0.0031356087, ' "': -10.846528}
{' B': -0.0026705936, ' A': -5.9641776, ' b': -10.186225, 'B': -10.795556, ' "': -10.872021}
{' b': -10.184779, ' A': -6.4878645, 'B': -10.869634, ' B': -0.0016194115, ' "': -10.807786}
{' b': -10.207625, ' A': -6.0227666, 'B': -10.843117, ' B': -0.0025170108, ' "': -11.049591}
{' b': -10.326002, ' A': -6.433263, 'B': -10.902171, ' B': -0.0017027009, ' "': -10.775746}
{' b': -10.333942, ' A': -6.83514, 'B': -10.932524, ' B': -0.0011719288, ' "': -10.687939}
{' b': -10.3889675, ' A': -6.171285, 'B': -10.886304, ' B': -0.0021795707, ' "': -10.839744}
{' B': -0.0030614678, ' A': -5.8198776, ' b': -10.341681, 'B': -10.875946, ' "': -10.932597}
{' b': -10.244975, ' A': -6.2299085, 'B': -10.856351, ' B': -0.002065842, ' "': -10.857484}
{' b': -10.210827, ' A': -5.586097, 'B': -10.82706, ' B': -0.0038519397, ' "': -10.910604}
{' b': -10.230031, ' A': -5.718151, 'B': -10.892439, ' B': -0.0033891024, ' "': -10.754131}
{' b': -10.148774, ' A': -6.0482044, 'B': -10.840162, ' B': -0.0024592283, ' "': -11.007166}
{' B': -0.0013405264, ' A': -6.6782084, ' b': -10.335806, 'B': -10.940524, ' "': -11.082965}
{' b': -10.237445, ' A': -6.337473, 'B': -10.849967, ' B': -0.0018698924, ' "': -10.704447}
{' b': -10.415148, ' A': -7.159063, 'B': -10.980746, ' B': -0.0008563592, ' "': -11.080731}
{' b': -10.140463, ' A': -6.3606486, 'B': -10.948071, ' B': -0.0018368678, ' "': -10.604783}
{' B': -0.00071307976, ' A': -7.3693705, ' b': -10.36343, 'B': -10.964114, ' "': -11.022916}
{' B': -0.0008129916, ' A': -7.232718, ' b': -10.247167, ' "': -10.881419, 'B': -10.977863}
{' b': -10.322382, ' A': -7.5624676, 'B': -11.001126, ' B': -0.0006030943, ' "': -11.001379}
{' b': -10.2482195, ' A': -7.41771, 'B': -10.969068, ' B': -0.0006874292, ' "': -10.983457}
{' B': -0.0006248053, ' A': -7.532134, ' b': -10.279899, ' "': -10.822782, 'B': -11.042547}
{' b': -10.283809, ' A': -7.510894, 'B': -11.003535, ' B': -0.00062862184, ' "': -11.084805}
{' B': -0.00051351794, ' A': -7.7466054, ' b': -10.314015, ' "': -11.004964, 'B': -11.060273}
{' b': -10.306618, ' A': -7.860752, 'B': -11.013178, ' B': -0.00047517402, ' "': -10.776223}
{' b': -10.491943, ' A': -8.184325, 'B': -11.111075, ' B': -0.00037207166, ' "': -10.501047}
{' B': -0.0006388203, ' A': -7.5140657, ' "': -10.531625, ' b': -10.561334, 'B': -11.003044}
{' B': -0.0020535963, ' A': -6.2713614, ' b': -9.6168165, ' "': -10.24022, 'B': -10.41672}
{' b': -9.457951, ' A': -5.911446, 'B': -10.407512, ' B': -0.002899577, ' "': -10.078821}
{' B': -0.0022085994, ' A': -6.1981535, ' b': -9.411989, ' "': -10.3615885, 'B': -10.396947}
{' B': -0.004148585, ' A': -5.5281963, ' b': -9.508198, ' "': -10.357063, 'B': -10.370823}
{' b': -9.580357, ' A': -6.122733, 'B': -10.409331, ' B': -0.0023663188, ' "': -10.119896}
{' b': -9.665371, ' A': -5.631529, 'B': -10.343711, ' B': -0.0037557883, ' "': -10.188735}
{' b': -9.413736, ' A': -6.341952, 'B': -10.346912, ' B': -0.0019463331, ' "': -10.224047}
{' b': -9.35643, ' A': -5.7852654, 'B': -10.328489, ' B': -0.0032699127, ' "': -10.167188}
{' B': -0.003821185, ' A': -5.6138935, ' b': -9.527945, ' "': -10.349731, 'B': -10.363266}
{' b': -9.4247675, ' A': -5.866742, 'B': -10.355486, ' B': -0.0030183021, ' "': -10.218497}
{' b': -9.711918, ' A': -6.0425177, 'B': -10.422395, ' B': -0.0025271086, ' "': -10.381981}
{' B': -0.0017304632, ' A': -6.4580684, ' b': -9.566079, ' "': -10.324663, 'B': -10.430828}
{' b': -9.472367, ' A': -6.501446, 'B': -10.412975, ' B': -0.0016806078, ' "': -10.15496}
{' B': -0.002396552, ' A': -6.103783, ' b': -9.553245, 'B': -10.3776045, ' "': -10.433897}
{' b': -9.618679, ' A': -6.547077, 'B': -10.464958, ' B': -0.0016008441, ' "': -10.165866}
{' b': -9.686367, ' A': -6.5463977, 'B': -10.477046, ' B': -0.0015982168, ' "': -10.146167}
{' B': -0.0019812686, ' A': -6.310445, ' b': -9.604021, ' "': -10.224043, 'B': -10.457243}
{' b': -9.596663, ' A': -6.0715847, 'B': -10.430416, ' B': -0.0024645447, ' "': -10.435162}
{' b': -9.629481, ' A': -6.1979547, 'B': -10.447826, ' B': -0.0021861412, ' "': -10.44885}
{' B': -0.0027617982, ' A': -5.9564514, ' b': -9.475066, ' "': -10.325115, 'B': -10.405842}
{' b': -9.6145525, ' A': -6.094558, 'B': -10.491108, ' B': -0.002414237, ' "': -10.301879}
{' B': -0.0019992448, ' A': -6.30962, ' b': -9.421404, ' "': -10.234247, 'B': -10.400458}
{' b': -9.601794, ' A': -6.755114, 'B': -10.477535, ' B': -0.0013165927, ' "': -10.426671}
{' b': -9.567965, ' A': -6.5142307, 'B': -10.422864, ' B': -0.0016520091, ' "': -10.173462}
{' B': -0.0010811088, ' A': -6.9844203, ' b': -9.672228, ' "': -10.242948, 'B': -10.497659}
{' b': -9.532306, ' A': -6.6675644, 'B': -10.504054, ' B': -0.0014401444, ' "': -10.21934}
{' b': -9.546038, ' A': -7.307873, 'B': -10.475405, ' B': -0.0008356018, ' "': -10.235052}
{' b': -9.671338, ' A': -7.2256246, 'B': -10.592262, ' B': -0.0008757498, ' "': -10.332526}
{' b': -9.630481, ' A': -7.3570724, 'B': -10.56791, ' B': -0.0007936066, ' "': -10.246501}
{' b': -9.586383, ' A': -7.1594305, 'B': -10.535855, ' B': -0.0009373178, ' "': -10.235158}
{' b': -9.680301, ' A': -7.351318, 'B': -10.590536, ' B': -0.0007877598, ' "': -10.338903}
{' b': -9.506256, ' A': -7.40172, 'B': -10.516958, ' B': -0.0007783357, ' "': -10.199819}
{' b': -9.567942, ' A': -7.4022465, 'B': -10.552551, ' B': -0.00076879055, ' "': -10.248063}
{' b': -9.746517, ' A': -7.7132163, 'B': -10.592463, ' B': -0.0005891384, ' "': -10.331415}
{' b': -9.884801, ' A': -8.012104, 'B': -10.606116, ' B': -0.00047577103, ' "': -10.123348}
{' B': -0.000584784, ' A': -7.728951, ' b': -9.808234, ' "': -10.223292, 'B': -10.6326885}
{' b': -9.526194, ' A': -6.0725656, 'B': -10.719931, ' B': -0.0024670565, ' "': -10.248043}
{' B': -0.002285426, ' A': -6.144234, ' b': -9.631607, ' "': -10.570196, 'B': -10.731243}
{' b': -9.582351, ' A': -6.4961596, 'B': -10.704688, ' B': -0.0016471741, ' "': -10.660431}
{' b': -9.551663, ' A': -5.4615536, 'B': -10.618408, ' B': -0.0044004177, ' "': -10.607279}
{' b': -9.665728, ' A': -5.9965057, 'B': -10.690663, ' B': -0.0026242766, ' "': -10.589153}
{' B': -0.0026953353, ' A': -5.975681, ' b': -9.62801, ' "': -10.255521, 'B': -10.685678}
{' b': -9.565901, ' A': -6.1780024, 'B': -10.626108, ' B': -0.002219532, ' "': -10.610063}
{' b': -9.48837, ' A': -5.9044085, 'B': -10.640883, ' B': -0.0028816431, ' "': -10.5457}
{' b': -9.593042, ' A': -5.626167, 'B': -10.612157, ' B': -0.0037477112, ' "': -10.667632}
{' b': -9.66535, ' A': -5.911036, 'B': -10.658217, ' B': -0.002845002, ' "': -10.67346}
{' b': -9.637308, ' A': -5.6863127, 'B': -10.7228985, ' B': -0.0035476617, ' "': -10.300958}
{' B': -0.0022983898, ' A': -6.1387343, ' b': -9.614292, ' "': -10.552782, 'B': -10.689055}
{' b': -9.708103, ' A': -6.666461, 'B': -10.714028, ' B': -0.0013993168, ' "': -10.689642}
{' b': -9.682907, ' A': -5.9984536, 'B': -10.661122, ' B': -0.0026162693, ' "': -10.6758995}
{' b': -9.713895, ' A': -6.4426966, 'B': -10.736502, ' B': -0.0017255673, ' "': -10.547193}
{' b': -9.736717, ' A': -6.957475, 'B': -10.806536, ' B': -0.0010909562, ' "': -10.32559}
{' B': -0.0015413263, ' A': -6.561481, ' b': -9.764706, ' "': -10.569115, 'B': -10.738309}
{' b': -9.713361, ' A': -6.037513, 'B': -10.730776, ' B': -0.0025186834, ' "': -10.646616}
{' b': -9.678586, ' A': -6.4038124, 'B': -10.708792, ' B': -0.0017894565, ' "': -10.594448}
{' B': -0.0026621672, ' A': -5.982707, ' b': -9.654627, ' "': -10.507846, 'B': -10.702494}
{' b': -9.51779, ' A': -5.639377, 'B': -10.736428, ' B': -0.003719413, ' "': -10.267914}
{' B': -0.00147739, ' A': -6.609914, ' b': -9.674433, ' "': -10.639506, 'B': -10.739279}
{' b': -9.727077, ' A': -7.172477, 'B': -10.77043, ' B': -0.0008922147, ' "': -10.631382}
{' b': -9.801167, ' A': -6.823357, 'B': -10.781358, ' B': -0.0012117351, ' "': -10.542036}
{' b': -9.855486, ' A': -7.2864776, 'B': -10.800059, ' B': -0.00080261106, ' "': -10.603522}
{' b': -9.504194, ' A': -6.5643587, 'B': -10.844005, ' B': -0.0015765481, ' "': -10.091039}
{' b': -9.771444, ' A': -7.6464796, 'B': -10.805011, ' B': -0.0006019041, ' "': -10.567225}
{' b': -9.698052, ' A': -7.532072, 'B': -10.8211, ' B': -0.0006641085, ' "': -10.545894}
{' b': -9.759525, ' A': -7.587561, 'B': -10.849569, ' B': -0.0006285017, ' "': -10.600685}
{' b': -9.682248, ' A': -7.2962565, 'B': -10.791704, ' B': -0.00080678804, ' "': -10.593399}
{' b': -9.511593, ' A': -7.359863, 'B': -10.832627, ' B': -0.000785613, ' "': -10.34819}
{' b': -9.546909, ' A': -7.808216, 'B': -10.811146, ' B': -0.0005475703, ' "': -10.478828}
{' b': -9.654887, ' A': -7.8392215, 'B': -10.82895, ' B': -0.000524134, ' "': -10.531137}
{' b': -9.832175, ' A': -7.791649, 'B': -10.840794, ' B': -0.0005292629, ' "': -10.619517}
{' b': -9.718152, ' A': -8.378132, 'B': -10.873527, ' B': -0.0003731464, ' "': -10.189429}
{' b': -9.742158, ' A': -7.4783826, 'B': -10.836084, ' B': -0.0006933953, ' "': -10.507397}
{' B': -0.00698087, ' A': -5.0056114, ' "': -9.027897, ' b': -9.849897, " '": -10.291296}
{' b': -9.818095, ' A': -4.3605137, ' B': -0.0131014045, ' "': -9.154925, " '": -10.392337}
{' b': -9.798251, ' A': -4.513679, ' B': -0.011247313, ' "': -9.255357, " '": -10.55995}
{' b': -9.803049, ' A': -4.06895, ' B': -0.017475147, ' "': -9.295007, " '": -10.526219}
{' b': -9.880299, ' A': -4.632266, ' B': -0.009999351, ' "': -9.270362, " '": -10.612499}
