{' A': -0.80889344, 'A': -10.1387825, ' B': -0.59010154, ' "': -8.692387, " '": -9.863986}
{' A': -0.3779093, ' B': -1.1566513, ' "': -9.870858, 'A': -9.989578, " '": -10.955362}
{' A': -0.20609948, 'A': -9.790027, ' B': -1.6816034, ' "': -9.929029, " '": -10.893786}
{' A': -0.13628696, 'A': -9.813481, ' B': -2.0616028, ' "': -9.974511, " '": -10.991519}
{' A': -0.104539305, 'A': -9.811284, ' B': -2.3116221, ' "': -9.922614, " '": -10.949522}
{' A': -0.13899197, 'A': -9.775292, ' B': -2.0434146, ' "': -9.737822, " '": -10.82333}
{' A': -0.037453536, ' B': -3.3073392, 'A': -9.705757, ' "': -10.199402, " '": -11.072998}
{' A': -0.040130667, 'A': -9.785115, ' B': -3.239435, ' "': -9.956559, " '": -11.0436325}
{' A': -0.026650555, 'A': -9.747611, ' B': -3.6436813, ' "': -10.196486, " '": -11.091471}
{' A': -0.2398855, 'A': -9.824816, ' B': -1.545845, ' "': -10.181004, " '": -11.124411}
{' A': -0.04454826, 'A': -9.679925, ' B': -3.1371727, ' "': -9.881235, " '": -10.995419}
{' A': -0.05149565, 'A': -9.725248, ' B': -2.9947631, ' "': -10.201279, " '": -11.15829}
{' A': -0.015434293, 'A': -9.7531595, ' B': -4.1880245, ' "': -10.224543, " '": -11.126143}
{' A': -0.01868134, 'A': -9.691766, ' B': -3.9972768, ' "': -10.254923, " '": -11.142088}
{' A': -0.027036645, ' B': -3.6296937, 'A': -9.72452, ' "': -10.103045, " '": -10.977697}
{' A': -0.009089609, 'A': -9.712723, ' B': -4.7217264, ' "': -10.166935, " '": -10.98352}
{' A': -0.015768558, 'A': -9.740987, ' B': -4.1668262, ' "': -10.243147, " '": -11.056003}
{' A': -0.020553533, ' B': -3.9021032, 'A': -9.7485285, ' "': -10.175918, " '": -11.020273}
{' A': -0.019714564, ' B': -3.9434893, 'A': -9.730391, ' "': -10.253474, " '": -11.064617}
{' A': -0.039442845, 'A': -9.713713, ' B': -3.2563598, ' "': -10.188542, " '": -10.982857}
{' A': -0.008091816, ' B': -4.839928, 'A': -9.696389, ' "': -10.156473, " '": -11.004354}
{' A': -0.018184094, ' B': -4.0241733, 'A': -9.696057, ' "': -10.30677, " '": -11.138329}
{' A': -0.010136506, 'A': -9.725221, ' B': -4.6100755, ' "': -10.387263, " '": -11.195601}
{' A': -0.015384777, 'A': -9.715759, ' B': -4.1910114, ' "': -10.3123865, " '": -11.194236}
{' A': -0.011971405, 'A': -9.725632, ' B': -4.442502, ' "': -10.348849, " '": -11.239374}
{' A': -0.0056173145, 'A': -9.823, ' B': -5.2109566, ' "': -10.005434, " '": -10.979716}
{' A': -0.012408418, 'A': -9.710912, ' B': -4.4069376, ' "': -10.302536, " '": -11.188346}
{' A': -0.0046727937, 'A': -9.849556, ' B': -5.3972607, ' "': -10.155443, " '": -11.15291}
{' A': -0.005577155, 'A': -9.755149, ' B': -5.215727, ' "': -10.359072, " '": -11.258281}
{' A': -0.05023136, 'A': -9.798624, ' B': -3.0192518, ' "': -9.915032, " '": -11.043082}
{' A': -0.13120373, 'A': -9.811119, ' B': -2.0974855, ' "': -9.528721, " '": -10.608074}
{' A': -1.1436337, 'A': -10.533552, ' B': -0.38401866, ' "': -9.321084, " '": -10.454109}
{' A': -1.0564693, 'A': -10.536968, ' B': -0.4275477, ' "': -9.420421, " '": -10.492844}
{' A': -0.92320836, 'A': -10.456775, ' B': -0.5066206, ' "': -9.266605, " '": -10.385702}
{' A': -0.4457146, 'A': -10.087596, ' B': -1.0233055, ' "': -9.319291, " '": -10.429666}
{' b': -10.854482, ' A': -1.3677009, ' B': -0.29419178, ' "': -9.591852, " '": -10.789028}
{' A': -0.44406095, 'A': -9.968353, ' B': -1.0263001, ' "': -9.247382, " '": -10.381553}
{' A': -0.55236495, 'A': -10.174635, ' B': -0.857575, ' "': -9.34879, " '": -10.419422}
{' A': -0.29313385, ' B': -1.3710072, ' "': -9.397153, 'A': -9.928398, " '": -10.328429}
{' A': -0.22619322, 'A': -9.910224, ' B': -1.5983819, ' "': -9.418415, " '": -10.494007}
{' A': -0.14210059, ' B': -2.0229654, ' "': -9.504844, 'A': -9.867744, " '": -10.487004}
{' A': -0.18935612, 'A': -9.864523, ' B': -1.7585834, ' "': -9.375558, " '": -10.421067}
{' A': -0.07772849, 'A': -9.7727995, ' B': -2.5958233, ' "': -9.598507, " '": -10.406583}
{' A': -0.07954969, 'A': -9.7905855, ' B': -2.5734692, ' "': -9.553651, " '": -10.491297}
{' A': -0.069166824, ' B': -2.7086494, ' "': -9.509108, 'A': -9.827134, " '": -10.385567}
{' A': -0.51675844, 'A': -10.109657, ' B': -0.9079404, ' "': -9.606175, " '": -10.54128}
{' A': -0.10177324, 'A': -9.682322, ' B': -2.3377924, ' "': -9.436276, " '": -10.349446}
{' A': -0.08528969, ' B': -2.5064476, ' "': -9.58046, 'A': -9.805178, " '": -10.455525}
{' A': -0.037897002, 'A': -9.80848, ' B': -3.2969816, ' "': -9.615309, " '": -10.436898}
{' A': -0.05943017, ' B': -2.8559408, ' "': -9.582342, 'A': -9.759259, " '": -10.487406}
{' A': -0.037967704, 'A': -9.795197, ' B': -3.295267, ' "': -9.57184, " '": -10.364887}
{' A': -0.006665744, ' B': -5.0442133, ' "': -9.633585, 'A': -9.757169, " '": -10.406917}
{' A': -0.024879914, 'A': -9.793049, ' B': -3.713984, ' "': -9.626684, " '": -10.451932}
{' A': -0.03882524, 'A': -9.79149, ' B': -3.273118, ' "': -9.609402, " '": -10.405631}
{' A': -0.036265966, ' B': -3.340192, ' "': -9.654159, 'A': -9.788662, " '": -10.499087}
{' A': -0.06655309, 'A': -9.776213, ' B': -2.7458456, ' "': -9.610825, " '": -10.470778}
{' A': -0.015509049, 'A': -9.714339, ' B': -4.1882095, ' "': -9.486349, " '": -10.287042}
{' A': -0.038505673, 'A': -9.755307, ' B': -3.2812614, ' "': -9.653516, " '": -10.454504}
{' A': -0.01892987, 'A': -9.796126, ' B': -3.9858737, ' "': -9.7865715, " '": -10.558509}
{' A': -0.032558996, 'A': -9.75212, ' B': -3.4465375, ' "': -9.745903, " '": -10.585826}
{' A': -0.022507563, 'A': -9.791195, ' B': -3.812983, ' "': -9.771202, " '": -10.634581}
{' A': -0.011119287, 'A': -9.848501, ' B': -4.5215144, ' "': -9.588202, " '": -10.515054}
{' A': -0.018755065, ' B': -3.9956357, ' "': -9.71851, 'A': -9.756393, " '": -10.523181}
{' A': -0.013178287, ' B': -4.3483124, 'A': -9.8148985, ' "': -9.847995, " '": -10.76292}
{' A': -0.008666369, 'A': -9.92382, ' B': -4.7721167, ' "': -9.692918, " '": -10.680117}
{' A': -0.09116783, 'A': -9.918172, ' B': -2.4426043, ' "': -9.3988495, " '": -10.48832}
{' A': -0.12809104, 'A': -9.879956, ' B': -2.1204233, ' "': -9.177876, " '": -10.101945}
{' A': -1.0619868, 'A': -10.440933, ' B': -0.42457762, ' "': -9.6953335, " '": -10.786504}
{' B': -0.45284364, ' A': -1.0105828, ' "': -9.850652, 'A': -10.458706, ' b': -10.869149}
{' b': -10.881545, ' A': -1.1835641, 'A': -10.709394, ' B': -0.36577874, ' "': -9.89594}
{' A': -0.67167354, 'A': -10.304166, ' B': -0.7154205, ' "': -9.899926, " '": -11.013083}
{' B': -0.2921086, ' A': -1.3736745, ' "': -10.043952, 'B': -10.869143, 'A': -10.898023}
{' A': -0.31897798, 'A': -9.807851, ' B': -1.2985655, ' "': -9.905486, " '": -10.830552}
{' A': -0.5315012, ' B': -0.88645494, ' "': -9.89264, 'A': -10.186062, " '": -10.926816}
{' A': -0.2635975, 'A': -9.8895235, ' B': -1.4629706, ' "': -9.961826, " '": -10.851446}
{' A': -0.30967438, 'A': -9.944112, ' B': -1.3236743, ' "': -10.090906, " '": -10.93166}
{' A': -0.20315431, 'A': -9.8593235, ' B': -1.6944988, ' "': -10.107643, " '": -10.956641}
{' A': -0.1753315, 'A': -9.877785, ' B': -1.8285431, ' "': -9.799076, " '": -10.833363}
{' A': -0.06961602, 'A': -9.781565, ' B': -2.7017493, ' "': -10.03346, " '": -10.845849}
{' A': -0.100394055, 'A': -9.819134, ' B': -2.3499954, ' "': -10.124478, " '": -11.017297}
{' A': -0.06251176, 'A': -9.834564, ' B': -2.8059483, ' "': -10.121632, " '": -10.937826}
{' A': -0.41771534, 'A': -10.048219, ' B': -1.0750126, ' "': -10.073076, " '": -10.947135}
{' A': -0.07332223, 'A': -9.699292, ' B': -2.65167, ' "': -10.034397, " '": -10.935254}
{' A': -0.1134096, 'A': -9.850611, ' B': -2.2342782, ' "': -10.136419, " '": -10.990189}
{' A': -0.03731252, 'A': -9.800244, ' B': -3.3109198, ' "': -10.209477, " '": -11.039464}
{' A': -0.06784903, 'A': -9.789814, ' B': -2.7264774, ' "': -10.149002, " '": -11.00656}
{' A': -0.029046284, ' B': -3.5585222, 'A': -9.777189, ' "': -10.143107, " '": -10.937379}
{' A': -0.008250884, ' B': -4.8201747, 'A': -9.768591, ' "': -10.151816, " '": -10.940956}
{' A': -0.025282068, 'A': -9.790029, ' B': -3.6961899, ' "': -10.187475, " '": -10.963571}
{' A': -0.030518552, 'A': -9.799146, ' B': -3.5093908, ' "': -10.225812, " '": -11.019795}
{' A': -0.03510141, 'A': -9.790299, ' B': -3.3711112, ' "': -10.216108, " '": -11.048281}
{' A': -0.073560916, ' B': -2.6483574, 'A': -9.790483, ' "': -10.082783, " '": -10.875732}
{' A': -0.016403642, 'A': -9.729457, ' B': -4.128695, ' "': -9.98948, " '": -10.755093}
{' A': -0.042895146, 'A': -9.738075, ' B': -3.1739204, ' "': -10.215723, " '": -11.011767}
{' A': -0.01765003, 'A': -9.787461, ' B': -4.0536876, ' "': -10.326574, " '": -11.104133}
{' A': -0.0281087, 'A': -9.74959, ' B': -3.5906715, ' "': -10.295953, " '": -11.149901}
{' A': -0.033238046, 'A': -9.781548, ' B': -3.424912, ' "': -10.255109, " '": -11.087455}
{' A': -0.010161734, ' B': -4.6082582, 'A': -9.848003, ' "': -10.089871, " '": -11.061324}
{' A': -0.019963292, ' B': -3.9308994, 'A': -9.772938, ' "': -10.2648945, " '": -11.146134}
{' A': -0.012232758, ' B': -4.4199667, 'A': -9.830333, ' "': -10.463921, " '": -11.332853}
{' A': -0.015551912, 'A': -9.812138, ' B': -4.180328, ' "': -10.233172, " '": -11.099197}
{' A': -0.105205886, ' B': -2.3055136, ' "': -9.895498, 'A': -9.923952, " '": -10.969292}
{' A': -0.11870785, 'A': -9.880028, ' B': -2.1914577, ' "': -9.725055, " '": -10.658925}
{' A': -0.8299068, 'A': -10.227178, ' B': -0.57327116, ' "': -9.403499, " '": -10.500723}
{' A': -0.7277494, 'A': -10.235038, ' B': -0.6601549, ' "': -9.404296, " '": -10.460373}
{' A': -0.950991, 'A': -10.459676, ' B': -0.48869163, ' "': -9.483791, " '": -10.568759}
{' A': -0.6230219, 'A': -10.224062, ' B': -0.7690142, ' "': -9.473223, " '": -10.596286}
{' A': -1.1159749, 'A': -10.658101, ' B': -0.3971696, ' "': -9.602086, " '": -10.7687235}
{' A': -0.24372856, 'A': -9.764161, ' B': -1.5321425, ' "': -9.47187, " '": -10.6077795}
{' A': -0.43770498, 'A': -10.070317, ' B': -1.037673, ' "': -9.539128, " '": -10.622161}
{' A': -0.27966616, ' B': -1.4116681, ' "': -9.463636, 'A': -9.875518, " '": -10.410554}
{' A': -0.1521974, 'A': -9.862266, ' B': -1.9590974, ' "': -9.599625, " '": -10.670151}
{' A': -0.10559871, 'A': -9.847656, ' B': -2.3023283, ' "': -9.620942, " '": -10.6919565}
{' A': -0.098999746, 'A': -9.78119, ' B': -2.363974, ' "': -9.488655, " '": -10.549429}
{' A': -0.05099756, 'A': -9.761845, ' B': -3.0051887, ' "': -9.7360115, " '": -10.537782}
{' A': -0.05773235, 'A': -9.789251, ' B': -2.8839576, ' "': -9.69703, " '": -10.652477}
{' A': -0.039246872, 'A': -9.807168, ' B': -3.2623055, ' "': -9.70234, " '": -10.552484}
{' A': -0.31936312, 'A': -10.004858, ' B': -1.297543, ' "': -9.708801, " '": -10.596337}
{' A': -0.04833238, 'A': -9.735573, ' B': -3.0580885, ' "': -9.523233, " '": -10.627443}
{' A': -0.068291314, 'A': -9.81143, ' B': -2.7209706, ' "': -9.550576, " '": -10.462552}
{' A': -0.027780717, 'A': -9.796669, ' B': -3.6041431, ' "': -9.698728, " '": -10.516178}
{' A': -0.04477831, 'A': -9.750708, ' B': -3.1326842, ' "': -9.681895, " '": -10.612183}
{' A': -0.016568158, 'A': -9.79887, ' B': -4.1198854, ' "': -9.706551, " '": -10.524121}
{' A': -0.0064535937, 'A': -9.708514, ' B': -5.077914, ' "': -9.657556, " '": -10.514871}
{' A': -0.014488938, ' B': -4.254235, 'A': -9.795981, ' "': -9.799362, " '": -10.579262}
{' A': -0.020317247, 'A': -9.785003, ' B': -3.9154322, ' "': -9.758814, " '": -10.591868}
{' A': -0.024068335, 'A': -9.859087, ' B': -3.7462587, ' "': -9.669883, " '": -10.699091}
{' A': -0.03669536, 'A': -9.778186, ' B': -3.3285253, ' "': -9.7050295, " '": -10.5545845}
{' A': -0.00730306, 'A': -9.711012, ' B': -4.950399, ' "': -9.706404, " '": -10.533242}
{' A': -0.024707794, 'A': -9.765376, ' B': -3.7204893, ' "': -9.770621, " '": -10.597016}
{' A': -0.011071734, 'A': -9.802752, ' B': -4.524669, ' "': -9.835194, " '": -10.657297}
{' A': -0.022875285, 'A': -9.7641115, ' B': -3.7971003, ' "': -9.754976, " '": -10.592438}
{' A': -0.013254025, 'A': -9.782761, ' B': -4.342739, ' "': -9.902964, " '": -10.753113}
{' A': -0.006648222, 'A': -9.825008, ' B': -5.04342, ' "': -9.72324, " '": -10.724523}
{' A': -0.014499281, 'A': -9.777882, ' B': -4.2534137, ' "': -9.772952, " '": -10.603789}
{' A': -0.008431016, 'A': -9.802772, ' B': -4.7994084, ' "': -9.930592, " '": -10.814644}
{' A': -0.0075187515, 'A': -9.801052, ' B': -4.917202, ' "': -9.80386, " '": -10.70877}
{' A': -0.067528985, 'A': -9.842475, ' B': -2.7320337, ' "': -9.360659, " '": -10.445714}
{' A': -0.068079844, 'A': -9.76627, ' B': -2.724599, ' "': -9.253077, " '": -10.212059}
{' A': -0.6063247, 'A': -10.096368, ' B': -0.78870153, ' "': -9.512628, " '": -10.639944}
{' A': -0.79928637, 'A': -10.312919, ' B': -0.5975594, ' "': -9.630226, " '": -10.780108}
{' A': -0.7363481, 'A': -10.279546, ' B': -0.65214616, ' "': -9.509986, " '": -10.607613}
{' A': -0.27492476, 'A': -9.96002, ' B': -1.4263797, ' "': -9.688677, " '": -10.719574}
{' A': -0.8543413, 'A': -10.433509, ' B': -0.55466825, ' "': -9.768951, " '": -10.926578}
{' A': -0.20052052, 'A': -9.762151, ' B': -1.7066011, ' "': -9.5234995, " '": -10.672865}
{' A': -0.34364516, 'A': -10.031381, ' B': -1.2356778, ' "': -9.74738, " '": -10.790972}
{' A': -0.10774165, 'A': -9.816703, ' B': -2.283254, ' "': -9.707405, " '": -10.732606}
{' A': -0.14602306, ' B': -1.9973873, 'A': -9.844085, ' "': -9.859481, " '": -10.887388}
{' A': -0.07857742, 'A': -9.801589, ' B': -2.5849977, ' "': -9.840073, " '": -10.825349}
{' A': -0.06098656, 'A': -9.7469635, ' B': -2.8307025, ' "': -9.6663265, " '": -10.713692}
{' A': -0.03802126, 'A': -9.848665, ' B': -3.2930355, ' "': -9.8406315, " '": -10.787473}
{' A': -0.036343902, 'A': -9.83514, ' B': -3.3375654, ' "': -9.812905, " '": -10.825638}
{' A': -0.035991393, 'A': -9.8884535, ' B': -3.3470647, ' "': -9.807066, " '": -10.795889}
{' A': -0.24077967, 'A': -9.963967, ' B': -1.5426977, ' "': -9.739504, " '": -10.763139}
{' A': -0.06516175, 'A': -9.716489, ' B': -2.7663622, ' "': -9.642775, " '": -10.708756}
{' A': -0.051417455, ' B': -2.9967318, ' "': -9.800694, 'A': -9.85697, " '": -10.775078}
{' A': -0.02442472, 'A': -9.800205, ' B': -3.7310152, ' "': -10.006142, " '": -10.808389}
{' A': -0.028666839, 'A': -9.837297, ' B': -3.5721714, ' "': -9.838352, " '": -10.812817}
{' A': -0.019515248, ' B': -3.9550447, 'A': -9.764037, ' "': -9.931888, " '": -10.728412}
{' A': -0.0042923014, ' B': -5.4938416, ' "': -9.780755, 'A': -9.854105, " '": -10.69788}
{' A': -0.018586608, 'A': -9.870286, ' B': -4.0032434, ' "': -9.90594, " '": -10.83049}
{' A': -0.019792378, 'A': -9.896526, ' B': -3.9401982, ' "': -9.91755, " '": -10.869854}
{' A': -0.01426442, 'A': -9.876974, ' B': -4.268159, ' "': -9.898828, " '": -10.857636}
{' A': -0.046373587, 'A': -9.855964, ' B': -3.0976925, ' "': -9.855156, " '": -10.805239}
{' A': -0.007706978, ' B': -4.8935003, ' "': -9.756752, 'A': -9.765324, " '": -10.69604}
{' A': -0.02219336, ' B': -3.8262267, 'A': -9.828181, ' "': -9.951044, " '": -10.897365}
{' A': -0.0073908432, 'A': -9.894969, ' B': -4.9308643, ' "': -10.051688, " '": -10.985464}
{' A': -0.015110746, 'A': -9.852651, ' B': -4.2098737, ' "': -9.9775305, " '": -10.9620905}
{' A': -0.013459164, 'A': -9.893773, ' B': -4.325656, ' "': -10.007328, " '": -11.001129}
{' A': -0.0047347173, 'A': -9.842732, ' B': -5.389107, ' "': -9.925521, " '": -10.876734}
{' A': -0.008871593, ' B': -4.745766, 'A': -9.88389, ' "': -10.007948, " '": -11.013639}
{' A': -0.0068384483, 'A': -9.916132, ' B': -5.0090127, ' "': -10.059496, " '": -11.073452}
{' A': -0.004401976, 'A': -9.91164, ' B': -5.462173, ' "': -9.957409, " '": -10.939645}
{' A': -0.05772389, ' B': -2.8841033, ' "': -9.614686, 'A': -9.853689, " '": -10.721077}
{' A': -0.07277337, 'A': -9.754563, ' B': -2.6597486, ' "': -9.432009, " '": -10.378863}
{' B': -0.5020284, ' A': -0.93037516, ' "': -9.033489, 'A': -10.129123, " '": -10.233303}
{' A': -0.84109807, 'A': -10.166509, ' B': -0.5648034, ' "': -9.034272, " '": -10.244131}
{' A': -0.9065459, 'A': -10.185386, ' B': -0.51789105, ' "': -8.990759, " '": -10.218016}
{' A': -0.3705384, 'A': -9.775521, ' B': -1.1731889, ' "': -9.277791, " '": -10.41078}
{' A': -0.7788732, 'A': -10.101864, ' B': -0.61466956, ' "': -9.2183695, " '": -10.437761}
{' A': -0.24738586, 'A': -9.583682, ' B': -1.5192516, ' "': -9.112719, " '": -10.368717}
{' A': -0.36009052, 'A': -9.769445, ' B': -1.1969149, ' "': -9.277139, " '": -10.334917}
{' A': -0.22565933, 'A': -9.702459, ' B': -1.6007452, ' "': -9.179603, " '": -10.292039}
{' A': -0.18756263, 'A': -9.629409, ' B': -1.7674539, ' "': -9.314044, " '": -10.369683}
{' A': -0.11977639, 'A': -9.591847, ' B': -2.183453, ' "': -9.434896, " '": -10.470104}
{' A': -0.16485234, 'A': -9.63694, ' B': -1.8857156, ' "': -9.1826105, " '": -10.286715}
{' A': -0.070555754, 'A': -9.630151, ' B': -2.6898143, ' "': -9.3377495, " '": -10.426726}
{' A': -0.062181365, 'A': -9.606448, ' B': -2.8125741, ' "': -9.321594, " '": -10.411742}
{' A': -0.037943494, 'A': -9.646481, ' B': -3.296416, ' "': -9.421784, " '": -10.474468}
{' A': -0.44668132, 'A': -9.930214, ' B': -1.0216591, ' "': -9.217565, " '": -10.337852}
{' A': -0.078495085, 'A': -9.612338, ' B': -2.5871735, ' "': -9.117103, " '": -10.260612}
{' A': -0.07700458, ' B': -2.6054852, ' "': -9.424996, 'A': -9.494962, " '": -10.2914295}
{' A': -0.035546612, ' B': -3.3613386, ' "': -9.503397, 'A': -9.510884, " '": -10.34553}
{' A': -0.046316527, 'A': -9.582289, ' B': -3.1005957, ' "': -9.338963, " '": -10.367628}
{' A': -0.019772314, 'A': -9.5565195, ' B': -3.9437091, ' "': -9.668057, " '": -10.550617}
{' A': -0.0081896465, 'A': -9.6482, ' B': -4.8354716, ' "': -9.450771, " '": -10.4557495}
{' A': -0.026822947, 'A': -9.593243, ' B': -3.6398504, ' "': -9.539223, " '": -10.509036}
{' A': -0.038777526, 'A': -9.7065735, ' B': -3.2746382, ' "': -9.444003, " '": -10.504155}
{' A': -0.022064533, 'A': -9.637381, ' B': -3.8345492, ' "': -9.456175, " '": -10.490223}
{' A': -0.049272805, ' B': -3.039585, ' "': -9.313149, 'A': -9.668154, " '": -10.388725}
{' A': -0.009789506, 'A': -9.655386, ' B': -4.6551695, ' "': -9.303666, " '": -10.298201}
{' A': -0.03554155, 'A': -9.577215, ' B': -3.3610263, ' "': -9.463396, " '": -10.481127}
{' A': -0.012085905, 'A': -9.659832, ' B': -4.4384336, ' "': -9.545005, " '": -10.574142}
{' A': -0.027891709, 'A': -9.610416, ' B': -3.6012254, ' "': -9.423255, " '": -10.4819975}
{' A': -0.018087832, 'A': -9.658962, ' B': -4.032757, ' "': -9.519815, " '": -10.5833845}
{' A': -0.013003638, ' B': -4.365545, ' "': -9.454692, 'A': -9.625037, " '": -10.473244}
{' A': -0.021025475, 'A': -9.644628, ' B': -3.8829942, ' "': -9.388531, " '": -10.444883}
{' A': -0.0072862487, 'A': -9.701052, ' B': -4.9514084, ' "': -9.613443, " '": -10.686136}
{' A': -0.008973948, 'A': -9.679439, ' B': -4.7402835, ' "': -9.520358, " '": -10.585397}
{' A': -0.119519636, 'A': -9.692803, ' B': -2.1856112, ' "': -9.192234, " '": -10.338098}
{' A': -0.14069147, ' B': -2.0328994, ' "': -9.006795, 'A': -9.661071, " '": -10.020471}
{' b': -10.692751, ' A': -0.637699, 'A': -10.121595, ' B': -0.7523383, ' "': -9.367681}
{' A': -0.4101767, 'A': -9.985668, ' B': -1.0898986, ' (': -10.709384, ' "': -9.513538}
{' A': -0.51141423, 'A': -10.069262, ' B': -0.9159438, ' (': -10.671358, ' "': -9.499808}
{' A': -0.25478053, 'A': -9.901297, ' B': -1.4929208, ' (': -10.740851, ' "': -9.599346}
{' b': -10.786721, ' A': -0.6073759, 'A': -10.223287, ' B': -0.7874049, ' "': -9.569701}
{' A': -0.13557865, ' B': -2.0670552, ' "': -9.40066, 'A': -9.647513, ' (': -10.757023}
{' A': -0.19314913, 'A': -9.838844, ' B': -1.7404246, ' (': -10.769296, ' "': -9.655566}
{' A': -0.058490653, 'A': -9.694085, ' B': -2.8712234, ' (': -10.812523, ' "': -9.813758}
{' A': -0.079523616, 'A': -9.699869, ' B': -2.5734696, ' (': -10.895527, ' "': -9.982687}
{' A': -0.07561748, 'A': -9.767527, ' B': -2.6219528, ' (': -10.891768, ' "': -9.879246}
{' A': -0.05867956, 'A': -9.708618, ' B': -2.868353, ' (': -10.858105, ' "': -9.597657}
{' A': -0.017121285, ' B': -4.0850706, 'A': -9.725124, ' "': -10.154569, ' (': -10.856295}
{' A': -0.028661076, 'A': -9.73276, ' B': -3.5717728, ' (': -11.048412, ' "': -10.199363}
{' A': -0.010640366, 'A': -9.781513, ' B': -4.562011, ' (': -11.032111, ' "': -10.239795}
{' A': -0.10821141, 'A': -9.739988, ' B': -2.2788885, ' (': -10.966399, ' "': -10.0576725}
{' A': -0.042118598, 'A': -9.599088, ' B': -3.192883, ' (': -10.931265, ' "': -9.776552}
{' A': -0.016658457, 'A': -9.760645, ' B': -4.111631, ' (': -11.046303, ' "': -10.285687}
{' A': -0.011726828, 'A': -9.823871, ' B': -4.4643006, ' (': -10.9665, ' "': -10.14233}
{' A': -0.018689537, 'A': -9.79557, ' B': -3.997333, ' (': -10.996632, ' "': -10.057597}
{' A': -0.008472371, 'A': -9.739172, ' B': -4.793321, ' (': -10.923997, ' "': -10.166603}
{' A': -0.004169233, ' B': -5.5245814, 'A': -9.707931, ' "': -9.958483, ' (': -10.780047}
{' A': -0.006833288, ' B': -5.010993, 'A': -9.747027, ' "': -10.30622, ' (': -10.876111}
{' A': -0.01076116, ' B': -4.551105, 'A': -9.747694, ' "': -10.175312, ' (': -11.059441}
{' A': -0.010239533, ' B': -4.601535, 'A': -9.801287, ' "': -10.045255, ' (': -11.072414}
{' A': -0.021193253, 'A': -9.712756, ' B': -3.8719394, ' (': -11.114056, ' "': -10.114325}
{' a': -10.786889, ' A': -0.003433478, 'A': -9.695297, ' B': -5.7309723, ' "': -9.8186245}
{' A': -0.011015024, ' B': -4.5275116, 'A': -9.7100115, ' "': -10.238049, ' (': -10.991019}
{' A': -0.0043286383, 'A': -9.768325, ' B': -5.47757, ' (': -10.971905, ' "': -10.341929}
{' A': -0.007289789, 'A': -9.704941, ' B': -4.94478, ' (': -11.090486, ' "': -10.297122}
{' A': -0.0054799397, 'A': -9.76077, ' B': -5.234873, ' (': -11.090663, ' "': -10.326521}
{' a': -11.004986, ' A': -0.0031794952, 'A': -9.786021, ' B': -5.8069487, ' "': -9.801399}
{' A': -0.004032655, 'A': -9.70942, ' B': -5.553398, ' (': -10.92294, ' "': -10.2248535}
{' A': -0.0031026031, 'A': -9.786186, ' B': -5.820958, ' (': -11.097911, ' "': -10.398932}
{' A': -0.002308547, 'A': -9.881488, ' B': -6.1370606, ' (': -11.127752, ' "': -9.96971}
{' A': -0.036081553, 'A': -9.745338, ' B': -3.3454514, ' (': -11.04013, ' "': -9.548258}
{' A': -0.0482665, ' B': -3.05955, ' "': -9.459111, 'A': -9.688544, " '": -10.854306}
{' A': -0.6779426, ' B': -0.70977044, ' (': -10.042263, ' "': -8.034037, " '": -9.234233}
{' A': -0.5783837, ' B': -0.82393014, ' (': -9.963368, ' "': -8.273598, " '": -9.44606}
{' A': -0.80485487, ' B': -0.59351295, ' (': -10.175693, ' "': -8.308194, " '": -9.50122}
{' A': -0.39676884, 'A': -9.9963255, ' B': -1.1176951, ' "': -8.285668, " '": -9.462732}
{' B': -0.5149301, ' A': -0.91120845, ' "': -8.405787, " '": -9.604092, ' (': -10.304921}
{' A': -0.22680457, ' B': -1.5974959, ' "': -8.168814, " '": -9.3065815, 'A': -9.750169}
{' A': -0.25469488, 'A': -9.8790865, ' B': -1.4944371, ' "': -8.3226595, " '": -9.422219}
{' A': -0.16283704, 'A': -9.827044, ' B': -1.8985642, ' "': -8.248012, " '": -9.396118}
{' A': -0.16385607, 'A': -9.835054, ' B': -1.8923298, ' "': -8.461839, " '": -9.576801}
{' A': -0.1307995, 'A': -9.817931, ' B': -2.1022692, ' "': -8.411863, " '": -9.519776}
{' A': -0.09237977, 'A': -9.715898, ' B': -2.4329786, ' "': -8.299922, " '": -9.4282875}
{' A': -0.030402541, ' B': -3.5219548, ' "': -8.491157, " '": -9.524102, 'A': -9.791291}
{' A': -0.038207084, ' B': -3.2939825, ' "': -8.543328, " '": -9.649198, 'A': -9.781843}
{' A': -0.038316514, 'A': -9.818941, ' B': -3.291965, ' "': -8.428995, " '": -9.532542}
{' A': -0.2542542, 'A': -9.912246, ' B': -1.4956712, ' "': -8.482651, " '": -9.562933}
{' A': -0.03490339, 'A': -9.6919155, ' B': -3.3849342, ' "': -8.4080105, " '": -9.56589}
{' A': -0.05453849, 'A': -9.837862, ' B': -2.9440207, ' "': -8.406136, " '": -9.436159}
{' A': -0.025410697, ' B': -3.700759, ' "': -8.51635, " '": -9.537761, 'A': -9.864943}
{' A': -0.028162953, 'A': -9.836455, ' B': -3.5983474, ' "': -8.452094, " '": -9.540034}
{' A': -0.024235517, 'A': -9.857408, ' B': -3.7486577, ' "': -8.475312, " '": -9.52145}
{' A': -0.0056613125, 'A': -9.835897, ' B': -5.253046, ' "': -8.442521, " '": -9.460309}
