{' No': -0.008999929, ' ': -10.2733345, ' Generally': -10.194226, 'No': -4.7260695, ' Yes': -10.883266}
{' No': -4.1701827, ' Generally': -6.773565, 'No': -9.003249, ' Yes': -0.019155256, 'Yes': -6.1879344}
{' Yes': -0.065111674, ' Generally': -3.1980598, ' No': -4.2407517, ' It': -5.5987325, 'Yes': -6.591654}
{' No': -3.7739842, ' Generally': -5.763917, 'No': -8.64705, ' Yes': -0.028867248, 'Yes': -6.334422}
{' ': -11.252894, ' Generally': -9.735961, ' Yes': -0.001023469, ' yes': -10.325376, 'Yes': -7.0008435}
{' No': -0.012055016, 'No': -4.743542, ' Generally': -6.2508984, ' Yes': -7.5791306, ' An': -7.675257}
{' An': -7.1707735, ' No': -0.0141673265, ' Generally': -6.1380434, 'No': -4.824401, ' Yes': -5.907872}
{' An': -7.2862315, ' No': -0.01644351, ' Generally': -5.3037853, 'No': -4.798128, ' Yes': -6.281198}
{' An': -7.5521603, ' No': -0.014112434, ' Generally': -5.791679, 'No': -4.935587, ' Yes': -5.864936}
{' An': -6.583255, ' No': -0.019830378, ' Generally': -6.880071, 'No': -5.006807, ' Yes': -4.581498}
{' An': -8.889888, ' No': -0.016157798, ' Generally': -8.689672, 'No': -5.273804, ' Yes': -4.5631433}
{' No': -2.3517127, ' Generally': -2.935062, ' A': -4.888868, ' Yes': -0.23215449, ' It': -3.3598053}
{' Yes': -0.6593681, ' It': -1.674356, ' Generally': -2.0436912, ' No': -2.0969484, ' That': -4.1516585}
{' That': -4.0541863, ' No': -1.4089593, ' Generally': -2.255984, ' Yes': -1.0141381, ' It': -1.422965}
{' No': -2.340291, ' Generally': -3.302344, ' A': -5.515277, ' Yes': -0.16735749, ' It': -4.679818}
{' No': -0.63373494, ' Generally': -4.8431807, 'No': -5.4655027, ' Yes': -0.79116184, 'Yes': -6.576321}
{' That': -5.9105945, ' Generally': -2.2239661, ' Yes': -0.17594105, 'Yes': -6.063745, ' It': -3.2871566}
{' Yes': -0.06793559, ' Generally': -2.9730675, ' It': -5.33048, ' No': -5.8991446, 'Yes': -5.990716}
{' No': -5.4542904, ' Generally': -3.0006428, ' Yes': -0.06914147, 'Yes': -6.126198, ' It': -5.087015}
{' No': -3.0413356, ' Generally': -6.2231107, 'No': -7.6776433, ' Yes': -0.05487776, 'Yes': -5.915379}
{' Generally': -3.7671773, ' Typically': -8.00154, ' Yes': -0.026122844, 'Yes': -6.5414696, ' It': -8.299846}
{' Generally': -4.150604, ' Typically': -8.640088, ' Yes': -0.018844591, 'Yes': -6.712768, ' It': -7.068739}
{' No': -7.7421975, ' ': -9.536288, ' Generally': -6.3051705, ' Yes': -0.004380603, 'Yes': -6.2843924}
{' No': -6.5670543, ' Generally': -3.0204957, ' Yes': -0.072692215, 'Yes': -6.474433, ' It': -4.308513}
{' No': -6.6692724, ' Generally': -5.242144, ' Yes': -0.009152164, 'Yes': -6.25828, ' It': -9.0664215}
{' ': -10.763806, ' Generally': -7.8709397, ' Yes': -0.0016470548, ' yes': -9.807069, 'Yes': -6.7631006}
{' No': -0.009342444, 'No': -4.88843, ' Generally': -6.6015134, ' An': -8.876345, ' Yes': -9.2733135}
{' An': -7.9741864, ' No': -0.010252722, ' Generally': -6.4351835, 'No': -4.874913, ' Yes': -7.94419}
{' An': -8.270874, ' No': -0.010815387, ' Generally': -5.9986277, 'No': -4.8917394, ' Yes': -8.268638}
{' An': -8.775366, ' No': -0.008554786, ' Generally': -6.6704574, 'No': -5.0045075, ' Yes': -8.374641}
{' An': -8.001221, ' No': -0.008418995, ' Generally': -7.1493335, 'No': -5.048376, ' Yes': -7.2415633}
{' No': -0.0058074654, 'No': -5.272487, ' Yes': -7.645856, ' Generally': -9.385165, ' ': -10.030967}
{' Yes': -0.3879907, ' No': -1.8375435, ' Generally': -2.4889753, ' It': -2.9695241, ' A': -4.964792}
{' That': -4.1443925, ' No': -1.5968556, ' Generally': -1.7962997, ' Yes': -0.9555576, ' It': -1.6011055}
{' That': -4.615342, ' No': -0.79167074, ' Generally': -2.404502, ' Yes': -1.3025961, ' It': -1.8952513}
{' No': -0.86610985, ' Generally': -2.6402607, ' A': -5.216228, ' Yes': -0.7510319, ' It': -4.150078}
{' No': -0.02811728, ' Generally': -5.9549303, 'No': -4.8512087, ' A': -8.332852, ' Yes': -4.0961294}
{' That': -5.581331, ' No': -5.953014, ' Generally': -2.1430416, ' Yes': -0.21596512, ' It': -2.852945}
{' No': -3.2656004, ' Generally': -2.3090746, ' Typically': -5.711039, ' Yes': -0.18819648, ' It': -3.819813}
{' No': -2.5102723, ' Generally': -2.0353043, ' Typically': -5.6624975, ' Yes': -0.2997468, ' It': -3.5189488}
{' No': -0.17328806, ' Generally': -5.8225036, 'No': -4.757663, ' Yes': -1.9208696, 'Yes': -7.483676}
{' Generally': -3.428171, ' Typically': -7.5721855, ' Yes': -0.036708903, 'Yes': -6.622911, ' It': -7.0100956}
{' Generally': -3.7189286, ' Typically': -8.101045, ' Yes': -0.029439624, 'Yes': -6.6600924, ' It': -6.178928}
{' No': -4.382787, ' Generally': -5.1035132, 'No': -9.096146, ' Yes': -0.021527972, 'Yes': -6.138986}
{' No': -4.1414347, ' Generally': -2.2722578, ' Typically': -6.112727, ' Yes': -0.18678194, ' It': -3.2297468}
{' No': -4.029054, ' Generally': -4.199279, ' Yes': -0.03708016, 'Yes': -6.2817245, ' It': -7.5820165}
{' ': -11.342702, ' Generally': -8.079495, ' Yes': -0.0012508834, ' yes': -10.148421, 'Yes': -7.0475993}
{' An': -8.724761, ' No': -0.014832913, ' Generally': -6.5572557, 'No': -4.387664, ' Yes': -7.8360925}
{' An': -8.597804, ' No': -0.014575056, ' Generally': -6.79883, 'No': -4.4429846, ' Yes': -6.777491}
{' No': -0.013837598, ' ': -8.936659, ' Generally': -6.8200774, 'No': -4.461471, ' Yes': -7.196388}
{' No': -0.0102959005, ' ': -9.350822, ' Generally': -7.8840218, 'No': -4.6675963, ' Yes': -8.231602}
{' An': -8.453054, ' No': -0.012121921, ' Generally': -7.9243813, 'No': -4.6038117, ' Yes': -6.6436195}
{' No': -0.011973877, 'No': -4.772563, ' Yes': -5.751197, ' ': -8.750733, ' Generally': -9.825427}
{' No': -1.9362042, ' Generally': -2.8698113, ' A': -4.982785, ' Yes': -0.33765924, ' It': -2.8819132}
{' That': -4.0698166, ' No': -2.3715286, ' Generally': -2.2662926, ' Yes': -0.5958538, ' It': -1.5834922}
{' That': -4.361591, ' No': -1.3245311, ' Generally': -2.5523846, ' Yes': -0.9899307, ' It': -1.4272798}
{' No': -1.645962, ' Generally': -3.3469255, ' A': -5.2064476, ' Yes': -0.294779, ' It': -4.516222}
{' No': -0.45224497, ' Generally': -4.933397, 'No': -4.814433, ' Yes': -1.0666535, 'Yes': -6.4685507}
{' Generally': -2.8960996, ' Yes': -0.09346614, 'Yes': -5.8700585, ' In': -6.3015823, ' It': -3.7931995}
{' No': -5.188662, ' Generally': -3.4706964, ' Yes': -0.049715854, 'Yes': -5.6788397, ' It': -5.341845}
{' No': -5.0997767, ' Generally': -3.3900716, ' Yes': -0.057100013, 'Yes': -5.8676753, ' It': -4.798476}
{' No': -3.0412338, ' Generally': -6.185759, 'No': -7.1920934, ' Yes': -0.05680541, 'Yes': -5.530749}
{' Generally': -4.4892035, ' Typically': -8.31392, ' Yes': -0.014443462, 'Yes': -6.140868, ' It': -8.629174}
{' Generally': -4.6490345, ' Yes': -0.013795838, 'Yes': -6.2874746, ' In': -8.431969, ' It': -6.6779003}
{' No': -7.2312665, ' ': -9.166504, ' Generally': -6.823933, ' Yes': -0.0052876957, 'Yes': -5.7653813}
{' No': -6.4079485, ' Generally': -3.694503, ' Yes': -0.045753133, 'Yes': -6.103633, ' It': -4.3886676}
{' No': -6.93997, ' Generally': -5.6588974, ' Yes': -0.008207615, 'Yes': -5.8615246, ' It': -8.282364}
{' Yes': -0.0021488057, 'Yes': -6.35662, ' Generally': -8.253138, ' yes': -9.211124, ' ': -10.512925}
{' No': -0.009240532, 'No': -4.7399836, ' Generally': -8.228792, ' ': -9.31874, ' Yes': -9.717394}
{' No': -0.0083332835, ' ': -9.66527, ' Generally': -8.642612, 'No': -4.843094, ' Yes': -8.912889}
{' No': -0.007320832, ' ': -9.474224, ' Generally': -8.8244095, 'No': -4.9646378, ' Yes': -9.655272}
{' No': -0.006462953, ' ': -9.638215, ' Generally': -9.383042, 'No': -5.0851946, ' Yes': -9.394652}
{' No': -0.0064742323, ' ': -9.661165, ' Generally': -9.758021, 'No': -5.110295, ' Yes': -8.224555}
{' No': -0.005135568, ' ': -9.646454, ' Generally': -11.523703, 'No': -5.3242865, ' Yes': -8.683173}
{' No': -1.0273015, ' Generally': -3.0585876, 'No': -5.3265357, ' Yes': -0.6085392, ' It': -3.421489}
{' That': -4.4888034, ' No': -0.73232263, ' Generally': -2.4676092, ' Yes': -1.3657798, ' It': -1.9030493}
{' No': -0.5358961, ' Yes': -1.0991305, ' It': -3.318876, ' Generally': -3.529253, 'No': -5.063328}
{' No': -0.5740709, ' Yes': -0.9051408, ' Generally': -3.9912286, 'No': -5.1808057, ' It': -5.7024465}
{' No': -0.10977705, ' Generally': -6.2334385, 'No': -5.05924, ' Yes': -2.3567367, 'Yes': -8.145966}
{' No': -6.0890512, ' Generally': -2.729983, ' Yes': -0.09810912, 'Yes': -6.197888, ' It': -3.9911659}
{' No': -4.8340945, ' Generally': -3.326272, ' Yes': -0.05569395, 'Yes': -6.046542, ' It': -5.3167396}
{' No': -3.105542, ' Generally': -2.8888366, ' Yes': -0.12189961, 'Yes': -6.170914, ' It': -4.895459}
{' No': -0.96512926, ' Generally': -6.217234, 'No': -5.836755, ' Yes': -0.49096805, 'Yes': -6.417107}
{' Generally': -4.7111096, ' Typically': -8.797956, ' Yes': -0.010866601, 'Yes': -6.6094074, ' It': -9.488743}
{' No': -9.0206585, ' Generally': -5.2060757, ' Yes': -0.0073798555, 'Yes': -6.762844, ' It': -8.169898}
{' No': -4.1651235, ' ': -8.760128, ' Generally': -6.4961014, ' Yes': -0.019287292, 'Yes': -6.393606}
{' No': -3.650368, ' Generally': -3.352341, ' Yes': -0.07251783, 'Yes': -6.457127, ' It': -5.3472123}
{' Yes': -0.031131525, ' No': -3.7063673, ' Generally': -5.615654, 'Yes': -6.3909454, ' ': -8.522114}
{' ': -10.645613, ' Generally': -9.343466, ' Yes': -0.0009369583, ' yes': -10.156126, 'Yes': -7.158058}
{' No': -0.011953854, ' ': -8.902908, ' Generally': -7.186287, 'No': -4.5403943, ' Yes': -8.751419}
{' No': -0.009545218, ' ': -9.176396, ' Generally': -7.8963566, 'No': -4.758923, ' Yes': -8.014984}
{' No': -0.009119924, ' ': -9.148541, ' Generally': -7.8340936, 'No': -4.7932477, ' Yes': -8.510667}
{' No': -0.0075482368, ' ': -9.443529, ' Generally': -8.783427, 'No': -4.9460797, ' Yes': -8.985197}
{' No': -0.0072384565, ' ': -9.333887, ' Generally': -9.347733, 'No': -4.9968433, ' Yes': -8.469624}
{' No': -0.006696526, ' ': -9.047813, ' Generally': -11.488258, 'No': -5.136762, ' Yes': -7.33308}
{' Yes': -0.4825405, ' No': -1.2798028, ' Generally': -2.9216313, ' It': -3.6576312, ' A': -4.7724385}
{' That': -4.743527, ' No': -0.99440837, ' Generally': -2.3013275, ' Yes': -1.0150992, ' It': -2.0311668}
{' No': -0.28991404, ' Generally': -3.1221185, 'No': -4.587218, ' Yes': -2.111821, ' It': -2.7988708}
{' No': -0.5019338, ' Generally': -3.5782523, 'No': -4.9086533, ' Yes': -1.0605029, ' It': -5.400913}
{' No': -0.066816494, ' ': -7.9893565, ' Generally': -6.3380413, 'No': -4.816047, ' Yes': -2.9232118}
{' Generally': -2.5719984, ' Typically': -6.284334, ' Yes': -0.12429604, 'Yes': -6.116124, ' It': -3.5658677}
{' No': -4.2699637, ' Generally': -2.893108, ' Yes': -0.08848356, 'Yes': -5.90224, ' It': -4.910497}
{' No': -4.1629486, ' Generally': -3.036375, ' Yes': -0.08054752, 'Yes': -6.026886, ' It': -5.099137}
{' Yes': -0.12643564, ' No': -2.1845734, 'Yes': -5.902148, ' Generally': -6.376855, 'No': -6.7396474}
{' Yes': -0.010717902, ' Generally': -4.7683697, 'Yes': -6.451271, ' Typically': -8.803169, ' A': -8.989157}
{' Generally': -4.8507967, ' A': -8.728071, ' Yes': -0.010339199, 'Yes': -6.5490484, ' It': -8.034445}
{' Yes': -0.007803508, ' No': -5.4365964, 'Yes': -6.1274076, ' Generally': -7.0195985, ' ': -8.846639}
{' No': -4.556801, ' Generally': -3.155775, ' Yes': -0.068801984, 'Yes': -6.2904797, ' It': -4.90262}
{' No': -4.3450246, ' ': -8.302912, ' Generally': -5.458712, ' Yes': -0.020396022, 'Yes': -6.1671257}
{' Yes': -0.0013966904, 'Yes': -6.7777305, ' Generally': -8.877218, ' yes': -9.574003, ' ': -10.268948}
{' No': -0.010200332, ' ': -9.08034, ' Generally': -6.819209, 'No': -4.764915, ' Yes': -8.410234}
{' An': -9.212815, ' No': -0.00927067, ' Generally': -7.1119084, 'No': -4.8587365, ' Yes': -7.87863}
{' No': -0.009148434, ' ': -9.331399, ' Generally': -6.8083234, 'No': -4.881669, ' Yes': -8.657048}
{' An': -9.43136, ' No': -0.008071871, ' Generally': -7.417682, 'No': -4.985771, ' Yes': -7.847884}
{' An': -8.7864485, ' No': -0.008711703, ' Generally': -7.6797667, 'No': -5.0286584, ' Yes': -6.586554}
{' No': -0.006109488, 'No': -5.245098, ' Yes': -7.2813606, ' ': -9.440283, ' Generally': -10.337103}
{' No': -1.6010168, ' Generally': -2.450054, ' A': -4.726684, ' Yes': -0.47861832, ' It': -2.8171363}
{' That': -4.4471016, ' No': -2.1980362, ' Generally': -2.2467022, ' Yes': -0.5831604, ' It': -1.6646252}
{' No': -1.0150822, ' Yes': -1.0372342, ' It': -1.7429149, ' Generally': -2.5985134, ' That': -4.6945844}
{' No': -0.7908323, ' Generally': -2.88117, ' A': -5.1565776, ' Yes': -0.7885758, ' It': -4.112434}
{' No': -0.26566288, ' Generally': -5.1484694, 'No': -5.1225467, ' Yes': -1.5169178, 'Yes': -7.269201}
{' That': -5.3745694, ' Generally': -2.1500268, ' Typically': -5.7417545, ' Yes': -0.24321197, ' It': -2.5356925}
{' No': -4.0916133, ' Generally': -2.9859862, ' Yes': -0.08484813, 'Yes': -6.0074363, ' It': -4.9320464}
{' No': -2.6675436, ' Generally': -2.0865633, ' Typically': -5.45331, ' Yes': -0.2919105, ' It': -3.178015}
{' No': -1.3458787, ' Generally': -5.53434, 'No': -5.918651, ' Yes': -0.31501976, 'Yes': -5.9990425}
{' Generally': -4.255444, ' Typically': -8.261511, ' Yes': -0.016621063, 'Yes': -6.5040545, ' It': -8.834198}
{' Generally': -4.270526, ' Typically': -8.396863, ' Yes': -0.017842665, 'Yes': -6.565574, ' It': -6.626862}
{' No': -5.613128, ' ': -9.087474, ' Generally': -6.269714, ' Yes': -0.00833881, 'Yes': -6.03025}
{' No': -4.4650807, ' Generally': -2.5328352, ' Typically': -6.1248813, ' Yes': -0.15198922, ' It': -3.223364}
{' No': -4.419189, ' Generally': -4.7594657, ' Yes': -0.024579871, 'Yes': -6.133849, ' It': -7.5746355}
{' ': -10.778091, ' Generally': -8.788791, ' Yes': -0.001228981, ' yes': -9.785187, 'Yes': -6.921107}
{' No': -0.012870679, ' ': -8.942932, ' Generally': -6.884605, 'No': -4.479673, ' Yes': -8.941812}
{' No': -0.011497021, 'No': -4.5456767, ' Generally': -7.6277347, ' Yes': -8.871163, ' ': -9.364739}
{' No': -0.010851357, ' ': -9.197937, ' Generally': -7.0740566, 'No': -4.6456895, ' Yes': -9.183643}
{' No': -0.0086880755, ' ': -9.38707, ' Generally': -8.456228, 'No': -4.801956, ' Yes': -9.29598}
{' No': -0.008081065, ' ': -9.485875, ' Generally': -8.707128, 'No': -4.8896213, ' Yes': -8.583417}
{' No': -0.006599322, 'No': -5.070873, ' Yes': -8.549118, ' ': -9.379843, ' Generally': -11.252943}
{' No': -1.4054788, ' Generally': -2.570308, ' A': -4.935582, ' Yes': -0.5113404, ' It': -3.0312014}
{' That': -4.346221, ' No': -1.3251945, ' Generally': -2.024249, ' Yes': -1.0648358, ' It': -1.5377588}
{' No': -0.5359826, ' Generally': -2.696978, 'No': -4.5844235, ' Yes': -1.5959344, ' It': -2.179541}
{' No': -0.7456463, ' Yes': -0.7657288, ' Generally': -3.266919, ' It': -5.0416856, 'No': -5.0509915}
{' No': -0.061466392, ' Yes': -3.059759, 'No': -4.609886, ' Generally': -6.2858233, ' ': -8.13803}
{' Yes': -0.21984412, ' Generally': -2.1664574, ' It': -2.7653344, ' That': -5.7045355, ' No': -5.783965}
{' No': -3.1748445, ' Generally': -2.0225163, ' Typically': -5.3718147, ' Yes': -0.2479191, ' It': -3.524092}
{' Yes': -0.19522043, ' Generally': -2.3238292, ' No': -3.210403, ' It': -3.685405, ' Typically': -5.842143}
{' No': -1.2145582, ' Generally': -5.5880146, 'No': -5.61402, ' Yes': -0.3678746, 'Yes': -5.9102464}
{' Yes': -0.014422902, ' Generally': -4.4326625, 'Yes': -6.347766, ' Typically': -8.488872, ' A': -9.219621}
{' Generally': -4.4040227, ' Typically': -8.620781, ' Yes': -0.01576093, 'Yes': -6.4418373, ' It': -6.9755073}
{' No': -5.312904, ' ': -8.890232, ' Generally': -6.571487, ' Yes': -0.009414644, 'Yes': -5.9288993}
{' No': -4.664318, ' Generally': -2.9921186, ' Yes': -0.07737739, 'Yes': -6.2261577, ' It': -4.749777}
{' Yes': -0.028194653, ' No': -4.050932, ' Generally': -5.0105515, 'Yes': -5.9983196, ' It': -8.263033}
{' ': -10.455876, ' Generally': -7.982645, ' Yes': -0.0017682008, ' yes': -9.489602, 'Yes': -6.6456337}
{' An': -8.749022, ' No': -0.014776411, ' Generally': -6.0991817, 'No': -4.464695, ' Yes': -7.8246036}
{' An': -8.591242, ' No': -0.014017347, ' Generally': -6.4559193, 'No': -4.5149918, ' Yes': -7.017771}
{' No': -0.014015109, ' ': -8.926879, ' Generally': -6.329952, 'No': -4.497154, ' Yes': -7.4158278}
{' No': -0.010576452, 'No': -4.6842175, ' Generally': -7.310577, ' Yes': -7.817835, ' ': -9.30633}
{' An': -8.826639, ' No': -0.011721038, ' Generally': -7.468624, 'No': -4.6383533, ' Yes': -6.8150277}
{' No': -0.008920781, ' ': -9.1093445, ' Generally': -9.829195, 'No': -4.9256, ' Yes': -6.547604}
{' Yes': -0.48953435, ' No': -1.8094273, ' Generally': -2.339859, ' It': -2.4448526, ' A': -4.8736057}
{' That': -3.4743502, ' No': -2.1835215, ' Generally': -1.941845, ' Yes': -1.1877118, ' It': -0.9847814}
{' That': -3.4092028, ' No': -1.3002169, ' Generally': -2.6079543, ' Yes': -1.9817431, ' It': -0.7962477}
{' No': -1.5261289, ' Generally': -3.029766, ' A': -5.4095764, ' Yes': -0.36202255, ' It': -3.9185944}
{' No': -0.23817556, ' Generally': -4.782445, 'No': -4.6581774, ' Yes': -1.657384, 'Yes': -6.9920015}
{' That': -5.3166003, ' Generally': -2.1883023, ' Typically': -5.7775564, ' Yes': -0.23173477, ' It': -2.6159165}
{' That': -5.3210235, ' No': -4.2191367, ' Generally': -2.5503707, ' Yes': -0.19984777, ' It': -2.657619}
{' Yes': -0.17043939, ' Generally': -2.5767162, ' It': -3.0441883, ' No': -4.0333753, 'Yes': -5.791897}
{' Yes': -0.11379302, ' No': -2.323275, 'Yes': -5.579874, ' Generally': -5.5982533, 'No': -6.5873566}
{' Generally': -4.0568748, ' Typically': -7.9375625, ' Yes': -0.021148384, 'Yes': -6.1443396, ' It': -7.5813284}
{' Generally': -4.2361503, ' Typically': -8.290662, ' Yes': -0.020932714, 'Yes': -6.2791185, ' It': -5.792661}
{' No': -6.502129, ' ': -9.090647, ' Generally': -6.1512547, ' Yes': -0.0071836445, 'Yes': -5.76417}
{' No': -6.1063, ' Generally': -3.1801224, ' Yes': -0.08885181, 'Yes': -6.048652, ' It': -3.4093547}
{' No': -5.784362, ' Generally': -5.014888, ' Yes': -0.013877425, 'Yes': -5.9087, ' It': -7.5024443}
{' Yes': -0.0017835438, 'Yes': -6.5579853, ' Generally': -8.343105, ' yes': -9.495201, ' ': -10.402142}
{' An': -8.632298, ' No': -0.012843508, ' ': -8.859437, ' Generally': -6.289579, 'No': -4.5770006}
{' No': -0.01161852, 'No': -4.6552534, ' Generally': -6.6653886, ' An': -8.031106, ' Yes': -8.794056}
{' An': -9.084771, ' No': -0.011662724, ' Generally': -6.7147264, 'No': -4.614499, ' Yes': -9.027534}
{' No': -0.009027174, ' ': -9.441457, ' Generally': -7.7199645, 'No': -4.7961745, ' Yes': -9.390156}
{' No': -0.010152644, 'No': -4.704056, ' Generally': -7.681463, ' Yes': -8.401997, ' An': -8.437423}
{' No': -0.006697126, 'No': -5.082449, ' Yes': -8.048252, ' ': -9.427998, ' Generally': -10.047581}
{' No': -1.5743512, ' Generally': -2.3873851, ' A': -4.3168416, ' Yes': -0.6331929, ' It': -2.1744926}
{' That': -3.3293624, ' No': -1.9224696, ' Generally': -1.9945062, ' Yes': -1.6385988, ' It': -0.81511074}
{' That': -3.5687582, ' No': -1.0826057, ' Generally': -2.5658934, ' Yes': -2.1634488, ' It': -0.9030308}
{' Yes': -0.83084184, ' No': -0.8419046, ' Generally': -2.6978388, ' It': -3.421151, ' A': -4.4635553}
{' No': -0.06125775, ' Generally': -4.962373, 'No': -4.615991, ' A': -6.9522147, ' Yes': -3.2210648}
{' Yes': -0.37521788, ' It': -1.9224226, ' Generally': -2.0247767, ' That': -4.6052074, ' In': -5.623068}
{' That': -4.6747217, ' No': -2.427911, ' Generally': -1.7433351, ' Yes': -0.6198476, ' It': -1.8119805}
{' That': -5.2045455, ' No': -2.866672, ' Generally': -2.0031066, ' Yes': -0.36417538, ' It': -2.4552608}
{' Yes': -0.5067381, ' No': -0.9665235, ' Generally': -4.847497, 'No': -5.281112, 'Yes': -5.9542}
{' Generally': -3.5196517, ' Typically': -7.5393405, ' Yes': -0.034874253, 'Yes': -6.2578106, ' It': -6.7733274}
{' Generally': -3.922122, ' Typically': -8.050353, ' Yes': -0.027509026, 'Yes': -6.4027324, ' It': -5.5598173}
{' Yes': -0.015797077, ' No': -4.927204, ' Generally': -5.36998, 'Yes': -5.8073487, ' ': -8.691288}
{' That': -6.007008, ' No': -4.91787, ' Generally': -2.5300472, ' Yes': -0.17796016, ' It': -2.7969959}
{' No': -4.6570544, ' Generally': -4.2465034, ' Yes': -0.03142333, 'Yes': -5.9354396, ' It': -5.979984}
{' ': -10.437508, ' Generally': -7.6233253, ' Yes': -0.0019915404, ' yes': -9.392906, 'Yes': -6.607427}
{' An': -8.006774, ' No': -0.014474605, ' Generally': -5.7276278, 'No': -4.6006007, ' Yes': -7.9525886}
{' An': -8.053125, ' No': -0.012119933, ' Generally': -6.4168587, 'No': -4.6801686, ' Yes': -7.5076942}
{' An': -8.9352455, ' No': -0.011730807, ' Generally': -6.292153, 'No': -4.693995, ' Yes': -8.064018}
{' An': -9.27223, ' No': -0.008499603, ' Generally': -7.119166, 'No': -4.9230866, ' Yes': -8.705198}
{' An': -8.18688, ' No': -0.009859751, ' Generally': -7.3170877, 'No': -4.815905, ' Yes': -7.353693}
{' No': -0.0077619995, ' ': -9.531404, ' Generally': -9.723865, 'No': -5.094367, ' Yes': -6.548066}
{' That': -4.817986, ' No': -1.93031, ' Generally': -2.2605789, ' Yes': -0.46747473, ' It': -2.4608924}
{' It': -1.0037109, ' Yes': -1.2707435, ' Generally': -1.7762557, ' No': -2.1361363, ' That': -3.4460595}
{' That': -3.7828898, ' No': -0.96331346, ' Generally': -2.3172336, ' Yes': -1.8912252, ' It': -1.1529993}
{' No': -0.8176014, ' Generally': -2.344535, ' A': -4.8336515, ' Yes': -0.93563956, ' It': -3.226344}
{' No': -0.108735226, ' Generally': -4.34109, 'No': -4.6244993, ' A': -6.8776, ' Yes': -2.5660048}
{' That': -5.5949244, ' Generally': -2.3082824, ' Typically': -6.018087, ' Yes': -0.18306686, ' It': -2.9610133}
{' No': -4.4228954, ' Generally': -2.1893196, ' Typically': -5.4786663, ' Yes': -0.17556018, ' It': -3.7462788}
{' Yes': -0.15220664, ' Generally': -2.438803, ' It': -3.8159924, ' No': -3.9605355, ' Typically': -5.8973956}
{' No': -2.2036428, ' Generally': -5.357829, 'No': -6.6276135, ' Yes': -0.12808913, 'Yes': -5.7862253}
{' Generally': -4.012553, ' Typically': -8.030244, ' A': -8.72565, ' Yes': -0.020823283, 'Yes': -6.450653}
{' Generally': -4.2397637, ' Typically': -8.429783, ' Yes': -0.018111015, 'Yes': -6.538221, ' It': -6.742628}
{' No': -7.0085454, ' ': -9.544312, ' Generally': -6.020397, ' Yes': -0.005899972, 'Yes': -6.0850983}
{' No': -6.275154, ' Generally': -2.7745988, ' Yes': -0.09884091, 'Yes': -6.2671146, ' It': -3.8556633}
{' No': -5.9398885, ' Generally': -4.6357636, ' Yes': -0.015669728, 'Yes': -6.1702867, ' It': -8.026511}
{' ': -10.919467, ' Generally': -7.699634, ' Yes': -0.0016477118, ' yes': -9.71659, 'Yes': -6.8222938}
{' No': -0.01949981, 'No': -4.167899, ' Generally': -6.2298074, ' Yes': -6.785355, ' An': -8.298432}
{' An': -7.47637, ' No': -0.027969614, ' Generally': -5.705259, 'No': -4.1738377, ' Yes': -4.886715}
{' No': -0.021958636, 'No': -4.16739, ' Generally': -5.78568, ' Yes': -6.0319796, ' An': -8.276341}
{' An': -8.591514, ' No': -0.017733878, ' Generally': -6.761304, 'No': -4.2123823, ' Yes': -6.733973}
{' An': -7.6984844, ' No': -0.017254446, ' Generally': -6.98339, 'No': -4.373463, ' Yes': -5.8392296}
{' An': -9.127977, ' No': -0.016746579, ' Generally': -8.740722, 'No': -4.5193653, ' Yes': -5.2386436}
{' No': -2.545673, ' Generally': -3.2986748, ' Yes': -0.17396884, 'Yes': -5.711158, ' It': -3.6021054}
{' Yes': -0.5042987, ' No': -1.9412781, ' It': -2.0709283, ' Generally': -2.4073195, ' That': -4.2985034}
{' That': -4.544153, ' No': -0.9226304, ' Generally': -2.899704, ' Yes': -0.9010964, ' It': -2.241642}
{' Yes': -0.3807501, ' No': -1.3375658, ' Generally': -3.4521573, ' It': -4.93873, 'No': -5.237582}
{' No': -0.09882689, ' Generally': -5.7089643, 'No': -4.2744665, ' Yes': -2.5856376, 'Yes': -7.749547}
{' Yes': -0.07256596, ' Generally': -3.0871134, ' It': -4.226598, 'Yes': -5.8231916, ' That': -6.56569}
{' No': -6.144645, ' Generally': -3.793283, ' Yes': -0.035703193, 'Yes': -5.5316057, ' It': -5.6152606}
{' Yes': -0.056724854, ' Generally': -3.303, ' It': -5.0845895, 'Yes': -5.6184316, ' No': -5.686619}
{' No': -2.116489, ' Generally': -5.636672, 'No': -6.029704, ' Yes': -0.14132446, 'Yes': -5.3787622}
{' Generally': -4.23364, ' Typically': -8.176242, ' Yes': -0.018306652, 'Yes': -5.986343, ' It': -8.174697}
{' Generally': -4.33482, ' Typically': -8.479496, ' Yes': -0.017189136, 'Yes': -6.12491, ' It': -7.1634116}
{' No': -7.1776576, ' Generally': -6.2048736, ' Yes': -0.0069527193, ' yes': -9.296672, 'Yes': -5.570267}
{' Generally': -3.8901052, ' Typically': -7.7331724, ' Yes': -0.028155845, 'Yes': -5.9528494, ' It': -6.143241}
{' No': -8.296423, ' Generally': -5.6463532, ' Yes': -0.007756533, ' yes': -8.915982, 'Yes': -5.686822}
{' ': -11.059497, ' Generally': -8.106271, ' Yes': -0.0022805864, ' yes': -9.33817, 'Yes': -6.2939563}
