{' No': -0.27960142, ' Yes': -1.828668, '\n': -2.867862, 'No': -4.083987, ' Not': -5.576015}
{' No': -0.69963586, ' Yes': -1.496671, '\n': -1.6666807, 'No': -2.9425251, ' Not': -4.4198446}
{' No': -0.17943487, 'No': -2.4756727, '\n': -2.6462965, ' Unfortunately': -5.716695, ' Not': -6.1098046}
{' No': -0.3509107, '\n': -1.6997609, 'No': -2.4098763, ' Yes': -5.2259145, ' Unfortunately': -4.59294}
{' No': -0.27661908, '\n': -1.8725357, 'No': -2.7480145, ' Yes': -4.779606, ' Unfortunately': -4.7450657}
{' No': -0.2735595, ' Yes': -2.3647573, '\n': -2.5524251, 'No': -2.903961, 'Yes': -5.745851}
{' No': -0.25230637, '\n': -2.0745664, ' ': -6.207126, 'No': -2.634377, ' Yes': -4.0187783}
{' No': -1.0360103, '\n': -0.83458465, 'No': -3.045276, ' Yes': -3.2324195, ' Unfortunately': -2.4246688}
{' No': -0.44983277, '\n': -1.6885755, ' Unfortunately': -2.5181844, 'No': -2.5683956, ' ': -4.705782}
{' No': -0.7878962, '\n': -1.0589267, ' Unfortunately': -2.2960424, 'No': -2.7285357, ' ': -4.178775}
{' No': -0.5426654, '\n': -1.2819537, ' ': -4.2469535, 'No': -2.9218998, ' Unfortunately': -2.9513469}
{' No': -0.46493965, '\n': -1.6412587, ' Yes': -2.8005853, 'No': -2.8850462, ' Unfortunately': -3.200192}
{' No': -0.44543773, '\n': -1.4386265, 'No': -2.8801777, ' Unfortunately': -3.5896177, ' Yes': -3.6614256}
{' No': -0.040807813, 'No': -3.919197, '\n': -4.1928635, ' Yes': -5.967417, ' ': -7.0748587}
{' No': -0.031674366, ' Not': -8.999135, '\n': -5.2894354, ' ': -8.190352, 'No': -3.6734111}
{' No': -0.06097573, ' Not': -8.3238125, '\n': -3.9397333, ' ': -7.114173, 'No': -3.2711902}
{' No': -0.04475175, 'No': -3.3594565, '\n': -4.9327707, ' Yes': -6.9571967, ' ': -7.8810396}
{' No': -0.13493825, ' Yes': -2.2745352, 'No': -4.0063887, '\n': -5.6526036, 'Yes': -6.643958}
{' No': -0.036727455, '\n': -5.379173, ' ': -8.121995, 'No': -3.5988283, ' Yes': -5.6206064}
{' No': -0.09174461, '\n': -3.1094599, 'No': -3.754117, ' Yes': -4.334665, ' The': -6.166339}
{' No': -0.044072617, ' Not': -8.205184, '\n': -4.4836955, ' ': -7.7699056, 'No': -3.4916587}
{' No': -0.10649671, '\n': -2.9819582, 'No': -3.1015298, ' Unfortunately': -6.0134044, ' ': -6.769277}
{' No': -0.09642901, 'No': -2.5963182, '\n': -4.175042, ' Yes': -7.4564314, ' ': -7.554856}
{' No': -0.021820094, '\n': -6.4926467, ' ': -8.783003, 'No': -4.1598067, ' Yes': -5.502302}
{' No': -0.05680428, '\n': -4.476217, ' ': -7.7580447, 'No': -3.2947898, ' Yes': -5.1361194}
{' No': -0.14439796, '\n': -3.0294685, 'No': -4.482033, ' Yes': -2.6391547, 'Yes': -6.8401065}
{' No': -0.02910869, 'No': -4.0687294, '\n': -4.5905905, ' Yes': -7.308325, ' ': -8.195681}
{' No': -0.040777825, 'No': -3.7966447, '\n': -4.131037, ' ': -7.863326, ' Yes': -7.9347715}
{' No': -0.03363612, 'No': -3.7199874, '\n': -4.8869243, ' Yes': -7.2573333, ' ': -8.182864}
{' No': -0.029702693, '\n': -5.5404716, ' ': -9.033914, 'No': -3.9229617, ' Yes': -5.2503905}
{' No': -0.027609691, '\n': -5.397736, ' ': -8.744073, 'No': -3.8576684, ' Yes': -6.6220236}
{' No': -0.42608774, '\n': -1.67711, ' Unfortunately': -2.5805218, 'No': -2.906438, ' Yes': -4.430894}
{' No': -0.14563467, '\n': -3.3798018, ' ': -6.275072, 'No': -2.6842947, ' Unfortunately': -3.570048}
{' No': -0.26679307, '\n': -2.3586566, ' ': -5.437989, 'No': -2.8563466, ' Unfortunately': -2.6570575}
{' No': -0.25079343, '\n': -2.2667618, ' ': -5.56685, 'No': -2.6405256, ' Unfortunately': -3.2105827}
{' No': -0.21631691, '\n': -2.5122306, 'No': -2.862641, ' Unfortunately': -3.4167504, ' Yes': -4.1945524}
{' No': -0.30129513, '\n': -1.9567096, 'No': -2.728255, ' Unfortunately': -3.646939, ' Yes': -3.9589832}
{' No': -1.0248048, '\n': -2.73336, 'No': -4.8646502, ' Yes': -0.5961492, 'Yes': -4.323772}
{' No': -0.022179158, '\n': -5.134711, 'No': -4.266133, ' Yes': -6.9460874, ' The': -8.228626}
{' No': -0.05805306, ' Not': -7.086401, '\n': -3.9078395, 'No': -3.465203, ' Yes': -5.846913}
{' No': -0.16949078, '\n': -2.8622298, 'No': -2.9238243, ' Yes': -3.1705532, 'Yes': -6.482219}
{' No': -0.07938764, '\n': -4.302055, 'No': -3.5829067, ' Yes': -3.3970413, 'Yes': -7.3258796}
{' No': -0.03939814, 'No': -3.4463212, '\n': -5.0858936, ' Yes': -7.9521117, ' ': -9.02772}
{' No': -0.26159903, ' Yes': -1.8262752, '\n': -3.3031046, ' Not': -4.0010343, 'No': -4.6786427}
{' No': -0.02199434, 'No': -4.2879567, '\n': -5.308678, ' Yes': -6.466147, ' Not': -6.7833295}
{' No': -0.06537807, 'No': -3.4669073, '\n': -3.6421847, ' Not': -5.949716, ' Yes': -6.1401477}
{' No': -0.10691954, ' Not': -6.100793, '\n': -3.8629086, 'No': -3.502498, ' Yes': -3.0981321}
{' No': -0.06653035, ' Not': -7.144245, '\n': -4.88372, 'No': -4.1073856, ' Yes': -3.253651}
{' No': -0.034867033, ' Not': -8.184785, '\n': -5.1069627, 'No': -3.6112087, ' Yes': -7.4320207}
{' No': -0.13819009, '\n': -4.045748, 'No': -4.4815736, ' Yes': -2.3503845, 'Yes': -6.459627}
{' No': -0.024597889, 'No': -4.0649996, '\n': -5.122826, ' Yes': -7.9922414, ' ': -8.092541}
{' No': -0.03394654, ' Not': -8.500149, '\n': -4.976978, ' ': -7.883659, 'No': -3.6769137}
{' No': -0.051245287, ' Not': -7.528879, '\n': -5.864933, 'No': -3.080769, ' Yes': -7.9855785}
{' No': -0.028573733, ' Yes': -4.2983356, 'No': -4.389196, '\n': -6.3698764, ' Not': -8.881183}
{' No': -0.025610453, 'No': -3.893851, '\n': -5.640064, ' Yes': -6.8083286, ' ': -8.977932}
{' No': -0.13620164, ' Not': -6.065496, '\n': -3.5747144, 'No': -5.081138, ' Yes': -2.4331453}
{' No': -0.013657578, 'No': -4.7700777, '\n': -5.708731, ' Yes': -6.7724595, ' Not': -8.535505}
{' No': -0.043348253, 'No': -3.739187, '\n': -4.1127663, ' Yes': -6.9931617, ' Not': -7.502619}
{' No': -0.022132967, '\n': -5.221592, ' ': -8.424961, 'No': -4.2256584, ' Yes': -6.566639}
{' No': -0.08184946, '\n': -4.922172, 'No': -4.34764, ' Yes': -2.8630648, 'Yes': -7.4977536}
{' No': -0.024522511, 'No': -4.267753, '\n': -4.970205, ' Yes': -5.8984942, ' ': -8.341563}
{' No': -0.22985241, '\n': -2.4187658, 'No': -2.295799, ' Yes': -5.251373, ' Unfortunately': -5.405435}
{' No': -0.13775349, 'No': -2.3216505, '\n': -3.6035109, ' Unfortunately': -6.626889, ' ': -7.045708}
{' No': -0.14222895, ' Not': -6.332528, '\n': -3.2220058, 'No': -2.474449, ' Unfortunately': -5.439083}
{' No': -0.13279969, ' Not': -6.7900558, '\n': -3.9095347, 'No': -2.3167768, ' Unfortunately': -6.2139173}
{' No': -0.1378386, '\n': -3.8735754, 'No': -2.2932856, ' Yes': -5.6820483, ' Unfortunately': -6.713142}
{' No': -0.13740392, 'No': -2.2238393, '\n': -4.003126, ' ': -7.2358456, ' Yes': -7.6339707}
{' No': -0.9414629, '\n': -1.3047594, 'No': -2.7587578, ' Yes': -1.4676489, 'Yes': -4.0212336}
{' No': -0.19887953, 'No': -2.3476584, '\n': -2.776314, ' Unfortunately': -4.585026, ' Yes': -5.033734}
{' No': -0.6966479, '\n': -1.2705863, 'No': -2.4437277, ' Yes': -2.451771, ' Unfortunately': -3.8296337}
{' No': -0.3362286, '\n': -1.9497807, 'No': -2.3579762, ' Yes': -4.7709665, ' Unfortunately': -3.470998}
{' No': -0.6399574, '\n': -2.5986805, 'No': -2.9418545, ' Yes': -1.189722, ' Unfortunately': -4.2270336}
{' No': -0.42111367, '\n': -2.0540462, 'No': -2.373926, ' Yes': -2.39105, ' Unfortunately': -4.2932925}
{' No': -0.4088117, ' Not': -4.0194855, '\n': -1.7117711, 'No': -3.1145344, ' Yes': -2.5391712}
{' No': -0.18926601, ' Not': -6.3182507, '\n': -2.5682335, 'No': -2.4673402, ' Unfortunately': -5.1993613}
{' No': -0.36588693, ' Not': -5.1629124, '\n': -1.636263, 'No': -2.5061953, ' Unfortunately': -4.184757}
{' No': -0.20441623, '\n': -2.2796342, 'No': -2.7632713, ' Unfortunately': -4.908903, ' Yes': -5.2476788}
{' No': -0.2430836, ' Yes': -2.5386844, '\n': -2.7170367, 'No': -2.8636508, ' Not': -5.560397}
{' No': -0.15197599, 'No': -2.7752037, '\n': -2.8171713, ' Yes': -4.411066, ' Unfortunately': -5.9788623}
{' No': -1.2294664, ' Not': -3.8034942, '\n': -0.79775894, 'No': -3.671004, ' Yes': -1.7811345}
{' No': -0.32457894, '\n': -1.8506429, 'No': -2.6610007, ' Unfortunately': -3.4116263, ' Not': -4.760549}
{' No': -0.7235831, '\n': -0.95736694, 'No': -3.0256457, ' Unfortunately': -3.07699, ' Yes': -4.2772555}
{' No': -0.4440263, '\n': -1.3249449, 'No': -3.2247422, ' Yes': -3.8235333, ' Unfortunately': -4.164417}
{' No': -0.49724236, '\n': -1.5416797, 'No': -2.9398997, ' Yes': -2.506922, ' Unfortunately': -3.8409562}
{' No': -0.5968674, '\n': -1.1518925, 'No': -2.8969026, ' Yes': -2.9835613, ' Unfortunately': -4.4733458}
{' No': -0.09036635, ' Not': -5.2705116, '\n': -3.183838, 'No': -4.0088215, ' Yes': -3.9594135}
{' No': -0.024516463, ' Not': -8.037142, '\n': -5.5127554, 'No': -3.958337, ' Yes': -7.8487005}
{' No': -0.07219482, 'No': -3.0879438, '\n': -3.8514497, ' Not': -6.8139567, ' Yes': -7.178369}
{' No': -0.04814178, ' Not': -6.154478, '\n': -4.512022, 'No': -3.4466898, ' Yes': -6.5922027}
{' No': -0.35634628, ' Yes': -1.2857267, 'No': -4.2738514, '\n': -5.2836018, 'Yes': -5.614882}
{' No': -0.035871346, '\n': -5.127538, ' ': -8.320531, 'No': -3.6429477, ' Yes': -5.9545913}
{' No': -0.11898508, ' Not': -4.915803, '\n': -2.8456752, 'No': -4.245589, ' Yes': -3.5363605}
{' No': -0.030648036, 'No': -3.7852523, '\n': -5.1426916, ' Not': -7.151623, ' Yes': -7.6735535}
{' No': -0.08523965, 'No': -3.1047385, '\n': -3.4978085, ' Not': -6.0343795, ' Unfortunately': -6.2372265}
{' No': -0.100574315, 'No': -2.7684038, '\n': -3.6740582, ' Unfortunately': -6.1107574, ' Yes': -6.152525}
{' No': -0.036944702, 'No': -3.9349625, ' Yes': -4.342492, '\n': -5.8049726, ' Not': -8.369603}
{' No': -0.03804838, 'No': -3.696402, ' Yes': -5.1263547, '\n': -5.160687, ' ': -8.108696}
{' No': -0.2864154, ' Yes': -1.6892189, '\n': -3.016489, 'No': -4.8751087, 'Yes': -5.8720455}
{' No': -0.014891051, 'No': -4.5595837, '\n': -5.818464, ' Yes': -7.523838, ' Not': -8.3577795}
{' No': -0.035877645, 'No': -3.7609181, '\n': -4.668207, ' Not': -6.7781515, ' Yes': -7.5374503}
{' No': -0.03966341, ' Not': -7.6177497, '\n': -5.969669, 'No': -3.363817, ' Yes': -7.1183815}
{' No': -0.030262517, 'No': -4.176003, ' Yes': -4.4786873, '\n': -5.9835877, ' Not': -8.51005}
{' No': -0.014075622, 'No': -4.5028677, '\n': -6.1216516, ' Yes': -7.669219, ' ': -9.117986}
{' No': -0.5012344, '\n': -1.4979233, 'No': -2.63917, ' Unfortunately': -3.0981941, ' Yes': -3.523806}
{' No': -0.14829017, 'No': -2.4126563, '\n': -3.289491, ' Unfortunately': -4.9621387, ' Not': -6.5184884}
{' No': -0.48718455, ' Not': -5.1279697, '\n': -1.5023001, 'No': -2.2197895, ' Unfortunately': -3.3112907}
{' No': -0.32268363, '\n': -1.8442252, 'No': -2.8136694, ' Unfortunately': -3.0950682, ' ': -5.6189346}
{' No': -0.19934294, 'No': -2.8458824, '\n': -2.861296, ' Unfortunately': -3.564833, ' Yes': -3.641802}
{' No': -0.16142987, 'No': -2.7756953, '\n': -2.9705365, ' Unfortunately': -3.8748984, ' Yes': -4.6700206}
{' No': -0.25028878, ' Not': -5.796519, '\n': -2.7552898, 'No': -4.1728635, ' Yes': -2.010266}
{' No': -0.029489653, ' Not': -7.807208, '\n': -5.2515774, 'No': -3.7898026, ' The': -8.313777}
{' No': -0.1080596, ' Not': -7.199181, '\n': -3.5346532, 'No': -2.6636055, ' Yes': -6.963717}
{' No': -0.10535496, '\n': -3.118424, ' ': -7.162955, 'No': -3.0559487, ' Yes': -4.9273305}
{' No': -0.06362002, ' Not': -7.900203, '\n': -4.406317, 'No': -3.3821871, ' Yes': -4.236805}
{' No': -0.03335624, 'No': -3.5644917, '\n': -5.566094, ' Yes': -7.6641693, ' ': -9.242685}
{' No': -0.29526007, ' Yes': -1.9251255, '\n': -2.395207, 'No': -4.6347775, ' Not': -5.568251}
{' No': -0.028386505, '\n': -4.204496, 'No': -4.473405, ' Yes': -7.274377, ' Not': -7.9160275}
{' No': -0.08355967, ' Not': -6.9183226, '\n': -3.111445, ' ': -7.110854, 'No': -3.4232528}
{' No': -0.09149357, ' Not': -6.9590487, '\n': -3.0578268, 'No': -3.5357397, ' Yes': -4.711811}
{' No': -0.033586126, 'No': -3.8266404, ' Yes': -4.9892206, '\n': -5.584394, ' Not': -7.940303}
{' No': -0.035478614, 'No': -3.5561597, '\n': -5.1794796, ' Yes': -8.043585, ' Not': -8.735294}
{' No': -0.09390001, ' Not': -7.14679, '\n': -3.3848736, 'No': -4.320636, ' Yes': -3.23858}
{' No': -0.035233717, '\n': -4.8111887, ' ': -7.75549, 'No': -3.6735601, ' Yes': -8.350581}
{' No': -0.04260569, '\n': -4.8289137, ' ': -7.64131, 'No': -3.4323797, ' Yes': -8.430492}
{' No': -0.052591767, '\n': -5.9246926, ' ': -8.6468525, 'No': -3.0355458, ' Yes': -8.517845}
{' No': -0.044153847, ' Yes': -3.7283843, 'No': -4.230679, '\n': -5.5134373, 'Yes': -8.160658}
{' No': -0.035428777, 'No': -3.5270002, '\n': -5.4098163, ' Yes': -7.2583017, ' ': -8.846522}
{' No': -0.2092978, ' Yes': -2.0788963, '\n': -2.9603198, 'No': -5.046061, 'Yes': -6.448352}
{' No': -0.016710518, '\n': -4.935421, ' ': -8.088738, 'No': -4.9524403, ' Yes': -6.580007}
{' No': -0.05372512, '\n': -3.619752, ' ': -7.1276293, 'No': -3.7491422, ' Yes': -7.7549977}
{' No': -0.012913969, '\n': -5.9864287, ' ': -8.841232, 'No': -4.6253653, ' Yes': -8.204467}
{' No': -0.029564058, ' Yes': -4.24177, 'No': -4.5450783, '\n': -5.5988364, ' ': -8.62141}
{' No': -0.025090447, '\n': -5.4911776, ' ': -8.8208, 'No': -3.9272969, ' Yes': -7.2411623}
{' No': -0.4315961, '\n': -1.5330765, 'No': -2.150039, ' ': -5.0942106, ' Unfortunately': -5.4086385}
{' No': -0.18976925, 'No': -2.0624652, '\n': -3.1771557, ' ': -6.296573, ' Unfortunately': -6.661993}
{' No': -0.26763362, '\n': -2.3214133, ' ': -5.7085648, 'No': -2.0427055, ' Unfortunately': -6.161249}
{' No': -0.22028251, 'No': -1.9173325, '\n': -3.07837, ' ': -6.239884, ' Unfortunately': -6.823831}
{' No': -0.17015755, '\n': -3.6411178, ' ': -6.570384, 'No': -2.0939763, ' Yes': -5.6005545}
{' No': -0.16116107, 'No': -2.1299357, '\n': -3.5986743, ' ': -6.7753344, ' Unfortunately': -7.397262}
{' No': -0.9502686, '\n': -1.2833108, ' Yes': -1.4959077, 'No': -2.8833263, ' Unfortunately': -3.843032}
{' No': -0.30076462, 'No': -2.2462585, '\n': -2.2930837, ' Unfortunately': -3.7794192, ' Yes': -3.9312346}
{' No': -0.6860777, '\n': -1.3146043, 'No': -2.4653058, ' Yes': -2.4806201, ' Unfortunately': -3.5210977}
{' No': -0.33556384, '\n': -1.9905854, 'No': -2.1509917, ' Yes': -4.1627274, ' Unfortunately': -4.5237427}
{' No': -0.48499516, ' Yes': -1.6367112, '\n': -2.4547086, 'No': -2.7204611, ' Unfortunately': -4.029125}
{' No': -0.5293914, ' Yes': -1.8071166, '\n': -2.0402384, 'No': -2.4404213, 'Yes': -4.577807}
{' No': -0.42823252, ' Not': -5.142008, '\n': -1.6142372, 'No': -2.7233548, ' Yes': -2.715155}
{' No': -0.18498595, 'No': -2.2545679, '\n': -2.8253381, ' Not': -6.6750245, ' ': -6.7483497}
{' No': -0.37730274, '\n': -1.7413222, ' ': -5.851822, 'No': -2.0579724, ' Unfortunately': -5.7486253}
{' No': -0.15012857, 'No': -2.6875603, '\n': -2.7829945, ' Yes': -5.701167, ' Unfortunately': -5.7935567}
{' No': -0.31993282, '\n': -2.862112, 'No': -3.3631668, ' Yes': -1.7675647, 'Yes': -5.4832344}
{' No': -0.25892755, '\n': -2.145984, 'No': -2.5961602, ' Yes': -3.569522, ' ': -6.121842}
{' No': -1.016364, '\n': -0.7194166, 'No': -2.818982, ' Yes': -3.8460243, ' Unfortunately': -3.128617}
{' No': -0.3464067, '\n': -1.7513978, 'No': -2.393522, ' Unfortunately': -4.0292087, ' ': -5.5962005}
{' No': -0.8447235, '\n': -0.8588666, 'No': -2.6172187, ' Unfortunately': -2.9875937, ' ': -4.6250024}
{' No': -0.5289285, '\n': -1.1942537, ' ': -4.608099, 'No': -2.7669983, ' Unfortunately': -3.6959531}
{' No': -0.3067638, '\n': -1.9805478, 'No': -2.530351, ' Yes': -4.315383, ' Unfortunately': -3.8183699}
{' No': -0.38129416, '\n': -1.5906353, 'No': -2.382248, ' Yes': -5.412081, ' Unfortunately': -4.768326}
{' No': -0.05512443, '\n': -3.7865179, 'No': -3.9291666, ' Yes': -4.822527, ' Not': -6.9394336}
{' No': -0.02263187, '\n': -5.8265195, ' ': -8.694675, 'No': -3.9734547, ' Yes': -8.575665}
{' No': -0.059039086, 'No': -3.200688, '\n': -4.216485, ' ': -7.3012767, ' Not': -7.816251}
{' No': -0.03252174, 'No': -3.4882214, '\n': -6.8217807, ' Yes': -8.992221, ' ': -9.072766}
{' No': -0.3282085, ' Yes': -1.362823, 'No': -4.1835074, '\n': -5.3431106, 'Yes': -5.6756663}
{' No': -0.033116046, 'No': -3.6991947, '\n': -5.48424, ' Yes': -5.7375283, ' ': -8.168976}
{' No': -0.08487765, ' Not': -6.67544, '\n': -3.0965295, 'No': -3.9406247, ' Yes': -4.3134637}
{' No': -0.029026097, '\n': -5.2414646, ' ': -8.742286, 'No': -3.7929096, ' Yes': -8.118539}
{' No': -0.106127866, '\n': -2.9935465, 'No': -3.0772295, ' Unfortunately': -6.6828275, ' ': -6.931374}
{' No': -0.10167459, '\n': -4.1457396, 'No': -2.5570273, ' Yes': -6.59929, ' Unfortunately': -7.0608416}
{' No': -0.038004044, '\n': -5.5254707, 'No': -4.4501247, ' Yes': -3.8548453, 'Yes': -8.283461}
{' No': -0.045929287, '\n': -4.5818806, ' ': -7.834465, 'No': -3.7003767, ' Yes': -4.7104073}
{' No': -0.14860857, ' Yes': -2.7234607, '\n': -2.876861, 'No': -4.497432, ' Not': -6.5482836}
{' No': -0.023360338, ' Not': -8.287692, '\n': -4.754449, 'No': -4.3149004, ' Yes': -8.011829}
{' No': -0.04097503, ' Not': -7.348022, '\n': -4.314117, ' ': -7.8467073, 'No': -3.6998665}
{' No': -0.040653788, 'No': -3.3695412, '\n': -5.5216985, ' Yes': -7.356924, ' Not': -7.9133077}
{' No': -0.039384067, ' Not': -8.379977, '\n': -5.481509, 'No': -4.1334085, ' Yes': -4.030383}
{' No': -0.027835015, '\n': -5.2822924, ' ': -8.808301, 'No': -3.855344, ' Yes': -7.007678}
{' No': -0.5207905, '\n': -1.4489483, ' Unfortunately': -2.5755067, 'No': -2.7657342, ' Yes': -4.409188}
{' No': -0.22702071, '\n': -2.5653596, ' ': -5.724674, 'No': -2.3876154, ' Unfortunately': -3.6525176}
{' No': -0.4212309, '\n': -1.677403, ' ': -4.908589, 'No': -2.659245, ' Unfortunately': -2.694962}
{' No': -0.20165797, '\n': -2.611427, 'No': -2.6481264, ' Unfortunately': -3.4287698, ' ': -5.929601}
{' No': -0.20327696, 'No': -2.6020348, '\n': -2.8111794, ' Unfortunately': -3.6209824, ' Yes': -4.1721735}
{' No': -0.25745702, '\n': -2.1995728, 'No': -2.5947866, ' Unfortunately': -3.8428872, ' Yes': -4.318521}
{' No': -0.24561162, '\n': -1.73955, 'No': -4.4562225, ' Yes': -3.6763575, ' The': -6.2650695}
{' No': -0.033814464, '\n': -4.020276, 'No': -4.2417874, ' The': -8.038067, ' ': -8.720004}
{' No': -0.11967945, '\n': -2.6514482, 'No': -3.2349367, ' ': -7.1022005, ' Yes': -7.6943994}
{' No': -0.18252085, '\n': -2.387784, ' ': -6.9768915, 'No': -2.6537464, ' Yes': -5.8415036}
{' No': -0.11733489, 'No': -2.681439, '\n': -3.2281518, ' Yes': -6.463267, ' ': -7.5927014}
{' No': -0.10212245, 'No': -2.466155, '\n': -4.445384, ' ': -8.4815035, ' Unfortunately': -9.306468}
{' No': -0.094975255, '\n': -2.83606, 'No': -3.6763978, ' Yes': -5.618983, ' Not': -6.5193887}
{' No': -0.024869343, '\n': -5.154836, 'No': -4.000331, ' Yes': -8.4224, ' The': -9.418035}
{' No': -0.08157244, 'No': -2.9551167, '\n': -3.753386, ' Unfortunately': -6.2441826, ' Not': -8.005094}
{' No': -0.07584855, '\n': -4.068789, 'No': -2.9621208, ' Yes': -6.26274, ' Unfortunately': -6.9157987}
{' No': -0.02241838, ' Not': -9.324544, '\n': -5.6433806, 'No': -4.045659, ' Yes': -7.0948405}
{' No': -0.029160423, ' Not': -9.858039, '\n': -5.699164, ' ': -9.213017, 'No': -3.684216}
{' No': -0.057543308, '\n': -3.4305346, 'No': -3.8779967, ' Yes': -6.1858068, ' ': -7.8530145}
{' No': -0.054847095, 'No': -3.025775, '\n': -5.3908567, ' ': -9.042718, ' The': -9.77138}
{' No': -0.07311297, ' Not': -10.381457, '\n': -3.9498084, ' ': -8.078199, 'No': -2.9792163}
{' No': -0.069012836, 'No': -2.880143, '\n': -4.661639, ' Yes': -7.5870967, ' ': -8.282322}
{' No': -0.03671812, 'No': -3.7287574, '\n': -5.1313376, ' Yes': -5.1593947, ' ': -8.692755}
{' No': -0.053101525, 'No': -3.138974, '\n': -4.8334074, ' Yes': -8.388853, ' ': -8.874793}
{' No': -0.35901612, ' Yes': -1.9262711, '\n': -1.965675, 'No': -5.015222, 'Yes': -5.8798246}
{' No': -0.03354033, '\n': -4.290611, 'No': -4.110744, ' Yes': -6.9363723, ' The': -7.483652}
{' No': -0.10800329, '\n': -2.5725245, 'No': -3.764505, ' ': -6.6589556, ' Yes': -7.0341244}
{' No': -0.06556186, '\n': -4.064301, ' ': -8.198623, 'No': -3.0926878, ' Yes': -8.635883}
{' No': -0.09437631, 'No': -3.3685193, '\n': -3.4298847, ' Yes': -3.857354, ' ': -7.09718}
{' No': -0.05223512, 'No': -3.520367, '\n': -3.895701, ' ': -7.9206905, ' Yes': -8.027073}
{' No': -0.30633143, '\n': -1.9051243, 'No': -2.2777574, ' Unfortunately': -5.474336, ' Yes': -5.5248904}
{' No': -0.15829527, '\n': -3.3885882, ' ': -7.019934, 'No': -2.206126, ' Unfortunately': -7.0092697}
{' No': -0.21300246, '\n': -2.3232853, ' ': -6.2081, 'No': -2.4525466, ' Unfortunately': -5.4120326}
{' No': -0.22732821, '\n': -2.8797445, 'No': -1.9622105, ' Yes': -6.4588037, ' Unfortunately': -5.811489}
{' No': -0.16894607, 'No': -2.4496772, '\n': -2.7630296, ' ': -6.087252, ' Yes': -6.3917737}
{' No': -0.16733128, 'No': -2.4622433, '\n': -2.7265866, ' ': -6.3697367, ' Unfortunately': -6.861579}
{'\n': -0.89273655, ' No': -1.0019761, ' Yes': -2.4384863, 'No': -2.4808314, ' Unfortunately': -3.5248392}
{' No': -0.43682262, '\n': -1.79685, 'No': -2.2773724, ' Unfortunately': -2.840431, ' Yes': -4.084108}
{' No': -0.8901636, '\n': -1.0214502, 'No': -2.5035973, ' Yes': -2.6785185, ' Unfortunately': -2.907389}
{' No': -0.4465067, '\n': -1.7472231, 'No': -2.3818417, ' Yes': -2.9720075, ' Unfortunately': -3.5029163}
{' No': -0.27554655, '\n': -2.551942, 'No': -2.4482398, ' Yes': -3.5378375, ' Unfortunately': -3.3244872}
{' No': -0.47505772, '\n': -1.6192763, 'No': -2.228283, ' Yes': -3.2408295, ' Unfortunately': -3.8983612}
{' No': -0.7484333, '\n': -0.8988717, 'No': -2.7087564, ' Yes': -3.5062115, ' Unfortunately': -4.8952646}
{' No': -0.18329622, '\n': -2.723219, ' ': -6.9647694, 'No': -2.3626575, ' Unfortunately': -5.3763294}
{' No': -0.7796124, '\n': -0.8698109, 'No': -2.413909, ' Unfortunately': -3.8315532, ' ': -5.451716}
{' No': -0.29245815, '\n': -1.9130043, ' ': -6.243487, 'No': -2.3848236, ' Unfortunately': -4.968409}
{' No': -0.26412323, '\n': -2.2486355, 'No': -2.2832615, ' Unfortunately': -4.744392, ' Yes': -4.7530775}
{' No': -0.51624036, '\n': -1.3010628, 'No': -2.2116482, ' Yes': -5.051406, ' Unfortunately': -5.154872}
{' No': -1.4525381, '\n': -0.4267452, 'No': -2.8626888, ' Yes': -4.467583, ' Unfortunately': -3.457068}
{' No': -0.549714, '\n': -1.3509645, 'No': -2.1762667, ' Unfortunately': -3.1597202, ' ': -5.898398}
{'\n': -0.6364105, ' No': -1.0930487, 'No': -2.5792587, ' Unfortunately': -3.0439095, ' ': -5.365744}
{' No': -0.6163367, '\n': -1.0954036, ' ': -5.690639, 'No': -2.7634048, ' Unfortunately': -2.9799325}
{' No': -0.38720003, '\n': -1.5492237, 'No': -2.6612973, ' Yes': -4.9008336, ' Unfortunately': -3.9520137}
{' No': -0.58254594, '\n': -1.2147958, 'No': -2.128311, ' Unfortunately': -4.3096995, ' ': -5.2212367}
{' No': -0.072148114, '\n': -3.1997232, 'No': -3.7317812, ' Yes': -5.995003, ' ': -7.1412907}
{' No': -0.055417843, 'No': -3.095344, '\n': -4.81834, ' The': -8.857763, ' ': -8.8947}
{' No': -0.13795047, '\n': -2.5750537, 'No': -2.9764857, ' ': -6.9768095, ' Unfortunately': -8.142238}
{' No': -0.16829064, 'No': -2.1535792, '\n': -3.3824837, ' Yes': -6.284124, ' Unfortunately': -6.4304457}
{' No': -0.11680861, 'No': -3.0927434, ' Yes': -3.2743516, '\n': -3.6895108, 'Yes': -6.808982}
{' No': -0.039255366, 'No': -3.5176375, '\n': -4.8945217, ' Yes': -6.8994637, ' ': -8.598097}
{' No': -0.23745374, '\n': -1.7820781, 'No': -3.694523, ' Yes': -4.5527782, ' Unfortunately': -5.8709335}
{' No': -0.060892932, '\n': -4.0293965, 'No': -3.2210186, ' Yes': -7.920363, ' Unfortunately': -7.9749}
{' No': -0.1985365, '\n': -2.0017228, 'No': -3.2577307, ' Unfortunately': -5.8111897, ' ': -6.530951}
{' No': -0.20432322, '\n': -2.4799368, ' ': -6.7901845, 'No': -2.3867686, ' Unfortunately': -5.178969}
