{' number': -6.5517163, ' #': -6.544743, ' 1': -2.2409306, ' 2': -0.15288188, ' two': -3.472717}
{' 2': -0.17310569, ' 1': -2.0751576, ' two': -3.5024915, ' one': -6.5780177, ' #': -6.9670553}
{' #': -6.880786, ' 1': -1.9179265, ' 2': -0.1973092, ' one': -6.4854712, ' two': -3.554529}
{' #': -6.832045, ' 1': -1.3083212, ' 2': -0.3541166, ' one': -6.000912, ' two': -3.7574537}
{' #': -6.8839808, ' 1': -1.7121062, ' 2': -0.23791096, ' one': -6.2848787, ' two': -3.5995266}
{' #': -6.8404846, ' 1': -1.5499808, ' 2': -0.28266215, ' one': -6.1148, ' two': -3.5208633}
{' 2': -0.2533326, ' 1': -1.6551043, ' two': -3.547358, ' one': -6.3197536, ' #': -6.861683}
{' #': -6.890627, ' 1': -1.9869592, ' 2': -0.1852415, ' one': -6.577207, ' two': -3.555168}
{' #': -6.865215, ' 1': -1.5117444, ' 2': -0.2874955, ' one': -6.144, ' two': -3.68373}
{' #': -6.766012, ' 1': -1.7740142, ' 2': -0.22609404, ' one': -6.356646, ' two': -3.5502381}
{' 2': -0.4007087, ' 1': -1.2042518, ' two': -3.685018, ' one': -5.8599334, ' #': -6.7708907}
{' #': -6.8338666, ' 1': -2.0332277, ' 2': -0.18041977, ' one': -6.5645356, ' two': -3.4848}
{' 2': -0.19652711, ' 1': -1.9376769, ' two': -3.4838383, ' one': -6.488237, ' #': -6.8279533}
{' #': -6.7611275, ' 1': -1.9201431, ' 2': -0.19883533, ' one': -6.4251556, ' two': -3.5139332}
{' #': -6.859311, ' 1': -1.6443154, ' 2': -0.25282264, ' one': -6.2430525, ' two': -3.6389096}
{' 2': -0.20241055, ' 1': -1.8963649, ' two': -3.5234725, ' one': -6.4895406, ' #': -6.8221498}
{' #': -6.9335217, ' 1': -2.1121285, ' 2': -0.16522323, ' one': -6.7078214, ' two': -3.568141}
{' number': -7.0949636, ' #': -7.018677, ' 1': -3.2967808, ' 2': -0.071996234, ' two': -3.4989104}
{' #': -7.03564, ' 1': -2.4943552, ' 2': -0.11973689, ' one': -7.0454397, ' two': -3.5828884}
{' number': -7.0304594, ' #': -7.0562634, ' 1': -2.6242287, ' 2': -0.114007235, ' two': -3.4252253}
{' number': -7.0259686, ' 1': -2.4932122, ' 2': -0.124336734, ' one': -7.090975, ' two': -3.4538898}
{' number': -7.094545, ' #': -7.156214, ' 1': -3.2990777, ' 2': -0.07584951, ' two': -3.3821847}
{' 2': -0.108943306, ' 1': -2.6844745, ' two': -3.4300585, ' number': -7.014176, ' #': -7.113043}
{' 2': -0.072850354, ' 1': -3.3487291, ' two': -3.407586, ' number': -7.126223, ' #': -7.25846}
{' 2': -0.15322432, ' 1': -2.2403786, ' two': -3.4253376, ' one': -6.6718993, ' number': -7.0374064}
{' number': -7.113095, ' 1': -2.2175615, ' 2': -0.15399139, ' one': -6.7044044, ' two': -3.4763274}
{' number': -7.046807, ' 1': -2.177504, ' 2': -0.15947193, ' one': -6.684599, ' two': -3.473841}
{' number': -7.0223017, ' 1': -1.8537897, ' 2': -0.20826666, ' one': -6.522007, ' two': -3.5751622}
{' number': -7.0685086, ' 1': -2.5032573, ' 2': -0.12403824, ' one': -6.9464045, ' two': -3.4388}
{' number': -7.120597, ' 1': -2.3191323, ' 2': -0.14414272, ' one': -6.7017574, ' two': -3.4139466}
{' number': -7.112415, ' 1': -1.7921289, ' 2': -0.21867508, ' one': -6.439265, ' two': -3.6311483}
{' number': -7.117973, ' 1': -2.2387042, ' 2': -0.14930888, ' one': -6.7737103, ' two': -3.5325866}
{' number': -6.836571, ' 1': -1.9113547, ' 2': -0.19714229, ' one': -6.6448393, ' two': -3.5907161}
{' number': -6.8153973, ' 1': -2.2162728, ' 2': -0.15444432, ' one': -6.804834, ' two': -3.4778924}
{' number': -6.8696413, ' 1': -2.0252783, ' 2': -0.18094671, ' one': -6.6376066, ' two': -3.5045874}
{' 2': -0.18805303, ' 1': -1.982685, ' two': -3.4972355, ' one': -6.5940504, ' number': -6.881215}
{' number': -6.8478236, ' 1': -1.5858685, ' 2': -0.2669693, ' one': -6.3711452, ' two': -3.6612983}
{' number': -7.0387354, ' 1': -1.8536797, ' 2': -0.20819466, ' one': -6.456727, ' two': -3.579151}
{' number': -6.99419, ' 1': -1.7525694, ' 2': -0.22848168, ' one': -6.408847, ' two': -3.598023}
{' number': -6.969466, ' 1': -1.0772867, ' 2': -0.45258614, ' one': -5.9889097, ' two': -3.960084}
{' number': -7.0295167, ' 1': -1.406047, ' 2': -0.31713977, ' one': -6.168994, ' two': -3.785838}
{' number': -6.9546156, ' 1': -1.3861976, ' 2': -0.3239437, ' one': -6.2249904, ' two': -3.7816024}
{' number': -7.0279317, ' 1': -1.547878, ' 2': -0.2764623, ' one': -6.314018, ' two': -3.6813138}
{' number': -7.0408463, ' 1': -1.8033053, ' 2': -0.21649615, ' one': -6.4900136, ' two': -3.6279893}
{' #': -6.89858, ' 1': -0.78197265, ' 2': -0.6556717, ' one': -5.618688, ' two': -4.0371985}
{' number': -6.9929204, ' 1': -1.7107543, ' 2': -0.23450468, ' one': -6.4479513, ' two': -3.6963022}
{' number': -6.8791857, ' 1': -0.8210212, ' 2': -0.6227771, ' one': -5.6774454, ' two': -4.013726}
{' 2': -0.166986, ' 1': -2.0915504, ' two': -3.6028206, ' one': -6.6979322, ' #': -7.048456}
{' #': -7.025884, ' 1': -1.8555167, ' 2': -0.20581086, ' one': -6.5115204, ' two': -3.6393685}
{' 2': -0.20337255, ' 1': -1.8661246, ' two': -3.651506, ' one': -6.511174, ' #': -7.036423}
{' #': -6.995276, ' 1': -1.2370203, ' 2': -0.3771721, ' one': -6.1138983, ' two': -3.9181094}
{' #': -7.014855, ' 1': -1.5665574, ' 2': -0.2690797, ' one': -6.334516, ' two': -3.750252}
{' number': -6.9689403, ' 1': -1.4718014, ' 2': -0.29697967, ' one': -6.3314185, ' two': -3.742378}
{' number': -7.064429, ' #': -7.1568146, ' 1': -2.673114, ' 2': -0.10418268, ' two': -3.5955803}
{' #': -7.223309, ' 1': -1.6428726, ' 2': -0.2456998, ' one': -6.5491004, ' two': -3.8410006}
{' number': -7.0491796, ' #': -6.7492714, ' 1': -3.4416418, ' 2': -0.06929694, ' two': -3.429238}
{' 2': -0.056865793, ' two': -3.4649677, ' 1': -3.8243828, ' #': -6.8695035, ' number': -7.1577477}
{' number': -7.165603, ' #': -6.905308, ' 1': -4.170419, ' 2': -0.050359223, ' two': -3.4543853}
{' number': -6.9648533, ' #': -6.784056, ' 1': -3.2778835, ' 2': -0.07660682, ' two': -3.3988245}
{' number': -7.1199155, ' #': -6.9634767, ' 1': -4.0823216, ' 2': -0.050669562, ' two': -3.490424}
{' number': -7.018082, ' #': -6.7806587, ' 1': -3.0462136, ' 2': -0.08716285, ' two': -3.4056728}
{' number': -7.014804, ' #': -6.751484, ' 1': -2.8885286, ' 2': -0.09683054, ' two': -3.3890133}
{' number': -6.910733, ' #': -6.6536746, ' 1': -2.6004803, ' 2': -0.11815582, ' two': -3.3850472}
{' number': -7.0135536, ' #': -6.7081575, ' 1': -2.7085953, ' 2': -0.11001029, ' two': -3.3680496}
{' number': -6.955352, ' #': -6.737215, ' 1': -2.8653536, ' 2': -0.0970891, ' two': -3.4242141}
{' number': -6.976135, ' #': -6.71239, ' 1': -2.6519473, ' 2': -0.11336153, ' two': -3.3970413}
{' #': -6.7410746, ' 1': -2.1328018, ' 2': -0.16340138, ' one': -6.6347866, ' two': -3.5495098}
{' number': -6.957223, ' #': -6.6993985, ' 1': -2.6990483, ' 2': -0.10892031, ' two': -3.41764}
{' number': -6.8535714, ' #': -6.641551, ' 1': -2.5249279, ' 2': -0.121756405, ' two': -3.4688172}
{' number': -6.8939776, ' #': -6.7490907, ' 1': -2.9922593, ' 2': -0.09160911, ' two': -3.3688686}
{' number': -6.9186773, ' #': -6.6243057, ' 1': -3.2738047, ' 2': -0.07877455, ' two': -3.3545082}
{' number': -6.9179587, ' #': -6.6924696, ' 1': -2.7879205, ' 2': -0.10279529, ' two': -3.4097695}
{' 2': -0.14152192, ' 1': -2.3185735, ' two': -3.5054977, ' #': -6.642491, ' one': -6.833754}
{' #': -6.7473507, ' 1': -2.3417532, ' 2': -0.14020933, ' one': -6.7586308, ' two': -3.4655454}
{' #': -6.692659, ' 1': -2.1432323, ' 2': -0.16272545, ' one': -6.683859, ' two': -3.5290906}
{' 2': -0.24985275, ' 1': -1.6621147, ' two': -3.619825, ' one': -6.2319326, ' #': -6.576724}
{' #': -6.719987, ' 1': -2.0724216, ' 2': -0.1694273, ' one': -6.665713, ' two': -3.6329455}
{' 2': -0.15857616, ' 1': -2.179408, ' two': -3.5086107, ' one': -6.6518965, ' #': -6.7320247}
{' #': -6.7544923, ' 1': -2.0651865, ' 2': -0.17251098, ' one': -6.65583, ' two': -3.5706317}
{' 2': -0.13858089, ' 1': -2.3308434, ' two': -3.543385, ' #': -6.7485895, ' one': -6.8800697}
{' #': -6.529606, ' 1': -1.3483518, ' 2': -0.34137475, ' one': -5.928632, ' two': -3.7194014}
{' #': -6.637015, ' 1': -2.1446257, ' 2': -0.16027725, ' one': -6.7090535, ' two': -3.599963}
{' 2': -0.22696926, ' 1': -1.754355, ' two': -3.6551328, ' one': -6.389532, ' #': -6.6250477}
{' number': -6.980865, ' #': -6.746966, ' 1': -2.6771872, ' 2': -0.1063846, ' two': -3.534462}
{' #': -6.656201, ' 1': -2.160802, ' 2': -0.15873821, ' one': -6.6984015, ' two': -3.578078}
{' #': -6.6155043, ' 1': -2.2731593, ' 2': -0.14558427, ' one': -6.7146626, ' two': -3.547102}
{' #': -6.6307354, ' 1': -1.8741657, ' 2': -0.20202559, ' one': -6.487221, ' two': -3.6656406}
{' 2': -0.20597783, ' 1': -1.8587393, ' two': -3.6372006, ' one': -6.458857, ' #': -6.6449842}
{' #': -6.6957197, ' 1': -2.3054974, ' 2': -0.14114125, ' one': -6.854689, ' two': -3.5540059}
{' number': -6.941236, ' #': -6.738588, ' 1': -3.965644, ' 2': -0.055815645, ' two': -3.4169283}
{' 2': -0.092898116, ' 1': -2.8793437, ' two': -3.5081775, ' #': -6.8170195, ' number': -7.226908}
{' 2': -0.09007568, ' 1': -3.067773, ' two': -3.30153, ' #': -6.8026075, ' number': -6.976688}
{' number': -7.0246716, ' #': -6.849205, ' 1': -3.0165024, ' 2': -0.0914632, ' two': -3.3294315}
{' number': -7.026402, ' #': -6.88404, ' 1': -3.4452302, ' 2': -0.07528485, ' two': -3.2660255}
{' number': -6.962674, ' #': -6.881756, ' 1': -3.0919666, ' 2': -0.08719093, ' two': -3.3401625}
{' 2': -0.07238402, ' two': -3.3053532, ' 1': -3.4818726, ' #': -6.9491596, ' number': -6.9984202}
{' #': -6.7031364, ' 1': -2.4361842, ' 2': -0.13808285, ' one': -6.623494, ' two': -3.2779162}
{' #': -6.8679786, ' 1': -2.6170828, ' 2': -0.11921726, ' one': -6.8806195, ' two': -3.316376}
{' #': -6.7281094, ' 1': -2.43248, ' 2': -0.13578823, ' one': -6.740372, ' two': -3.3332615}
{' 2': -0.16581587, ' 1': -2.1794496, ' two': -3.3305078, ' one': -6.507215, ' #': -6.6709347}
{' #': -6.834493, ' 1': -2.5371687, ' 2': -0.12574434, ' one': -6.820499, ' two': -3.3292415}
{' #': -6.781481, ' 1': -2.3574753, ' 2': -0.14703171, ' one': -6.5467434, ' two': -3.260677}
{' #': -6.8012867, ' 1': -2.0438018, ' 2': -0.1803262, ' one': -6.4221377, ' two': -3.4529283}
{' #': -6.7941294, ' 1': -2.3993907, ' 2': -0.13781498, ' one': -6.705289, ' two': -3.3657353}
{' #': -6.76101, ' 1': -2.4208624, ' 2': -0.13379149, ' one': -6.7699575, ' two': -3.414187}
{' number': -6.6698513, ' #': -6.688384, ' 1': -2.4380558, ' 2': -0.13655747, ' two': -3.3083732}
{' number': -6.7431855, ' #': -6.589839, ' 1': -2.4518266, ' 2': -0.13598876, ' two': -3.291722}
{' 2': -0.10978609, ' 1': -2.7594213, ' two': -3.284215, ' #': -6.774587, ' number': -6.8924146}
{' #': -6.7868013, ' 1': -2.3104584, ' 2': -0.14646065, ' one': -6.728371, ' two': -3.393367}
{' 2': -0.18642595, ' 1': -2.0095918, ' two': -3.4355676, ' one': -6.405178, ' #': -6.8013268}
{' #': -6.7417307, ' 1': -1.9039869, ' 2': -0.20362972, ' one': -6.3840976, ' two': -3.4648716}
{' #': -6.6590247, ' 1': -1.3330536, ' 2': -0.34851286, ' one': -5.879738, ' two': -3.6755695}
{' #': -6.7558064, ' 1': -1.8476444, ' 2': -0.21229531, ' one': -6.2991085, ' two': -3.522476}
{' #': -6.7744293, ' 1': -1.8100111, ' 2': -0.22202328, ' one': -6.259216, ' two': -3.4662914}
{' #': -6.720746, ' 1': -1.6426454, ' 2': -0.2599685, ' one': -6.160034, ' two': -3.4744308}
{' #': -6.832519, ' 1': -2.2377694, ' 2': -0.15413414, ' one': -6.6593647, ' two': -3.4194977}
{' #': -6.483024, ' 1': -0.982367, ' 2': -0.5197911, ' one': -5.5262723, ' two': -3.7255502}
{' #': -6.7553263, ' 1': -2.1095517, ' 2': -0.1690269, ' one': -6.5418963, ' two': -3.4902127}
{' #': -6.689826, ' 1': -1.6069508, ' 2': -0.2672482, ' one': -6.0699096, ' two': -3.5313988}
{' #': -6.7346325, ' 1': -2.303242, ' 2': -0.14798188, ' one': -6.624563, ' two': -3.3807678}
{' #': -6.746858, ' 1': -2.0862482, ' 2': -0.17276168, ' one': -6.512598, ' two': -3.4819045}
{' #': -6.684275, ' 1': -2.188054, ' 2': -0.15647234, ' one': -6.620354, ' two': -3.5401947}
{' 2': -0.2238158, ' 1': -1.8079202, ' two': -3.4390543, ' one': -6.205382, ' #': -6.6509094}
{' #': -6.76596, ' 1': -2.051656, ' 2': -0.17912234, ' one': -6.455957, ' two': -3.4532368}
{' 2': -0.20497805, ' 1': -1.8806583, ' two': -3.5386188, ' one': -6.401084, ' #': -6.803351}
{' number': -6.919431, ' #': -6.7958302, ' 1': -3.155909, ' 2': -0.08395638, ' two': -3.3487935}
{' #': -6.8283343, ' 1': -2.0721905, ' 2': -0.17206149, ' one': -6.6271267, ' two': -3.5463784}
{' #': -6.4441633, ' 1': -2.3554106, ' 2': -0.14270146, ' one': -6.786358, ' two': -3.3749247}
{' 2': -0.09177878, ' 1': -3.0242643, ' two': -3.32335, ' #': -6.579452, ' number': -6.969606}
{' 2': -0.09592877, ' 1': -2.9873738, ' two': -3.2763562, ' #': -6.5628853, ' number': -6.818533}
{' 2': -0.107117906, ' 1': -2.7462053, ' two': -3.3773432, ' #': -6.580608, ' number': -6.902921}
{' number': -6.8625555, ' #': -6.6217027, ' 1': -3.094636, ' 2': -0.08689611, ' two': -3.3561335}
{' #': -6.413027, ' 1': -1.9664221, ' 2': -0.19412139, ' one': -6.357792, ' two': -3.449481}
{' #': -6.613025, ' 1': -2.1266477, ' 2': -0.16845492, ' one': -6.5479627, ' two': -3.4436378}
{' #': -6.380086, ' 1': -1.8303095, ' 2': -0.22339126, ' one': -6.222939, ' two': -3.3573024}
{' #': -6.417103, ' 1': -1.7018546, ' 2': -0.24969673, ' one': -6.0788193, ' two': -3.3989923}
{' #': -6.5497146, ' 1': -2.0753715, ' 2': -0.17760557, ' one': -6.455705, ' two': -3.4096456}
{' #': -6.4770246, ' 1': -1.9759718, ' 2': -0.19467412, ' one': -6.3143353, ' two': -3.38983}
{' 2': -0.22106169, ' 1': -1.8073827, ' two': -3.513065, ' one': -6.2874904, ' #': -6.525583}
{' #': -6.506636, ' 1': -2.14818, ' 2': -0.1682721, ' one': -6.504783, ' two': -3.3803937}
{' 2': -0.17808764, ' 1': -2.067488, ' two': -3.4334261, ' #': -6.4811435, ' one': -6.4815817}
{' #': -6.513308, ' 1': -2.4197557, ' 2': -0.13862778, ' one': -6.7031603, ' two': -3.310354}
{' 2': -0.19232534, ' 1': -1.9878118, ' two': -3.4110768, ' #': -6.275433, ' one': -6.4479733}
{' #': -6.4880075, ' 1': -2.031951, ' 2': -0.18208048, ' one': -6.4961367, ' two': -3.4683542}
{' #': -6.4788156, ' 1': -1.683018, ' 2': -0.24850108, ' one': -6.2107515, ' two': -3.5278053}
{' 2': -0.26836565, ' 1': -1.602659, ' two': -3.534755, ' one': -6.0847673, ' #': -6.561715}
{' #': -6.477171, ' 1': -1.5000031, ' 2': -0.2959779, ' one': -6.0557785, ' two': -3.5759346}
{' #': -6.4189124, ' 1': -0.8957372, ' 2': -0.57308054, ' one': -5.534035, ' two': -3.8620799}
{' #': -6.511751, ' 1': -1.211611, ' 2': -0.39646173, ' one': -5.7992225, ' two': -3.7347147}
{' #': -6.4804783, ' 1': -1.1355281, ' 2': -0.43681282, ' one': -5.6461077, ' two': -3.6405976}
{' #': -6.5721827, ' 1': -1.3604023, ' 2': -0.33907452, ' one': -6.0304437, ' two': -3.6493523}
{' #': -6.474958, ' 1': -1.3327444, ' 2': -0.3512991, ' one': -5.9168525, ' two': -3.612827}
{' 2': -0.6074632, ' 1': -0.84786725, ' two': -3.9231234, ' one': -5.4976816, ' #': -6.3291245}
{' #': -6.4366765, ' 1': -1.3854464, ' 2': -0.32837668, ' one': -6.0578113, ' two': -3.709173}
{' #': -6.384343, ' 1': -0.90380484, ' 2': -0.569462, ' one': -5.5141582, ' two': -3.8155155}
{' #': -6.458489, ' 1': -1.6424454, ' 2': -0.26052937, ' one': -6.0889087, ' two': -3.4832656}
{' #': -6.4709077, ' 1': -1.5191482, ' 2': -0.28901517, ' one': -6.120574, ' two': -3.6087096}
{' #': -6.3848515, ' 1': -1.2077414, ' 2': -0.399077, ' one': -5.802265, ' two': -3.7221818}
{' #': -6.4101725, ' 1': -1.0912268, ' 2': -0.45367643, ' one': -5.7253647, ' two': -3.7822475}
{' #': -6.4448323, ' 1': -1.2577904, ' 2': -0.37844366, ' one': -5.867781, ' two': -3.684611}
{' #': -6.4433804, ' 1': -1.3549256, ' 2': -0.34114313, ' one': -6.009125, ' two': -3.655686}
{' number': -6.798872, ' #': -6.486858, ' 1': -2.454562, ' 2': -0.13012393, ' two': -3.4314885}
{' #': -6.511058, ' 1': -2.0288346, ' 2': -0.17999774, ' one': -6.5175524, ' two': -3.5311635}
{' number': -6.8211384, ' #': -6.215148, ' 1': -2.3318532, ' 2': -0.1390869, ' two': -3.5578659}
{' number': -6.9203796, ' #': -6.3240743, ' 1': -2.7966714, ' 2': -0.10041659, ' two': -3.4749491}
{' number': -6.908194, ' #': -6.3965297, ' 1': -3.0313509, ' 2': -0.08649238, ' two': -3.4644296}
{' number': -6.8896904, ' #': -6.3777914, ' 1': -2.6113076, ' 2': -0.1120933, ' two': -3.5389903}
{' number': -6.8859167, ' #': -6.4348497, ' 1': -3.0628629, ' 2': -0.082308404, ' two': -3.5394273}
{' #': -6.1722736, ' 1': -2.012302, ' 2': -0.18417142, ' one': -6.557241, ' two': -3.5168796}
{' 2': -0.15901922, ' 1': -2.1608274, ' two': -3.5823054, ' #': -6.3640985, ' one': -6.7765346}
{' 2': -0.2115948, ' 1': -1.8471881, ' two': -3.5611298, ' #': -6.275779, ' one': -6.481067}
{' 2': -0.18769385, ' 1': -1.9799949, ' two': -3.550992, ' #': -6.304858, ' one': -6.57641}
{' #': -6.296196, ' 1': -1.8371189, ' 2': -0.21065208, ' one': -6.5699983, ' two': -3.6448252}
{' #': -6.332414, ' 1': -2.2579427, ' 2': -0.14854856, ' one': -6.749935, ' two': -3.5278268}
{' #': -6.3429027, ' 1': -1.608645, ' 2': -0.26067033, ' one': -6.3365693, ' two': -3.7033353}
{' 2': -0.1521886, ' 1': -2.2180839, ' two': -3.5611794, ' #': -6.3708897, ' one': -6.822816}
{' #': -6.3747587, ' 1': -2.172695, ' 2': -0.15656449, ' one': -6.8094816, ' two': -3.6089895}
{' number': -6.834089, ' #': -6.38733, ' 1': -2.6299589, ' 2': -0.11274699, ' two': -3.4787421}
{' number': -6.678308, ' #': -6.163484, ' 1': -2.202023, ' 2': -0.15479523, ' two': -3.5669506}
{' #': -6.3571653, ' 1': -2.3389807, ' 2': -0.13829337, ' one': -6.893311, ' two': -3.545762}
{' 2': -0.28595743, ' 1': -1.5147307, ' two': -3.731424, ' #': -6.307949, ' one': -6.3143272}
{' #': -6.3724437, ' 1': -1.4804604, ' 2': -0.29690853, ' one': -6.1983933, ' two': -3.7115123}
{' 2': -0.29486728, ' 1': -1.4828726, ' two': -3.7474217, ' one': -6.280604, ' #': -6.3546686}
{' #': -6.2865434, ' 1': -1.3051838, ' 2': -0.35345092, ' one': -6.1352186, ' two': -3.8460906}
{' #': -6.2793136, ' 1': -1.3321149, ' 2': -0.34376696, ' one': -6.1329513, ' two': -3.8289504}
{' 2': -0.28926387, ' 1': -1.5055095, ' two': -3.7119017, ' one': -6.255601, ' #': -6.3814826}
{' #': -6.402803, ' 1': -1.3003974, ' 2': -0.35608438, ' one': -6.1530976, ' two': -3.8057075}
{' #': -6.391313, ' 1': -1.8387103, ' 2': -0.20917076, ' one': -6.592353, ' two': -3.6698525}
{' #': -6.2548256, ' 1': -0.959284, ' 2': -0.524193, ' one': -5.784248, ' two': -3.9855213}
{' 2': -0.25213864, ' 1': -1.6274894, ' two': -3.8198304, ' #': -6.335714, ' one': -6.489844}
{' 2': -0.5662095, ' 1': -0.89488196, ' two': -4.041223, ' one': -5.760793, ' #': -6.369803}
{' #': -6.288566, ' 1': -1.7743378, ' 2': -0.22229199, ' one': -6.4841313, ' two': -3.683754}
{' 2': -0.30944434, ' 1': -1.4296625, ' two': -3.824947, ' one': -6.295536, ' #': -6.321606}
{' #': -6.2701535, ' 1': -1.7244937, ' 2': -0.23243985, ' one': -6.419809, ' two': -3.7148082}
{' #': -6.313937, ' 1': -1.3171508, ' 2': -0.34651273, ' one': -6.1868978, ' two': -3.914557}
{' #': -6.3572206, ' 1': -1.5490887, ' 2': -0.27276927, ' one': -6.408229, ' two': -3.829841}
{' #': -6.336967, ' 1': -1.3920275, ' 2': -0.32067367, ' one': -6.3414845, ' two': -3.860957}
{' number': -6.9113293, ' #': -6.42026, ' 1': -2.961273, ' 2': -0.086076856, ' two': -3.596674}
{' #': -6.4366674, ' 1': -1.7886965, ' 2': -0.21548684, ' one': -6.6306005, ' two': -3.7851124}
{' number': -6.8791413, ' #': -6.4112144, ' 1': -2.937657, ' 2': -0.094292596, ' two': -3.3955507}
{' 2': -0.07675129, ' 1': -3.2843604, ' two': -3.391748, ' #': -6.6421394, ' number': -7.035576}
{' number': -6.965262, ' #': -6.6191154, ' 1': -3.7234347, ' 2': -0.06430106, ' two': -3.3408132}
{' 2': -0.084785715, ' 1': -3.0882301, ' two': -3.4208221, ' #': -6.6035085, ' number': -6.8994083}
{' 2': -0.06737097, ' two': -3.3737864, ' 1': -3.5699189, ' #': -6.6694083, ' number': -6.9334893}
{' number': -6.8456893, ' #': -6.4625673, ' 1': -2.6590242, ' 2': -0.11224867, ' two': -3.4272625}
{' 2': -0.11549397, ' 1': -2.633049, ' two': -3.3889546, ' #': -6.5235205, ' number': -6.9621058}
{' 2': -0.14399953, ' 1': -2.3583949, ' two': -3.3396323, ' #': -6.4213147, ' one': -6.7101345}
{' #': -6.4740443, ' 1': -2.2889209, ' 2': -0.14873278, ' one': -6.6686845, ' two': -3.4164217}
{' number': -6.932181, ' #': -6.590132, ' 1': -2.7007158, ' 2': -0.10831815, ' two': -3.4364374}
{' #': -6.5134864, ' 1': -2.5146768, ' 2': -0.12600501, ' one': -6.794642, ' two': -3.390537}
{' #': -6.5611744, ' 1': -2.1872065, ' 2': -0.15781441, ' one': -6.618015, ' two': -3.5097659}
{' number': -6.9365835, ' #': -6.563557, ' 1': -2.7912028, ' 2': -0.10250151, ' two': -3.417704}
{' number': -6.792977, ' #': -6.498053, ' 1': -2.504706, ' 2': -0.12495848, ' two': -3.4418318}
{' number': -6.876013, ' #': -6.574062, ' 1': -2.972719, ' 2': -0.09236108, ' two': -3.3858886}
{' number': -6.8205748, ' #': -6.4122148, ' 1': -3.0665116, ' 2': -0.087200634, ' two': -3.3990026}
{' number': -6.880359, ' #': -6.5195384, ' 1': -2.768467, ' 2': -0.10482005, ' two': -3.4010425}
{' #': -6.5034623, ' 1': -2.194421, ' 2': -0.15698741, ' one': -6.6869664, ' two': -3.509965}
{' #': -6.564079, ' 1': -2.02238, ' 2': -0.18043448, ' one': -6.5245214, ' two': -3.5484266}
{' #': -6.5524564, ' 1': -2.1453128, ' 2': -0.16330278, ' one': -6.65335, ' two': -3.5136938}
{' #': -6.412161, ' 1': -1.5514466, ' 2': -0.27738926, ' one': -6.148162, ' two': -3.6771579}
{' #': -6.545168, ' 1': -1.9084988, ' 2': -0.19795796, ' one': -6.4478474, ' two': -3.6073012}
{' #': -6.45586, ' 1': -1.7414484, ' 2': -0.2345306, ' one': -6.2737846, ' two': -3.538392}
{' #': -6.5838876, ' 1': -1.9163622, ' 2': -0.19857736, ' one': -6.476667, ' two': -3.5439277}
{' #': -6.5663447, ' 1': -2.2700026, ' 2': -0.14719218, ' one': -6.752175, ' two': -3.5117493}
{' #': -6.456451, ' 1': -1.720706, ' 2': -0.23397167, ' one': -6.2973204, ' two': -3.68517}
{' #': -6.4436393, ' 1': -1.8952944, ' 2': -0.20122935, ' one': -6.4815083, ' two': -3.5872324}
{' #': -6.3876686, ' 1': -1.449936, ' 2': -0.3076974, ' one': -6.046197, ' two': -3.689339}
{' 2': -0.154155, ' 1': -2.2298632, ' two': -3.4657984, ' #': -6.4406133, ' one': -6.6503105}
{' #': -6.4051566, ' 1': -1.9207549, ' 2': -0.19735289, ' one': -6.479435, ' two': -3.5675538}
{' number': -6.847615, ' #': -6.447445, ' 1': -2.4264743, ' 2': -0.12785427, ' two': -3.5812593}
{' #': -6.509384, ' 1': -1.8326204, ' 2': -0.20891547, ' one': -6.484092, ' two': -3.7099261}
{' #': -6.505921, ' 1': -2.1332808, ' 2': -0.16259669, ' one': -6.6751623, ' two': -3.5856006}
{' 2': -0.1743633, ' 1': -2.039281, ' two': -3.64392, ' #': -6.5299706, ' one': -6.6817174}
{' 2': -0.07177752, ' 1': -3.3395803, ' two': -3.4796772, ' #': -6.5514927, ' number': -6.9179974}
{' #': -6.6130524, ' 1': -2.679664, ' 2': -0.10558625, ' one': -7.1365566, ' two': -3.5561683}
{' number': -6.9506583, ' #': -6.6003885, ' 1': -2.6196175, ' 2': -0.11427502, ' two': -3.4465923}
{' number': -7.080889, ' #': -6.732679, ' 1': -2.8884778, ' 2': -0.092560545, ' two': -3.5070443}
{' number': -7.0633698, ' #': -6.8303075, ' 1': -3.1861422, ' 2': -0.07787551, ' two': -3.4713824}
{' 2': -0.10518464, ' 1': -2.6926062, ' two': -3.5300713, ' #': -6.792068, ' number': -7.0081277}
{' number': -7.055705, ' #': -6.8546515, ' 1': -3.02765, ' 2': -0.0834615, ' two': -3.5368268}
{' #': -6.6195273, ' 1': -2.0744343, ' 2': -0.17376904, ' one': -6.554281, ' two': -3.5061853}
{' #': -6.707559, ' 1': -2.207973, ' 2': -0.15385394, ' one': -6.7200556, ' two': -3.5320888}
{' #': -6.6720204, ' 1': -2.0836046, ' 2': -0.17203698, ' one': -6.6130757, ' two': -3.5107918}
{' #': -6.704175, ' 1': -1.9318758, ' 2': -0.19393785, ' one': -6.549857, ' two': -3.587107}
{' #': -6.709558, ' 1': -1.9798132, ' 2': -0.18496028, ' one': -6.6255097, ' two': -3.6080441}
{' #': -6.6595945, ' 1': -1.9407104, ' 2': -0.1956295, ' one': -6.3850584, ' two': -3.5064757}
{' 2': -0.21240065, ' 1': -1.8223746, ' two': -3.653042, ' one': -6.4452243, ' #': -6.720496}
