{' b': -9.33841, ' A': -1.2189229, ' B': -0.3510315, ' "': -8.545751, " '": -9.839435}
{' b': -10.034254, ' A': -4.739434, 'B': -10.881791, ' B': -0.0089345565, ' "': -9.953157}
{' b': -10.13791, ' A': -5.282936, ' B': -0.005241796, ' "': -9.891782, " '": -10.8646}
{' b': -10.220763, ' A': -4.3629365, 'B': -10.906232, ' B': -0.012972601, ' "': -9.885306}
{' b': -10.1685705, ' A': -5.2290645, 'B': -10.945453, ' B': -0.0055062515, ' "': -10.0622225}
{' b': -9.979752, ' A': -5.4224925, ' B': -0.0045829727, ' "': -9.890253, " '": -10.810685}
{' B': -0.015216889, ' A': -4.202347, ' "': -9.940423, ' b': -10.277245, 'B': -10.905509}
{' b': -10.216419, ' A': -4.3221173, 'B': -10.927271, ' B': -0.013504597, ' "': -9.954581}
{' b': -10.27894, ' A': -3.0251641, ' B': -0.049946412, ' "': -9.683079, " '": -10.762302}
{' b': -9.979589, ' A': -5.5380797, ' B': -0.004104415, ' "': -9.801024, " '": -10.854625}
{' b': -10.320486, ' A': -7.3297086, ' B': -0.0007792884, ' "': -10.110835, " '": -10.972023}
{' b': -10.110448, ' A': -5.982366, ' B': -0.0026834428, ' "': -9.764635, " '": -10.771414}
{' B': -0.0047230986, ' A': -5.3924756, ' "': -9.737668, ' b': -10.1539955, " '": -10.739041}
{' B': -0.0012650279, ' A': -6.792394, ' "': -9.98736, ' b': -10.0968895, " '": -10.800035}
{' b': -10.133748, ' A': -7.305575, ' B': -0.0008060728, ' "': -10.032075, " '": -11.027963}
{' b': -10.300627, ' A': -7.633795, ' B': -0.00061120425, ' "': -10.047022, " '": -10.86466}
{' b': -10.106997, ' A': -5.601863, ' B': -0.003850205, ' "': -9.829661, " '": -10.856004}
{' b': -10.202954, ' A': -6.5636883, ' B': -0.0015382211, ' "': -10.188969, " '": -10.959962}
{' B': -0.0042583626, ' A': -5.4968214, ' "': -9.771367, ' b': -10.271654, " '": -10.798096}
{' B': -0.0029882314, ' A': -5.868987, ' "': -9.808894, ' b': -10.009334, " '": -10.881541}
{' b': -10.224079, ' A': -7.6248245, ' B': -0.00060882105, ' "': -10.201628, " '": -11.065743}
{' B': -0.0009984109, ' A': -7.0647383, ' "': -9.939837, ' b': -10.08076, " '": -10.90198}
{' b': -10.261792, ' A': -7.665899, 'B': -11.0947695, ' B': -0.0005869927, ' "': -10.200768}
{' b': -10.257792, ' A': -6.6274724, ' B': -0.0014579939, ' "': -9.987076, " '": -10.891843}
{' b': -10.266709, ' A': -7.6671886, ' B': -0.0005973695, ' "': -10.060783, " '": -10.964006}
{' B': -0.0005230593, ' A': -7.8473344, ' "': -10.010001, ' b': -10.21271, " '": -10.962891}
{' b': -10.179026, ' A': -7.259557, ' B': -0.00083691406, ' "': -10.014678, " '": -11.004645}
{' B': -0.0020344828, ' A': -6.2725816, ' "': -9.880476, ' b': -10.127037, " '": -10.923931}
{' b': -10.422923, ' A': -4.26351, ' B': -0.014323011, ' "': -9.725419, " '": -10.912995}
{' b': -10.249805, ' A': -5.628942, 'B': -10.854772, ' B': -0.0037496863, ' "': -9.796625}
{' b': -10.057238, ' A': -2.0718424, ' B': -0.13491833, ' "': -9.204028, " '": -10.40778}
{' B': -0.02222157, ' A': -3.8268213, ' "': -9.503978, ' b': -10.100535, " '": -10.506878}
{' b': -9.944714, ' A': -2.6119635, ' B': -0.07649447, ' "': -9.22385, " '": -10.406555}
{' b': -9.998176, ' A': -3.1660793, ' B': -0.043328274, ' "': -9.244014, " '": -10.416556}
{' b': -9.945342, ' A': -3.4364464, ' B': -0.032947, ' "': -9.246637, " '": -10.382354}
{' b': -10.000744, ' A': -2.60392, ' B': -0.07713321, ' "': -9.207738, " '": -10.28073}
{' b': -10.046813, ' A': -4.715375, ' B': -0.009190903, ' "': -9.514871, " '": -10.544785}
{' b': -10.026615, ' A': -3.822736, ' B': -0.022317566, ' "': -9.478428, " '": -10.431383}
{' b': -10.09189, ' A': -4.230526, ' B': -0.014835514, ' "': -9.641559, " '": -10.584276}
{' b': -10.149706, ' A': -3.342253, ' B': -0.036217075, ' "': -9.34627, " '": -10.452902}
{' b': -10.041189, ' A': -4.4584613, ' B': -0.011829175, ' "': -9.640527, " '": -10.643492}
{' b': -10.074994, ' A': -4.5001497, ' B': -0.011361366, ' "': -9.537186, " '": -10.43295}
{' b': -10.194831, ' A': -2.9455192, ' B': -0.05423457, ' "': -9.355408, " '": -10.392044}
{' B': -0.034049768, ' A': -3.4026809, ' "': -9.48691, ' b': -10.199988, " '": -10.50443}
{' b': -10.187453, ' A': -2.1983972, ' B': -0.11790705, ' "': -9.194736, " '": -10.394734}
{' b': -9.988372, ' A': -4.720594, ' B': -0.009160586, ' "': -9.404558, " '": -10.363045}
{' b': -10.189637, ' A': -6.5205574, ' B': -0.0016447861, ' "': -9.608454, " '": -10.523759}
{' b': -10.082838, ' A': -5.0086274, ' B': -0.0068976833, ' "': -9.454839, " '": -10.404755}
{' b': -9.986214, ' A': -5.26185, ' B': -0.005405206, ' "': -9.427272, " '": -10.335398}
{' b': -10.072388, ' A': -5.427733, ' B': -0.0045988997, ' "': -9.436352, " '": -10.3982115}
{' b': -10.110671, ' A': -6.528858, ' B': -0.0016311728, ' "': -9.66272, " '": -10.617803}
{' B': -0.0020633913, ' A': -6.2865043, ' "': -9.381913, ' b': -10.109259, " '": -10.329856}
{' b': -10.036212, ' A': -5.134334, ' B': -0.0061035505, ' "': -9.45035, " '": -10.487356}
{' b': -10.111359, ' A': -5.367694, ' B': -0.0048530027, ' "': -9.61581, " '": -10.546006}
{' b': -10.103231, ' A': -4.6615334, ' B': -0.009689714, ' "': -9.461103, " '": -10.463724}
{' b': -10.0166645, ' A': -5.2421894, ' B': -0.0055031343, ' "': -9.455326, " '": -10.434961}
{' b': -10.186557, ' A': -6.897516, ' B': -0.001170855, ' "': -9.737356, " '": -10.54866}
{' b': -9.992163, ' A': -6.003954, ' B': -0.0026770486, ' "': -9.415431, " '": -10.336999}
{' b': -10.08469, ' A': -6.8904963, ' B': -0.0011932353, ' "': -9.617703, " '": -10.519091}
{' b': -10.120444, ' A': -5.6699276, ' B': -0.0036586307, ' "': -9.351674, " '": -10.352099}
{' B': -0.0012665795, ' A': -6.834503, ' "': -9.461135, ' b': -10.170677, " '": -10.401228}
{' B': -0.0015110011, ' A': -6.6316395, ' "': -9.439062, ' b': -10.195831, " '": -10.330146}
{' b': -10.09485, ' A': -6.009118, ' B': -0.0026524249, ' "': -9.431973, " '": -10.474541}
{' b': -10.138832, ' A': -5.461728, ' B': -0.004443044, ' "': -9.467118, " '": -10.521028}
{' b': -10.280271, ' A': -3.4520206, ' B': -0.032406114, ' "': -9.302942, " '": -10.530722}
{' b': -10.045874, ' A': -5.224447, ' B': -0.005605446, ' "': -9.372129, " '": -10.397167}
{' b': -10.093378, ' A': -2.0795918, 'B': -10.616685, ' B': -0.13374904, ' "': -9.626174}
{' b': -10.1956625, ' A': -3.7199974, 'B': -10.820817, ' B': -0.024693012, ' "': -9.913019}
{' b': -10.113723, ' A': -2.61204, ' B': -0.07642807, ' "': -9.628278, " '": -10.700486}
{' b': -10.053203, ' A': -3.2805974, ' B': -0.038535967, ' "': -9.5477085, " '": -10.63721}
{' b': -9.979693, ' A': -3.2497013, ' B': -0.03974819, ' "': -9.6866865, " '": -10.744167}
{' b': -10.086113, ' A': -2.5613449, ' B': -0.08055766, ' "': -9.641485, " '": -10.638477}
{' b': -10.069234, ' A': -5.074076, ' B': -0.0064304965, ' "': -9.977058, " '": -10.775187}
{' b': -10.070301, ' A': -3.7657669, ' B': -0.023592642, ' "': -9.841186, " '": -10.737607}
{' b': -9.994607, ' A': -4.614925, ' B': -0.0101123, ' "': -9.933751, " '": -10.7886715}
{' b': -10.093082, ' A': -3.6739664, ' B': -0.02587986, ' "': -9.738691, " '": -10.751725}
{' b': -10.062201, ' A': -4.459823, 'B': -10.837154, ' B': -0.011781591, ' "': -10.030082}
{' b': -10.02557, ' A': -4.575617, ' B': -0.010522901, ' "': -9.829273, " '": -10.661711}
{' b': -10.228344, ' A': -3.1800888, 'B': -10.762853, ' B': -0.042643446, ' "': -9.829527}
{' b': -10.205605, ' A': -3.6022704, 'B': -10.851486, ' B': -0.027794505, ' "': -9.957406}
{' b': -10.192323, ' A': -2.7074828, ' B': -0.069230765, ' "': -9.627131, " '": -10.729992}
{' B': -0.008219273, ' A': -4.8242364, ' "': -9.884012, ' b': -10.154388, " '": -10.792045}
{' b': -10.229474, ' A': -6.6353936, ' B': -0.0014506498, ' "': -10.017216, " '": -10.83686}
{' B': -0.0066484623, ' A': -5.042402, ' "': -9.780711, ' b': -9.983741, " '": -10.745994}
{' B': -0.0051151384, ' A': -5.3117537, ' "': -9.746972, ' b': -10.009495, " '": -10.768794}
{' B': -0.0032153754, ' A': -5.788408, ' "': -9.904015, ' b': -10.172475, " '": -10.724776}
{' b': -10.049134, ' A': -6.8755865, ' B': -0.0011786139, ' "': -10.0269165, " '": -10.827721}
{' b': -10.178472, ' A': -6.852613, ' B': -0.001197293, ' "': -9.980326, " '": -10.768743}
{' b': -10.014695, ' A': -5.0452094, ' B': -0.006627702, ' "': -9.770777, " '": -10.756966}
{' b': -10.147238, ' A': -5.4019704, 'B': -10.888929, ' B': -0.004658541, ' "': -10.05337}
{' b': -10.117452, ' A': -4.5574603, ' B': -0.010701938, ' "': -9.8124, " '": -10.818891}
{' B': -0.005406045, ' A': -5.2511277, ' "': -9.952865, ' b': -10.091091, " '": -10.844279}
{' b': -10.189618, ' A': -7.068787, ' B': -0.0009814043, ' "': -10.101703, " '": -10.942689}
{' B': -0.002631388, ' A': -6.001879, ' "': -9.898226, ' b': -10.090581, " '": -10.713188}
{' b': -10.078973, ' A': -6.9639115, ' B': -0.0010845095, ' "': -10.061836, " '": -10.928842}
{' b': -10.1229515, ' A': -6.1277266, ' B': -0.0023307696, ' "': -9.928699, " '": -10.802495}
{' b': -10.344554, ' A': -6.6230526, ' B': -0.0014649183, ' "': -10.019076, " '": -10.802897}
{' b': -10.321857, ' A': -6.7054996, ' B': -0.0013606388, ' "': -10.012724, " '": -10.777017}
{' B': -0.0022943865, ' A': -6.1454616, ' "': -9.9298315, ' b': -10.067951, " '": -10.848561}
{' b': -10.1063175, ' A': -5.1381707, ' B': -0.0060353065, ' "': -9.929241, " '": -10.832026}
{' B': -0.030387301, ' A': -3.5142682, ' "': -9.739272, ' b': -10.335312, 'B': -10.805116}
{' b': -10.100368, ' A': -5.322789, 'B': -10.843001, ' B': -0.0050441464, ' "': -9.936843}
{' b': -10.170697, ' A': -1.8045207, ' B': -0.18013677, ' (': -10.14437, ' "': -9.170845}
{' b': -10.117115, ' A': -3.4356568, ' B': -0.03296807, ' (': -10.393518, ' "': -9.48347}
{' B': -0.08967118, ' A': -2.4594755, ' "': -9.1676445, ' b': -10.026569, ' (': -10.104588}
{' b': -10.0766945, ' A': -3.03023, ' B': -0.04978063, ' (': -10.354808, ' "': -9.262828}
{' b': -9.9172735, ' A': -3.2043984, ' B': -0.041711163, ' "': -9.14976, " '": -10.278295}
{' B': -0.09836959, ' A': -2.3708935, ' "': -9.132664, ' b': -10.014663, " '": -10.211922}
{' B': -0.008577092, ' A': -4.787229, ' "': -9.625679, ' b': -10.066162, ' (': -10.499235}
{' b': -10.041697, ' A': -3.657666, ' B': -0.026358726, ' "': -9.515477, " '": -10.428953}
{' b': -10.016207, ' A': -4.1431847, ' B': -0.016222434, ' "': -9.527913, " '": -10.445803}
{' B': -0.044481825, ' A': -3.140261, ' "': -9.388904, ' b': -10.089446, " '": -10.446691}
{' B': -0.014041526, ' A': -4.286634, ' "': -9.664527, ' b': -10.058108, 'B': -10.637453}
{' b': -9.984443, ' A': -4.3755903, ' B': -0.012879614, ' "': -9.519107, " '": -10.44023}
{' b': -10.145986, ' A': -2.564968, ' B': -0.080307096, ' "': -9.362799, " '": -10.424061}
{' b': -10.064401, ' A': -3.3530045, ' B': -0.03584132, ' "': -9.425226, " '": -10.449536}
{' b': -10.144129, ' A': -2.3820992, ' B': -0.097200565, ' "': -9.156984, " '": -10.291764}
{' b': -10.131402, ' A': -4.7018385, ' B': -0.009331975, ' "': -9.478788, " '": -10.434152}
{' b': -10.264185, ' A': -6.302402, ' B': -0.0020085045, ' "': -9.721478, " '": -10.533543}
{' b': -10.058342, ' A': -4.725676, ' B': -0.00912335, ' "': -9.433218, " '": -10.413437}
{' b': -10.059639, ' A': -4.9407506, ' B': -0.007391684, ' "': -9.498358, " '": -10.467128}
{' b': -10.087268, ' A': -5.2941823, ' B': -0.0052362243, ' "': -9.549503, " '": -10.430069}
{' B': -0.0023780896, ' A': -6.119138, ' "': -9.756028, ' b': -10.204045, " '": -10.650116}
{' B': -0.0016243077, ' A': -6.5488944, ' "': -9.599697, ' b': -10.096261, " '": -10.4386425}
{' b': -9.828812, ' A': -4.5886126, ' B': -0.0104551995, ' "': -9.409981, " '": -10.440972}
{' b': -10.074017, ' A': -4.998873, ' B': -0.006968085, ' "': -9.6247225, " '": -10.534601}
{' B': -0.010848285, ' A': -4.550208, ' "': -9.355774, ' b': -10.039985, " '": -10.3852215}
{' b': -10.046121, ' A': -4.7751594, ' B': -0.008696975, ' "': -9.422675, " '": -10.402238}
{' b': -10.257, ' A': -6.958935, ' B': -0.0011200139, ' "': -9.757805, " '": -10.571074}
{' b': -9.959796, ' A': -5.640587, ' B': -0.003784986, ' "': -9.401787, " '": -10.352061}
{' b': -10.107779, ' A': -6.5137463, ' B': -0.0016730854, ' "': -9.650965, " '": -10.601309}
{' b': -10.061554, ' A': -5.90548, ' B': -0.0029407039, ' "': -9.442158, " '": -10.379584}
{' b': -10.202363, ' A': -6.4238677, ' B': -0.0018192539, ' "': -9.561599, " '": -10.522889}
{' b': -10.222376, ' A': -6.518077, ' B': -0.0016639505, ' "': -9.63902, " '": -10.454285}
{' b': -10.063418, ' A': -6.3332105, ' B': -0.0019729654, ' "': -9.585815, " '": -10.532852}
{' b': -10.153097, ' A': -5.12606, ' B': -0.0061641224, ' "': -9.501164, " '": -10.459192}
{' b': -10.372532, ' A': -3.167758, ' B': -0.043244433, ' "': -9.320546, " '": -10.463117}
{' B': -0.0075460756, ' A': -4.920672, ' "': -9.394778, ' b': -10.046515, " '": -10.429443}
{' b': -10.156452, ' A': -1.9352555, ' B': -0.15620668, ' (': -10.525564, ' "': -9.531206}
{' B': -0.029218173, ' A': -3.5537083, ' "': -9.827171, ' b': -10.165107, 'B': -10.683034}
{' b': -10.011692, ' A': -2.4245768, ' B': -0.09293265, ' (': -10.495428, ' "': -9.53315}
{' b': -10.115632, ' A': -3.2760713, ' B': -0.038716994, ' "': -9.62136, " '": -10.568057}
{' b': -10.084817, ' A': -3.2838736, ' B': -0.03840558, ' "': -9.6562195, " '": -10.651387}
{' b': -10.108888, ' A': -2.567691, ' B': -0.08004664, ' "': -9.556183, " '": -10.525484}
{' B': -0.009487391, ' A': -4.679537, ' "': -9.96834, ' b': -10.169943, 'B': -10.765588}
{' b': -9.998399, ' A': -3.7222617, 'B': -10.646743, ' B': -0.024669917, ' "': -9.75785}
{' b': -9.974054, ' A': -4.2963843, 'B': -10.660303, ' B': -0.013892836, ' "': -9.876166}
{' b': -10.170411, ' A': -3.383977, 'B': -10.651378, ' B': -0.034690037, ' "': -9.747582}
{' b': -10.010191, ' A': -4.2275534, 'B': -10.680185, ' B': -0.014862981, ' "': -9.979463}
{' b': -10.024704, ' A': -4.522272, ' B': -0.011100786, ' "': -9.855102, " '": -10.663204}
{' b': -10.179914, ' A': -2.7166054, 'B': -10.623473, ' B': -0.06859533, ' "': -9.693577}
{' b': -10.064864, ' A': -3.5038562, 'B': -10.699655, ' B': -0.03071761, ' "': -9.91698}
{' b': -10.123149, ' A': -2.4600465, ' B': -0.0895404, ' "': -9.483855, " '": -10.53219}
{' B': -0.008911402, ' A': -4.7448926, ' "': -9.818392, ' b': -9.999665, 'B': -10.72262}
{' B': -0.0032020397, ' A': -5.7926307, ' "': -9.983152, ' b': -10.215317, " '": -10.835961}
{' B': -0.0091977585, ' A': -4.7132154, ' "': -9.72702, ' b': -10.060323, " '": -10.704842}
{' b': -10.145301, ' A': -4.977786, ' B': -0.0070887357, ' "': -9.774018, " '": -10.68036}
{' b': -10.186572, ' A': -5.353532, ' B': -0.0049108006, ' "': -9.791182, " '": -10.602336}
{' B': -0.0023767743, ' A': -6.109615, ' "': -9.966387, ' b': -10.162211, 'B': -10.829983}
{' b': -10.185472, ' A': -6.1954675, ' B': -0.0021925317, ' "': -9.938499, " '": -10.710082}
{' b': -10.136081, ' A': -4.5328717, ' B': -0.010994655, ' "': -9.634431, " '": -10.613072}
{' b': -10.128596, ' A': -5.1412764, 'B': -10.748116, ' B': -0.0060282303, ' "': -9.938502}
{' b': -10.130433, ' A': -4.1761374, ' B': -0.015664821, ' "': -9.640925, " '": -10.648582}
{' b': -10.068187, ' A': -4.7463264, 'B': -10.701161, ' B': -0.0088998545, ' "': -9.783534}
{' b': -10.233591, ' A': -6.5871944, ' B': -0.0015222819, ' "': -10.011871, " '": -10.849104}
{' b': -10.074783, ' A': -5.6111927, ' B': -0.0038397328, ' "': -9.744139, " '": -10.627214}
{' b': -10.086414, ' A': -5.9994535, ' B': -0.002649317, ' "': -9.82613, " '": -10.80648}
{' b': -10.148054, ' A': -5.707295, ' B': -0.0034981356, ' "': -9.707836, " '": -10.685791}
{' B': -0.0021114144, ' A': -6.2403793, ' "': -9.851416, ' b': -10.257744, " '": -10.711018}
{' B': -0.0024154328, ' A': -6.0974355, ' "': -9.8305435, ' b': -10.171536, " '": -10.667725}
{' b': -10.044517, ' A': -5.7273054, ' B': -0.0034459797, ' "': -9.670325, " '": -10.700645}
{' B': -0.006451376, ' A': -5.074639, ' "': -9.737, ' b': -10.095527, " '": -10.719815}
{' b': -10.2914, ' A': -3.162296, 'B': -10.629418, ' B': -0.04344536, ' "': -9.618394}
{' b': -10.0470295, ' A': -4.7003264, 'B': -10.6879015, ' B': -0.009318861, ' "': -9.715245}
{' b': -9.660374, ' A': -2.165882, ' B': -0.12213322, ' "': -8.972483, " '": -10.203913}
{' b': -9.620839, ' A': -3.967996, ' B': -0.019399166, ' "': -8.998608, " '": -10.081265}
{' B': -0.058864772, ' A': -2.8673172, ' "': -8.986683, ' b': -9.571861, " '": -10.155532}
{' B': -0.025113488, ' A': -3.708503, ' "': -9.086808, ' b': -9.576278, " '": -10.210894}
{' b': -9.617804, ' A': -3.7337632, ' B': -0.024477858, ' "': -9.087028, " '": -10.256378}
{' b': -9.649659, ' A': -2.962753, ' B': -0.053388316, ' "': -8.968621, " '": -10.025468}
{' b': -9.5810995, ' A': -5.3928967, ' B': -0.004843059, ' "': -9.089594, " '": -10.079797}
{' b': -9.560589, ' A': -4.1989326, ' B': -0.0154059045, ' "': -9.17688, " '": -10.132861}
{' b': -9.635325, ' A': -4.677869, ' B': -0.009616169, ' "': -9.167695, " '": -10.1330185}
{' b': -9.717414, ' A': -3.8449254, ' B': -0.021893447, ' "': -9.1485815, " '": -10.194294}
{' b': -9.614115, ' A': -4.6209936, ' B': -0.01014638, ' "': -9.255991, " '": -10.298596}
{' B': -0.0080499975, ' A': -4.861739, ' "': -9.104828, ' b': -9.623189, " '": -10.034345}
{' b': -9.782293, ' A': -3.2722266, ' B': -0.038944837, ' "': -9.101923, " '": -10.162094}
{' B': -0.024496369, ' A': -3.7322352, ' "': -9.188774, ' b': -9.729561, " '": -10.212423}
{' b': -9.821925, ' A': -2.6827784, ' B': -0.071137525, ' "': -8.997669, " '": -10.133006}
{' B': -0.0069947345, ' A': -5.0090523, ' "': -9.033269, ' b': -9.5359335, " '": -10.032304}
{' b': -9.840951, ' A': -6.3508773, ' B': -0.0019699815, ' "': -9.35703, " '": -10.236085}
{' b': -9.610322, ' A': -5.243237, ' B': -0.0055931592, ' "': -8.995245, " '": -10.024085}
{' b': -9.693669, ' A': -5.015773, ' B': -0.006930452, ' "': -9.082242, " '": -10.102591}
{' B': -0.0032864166, ' A': -5.7969317, ' "': -9.22478, ' b': -9.75758, " '": -10.172826}
{' b': -9.70561, ' A': -6.472908, ' B': -0.0017837832, ' "': -9.301247, " '": -10.246956}
{' b': -9.844723, ' A': -6.671619, ' B': -0.0014937479, ' "': -9.323931, " '": -10.171733}
{' b': -9.6893015, ' A': -4.81367, ' B': -0.008429993, ' "': -9.056894, " '": -10.142696}
{' B': -0.00352607, ' A': -5.7193117, ' "': -9.282722, ' b': -9.771053, " '": -10.243999}
{' B': -0.011992339, ' A': -4.453086, ' "': -9.026398, ' b': -9.693195, " '": -10.168996}
{' b': -9.690761, ' A': -4.9336467, ' B': -0.007499714, ' "': -9.105417, " '": -10.128687}
{' B': -0.0013633844, ' A': -6.7990503, ' "': -9.216686, ' b': -9.655233, " '": -10.301551}
{' b': -9.709844, ' A': -6.3174806, ' B': -0.0020627934, ' "': -9.191974, " '": -10.064659}
{' b': -9.719393, ' A': -6.756913, ' B': -0.0013899463, ' "': -9.350509, " '": -10.393876}
{' B': -0.0036266856, ' A': -5.70106, ' "': -9.025924, ' b': -9.674257, " '": -10.104461}
{' B': -0.0017085505, ' A': -6.5267687, ' "': -9.226615, ' b': -9.790806, " '": -10.199506}
{' b': -9.70122, ' A': -6.75307, ' B': -0.001428386, ' "': -9.155457, " '": -10.105571}
{' b': -9.585627, ' A': -5.96517, ' B': -0.0028483493, ' "': -9.058318, " '": -10.185584}
{' b': -9.719998, ' A': -5.2408204, ' B': -0.0055646887, ' "': -9.175275, " '": -10.248905}
{' B': -0.03171282, ' A': -3.475679, ' "': -8.969171, ' b': -9.942216, " '": -10.212705}
{' b': -9.547795, ' A': -5.0827966, ' B': -0.0065199467, ' "': -9.02534, " '": -10.03892}
{' b': -9.946229, ' A': -1.6632134, ' B': -0.21046418, ' (': -10.396926, ' "': -9.322212}
{' B': -0.043804616, ' A': -3.1547017, ' "': -9.5900345, ' b': -9.821646, 'B': -10.583199}
{' b': -9.87639, ' A': -2.2316935, ' B': -0.11382515, ' (': -10.473749, ' "': -9.411149}
{' b': -9.859739, ' A': -2.6678522, 'B': -10.531783, ' B': -0.072171755, ' "': -9.43443}
{' b': -9.805077, ' A': -2.9166696, 'B': -10.591207, ' B': -0.055877663, ' "': -9.331726}
{' B': -0.12114525, ' A': -2.1728325, ' "': -9.3708515, ' b': -9.909189, 'B': -10.523889}
{' b': -9.652193, ' A': -4.7731485, 'B': -10.703202, ' B': -0.008679958, ' "': -9.77176}
{' b': -9.684505, ' A': -3.3810165, 'B': -10.539562, ' B': -0.034830865, ' "': -9.546774}
{' B': -0.022566514, ' A': -3.8107514, ' "': -9.814035, ' b': -9.823254, 'B': -10.582885}
{' b': -9.86921, ' A': -3.0842514, 'B': -10.5798855, ' B': -0.047056526, ' "': -9.603936}
{' B': -0.020439338, ' A': -3.9093134, ' b': -9.798761, ' "': -9.829741, 'B': -10.641012}
{' b': -9.732119, ' A': -4.0730333, 'B': -10.666225, ' B': -0.017371127, ' "': -9.654203}
{' b': -9.985295, ' A': -2.7916455, 'B': -10.571346, ' B': -0.0634886, ' "': -9.638529}
{' b': -9.88489, ' A': -3.0990133, 'B': -10.605416, ' B': -0.046345677, ' "': -9.653898}
{' b': -10.001943, ' A': -1.986637, 'B': -10.584285, ' B': -0.14780602, ' "': -9.26005}
{' b': -9.654628, ' A': -4.487908, 'B': -10.62978, ' B': -0.01151541, ' "': -9.565281}
{' b': -9.555359, ' A': -6.225304, 'B': -10.766231, ' B': -0.0021904411, ' "': -9.541278}
{' b': -9.735802, ' A': -4.9583893, 'B': -10.77759, ' B': -0.007238817, ' "': -9.672554}
{' b': -9.72226, ' A': -4.8317246, 'B': -10.704389, ' B': -0.00819067, ' "': -9.761203}
{' b': -9.614505, ' A': -5.526417, 'B': -10.7919235, ' B': -0.0041888067, ' "': -9.578706}
{' b': -9.707013, ' A': -5.9761086, 'B': -10.737393, ' B': -0.0027108155, ' "': -9.930917}
{' B': -0.0017178637, ' A': -6.4886103, ' b': -9.568443, ' "': -9.628389, 'B': -10.849376}
{' b': -9.67874, ' A': -4.9191365, 'B': -10.741627, ' B': -0.0075307027, ' "': -9.569059}
{' b': -9.771282, ' A': -4.8086815, 'B': -10.688676, ' B': -0.008371689, ' "': -9.770655}
{' b': -9.799952, ' A': -4.2493515, 'B': -10.698237, ' B': -0.014572456, ' "': -9.561071}
{' b': -9.670561, ' A': -4.5420737, 'B': -10.621042, ' B': -0.010909746, ' "': -9.644501}
{' B': -0.0015859806, ' A': -6.571433, ' b': -9.607614, ' "': -9.746875, 'B': -10.81561}
{' B': -0.0033970554, ' A': -5.751045, ' "': -9.510525, ' b': -9.600107, 'B': -10.739073}
{' B': -0.0015943956, ' A': -6.566986, ' b': -9.586045, ' "': -9.722803, 'B': -10.8431635}
{' b': -9.68672, ' A': -5.6505303, 'B': -10.80764, ' B': -0.003720131, ' "': -9.543671}
{' b': -9.739102, ' A': -6.202117, 'B': -10.741439, ' B': -0.002212066, ' "': -9.7001705}
{' B': -0.002576109, ' A': -6.0381594, ' "': -9.6516285, ' b': -9.741504, 'B': -10.763634}
{' B': -0.0028016665, ' A': -5.954391, ' "': -9.554803, ' b': -9.595479, 'B': -10.771679}
{' b': -9.869842, ' A': -4.746449, 'B': -10.742818, ' B': -0.008904246, ' "': -9.625511}
{' b': -10.010405, ' A': -3.0358293, 'B': -10.606105, ' B': -0.049445957, ' "': -9.400867}
{' b': -9.728367, ' A': -4.5590825, 'B': -10.642219, ' B': -0.010713745, ' "': -9.753912}
{' b': -9.860885, ' A': -1.8867803, ' B': -0.16492894, ' "': -8.285761, " '": -9.579383}
{' b': -9.840836, ' A': -3.2617784, ' B': -0.03945971, ' "': -8.578161, " '": -9.805608}
{' b': -9.829828, ' A': -2.1642227, ' B': -0.12250308, ' "': -8.357256, " '": -9.627217}
{' b': -9.78764, ' A': -2.8432004, ' B': -0.060451306, ' "': -8.432212, " '": -9.681903}
{' B': -0.061754767, ' A': -2.8221972, ' "': -8.435669, " '": -9.707715, ' b': -9.822541}
{' B': -0.092404805, ' A': -2.4324524, ' "': -8.402438, " '": -9.56001, ' b': -9.77996}
{' b': -9.875277, ' A': -4.280852, ' B': -0.014273307, ' "': -8.682988, " '": -9.815738}
{' b': -9.769422, ' A': -3.5023956, ' B': -0.030985134, ' "': -8.542667, " '": -9.726612}
{' b': -9.849393, ' A': -3.8231766, ' B': -0.022469644, ' "': -8.620733, " '": -9.7339}
{' b': -9.918579, ' A': -3.0483692, ' B': -0.04898926, ' "': -8.576801, " '": -9.72119}
{' B': -0.016855868, ' A': -4.1112256, ' "': -8.771314, ' b': -9.726602, " '": -9.930764}
{' b': -9.779805, ' A': -4.1759386, ' B': -0.015860543, ' "': -8.573941, " '": -9.705152}
{' b': -9.899057, ' A': -2.7199345, ' B': -0.068561494, ' "': -8.535538, " '": -9.748471}
{' b': -9.8435335, ' A': -3.3384867, ' B': -0.03650209, ' "': -8.636819, " '": -9.822774}
{' B': -0.123806365, ' A': -2.1539347, ' "': -8.414402, " '": -9.625093, ' b': -10.075137}
{' b': -9.756319, ' A': -4.565125, ' B': -0.010832497, ' "': -8.59094, " '": -9.717948}
{' B': -0.0032120263, ' A': -5.8473735, ' "': -8.74656, " '": -9.875715, ' b': -9.88238}
{' b': -9.778587, ' A': -4.655785, ' B': -0.009907545, ' "': -8.623104, " '": -9.798711}
{' b': -9.790055, ' A': -4.4436665, ' B': -0.01218636, ' "': -8.609592, " '": -9.770192}
{' b': -9.939403, ' A': -4.989893, ' B': -0.007164255, ' "': -8.675095, " '": -9.762323}
{' b': -9.888896, ' A': -5.54512, ' B': -0.004215024, ' "': -8.837983, " '": -9.904836}
