{' number': -5.9342136, ' 1': -1.799021, ' 2': -0.25823066, ' one': -5.402187, ' two': -2.9497304}
{' #': -5.9922876, ' 1': -0.9257279, ' 2': -0.5840989, ' one': -4.970087, ' two': -3.371231}
{' #': -5.9413676, ' 1': -1.067378, ' 2': -0.49593627, ' one': -5.130507, ' two': -3.3193138}
{' #': -6.056899, ' 1': -1.0059867, ' 2': -0.52930784, ' one': -5.011962, ' two': -3.3789093}
{' #': -5.9829607, ' 1': -0.96093386, ' 2': -0.5663435, ' one': -4.9087663, ' two': -3.2795582}
{' #': -6.0111423, ' 1': -0.94774026, ' 2': -0.56640214, ' one': -4.9656386, ' two': -3.4094882}
{' #': -6.0009055, ' 1': -1.2113111, ' 2': -0.42610142, ' one': -5.258716, ' two': -3.2460876}
{' #': -5.997901, ' 1': -1.1287986, ' 2': -0.46662256, ' one': -5.101777, ' two': -3.2570925}
{' #': -6.0462785, ' 1': -1.4131207, ' 2': -0.3482957, ' one': -5.421354, ' two': -3.1774905}
{' #': -6.172063, ' 1': -1.5735517, ' 2': -0.30430672, ' one': -5.403483, ' two': -3.0673356}
{' #': -5.9121337, ' 1': -1.5119509, ' 2': -0.32175764, ' one': -5.4326143, ' two': -3.0996737}
{' #': -5.8991747, ' 1': -1.3241866, ' 2': -0.3852466, ' one': -5.2573123, ' two': -3.142691}
{' 2': -0.33769065, ' 1': -1.4666064, ' two': -3.0811825, ' one': -5.3342257, ' #': -5.9005733}
{' 2': -0.3932938, ' 1': -1.3010106, ' two': -3.1575565, ' one': -5.2214646, ' #': -5.911619}
{' 2': -0.30063048, ' 1': -1.6095332, ' two': -2.9980865, ' one': -5.4205265, ' #': -5.869326}
{' #': -5.9705276, ' 1': -1.5341372, ' 2': -0.31556085, ' one': -5.429442, ' two': -3.0832229}
{' #': -5.856198, ' 1': -1.5082625, ' 2': -0.32586282, ' one': -5.388866, ' two': -3.0601864}
{' #': -5.9677424, ' 1': -1.6509256, ' 2': -0.28065777, ' one': -5.5768647, ' two': -3.1185062}
{' number': -6.0489025, ' 1': -2.0160422, ' 2': -0.21223804, ' one': -5.888562, ' two': -2.9827058}
{' 2': -0.22111501, ' 1': -1.9108028, ' two': -3.1230888, ' one': -5.872516, ' #': -6.3335567}
{' number': -6.284857, ' 1': -1.062156, ' 2': -0.5018208, ' one': -5.005616, ' two': -3.2565033}
{' number': -6.251385, ' 1': -0.91552585, ' 2': -0.58408606, ' one': -5.068806, ' two': -3.438563}
{' number': -6.316895, ' 1': -1.0904351, ' 2': -0.4797155, ' one': -5.1884475, ' two': -3.3291743}
{' number': -6.209186, ' 1': -0.8219089, ' 2': -0.6558855, ' one': -4.9619975, ' two': -3.4880235}
{' number': -6.0971384, ' 1': -1.2781252, ' 2': -0.39452106, ' one': -5.381569, ' two': -3.2430525}
{' number': -6.1799483, ' 1': -1.3073837, ' 2': -0.40513536, ' one': -5.047101, ' two': -2.952157}
{' number': -6.2390676, ' 1': -1.1131376, ' 2': -0.46872458, ' one': -5.203968, ' two': -3.3135102}
{' number': -6.1717873, ' 1': -0.73761505, ' 2': -0.7317403, ' one': -4.819265, ' two': -3.5568576}
{' number': -6.1269064, ' 1': -0.8628829, ' 2': -0.62621135, ' one': -4.949682, ' two': -3.438784}
{' number': -6.1311946, ' 1': -0.8378824, ' 2': -0.6445707, ' one': -4.948205, ' two': -3.4671624}
{' number': -6.273415, ' 1': -0.8632646, ' 2': -0.6301867, ' one': -4.834748, ' two': -3.3810637}
{' number': -6.325873, ' 1': -0.85505396, ' 2': -0.6310702, ' one': -4.839057, ' two': -3.4699316}
{' number': -6.223635, ' 1': -1.1093203, ' 2': -0.47149912, ' one': -5.120729, ' two': -3.3178256}
{' 2': -0.5618238, ' 1': -0.95159614, ' two': -3.4160068, ' one': -5.034627, ' number': -6.1151357}
{' number': -6.107733, ' 1': -0.9918983, ' 2': -0.53841275, ' one': -5.0636754, ' two': -3.3568559}
{' number': -6.228862, ' 1': -1.2008588, ' 2': -0.430843, ' one': -5.1649528, ' two': -3.2337394}
{' number': -6.143009, ' 1': -1.0129586, ' 2': -0.5272065, ' one': -5.0194035, ' two': -3.3283389}
{' number': -6.115479, ' 1': -0.89608824, ' 2': -0.6025071, ' one': -4.9661336, ' two': -3.407444}
{' number': -6.178025, ' 1': -0.8471478, ' 2': -0.63764274, ' one': -4.923468, ' two': -3.4597523}
{' number': -6.2074523, ' 1': -0.81200016, ' 2': -0.6652563, ' one': -4.8466835, ' two': -3.503807}
{' number': -6.161723, ' 1': -0.7354183, ' 2': -0.73772246, ' one': -4.7598743, ' two': -3.5130613}
{' number': -6.2176785, ' 1': -0.90543836, ' 2': -0.59501344, ' one': -4.9239545, ' two': -3.4147003}
{' number': -6.1032047, ' 1': -1.1753312, ' 2': -0.44025236, ' one': -5.2311473, ' two': -3.2758198}
{' number': -6.1652503, ' 1': -0.96736056, ' 2': -0.55514246, ' one': -4.991221, ' two': -3.350726}
{' number': -6.1680274, ' 1': -1.0820433, ' 2': -0.48348302, ' one': -5.1797414, ' two': -3.3581014}
{' number': -6.198586, ' 1': -1.2173852, ' 2': -0.42673206, ' one': -5.170097, ' two': -3.1807013}
{' number': -6.172032, ' 1': -1.2581376, ' 2': -0.40468293, ' one': -5.318646, ' two': -3.228055}
{' 2': -0.26011452, ' 1': -1.8243082, ' two': -2.832569, ' one': -5.5306973, ' number': -5.957004}
{' number': -6.2258253, ' 1': -1.351119, ' 2': -0.37106806, ' one': -5.2755833, ' two': -3.1721447}
{' number': -6.2800817, ' 1': -1.1199559, ' 2': -0.46745017, ' one': -5.0816135, ' two': -3.2966335}
{' number': -6.140402, ' 1': -1.2819811, ' 2': -0.39836177, ' one': -5.2087903, ' two': -3.1838844}
{' number': -6.255012, ' 1': -1.3304114, ' 2': -0.3760257, ' one': -5.337234, ' two': -3.2095442}
{' number': -6.203602, ' 1': -1.4373693, ' 2': -0.34090146, ' one': -5.371273, ' two': -3.1577425}
{' number': -6.164664, ' 1': -1.3378946, ' 2': -0.36932197, ' one': -5.4601927, ' two': -3.2720144}
{' number': -6.039602, ' 1': -1.6702615, ' 2': -0.27579886, ' one': -5.654242, ' two': -3.098608}
{' #': -6.3985085, ' 1': -1.1143315, ' 2': -0.46033025, ' one': -5.3279657, ' two': -3.4277585}
{' number': -6.1059117, ' 1': -1.8698895, ' 2': -0.2478878, ' one': -5.509379, ' two': -2.8637457}
{' number': -6.156357, ' 1': -1.8631841, ' 2': -0.24171458, ' one': -5.5996456, ' two': -2.96315}
{' 2': -0.29152858, ' 1': -1.6444014, ' two': -2.9884677, ' one': -5.456716, ' #': -5.971516}
{' number': -6.020202, ' 1': -1.590929, ' 2': -0.30883795, ' one': -5.3349915, ' two': -2.9478915}
{' number': -5.98696, ' 1': -1.9166343, ' 2': -0.23005743, ' one': -5.7242265, ' two': -2.9886746}
{' number': -6.0858865, ' 1': -1.3339331, ' 2': -0.39207676, ' one': -5.105772, ' two': -2.9915657}
{' #': -5.9749036, ' 1': -1.4837238, ' 2': -0.33097553, ' one': -5.397808, ' two': -3.093619}
{' #': -6.0067058, ' 1': -1.2258383, ' 2': -0.42753473, ' one': -5.077753, ' two': -3.1425405}
{' number': -5.97342, ' 1': -1.3534027, ' 2': -0.38250878, ' one': -5.107486, ' two': -3.0260193}
{' #': -5.981119, ' 1': -1.1176083, ' 2': -0.4769051, ' one': -4.989385, ' two': -3.2089074}
{' 2': -0.40216187, ' 1': -1.3134243, ' two': -2.9881604, ' one': -5.0175695, ' #': -5.916483}
{' #': -5.963284, ' 1': -1.1823068, ' 2': -0.44665757, ' one': -4.996674, ' two': -3.1713772}
{' #': -5.888567, ' 1': -1.3932184, ' 2': -0.36414838, ' one': -5.228937, ' two': -3.074546}
{' #': -5.8963037, ' 1': -1.4372851, ' 2': -0.34721822, ' one': -5.259147, ' two': -3.0964515}
{' 2': -0.27122056, ' 1': -1.7422727, ' two': -2.939401, ' one': -5.438562, ' number': -5.9237432}
{' #': -6.024151, ' 1': -1.751181, ' 2': -0.26371044, ' one': -5.52877, ' two': -3.0026765}
{' #': -5.898676, ' 1': -1.3562258, ' 2': -0.37653732, ' one': -5.2414155, ' two': -3.0925195}
{' #': -5.9542265, ' 1': -1.3576488, ' 2': -0.37982175, ' one': -5.1598225, ' two': -3.0423849}
{' 2': -0.3303477, ' 1': -1.5207487, ' two': -2.9508462, ' one': -5.2229543, ' number': -5.954361}
{' #': -5.9759064, ' 1': -1.112425, ' 2': -0.48189554, ' one': -4.9465313, ' two': -3.1834412}
{' #': -5.936908, ' 1': -1.0737844, ' 2': -0.50698525, ' one': -4.8926854, ' two': -3.141661}
{' #': -5.9196463, ' 1': -1.3023721, ' 2': -0.39756203, ' one': -5.1128664, ' two': -3.1034105}
{' number': -5.9046617, ' 1': -2.0007539, ' 2': -0.22563407, ' one': -5.604507, ' two': -2.851578}
{' #': -5.941718, ' 1': -1.5296836, ' 2': -0.32307014, ' one': -5.3135324, ' two': -3.0064368}
{' number': -5.929787, ' 1': -1.8331262, ' 2': -0.25085655, ' one': -5.567177, ' two': -2.937998}
{' number': -6.0016747, ' 1': -1.7105107, ' 2': -0.2796121, ' one': -5.418783, ' two': -2.9270806}
{' 2': -0.20230384, ' 1': -2.1204214, ' two': -2.8955696, ' one': -5.802665, ' number': -6.001147}
{' #': -5.874995, ' 1': -1.6168371, ' 2': -0.3024204, ' one': -5.3526444, ' two': -2.9518402}
{' number': -5.975179, ' 1': -1.8842027, ' 2': -0.24600382, ' one': -5.5025315, ' two': -2.8655639}
{' number': -5.9948845, ' 1': -1.6464353, ' 2': -0.29482895, ' one': -5.340321, ' two': -2.9419634}
{' #': -5.82234, ' 1': -1.8940016, ' 2': -0.23850885, ' one': -5.5807524, ' two': -2.9484203}
{' #': -5.996595, ' 1': -1.8837343, ' 2': -0.24169795, ' one': -5.558833, ' two': -2.9236283}
{' #': -5.8373327, ' 1': -1.8645078, ' 2': -0.24443263, ' one': -5.5803127, ' two': -2.9457228}
{' 2': -0.20762745, ' 1': -2.0488083, ' two': -2.982337, ' one': -5.7909694, ' #': -5.974878}
{' number': -5.81641, ' #': -5.9123726, ' 1': -2.3123116, ' 2': -0.18000275, ' two': -2.8598597}
{' 2': -0.19214141, ' 1': -2.1498687, ' two': -2.9674118, ' one': -5.9588337, ' #': -6.1861134}
{' number': -5.956442, ' 1': -1.138576, ' 2': -0.48157054, ' one': -4.873626, ' two': -3.0053554}
{' number': -6.086654, ' 1': -1.2332975, ' 2': -0.4284498, ' one': -5.0443563, ' two': -3.0668488}
{' number': -5.9434004, ' 1': -0.97916174, ' 2': -0.55783796, ' one': -4.9278812, ' two': -3.2225184}
{' number': -5.9749093, ' 1': -0.95466346, ' 2': -0.57308495, ' one': -4.8819017, ' two': -3.2451353}
{' number': -5.972414, ' 1': -1.3381101, ' 2': -0.3848324, ' one': -5.2375507, ' two': -3.0599}
{' 2': -0.62142307, ' 1': -0.89557785, ' two': -3.198888, ' one': -4.6994524, ' number': -6.0358486}
{' number': -5.925819, ' 1': -1.0321656, ' 2': -0.5276356, ' one': -4.9672422, ' two': -3.1710927}
{' number': -5.9494953, ' 1': -0.8252212, ' 2': -0.6711609, ' one': -4.6816893, ' two': -3.3078642}
{' 2': -0.6225619, ' 1': -0.883039, ' two': -3.3055167, ' one': -4.7829337, ' number': -5.946509}
{' 2': -0.69052166, ' 1': -0.79950565, ' two': -3.350687, ' one': -4.6812325, ' number': -5.959376}
{' #': -6.0659027, ' 1': -0.7874408, ' 2': -0.7052836, ' one': -4.606582, ' two': -3.3180401}
{' #': -6.132116, ' 1': -0.8931667, ' 2': -0.6135456, ' one': -4.7355356, ' two': -3.3277292}
{' #': -5.986037, ' 1': -0.87671185, ' 2': -0.6265439, ' one': -4.774962, ' two': -3.330302}
{' 2': -0.48427585, ' 1': -1.1108189, ' two': -3.1622944, ' one': -4.9292297, ' number': -5.921859}
{' number': -5.921931, ' 1': -1.2525909, ' 2': -0.42020473, ' one': -5.0653014, ' two': -3.0766718}
{' number': -5.9983373, ' 1': -1.1977206, ' 2': -0.4477703, ' one': -4.9765677, ' two': -3.0523176}
{' 2': -0.30685654, ' 1': -1.644152, ' two': -2.8050444, ' one': -5.289841, ' number': -5.8824067}
{' 2': -0.5764208, ' 1': -0.9566164, ' two': -3.204125, ' one': -4.807831, ' number': -5.8896604}
{' 2': -0.5424507, ' 1': -1.0093982, ' two': -3.1833367, ' one': -4.848948, ' number': -5.9378552}
{' 2': -0.5623168, ' 1': -0.9726925, ' two': -3.2384603, ' one': -4.806169, ' number': -5.9912977}
{' 2': -0.74088436, ' 1': -0.74251515, ' two': -3.4158394, ' one': -4.634622, ' #': -6.066475}
{' 2': -0.28573984, ' 1': -1.7342167, ' two': -2.7847154, ' one': -5.301827, ' number': -5.9557056}
{' number': -5.8555784, ' 1': -1.1656953, ' 2': -0.46010026, ' one': -5.0242424, ' two': -3.096119}
{' 2': -0.50269204, ' 1': -1.0777577, ' two': -3.1547992, ' one': -4.9380546, ' number': -5.9493694}
{' number': -5.881594, ' 1': -1.0303804, ' 2': -0.52683073, ' one': -4.948433, ' two': -3.2108285}
{' number': -5.964166, ' 1': -1.3004028, ' 2': -0.4046756, ' one': -5.0783577, ' two': -3.0144184}
{' number': -5.880651, ' 1': -1.3229254, ' 2': -0.39407146, ' one': -5.1964517, ' two': -3.0245128}
{' number': -5.8613296, ' 1': -1.2080404, ' 2': -0.44353494, ' one': -5.0522165, ' two': -3.0429993}
{' number': -5.8944125, ' 1': -1.1709877, ' 2': -0.45972407, ' one': -4.973724, ' two': -3.0719635}
{' number': -5.937407, ' 1': -1.090013, ' 2': -0.49791273, ' one': -4.908066, ' two': -3.1352856}
{' number': -5.933717, ' 1': -1.271438, ' 2': -0.41351253, ' one': -5.0818567, ' two': -3.059398}
{' number': -6.0065045, ' 1': -1.4391395, ' 2': -0.35310665, ' one': -5.193303, ' two': -2.994943}
{' #': -5.9269624, ' 1': -1.2341205, ' 2': -0.42510524, ' one': -5.143217, ' two': -3.1244977}
{' 2': -0.37072754, ' 1': -1.369604, ' two': -3.0925958, ' one': -5.273942, ' number': -5.933731}
{' number': -5.8763857, ' 1': -2.030152, ' 2': -0.21637434, ' one': -5.7631245, ' two': -2.902867}
{' number': -6.167439, ' 1': -1.3439947, ' 2': -0.3736102, ' one': -5.360457, ' two': -3.1712992}
{' number': -5.914852, ' 1': -1.2271332, ' 2': -0.44291532, ' one': -4.882314, ' two': -2.9587862}
{' number': -5.9517717, ' 1': -1.0630898, ' 2': -0.5121007, ' one': -4.8468986, ' two': -3.1596723}
{' number': -5.8193135, ' 1': -1.1329492, ' 2': -0.4770216, ' one': -5.025213, ' two': -3.1039822}
{' number': -5.968967, ' 1': -0.977039, ' 2': -0.5612904, ' one': -4.8065734, ' two': -3.2228582}
{' number': -5.8720746, ' 1': -1.4684341, ' 2': -0.34304315, ' one': -5.3473125, ' two': -3.0055184}
{' number': -5.9514914, ' 1': -0.9130871, ' 2': -0.6126741, ' one': -4.614068, ' two': -3.177314}
{' number': -5.853164, ' 1': -1.1696424, ' 2': -0.4596567, ' one': -5.035718, ' two': -3.0818796}
{' 2': -0.6547248, ' 1': -0.84621686, ' two': -3.3228555, ' one': -4.632029, ' #': -5.86811}
{' 2': -0.53726876, ' 1': -1.0268661, ' two': -3.1406698, ' one': -4.8192873, ' number': -5.805133}
{' number': -5.926528, ' 1': -1.064324, ' 2': -0.5116564, ' one': -4.8881927, ' two': -3.154692}
{' #': -5.872987, ' 1': -0.9174338, ' 2': -0.6102058, ' one': -4.5883574, ' two': -3.1815348}
{' #': -5.9654956, ' 1': -1.1045163, ' 2': -0.49081928, ' one': -4.8533344, ' two': -3.1391745}
{' 2': -0.37832716, ' 1': -1.3705032, ' two': -3.0137467, ' one': -5.1056237, ' number': -5.8721223}
{' number': -5.859603, ' 1': -1.3233483, ' 2': -0.39290547, ' one': -5.087185, ' two': -3.0651543}
{' number': -5.8272142, ' 1': -1.5719174, ' 2': -0.31681916, ' one': -5.231522, ' two': -2.9419239}
{' #': -5.9614673, ' 1': -1.243017, ' 2': -0.42728585, ' one': -4.9879785, ' two': -3.0559573}
{' number': -5.786081, ' 1': -1.1782926, ' 2': -0.4590028, ' one': -4.9609356, ' two': -3.0535138}
{' 2': -0.42797932, ' 1': -1.2491503, ' two': -3.0246053, ' one': -4.955025, ' number': -5.827692}
{' number': -5.898477, ' 1': -1.1881702, ' 2': -0.45106772, ' one': -4.9524865, ' two': -3.088717}
{' number': -5.873533, ' 1': -0.9724904, ' 2': -0.56658745, ' one': -4.7692556, ' two': -3.2129784}
{' number': -5.8361335, ' 1': -1.0033891, ' 2': -0.5545633, ' one': -4.7078414, ' two': -3.119562}
{' number': -5.8710837, ' 1': -1.2253777, ' 2': -0.43610337, ' one': -4.945398, ' two': -3.0594363}
{' number': -5.801861, ' 1': -1.3203855, ' 2': -0.39757967, ' one': -5.09251, ' two': -3.0190985}
{' number': -5.8793135, ' 1': -1.0451542, ' 2': -0.5253445, ' one': -4.8497252, ' two': -3.136976}
{' number': -5.857149, ' 1': -1.3412875, ' 2': -0.38511822, ' one': -5.1906495, ' two': -3.062452}
{' #': -5.8680468, ' 1': -1.5882152, ' 2': -0.31344852, ' one': -5.2533603, ' two': -2.9240978}
{' number': -5.8921185, ' 1': -1.5597783, ' 2': -0.31540698, ' one': -5.3532295, ' two': -2.9943979}
{' #': -5.8313046, ' 1': -1.3608546, ' 2': -0.38685933, ' one': -5.121536, ' two': -2.9495232}
{' #': -5.790957, ' 1': -1.5173293, ' 2': -0.33592707, ' one': -5.25412, ' two': -2.909814}
{' #': -5.883583, ' 1': -1.4526047, ' 2': -0.350737, ' one': -5.1650486, ' two': -2.9870894}
{' number': -5.8421965, ' 1': -1.6587839, ' 2': -0.29681894, ' one': -5.243251, ' two': -2.8935177}
{' 2': -0.31807092, ' 1': -1.5650344, ' two': -2.9473338, ' one': -5.2337914, ' #': -5.9155483}
{' number': -5.8114047, ' 1': -1.7325577, ' 2': -0.27839878, ' one': -5.3517704, ' two': -2.8957732}
{' number': -5.891709, ' 1': -1.6760935, ' 2': -0.28458157, ' one': -5.455892, ' two': -2.9828541}
{' number': -5.749939, ' 1': -1.9700172, ' 2': -0.23133333, ' one': -5.6518188, ' two': -2.8595548}
{' #': -6.0375075, ' 1': -1.4543062, ' 2': -0.3376281, ' one': -5.390685, ' two': -3.1331124}
{' #': -5.732288, ' 1': -1.017044, ' 2': -0.5314139, ' one': -4.9730606, ' two': -3.2743566}
{' #': -5.9647174, ' 1': -1.4832151, ' 2': -0.32952467, ' one': -5.4065423, ' two': -3.1197448}
{' 2': -0.4092973, ' 1': -1.2626337, ' two': -3.1676552, ' one': -5.3019776, ' #': -5.8577757}
{' 2': -0.38443908, ' 1': -1.3253666, ' two': -3.1512008, ' one': -5.289331, ' #': -5.8366637}
{' #': -5.8492637, ' 1': -1.4638245, ' 2': -0.33264086, ' one': -5.5491967, ' two': -3.1761107}
{' #': -5.851696, ' 1': -0.86371654, ' 2': -0.63454854, ' one': -4.8241825, ' two': -3.3653262}
{' #': -5.8208885, ' 1': -1.1176263, ' 2': -0.4758225, ' one': -5.142703, ' two': -3.2267377}
{' #': -5.7940917, ' 1': -1.0010403, ' 2': -0.54201597, ' one': -4.935889, ' two': -3.2798603}
{' #': -5.743193, ' 1': -1.1084942, ' 2': -0.48196647, ' one': -5.0472493, ' two': -3.2289374}
{' #': -5.79568, ' 1': -1.1193783, ' 2': -0.47433773, ' one': -5.109379, ' two': -3.2418375}
{' #': -5.905974, ' 1': -1.162178, ' 2': -0.45988077, ' one': -4.983362, ' two': -3.1348073}
{' #': -5.7911334, ' 1': -1.1669579, ' 2': -0.45260048, ' one': -5.086293, ' two': -3.2056043}
{' #': -5.6114244, ' 1': -1.2410758, ' 2': -0.4170459, ' one': -5.1999464, ' two': -3.2173693}
{' #': -5.7558846, ' 1': -1.3067954, ' 2': -0.3900263, ' one': -5.2528057, ' two': -3.1971607}
{' #': -5.8487577, ' 1': -1.5409931, ' 2': -0.31642386, ' one': -5.406615, ' two': -3.0669484}
{' #': -5.795251, ' 1': -1.6663214, ' 2': -0.2884796, ' one': -5.3696094, ' two': -2.973124}
{' 2': -0.4792262, ' 1': -1.1077757, ' two': -3.2593546, ' one': -5.099828, ' #': -5.8298483}
{' #': -5.7889786, ' 1': -1.0716728, ' 2': -0.50477636, ' one': -4.989489, ' two': -3.1990337}
{' 2': -0.46073252, ' 1': -1.1557628, ' two': -3.175248, ' one': -5.017763, ' #': -5.793202}
{' 2': -0.5327002, ' 1': -1.0136305, ' two': -3.2949145, ' one': -4.9455495, ' #': -5.839537}
{' #': -5.81602, ' 1': -0.9605362, ' 2': -0.56853026, ' one': -4.885023, ' two': -3.2870624}
{' 2': -0.4336373, ' 1': -1.2101572, ' two': -3.178268, ' one': -5.120754, ' #': -5.796166}
{' #': -5.7972064, ' 1': -1.19252, ' 2': -0.44096363, ' one': -5.1432714, ' two': -3.1938305}
{' #': -5.7781253, ' 1': -1.2858855, ' 2': -0.40055344, ' one': -5.2381215, ' two': -3.1643834}
{' #': -5.810818, ' 1': -1.364695, ' 2': -0.36878434, ' one': -5.3809233, ' two': -3.1655505}
{' #': -5.7628493, ' 1': -1.3591347, ' 2': -0.3740159, ' one': -5.2748423, ' two': -3.1237278}
{' 2': -0.45894325, ' 1': -1.1453866, ' two': -3.282603, ' one': -5.1788244, ' #': -5.56842}
{' #': -5.7649, ' 1': -1.3860295, ' 2': -0.36733374, ' one': -5.2488093, ' two': -3.0802548}
{' 2': -0.44438067, ' 1': -1.186799, ' two': -3.1941097, ' one': -5.122849, ' #': -5.587766}
{' #': -5.7408915, ' 1': -1.3639582, ' 2': -0.36918047, ' one': -5.3372707, ' two': -3.1668813}
{' #': -5.5332246, ' 1': -1.2657336, ' 2': -0.4098528, ' one': -5.1860805, ' two': -3.1769197}
{' #': -5.7573075, ' 1': -1.4785671, ' 2': -0.33253297, ' one': -5.4074516, ' two': -3.113142}
{' #': -5.6509266, ' 1': -1.4391153, ' 2': -0.34622929, ' one': -5.390434, ' two': -3.120567}
{' 2': -0.39097401, ' 1': -1.2974014, ' two': -3.2487104, ' one': -5.3282747, ' #': -5.573437}
{' 2': -0.24685107, ' 1': -1.8119966, ' two': -3.0841749, ' one': -5.7326818, ' #': -5.7554116}
{' #': -5.834239, ' 1': -1.3968453, ' 2': -0.34760523, ' one': -5.546902, ' two': -3.2984622}
{' 2': -0.37466305, ' 1': -1.3816631, ' two': -3.0026345, ' one': -5.0783777, ' number': -5.9473867}
{' #': -5.848272, ' 1': -1.3780929, ' 2': -0.36495697, ' one': -5.2342515, ' two': -3.14808}
{' #': -5.7817864, ' 1': -1.3531089, ' 2': -0.37483746, ' one': -5.2147875, ' two': -3.1469378}
{' 2': -0.34852302, ' 1': -1.4325569, ' two': -3.0973537, ' one': -5.257087, ' number': -5.985943}
{' 2': -0.26393712, ' 1': -1.7363874, ' two': -3.0720654, ' one': -5.553293, ' number': -5.8917036}
{' #': -6.038311, ' 1': -1.2612439, ' 2': -0.41684538, ' one': -4.983844, ' two': -3.0856419}
{' #': -5.7961235, ' 1': -1.4439454, ' 2': -0.3436398, ' one': -5.300081, ' two': -3.1225383}
{' #': -5.7956033, ' 1': -1.120651, ' 2': -0.47550744, ' one': -4.953483, ' two': -3.229694}
{' #': -5.706982, ' 1': -1.20016, ' 2': -0.438876, ' one': -5.005294, ' two': -3.1886125}
{' #': -5.777933, ' 1': -1.1261961, ' 2': -0.4708445, ' one': -4.9738083, ' two': -3.256695}
{' #': -5.819425, ' 1': -1.2601733, ' 2': -0.4204993, ' one': -4.9299264, ' two': -3.0611567}
{' #': -5.7828484, ' 1': -1.2145919, ' 2': -0.42967597, ' one': -5.0238023, ' two': -3.2135637}
{' #': -5.6968975, ' 1': -1.4418434, ' 2': -0.34893838, ' one': -5.1983376, ' two': -3.0719607}
{' #': -5.6948104, ' 1': -1.3432628, ' 2': -0.37896654, ' one': -5.1518803, ' two': -3.1609716}
{' number': -5.8567214, ' 1': -1.7067697, ' 2': -0.27823237, ' one': -5.350924, ' two': -2.9783857}
{' 2': -0.32622257, ' 1': -1.5205262, ' two': -3.0238314, ' one': -5.239567, ' #': -5.7574263}
{' #': -5.746335, ' 1': -1.2846429, ' 2': -0.40350705, ' one': -5.099911, ' two': -3.1457686}
{' 2': -0.384719, ' 1': -1.3349773, ' two': -3.1177225, ' one': -5.1348987, ' #': -5.7551723}
{' 2': -0.37345234, ' 1': -1.3735381, ' two': -3.0644217, ' one': -5.0959024, ' number': -5.9157968}
{' #': -5.900872, ' 1': -1.1832191, ' 2': -0.44883823, ' one': -4.9455886, ' two': -3.158429}
{' #': -5.7630982, ' 1': -1.071856, ' 2': -0.5043666, ' one': -4.8664594, ' two': -3.2150865}
{' 2': -0.39569482, ' 1': -1.304327, ' two': -3.142429, ' one': -5.078425, ' #': -5.71944}
{' 2': -0.2911328, ' 1': -1.6405952, ' two': -3.0362973, ' one': -5.371383, ' #': -5.7287917}
{' #': -5.725388, ' 1': -1.4013575, ' 2': -0.36011124, ' one': -5.214637, ' two': -3.1062486}
{' number': -5.8837223, ' 1': -1.6901135, ' 2': -0.279059, ' one': -5.4807553, ' two': -3.0148435}
{' #': -5.8548756, ' 1': -1.8500218, ' 2': -0.24923365, ' one': -5.454572, ' two': -2.9281924}
{' #': -5.907519, ' 1': -1.8895841, ' 2': -0.23829703, ' one': -5.5731087, ' two': -2.9673254}
{' #': -5.6795673, ' 1': -1.6185616, ' 2': -0.29902732, ' one': -5.3422, ' two': -3.0118434}
{' #': -5.8827615, ' 1': -1.9413953, ' 2': -0.23283255, ' one': -5.528588, ' two': -2.9081976}
{' #': -5.700061, ' 1': -1.676083, ' 2': -0.28254166, ' one': -5.381549, ' two': -3.027733}
{' #': -5.6982427, ' 1': -1.8273474, ' 2': -0.2521101, ' one': -5.442737, ' two': -2.96658}
{' #': -5.681002, ' 1': -1.666303, ' 2': -0.28224126, ' one': -5.4137506, ' two': -3.0673232}
{' 2': -0.2804415, ' 1': -1.6876909, ' two': -3.0246925, ' one': -5.3984585, ' #': -5.6368985}
{' #': -5.7088695, ' 1': -2.032237, ' 2': -0.20897976, ' one': -5.74454, ' two': -3.0257788}
{' number': -5.799267, ' #': -5.74875, ' 1': -2.2241704, ' 2': -0.18878537, ' two': -2.906652}
{' #': -5.851302, ' 1': -1.821234, ' 2': -0.24624091, ' one': -5.6824713, ' two': -3.0442412}
{' #': -6.101757, ' 1': -0.9470731, ' 2': -0.57106984, ' one': -4.9247007, ' two': -3.3425045}
{' number': -6.0867953, ' 1': -1.2384595, ' 2': -0.4170674, ' one': -5.202938, ' two': -3.1860607}
{' 2': -0.4055041, ' 1': -1.2591094, ' two': -3.2261162, ' one': -5.3061094, ' number': -6.0299473}
{' number': -6.0817766, ' 1': -1.1075696, ' 2': -0.4735689, ' one': -5.1452656, ' two': -3.3124228}
{' number': -5.9641366, ' 1': -1.526902, ' 2': -0.3125065, ' one': -5.541022, ' two': -3.1616352}
{' number': -6.135049, ' 1': -1.0243627, ' 2': -0.5215989, ' one': -4.9972906, ' two': -3.3192253}
{' number': -6.015862, ' 1': -1.2733395, ' 2': -0.3998807, ' one': -5.3114643, ' two': -3.2183506}
{' number': -5.985301, ' 1': -1.1093495, ' 2': -0.47765097, ' one': -5.030799, ' two': -3.2572968}
{' number': -5.9650793, ' 1': -1.1863738, ' 2': -0.44121647, ' one': -5.1094294, ' two': -3.2114744}
{' number': -6.0065255, ' 1': -1.1143862, ' 2': -0.47378412, ' one': -5.0605493, ' two': -3.2702258}
