{' number': -6.164637, ' 1': -1.2105025, ' 2': -0.41595247, ' one': -5.496359, ' two': -3.3839087}
{' 2': -0.056509577, ' two': -3.2466128, ' 1': -4.2585626, ' number': -7.0739055, ' #': -7.174414}
{' number': -6.891568, ' #': -7.258768, ' 1': -4.448533, ' 2': -0.05320304, ' two': -3.2662954}
{' number': -6.869614, ' #': -7.153056, ' 1': -3.8850243, ' 2': -0.07262146, ' two': -3.052039}
{' 2': -0.117507964, ' 1': -2.7202032, ' two': -3.1639442, ' number': -6.8920474, ' one': -7.076122}
{' number': -6.6785617, ' 1': -1.9597735, ' 2': -0.20468478, ' one': -6.3407187, ' two': -3.2157874}
{' number': -6.7462816, ' 1': -2.1019979, ' 2': -0.18562564, ' one': -6.341031, ' two': -3.1436791}
{' number': -7.0506377, ' #': -7.238935, ' 1': -4.920962, ' 2': -0.051789135, ' two': -3.1848016}
{' number': -6.648798, ' 1': -2.567671, ' 2': -0.13236475, ' one': -6.926829, ' two': -3.1256678}
{' number': -6.834666, ' #': -7.146107, ' 1': -4.4321795, ' 2': -0.06257737, ' two': -3.065755}
{' number': -6.794789, ' #': -7.052615, ' 1': -3.0825586, ' 2': -0.0949244, ' two': -3.1706934}
{' number': -6.844328, ' 1': -2.3893046, ' 2': -0.14423896, ' one': -6.7321076, ' two': -3.234771}
{' 2': -0.21501118, ' 1': -1.8866057, ' two': -3.2805343, ' one': -6.3017273, ' number': -6.6440086}
{' number': -6.7379665, ' 1': -2.5575, ' 2': -0.1317912, ' one': -6.8684177, ' two': -3.1538992}
{' number': -6.7338405, ' 1': -0.8337881, ' 2': -0.6290304, ' one': -5.4314957, ' two': -3.6568413}
{' number': -6.7959533, ' 1': -0.2708819, ' 2': -1.5509511, ' one': -4.6172695, ' two': -4.328022}
{' number': -6.978171, ' 1': -1.99701, ' 2': -0.20312387, ' one': -6.213394, ' two': -3.1201255}
{' number': -6.795388, ' 1': -0.6958629, ' 2': -0.7480862, ' one': -5.398626, ' two': -3.851985}
{' number': -6.9239607, ' 1': -0.27804267, ' 2': -1.4981849, ' one': -4.946894, ' two': -4.5929785}
{' 1': -0.31383625, ' 2': -1.3979179, ' two': -4.365554, ' one': -4.889619, ' number': -6.873547}
{' number': -6.8539605, ' 1': -0.42125902, ' 2': -1.1356622, ' one': -5.1317673, ' two': -4.230591}
{' number': -6.8272758, ' 1': -0.3759901, ' 2': -1.2338603, ' one': -5.0762997, ' two': -4.2748795}
{' number': -6.8459573, ' 1': -1.5366453, ' 2': -0.2894949, ' one': -6.113234, ' two': -3.4473164}
{' number': -6.94376, ' 1': -2.3809073, ' 2': -0.13713877, ' one': -6.868466, ' two': -3.4191554}
{' number': -6.8415112, ' 1': -0.5182766, ' 2': -0.96859777, ' one': -5.185084, ' two': -4.073092}
{' 2': -0.17418166, ' 1': -2.1166294, ' two': -3.3209198, ' one': -6.5824943, ' number': -6.958475}
{' number': -6.8141074, ' 1': -1.422159, ' 2': -0.32104263, ' one': -6.0614834, ' two': -3.5417724}
{' number': -6.978976, ' 1': -2.2079842, ' 2': -0.15798892, ' one': -6.6944556, ' two': -3.4083185}
{' number': -6.788122, ' 1': -2.082363, ' 2': -0.17246991, ' one': -6.633267, ' two': -3.4951434}
{' number': -6.8360415, ' 1': -1.7696588, ' 2': -0.23340198, ' one': -6.330306, ' two': -3.3830676}
{' number': -6.8632007, ' 1': -1.8250794, ' 2': -0.22021914, ' one': -6.340006, ' two': -3.4208684}
{' number': -6.740854, ' 1': -1.7007362, ' 2': -0.25086886, ' one': -6.2261972, ' two': -3.3468466}
{' number': -7.000398, ' #': -7.12439, ' 1': -3.419308, ' 2': -0.075161405, ' two': -3.284798}
{' number': -7.0638366, ' #': -7.301076, ' 1': -4.4073462, ' 2': -0.05473314, ' two': -3.2373788}
{' number': -7.035032, ' #': -7.3233027, ' 1': -3.6678402, ' 2': -0.06796794, ' two': -3.264215}
{' 2': -0.08233397, ' 1': -3.2341454, ' two': -3.2850544, ' number': -6.961018, ' #': -7.321705}
{' number': -6.8503647, ' 1': -2.3806214, ' 2': -0.1355749, ' one': -6.880661, ' two': -3.4618666}
{' 2': -0.05039132, ' two': -3.455039, ' 1': -4.1454153, ' number': -7.146095, ' #': -7.3322334}
{' 2': -0.04634749, ' two': -3.378081, ' 1': -4.672402, ' number': -6.95274, ' #': -7.336646}
{' number': -6.9778852, ' #': -7.3045545, ' 1': -4.0016356, ' 2': -0.06390526, ' two': -3.178344}
{' number': -6.942725, ' 1': -2.7582762, ' 2': -0.1096766, ' one': -7.1887703, ' two': -3.2719784}
{' 2': -0.19166039, ' 1': -1.9992911, ' two': -3.3394244, ' one': -6.4854903, ' number': -6.8199763}
{' number': -6.832662, ' 1': -2.1195507, ' 2': -0.1748448, ' one': -6.4994044, ' two': -3.3036177}
{' number': -7.1208444, ' #': -7.362892, ' 1': -4.713778, ' 2': -0.04816324, ' two': -3.313689}
{' number': -6.792247, ' #': -7.0764456, ' 1': -2.7085629, ' 2': -0.11374854, ' two': -3.2690067}
{' 2': -0.056710783, ' two': -3.2116542, ' 1': -4.3542876, ' number': -6.916789, ' #': -7.244978}
{' 2': -0.09602929, ' 1': -2.9436777, ' two': -3.3175886, ' number': -6.8205876, ' #': -7.1682487}
{' number': -6.87848, ' 1': -2.2943063, ' 2': -0.14814618, ' one': -6.750815, ' two': -3.3899024}
{' 2': -0.22047345, ' 1': -1.8232242, ' two': -3.4281833, ' one': -6.391902, ' number': -6.7140336}
{' number': -6.8516393, ' #': -7.1109996, ' 1': -2.7762432, ' 2': -0.108064845, ' two': -3.285841}
{' number': -6.830018, ' 1': -0.82490957, ' 2': -0.62870634, ' one': -5.5746083, ' two': -3.7884831}
{' number': -6.8611016, ' 1': -0.25016907, ' 2': -1.6119912, ' one': -4.7305293, ' two': -4.502345}
{' 2': -0.2327371, ' 1': -1.7943673, ' two': -3.2837029, ' one': -6.186235, ' number': -6.9903607}
{' #': -6.379906, ' 1': -1.1442444, ' 2': -0.44534597, ' one': -5.563304, ' two': -3.3868132}
{' #': -6.528024, ' 1': -0.47706202, ' 2': -1.0445403, ' one': -4.9671474, ' two': -4.036432}
{' #': -6.508625, ' 1': -0.52891093, ' 2': -0.9715206, ' one': -4.9164686, ' two': -3.824674}
{' #': -6.512493, ' 1': -0.59938097, ' 2': -0.86796045, ' one': -5.1044006, ' two': -3.818743}
{' number': -6.505555, ' 1': -0.6952806, ' 2': -0.7566362, ' one': -5.2907434, ' two': -3.740221}
{' #': -6.5076923, ' 1': -2.0120926, ' 2': -0.2013895, ' one': -6.205963, ' two': -3.1307774}
{' 2': -0.09274285, ' 1': -3.1432111, ' two': -3.1639938, ' #': -6.6921844, ' number': -6.743028}
{' 2': -0.7099118, ' 1': -0.7443032, ' two': -3.700213, ' one': -5.233359, ' #': -6.4140368}
{' number': -6.7253585, ' #': -6.7066336, ' 1': -2.6809466, ' 2': -0.12524448, ' two': -3.086012}
{' number': -6.5961657, ' 1': -1.952241, ' 2': -0.2040224, ' one': -6.2689643, ' two': -3.2715573}
{' number': -6.815015, ' #': -6.735316, ' 1': -2.7869391, ' 2': -0.11167501, ' two': -3.1992888}
{' number': -6.594716, ' #': -6.6757226, ' 1': -2.6311877, ' 2': -0.12162992, ' two': -3.2488937}
{' number': -6.698734, ' #': -6.764919, ' 1': -2.5752597, ' 2': -0.1328427, ' two': -3.107839}
{' number': -6.709283, ' #': -6.7496285, ' 1': -2.5402374, ' 2': -0.13320538, ' two': -3.1652088}
{' number': -6.5357356, ' 1': -2.4081392, ' 2': -0.15249734, ' one': -6.5781775, ' two': -3.052945}
{' number': -6.8103566, ' #': -6.8467913, ' 1': -4.2544303, ' 2': -0.062043667, ' two': -3.1361935}
{' number': -6.80967, ' #': -6.96297, ' 1': -5.1393113, ' 2': -0.052918572, ' two': -3.1365688}
{' number': -6.8081803, ' #': -7.012214, ' 1': -4.229375, ' 2': -0.060996007, ' two': -3.1633708}
{' number': -6.7519913, ' #': -6.979312, ' 1': -3.9813485, ' 2': -0.067736186, ' two': -3.1159272}
{' 2': -0.093333565, ' 1': -3.0605993, ' two': -3.2424726, ' number': -6.616319, ' #': -6.8258452}
{' number': -6.95878, ' #': -7.00801, ' 1': -5.232482, ' 2': -0.045771908, ' two': -3.286937}
{' number': -6.7617474, ' #': -7.067543, ' 1': -5.679671, ' 2': -0.042208437, ' two': -3.3307555}
{' 2': -0.05988438, ' two': -3.069003, ' 1': -4.6752944, ' number': -6.7500205, ' #': -7.0200653}
{' 2': -0.07904873, ' two': -3.0788772, ' 1': -3.5980613, ' number': -6.789642, ' #': -6.918484}
{' 2': -0.12996325, ' 1': -2.6237607, ' two': -3.0880146, ' number': -6.56626, ' #': -6.763007}
{' number': -6.6538773, ' 1': -2.6316829, ' 2': -0.13082294, ' one': -6.7422976, ' two': -3.0596826}
{' 2': -0.05144005, ' two': -3.1094596, ' 1': -5.692848, ' number': -6.872436, ' #': -6.9589505}
{' 2': -0.084823474, ' two': -3.0383906, ' 1': -3.4955688, ' number': -6.616558, ' #': -6.734381}
{' number': -6.697308, ' #': -6.9060655, ' 1': -5.2950053, ' 2': -0.058040366, ' two': -3.0171735}
{' number': -6.6953206, ' #': -6.876198, ' 1': -3.781755, ' 2': -0.070146166, ' two': -3.1645212}
{' number': -6.7351394, ' #': -6.7699037, ' 1': -2.9194546, ' 2': -0.104070835, ' two': -3.1785336}
{' 2': -0.14304698, ' 1': -2.432239, ' two': -3.184217, ' number': -6.5452204, ' #': -6.6699996}
{' number': -6.639302, ' #': -6.755088, ' 1': -3.0563552, ' 2': -0.102539815, ' two': -3.055884}
{' number': -6.5685043, ' 1': -1.268322, ' 2': -0.3882922, ' one': -5.6940746, ' two': -3.3723524}
{' number': -6.5069275, ' 1': -0.37383077, ' 2': -1.2648697, ' one': -4.6861305, ' two': -4.049608}
{' 2': -0.14689778, ' 1': -2.4740005, ' two': -3.0219243, ' one': -6.54436, ' #': -6.8569446}
{' #': -6.456992, ' 1': -0.8861633, ' 2': -0.5994354, ' one': -5.276872, ' two': -3.4942832}
{' 1': -0.4089905, ' 2': -1.1773238, ' two': -4.1017165, ' one': -4.801997, ' number': -6.599877}
{' number': -6.567869, ' 1': -0.40680295, ' 2': -1.190912, ' one': -4.709476, ' two': -3.9960325}
{' #': -6.5537715, ' 1': -0.54229665, ' 2': -0.94773984, ' one': -4.982047, ' two': -3.8559866}
{' number': -6.560839, ' 1': -0.5785377, ' 2': -0.8958501, ' one': -5.0875783, ' two': -3.8160732}
{' number': -6.566972, ' 1': -1.6355306, ' 2': -0.2770616, ' one': -5.850811, ' two': -3.1866033}
{' 2': -0.109406926, ' 1': -2.8424237, ' two': -3.1688075, ' number': -6.7575994, ' #': -6.778184}
{' 1': -0.5854336, ' 2': -0.89001805, ' two': -3.8017077, ' one': -4.961704, ' #': -6.464362}
{' number': -6.6847324, ' 1': -2.1581404, ' 2': -0.18100585, ' one': -6.347466, ' two': -3.086153}
{' number': -6.562326, ' 1': -1.6505148, ' 2': -0.2682269, ' one': -5.941684, ' two': -3.2728045}
{' number': -6.688317, ' 1': -2.1282377, ' 2': -0.17938139, ' one': -6.336674, ' two': -3.1989353}
{' number': -6.549045, ' 1': -2.2478533, ' 2': -0.16096005, ' one': -6.503241, ' two': -3.250256}
{' number': -6.6094346, ' 1': -2.2254894, ' 2': -0.17186426, ' one': -6.4313936, ' two': -3.086045}
{' number': -6.602133, ' 1': -2.1120052, ' 2': -0.18440828, ' one': -6.2623568, ' two': -3.1510963}
{' number': -6.51678, ' 1': -2.057147, ' 2': -0.19849688, ' one': -6.189885, ' two': -3.0493}
{' number': -6.70333, ' #': -6.871877, ' 1': -3.7001822, ' 2': -0.076818615, ' two': -3.0695667}
{' number': -6.777437, ' #': -7.0246673, ' 1': -4.6061053, ' 2': -0.061017416, ' two': -3.060218}
{' number': -6.7592854, ' #': -7.064162, ' 1': -4.246348, ' 2': -0.06385482, ' two': -3.0970578}
{' number': -6.663009, ' #': -6.9803615, ' 1': -3.474666, ' 2': -0.08475658, ' two': -3.0476527}
{' number': -6.5911655, ' #': -6.8923054, ' 1': -2.9845607, ' 2': -0.09995758, ' two': -3.1868658}
{' number': -6.876911, ' #': -7.004137, ' 1': -4.540083, ' 2': -0.055683617, ' two': -3.187754}
{' 2': -0.051665418, ' two': -3.22676, ' 1': -4.7903852, ' number': -6.6727514, ' #': -7.067311}
{' 2': -0.07436379, ' two': -2.939827, ' 1': -4.1233654, ' number': -6.685518, ' #': -6.976858}
{' number': -6.686372, ' #': -6.906519, ' 1': -3.0278876, ' 2': -0.106198125, ' two': -3.0119925}
{' number': -6.5613766, ' 1': -2.3181286, ' 2': -0.16087931, ' one': -6.4854546, ' two': -3.079872}
{' number': -6.6000986, ' 1': -2.4236846, ' 2': -0.15266189, ' one': -6.454991, ' two': -3.0199618}
{' number': -6.868448, ' #': -7.0285087, ' 1': -5.2553554, ' 2': -0.0545767, ' two': -3.0843961}
{' number': -6.5711513, ' #': -6.7563148, ' 1': -3.1881368, ' 2': -0.09807987, ' two': -3.0187588}
{' number': -6.67252, ' #': -6.924121, ' 1': -4.818198, ' 2': -0.06332355, ' two': -2.9807086}
{' 2': -0.077057496, ' two': -3.105824, ' 1': -3.6291203, ' number': -6.6616063, ' #': -6.894961}
{' number': -6.6697226, ' #': -6.790268, ' 1': -2.7570353, ' 2': -0.11908258, ' two': -3.0955954}
{' number': -6.4661174, ' 1': -2.0245042, ' 2': -0.19653748, ' one': -6.25632, ' two': -3.182221}
{' number': -6.606625, ' #': -6.8236146, ' 1': -3.0023706, ' 2': -0.10740089, ' two': -3.0202675}
{' number': -6.5414634, ' 1': -1.0686496, ' 2': -0.48242018, ' one': -5.4887104, ' two': -3.4322684}
{' number': -6.5687313, ' 1': -0.2716565, ' 2': -1.5634027, ' one': -4.456213, ' two': -4.2630982}
{' number': -6.773645, ' 1': -2.1254015, ' 2': -0.19132914, ' one': -6.1135454, ' two': -2.991336}
{' #': -6.1870084, ' 1': -0.82376647, ' 2': -0.649984, ' one': -5.1763816, ' two': -3.5166202}
{' #': -6.4103427, ' 1': -0.40738314, ' 2': -1.1820318, ' one': -4.785866, ' two': -4.1118584}
{' #': -6.379563, ' 1': -0.41770327, ' 2': -1.1711918, ' one': -4.701143, ' two': -3.9668689}
{' #': -6.34828, ' 1': -0.48344764, ' 2': -1.0430943, ' one': -4.8612475, ' two': -3.92032}
{' #': -6.411405, ' 1': -0.4995345, ' 2': -1.0152053, ' one': -4.9369674, ' two': -3.8956776}
{' #': -6.3132973, ' 1': -1.4953969, ' 2': -0.31434748, ' one': -5.761697, ' two': -3.2438824}
{' number': -6.6625233, ' #': -6.5579166, ' 1': -2.8049514, ' 2': -0.11163994, ' two': -3.1843688}
{' 1': -0.68572223, ' 2': -0.77501863, ' two': -3.6726758, ' one': -5.0347457, ' #': -6.258081}
{' #': -6.468598, ' 1': -2.287856, ' 2': -0.16436486, ' one': -6.4565163, ' two': -3.09159}
{' #': -6.4493017, ' 1': -1.6507381, ' 2': -0.26922083, ' one': -5.928436, ' two': -3.2654061}
{' #': -6.475315, ' 1': -1.979616, ' 2': -0.2026292, ' one': -6.1973763, ' two': -3.212944}
{' number': -6.4600835, ' #': -6.4484944, ' 1': -2.3212314, ' 2': -0.15305106, ' two': -3.2425191}
{' 2': -0.15724625, ' 1': -2.340754, ' two': -3.1042655, ' number': -6.5502114, ' one': -6.557145}
{' #': -6.4648857, ' 1': -1.9936724, ' 2': -0.20242222, ' one': -6.171437, ' two': -3.1747863}
{' 2': -0.24351859, ' 1': -1.8033042, ' two': -3.0925744, ' one': -5.987389, ' number': -6.365588}
{' number': -6.553495, ' #': -6.5230403, ' 1': -3.2807536, ' 2': -0.09175461, ' two': -3.0693622}
{' number': -6.6712666, ' #': -6.7473593, ' 1': -4.5879116, ' 2': -0.06066731, ' two': -3.080372}
{' number': -6.671328, ' #': -6.810632, ' 1': -3.8959134, ' 2': -0.07056951, ' two': -3.1008143}
{' number': -6.569649, ' #': -6.7322216, ' 1': -3.3199284, ' 2': -0.0906556, ' two': -3.0530713}
{' number': -6.501388, ' #': -6.592928, ' 1': -2.8104515, ' 2': -0.10943433, ' two': -3.2286663}
{' number': -6.810519, ' #': -6.778098, ' 1': -4.4519815, ' 2': -0.056340255, ' two': -3.2044303}
{' number': -6.5345664, ' #': -6.7605877, ' 1': -4.4254336, ' 2': -0.05714772, ' two': -3.2026613}
{' 2': -0.07487326, ' two': -3.0069983, ' 1': -3.9290602, ' number': -6.5629582, ' #': -6.756175}
{' number': -6.604488, ' #': -6.661121, ' 1': -2.6889696, ' 2': -0.12533858, ' two': -3.0778987}
{' number': -6.411318, ' 1': -2.18544, ' 2': -0.17869957, ' one': -6.3321824, ' two': -3.075407}
{' #': -6.500595, ' 1': -2.2730103, ' 2': -0.1686916, ' one': -6.3191113, ' two': -3.0513248}
{' number': -6.7663193, ' #': -6.784161, ' 1': -5.2283897, ' 2': -0.055606928, ' two': -3.0743368}
{' number': -6.4531655, ' #': -6.479075, ' 1': -3.0953372, ' 2': -0.10234118, ' two': -3.034779}
{' number': -6.552377, ' #': -6.6706104, ' 1': -4.4015517, ' 2': -0.06976857, ' two': -2.9549859}
{' number': -6.499068, ' #': -6.614454, ' 1': -3.1077194, ' 2': -0.098417535, ' two': -3.0941355}
{' number': -6.5869446, ' #': -6.5354743, ' 1': -2.62345, ' 2': -0.12782556, ' two': -3.1385825}
{' number': -6.43394, ' 1': -2.1818724, ' 2': -0.1735183, ' one': -6.4014716, ' two': -3.1813002}
{' number': -6.489317, ' #': -6.536437, ' 1': -2.8721352, ' 2': -0.114511736, ' two': -3.0452597}
{' number': -6.432362, ' 1': -0.97368073, ' 2': -0.53912574, ' one': -5.3771973, ' two': -3.4705677}
{' number': -6.4366455, ' 1': -0.30722848, ' 2': -1.4516795, ' one': -4.4896965, ' two': -4.149689}
{' #': -6.611712, ' 1': -2.284312, ' 2': -0.17038411, ' one': -6.2669964, ' two': -2.992087}
{' #': -6.0777197, ' 1': -0.68355626, ' 2': -0.77286017, ' one': -5.182982, ' two': -3.7345414}
{' 1': -0.34444806, ' 2': -1.3206139, ' two': -4.330742, ' one': -4.8480034, ' #': -6.2724605}
{' 1': -0.33842948, ' 2': -1.3505144, ' two': -4.1771765, ' one': -4.694424, ' #': -6.284773}
{' #': -6.2615094, ' 1': -0.43155754, ' 2': -1.1297348, ' one': -4.9397745, ' two': -4.086709}
{' #': -6.3361354, ' 1': -0.39222708, ' 2': -1.2082977, ' one': -4.9668536, ' two': -4.1707706}
{' #': -6.2402616, ' 1': -1.367842, ' 2': -0.3469755, ' one': -5.884334, ' two': -3.4348433}
{' number': -6.6060023, ' #': -6.3829336, ' 1': -2.4005716, ' 2': -0.14052923, ' two': -3.3204856}
{' #': -6.1654415, ' 1': -0.50444627, ' 2': -1.0036986, ' one': -4.9635906, ' two': -3.9699152}
{' #': -6.335657, ' 1': -2.0598867, ' 2': -0.18907906, ' one': -6.431814, ' two': -3.2214217}
{' 2': -0.32883468, ' 1': -1.4109479, ' two': -3.5006218, ' one': -5.9756794, ' #': -6.3126383}
{' #': -6.376837, ' 1': -1.9512725, ' 2': -0.20138325, ' one': -6.3706946, ' two': -3.3392482}
{' #': -6.2636375, ' 1': -1.7965943, ' 2': -0.22850753, ' one': -6.2685947, ' two': -3.415567}
{' #': -6.331446, ' 1': -1.6482121, ' 2': -0.26878518, ' one': -6.095454, ' two': -3.280809}
{' #': -6.3576436, ' 1': -1.7268429, ' 2': -0.24728215, ' one': -6.1297097, ' two': -3.3305645}
{' #': -6.258769, ' 1': -1.6138198, ' 2': -0.2801636, ' one': -6.0058227, ' two': -3.24508}
{' 2': -0.09557358, ' 1': -3.0172727, ' two': -3.2561588, ' #': -6.4326973, ' number': -6.63352}
{' number': -6.6888857, ' #': -6.5619807, ' 1': -3.8749175, ' 2': -0.065889165, ' two': -3.2204797}
{' number': -6.6160746, ' #': -6.608439, ' 1': -3.1510835, ' 2': -0.08798279, ' two': -3.268067}
{' 2': -0.11053386, ' 1': -2.8061533, ' two': -3.2085927, ' number': -6.547705, ' #': -6.5522356}
{' number': -6.4548473, ' #': -6.4358253, ' 1': -2.225808, ' 2': -0.1592985, ' two': -3.3636956}
{' number': -6.7786627, ' #': -6.637139, ' 1': -3.4934156, ' 2': -0.07129088, ' two': -3.3388176}
{' number': -6.606138, ' #': -6.7305717, ' 1': -4.1961927, ' 2': -0.05395434, ' two': -3.363629}
{' number': -6.5928106, ' #': -6.6678267, ' 1': -3.6648772, ' 2': -0.07230989, ' two': -3.193474}
{' number': -6.5966005, ' #': -6.5315537, ' 1': -2.3926785, ' 2': -0.14594387, ' two': -3.211526}
{' #': -6.4192696, ' 1': -2.0011392, ' 2': -0.1982387, ' one': -6.363987, ' two': -3.229166}
{' #': -6.335955, ' 1': -1.689508, ' 2': -0.25908422, ' one': -6.0403647, ' two': -3.275716}
{' number': -6.778858, ' #': -6.6737046, ' 1': -4.5342846, ' 2': -0.054340735, ' two': -3.232376}
{' number': -6.42187, ' #': -6.3402834, ' 1': -2.4819772, ' 2': -0.13804214, ' two': -3.199001}
{' number': -6.5729885, ' #': -6.5818954, ' 1': -4.0817175, ' 2': -0.06703483, ' two': -3.1057482}
{' number': -6.477853, ' #': -6.5140676, ' 1': -2.8873932, ' 2': -0.10265288, ' two': -3.2718995}
{' number': -6.5452523, ' #': -6.3956017, ' 1': -2.2736137, ' 2': -0.15478766, ' two': -3.3259494}
{' 2': -0.2573547, ' 1': -1.6825066, ' two': -3.3476539, ' one': -6.1643515, ' #': -6.3008738}
{' 2': -0.13119195, ' 1': -2.5315826, ' two': -3.2403626, ' #': -6.4343147, ' number': -6.5046706}
{' #': -6.3191166, ' 1': -0.7776123, ' 2': -0.67709696, ' one': -5.382112, ' two': -3.7189915}
{' 1': -0.29831553, ' 2': -1.4658303, ' two': -4.2648106, ' one': -4.6389985, ' #': -6.3913736}
{' #': -6.473723, ' 1': -1.810298, ' 2': -0.23525338, ' one': -6.1075354, ' two': -3.1977398}
{' #': -6.260725, ' 1': -1.3269132, ' 2': -0.36943182, ' one': -5.655363, ' two': -3.310508}
{' #': -6.363415, ' 1': -0.6208975, ' 2': -0.84123826, ' one': -5.0579586, ' two': -3.8340378}
{' #': -6.3324227, ' 1': -0.71168363, ' 2': -0.75045425, ' one': -5.0524845, ' two': -3.6101556}
{' #': -6.3269496, ' 1': -0.8311333, ' 2': -0.63847387, ' one': -5.2746468, ' two': -3.5850146}
{' #': -6.410291, ' 1': -0.868477, ' 2': -0.6074831, ' one': -5.3958607, ' two': -3.585041}
{' #': -6.4353275, ' 1': -2.191677, ' 2': -0.17238252, ' one': -6.3877816, ' two': -3.1740627}
{' number': -6.717687, ' #': -6.607241, ' 1': -3.1966817, ' 2': -0.08879468, ' two': -3.199968}
{' 2': -0.49472782, ' 1': -1.0427549, ' two': -3.5092235, ' one': -5.4626784, ' #': -6.287007}
{' number': -6.7285995, ' #': -6.6351833, ' 1': -3.2523994, ' 2': -0.091169596, ' two': -3.0961668}
{' number': -6.561839, ' #': -6.638973, ' 1': -2.5116413, ' 2': -0.13034119, ' two': -3.294182}
{' number': -6.7428293, ' #': -6.674304, ' 1': -3.1514335, ' 2': -0.08854614, ' two': -3.2503576}
{' number': -6.554713, ' #': -6.557117, ' 1': -2.924459, ' 2': -0.10248922, ' two': -3.2201688}
{' 2': -0.10707078, ' 1': -2.9330442, ' two': -3.1067998, ' number': -6.6243258, ' #': -6.6357784}
{' number': -6.676543, ' #': -6.656894, ' 1': -2.7784126, ' 2': -0.114344254, ' two': -3.1635535}
{' number': -6.479792, ' #': -6.548863, ' 1': -2.5519304, ' 2': -0.13748832, ' two': -3.075324}
{' number': -6.7083535, ' #': -6.6745634, ' 1': -4.380168, ' 2': -0.060213823, ' two': -3.1445777}
{' number': -6.694486, ' #': -6.789485, ' 1': -5.2077727, ' 2': -0.053873003, ' two': -3.1147556}
{' number': -6.779525, ' #': -6.9473987, ' 1': -4.8860044, ' 2': -0.053407047, ' two': -3.1674643}
{' number': -6.678353, ' #': -6.8449826, ' 1': -4.410085, ' 2': -0.05978351, ' two': -3.141273}
{' 2': -0.07004534, ' two': -3.2858253, ' 1': -3.601644, ' number': -6.6231074, ' #': -6.790109}
{' number': -6.9112115, ' #': -6.908684, ' 1': -5.575654, ' 2': -0.042966075, ' two': -3.321372}
{' number': -6.6315126, ' #': -6.8786683, ' 1': -5.6018176, ' 2': -0.04361358, ' two': -3.311249}
{' number': -6.6504445, ' #': -6.8717914, ' 1': -5.1177382, ' 2': -0.05585453, ' two': -3.0842052}
{' number': -6.7079864, ' #': -6.7896185, ' 1': -3.5107448, ' 2': -0.08183575, ' two': -3.0838897}
{' number': -6.580327, ' #': -6.7039833, ' 1': -3.4194689, ' 2': -0.08639834, ' two': -3.0623178}
{' 2': -0.10627422, ' 1': -2.989262, ' two': -3.0603242, ' #': -6.622296, ' number': -6.6487794}
{' number': -6.804057, ' #': -6.8459616, ' 1': -5.874527, ' 2': -0.0501428, ' two': -3.1290495}
{' number': -6.565533, ' #': -6.6575975, ' 1': -3.7197747, ' 2': -0.07573384, ' two': -3.0895488}
{' number': -6.618931, ' #': -6.772927, ' 1': -5.4404154, ' 2': -0.056899227, ' two': -3.0304976}
{' number': -6.6204515, ' #': -6.811573, ' 1': -4.3778176, ' 2': -0.05628867, ' two': -3.2337196}
{' number': -6.712449, ' #': -6.6547036, ' 1': -3.3696325, ' 2': -0.08211523, ' two': -3.1874237}
{' number': -6.4595847, ' #': -6.5308194, ' 1': -2.5712159, ' 2': -0.13069835, ' two': -3.1749125}
{' number': -6.6032643, ' #': -6.650343, ' 1': -3.595803, ' 2': -0.07901867, ' two': -3.0940561}
{' number': -6.523501, ' 1': -1.8347167, ' 2': -0.22790709, ' one': -6.1427016, ' two': -3.2447774}
{' 1': -0.45180678, ' 2': -1.1048142, ' two': -3.9070945, ' one': -4.7348933, ' #': -6.4299254}
{' #': -6.703593, ' 1': -2.7599528, ' 2': -0.12283933, ' one': -6.793574, ' two': -3.0218337}
{' #': -6.457258, ' 1': -0.7230436, ' 2': -0.7309649, ' one': -5.1837616, ' two': -3.7087383}
{' #': -6.631181, ' 1': -0.27463853, ' 2': -1.5268301, ' one': -4.6942415, ' two': -4.502679}
{' #': -6.599862, ' 1': -0.3276979, ' 2': -1.3744966, ' one': -4.6910496, ' two': -4.238317}
{' #': -6.5648704, ' 1': -0.42189392, ' 2': -1.1476401, ' one': -4.892381, ' two': -4.1095767}
{' number': -6.583446, ' 1': -0.4589875, ' 2': -1.0758526, ' one': -4.998262, ' two': -4.04614}
{' #': -6.570679, ' 1': -1.4560846, ' 2': -0.31986937, ' one': -5.848771, ' two': -3.3571675}
{' number': -6.7001657, ' 1': -2.3800967, ' 2': -0.1434272, ' one': -6.701264, ' two': -3.2894385}
{' #': -6.5071173, ' 1': -0.4885703, ' 2': -1.0256472, ' one': -4.9418936, ' two': -4.031041}
{' #': -6.68607, ' 1': -2.0866013, ' 2': -0.18393707, ' one': -6.4182954, ' two': -3.2273312}
{' number': -6.5369096, ' 1': -1.3175995, ' 2': -0.36384892, ' one': -5.774898, ' two': -3.4689856}
{' number': -6.6830153, ' 1': -1.8807123, ' 2': -0.21429037, ' one': -6.2403975, ' two': -3.329227}
{' number': -6.503669, ' 1': -1.9753243, ' 2': -0.1958272, ' one': -6.3474207, ' two': -3.3704088}
{' 2': -0.24104823, ' 1': -1.7740053, ' two': -3.2304373, ' one': -6.1202846, ' number': -6.5650544}
{' number': -6.6284294, ' 1': -1.8145242, ' 2': -0.22897963, ' one': -6.1442127, ' two': -3.300696}
