{' No': -12.621933, ' ': -10.259762, ' Yes': -0.0020083846, ' yes': -10.109585, 'Yes': -6.2551475}
{' No': -0.011464039, ' ': -9.542626, ' Generally': -6.6542573, 'No': -4.631343, ' A': -8.678507}
{' No': -0.0063555753, ' ': -10.402218, ' Generally': -12.72385, 'No': -5.0682106, ' A': -12.579597}
{' It': -0.88973075, ' No': -1.165764, ' Generally': -1.5353566, ' That': -3.7673378, ' Go': -4.659807}
{' No': -0.047813393, ' Generally': -3.391323, 'No': -4.7805476, ' A': -6.8971457, ' Yes': -6.1492558}
{' No': -0.005432833, ' ': -10.092762, ' Generally': -11.4885845, 'No': -5.229384, ' A': -12.503413}
{' No': -1.5065589, ' Generally': -2.0092728, 'No': -5.9256735, ' A': -5.304036, ' Yes': -0.4661326}
{' No': -0.006563742, ' ': -9.681145, ' Generally': -9.277429, 'No': -5.058333, ' A': -11.248092}
{' No': -0.0057125054, ' ': -10.139381, ' Generally': -9.353755, 'No': -5.1942406, ' A': -11.960635}
{' ': -10.611348, ' Generally': -9.082427, ' Yes': -0.0014203867, ' yes': -9.944806, 'Yes': -6.7107053}
{' ': -10.854113, ' Generally': -9.209922, ' Yes': -0.001334199, ' yes': -9.746265, 'Yes': -6.7859044}
{' An': -9.528525, ' Generally': -7.754372, ' Yes': -0.002096778, ' yes': -9.634001, 'Yes': -6.533665}
{' An': -8.468469, ' No': -7.5695467, ' Generally': -7.245315, ' Yes': -0.003327861, 'Yes': -6.3792925}
{' Yes': -0.001389707, 'Yes': -6.69176, ' yes': -9.798793, ' An': -10.108966, ' ': -10.541661}
{' An': -9.90826, ' No': -0.01374544, ' ': -9.445966, 'No': -5.5661354, ' Yes': -4.6388807}
{' Generally': -3.7810092, ' Yes': -0.03670662, 'Yes': -5.9057074, ' It': -5.707717, ' Cam': -6.329244}
{' Yes': -0.29817328, ' It': -1.9660121, ' Generally': -2.5560942, ' That': -4.361779, ' No': -5.1101527}
{' It': -0.46068376, ' No': -1.703367, ' That': -2.4742222, ' Generally': -2.942291, ' Yes': -3.6897619}
{' No': -0.108886875, ' Generally': -4.628672, 'No': -4.6786, ' A': -5.39958, ' Yes': -2.5455573}
{' No': -0.005301597, ' ': -10.360394, ' Generally': -11.536158, 'No': -5.2523737, ' A': -11.7576475}
{' That': -3.0811296, ' No': -1.7339199, ' On': -4.942078, ' Generally': -2.111426, ' It': -0.4855506}
{' That': -6.7689877, ' No': -0.03874463, ' Generally': -4.4866858, 'No': -4.214556, ' It': -4.7025175}
{' No': -0.010156075, 'No': -4.6962366, ' Generally': -7.110818, ' A': -9.645182, ' ': -10.061834}
{' No': -0.0054411646, 'No': -5.220947, ' ': -10.882375, ' Generally': -13.02674, ' A': -13.565423}
{' No': -0.6688811, ' It': -1.2406147, ' Generally': -1.8568771, ' That': -4.2692, 'No': -4.903414}
{' No': -0.022239551, ' Generally': -4.3929596, 'No': -4.772335, ' A': -8.084409, ' Yes': -8.095419}
{' No': -0.004287692, ' ': -10.667805, ' Generally': -11.965988, 'No': -5.4619713, ' A': -13.506616}
{' No': -0.25714865, ' Generally': -2.4167175, 'No': -4.8047614, ' A': -5.6308265, ' Yes': -2.1125965}
{' No': -0.0052701375, ' ': -10.1105175, ' Generally': -9.557701, 'No': -5.2723846, ' A': -11.951474}
{' No': -0.005242636, ' ': -10.655819, ' Generally': -9.813032, 'No': -5.2705393, ' A': -12.857237}
{' ': -9.706283, ' Generally': -8.624388, ' Yes': -0.0029612686, ' yes': -9.116988, 'Yes': -5.963345}
{' ': -10.087763, ' Generally': -9.531734, ' Yes': -0.0025538797, ' yes': -9.057619, 'Yes': -6.077348}
{' ': -9.552395, ' Generally': -8.688983, ' Yes': -0.0030908268, ' yes': -9.125793, 'Yes': -5.9170423}
{' ': -9.146808, ' Generally': -9.08985, ' Yes': -0.003630932, ' yes': -8.828731, 'Yes': -5.762133}
{' An': -11.496036, ' ': -9.970356, ' Yes': -0.002405334, ' yes': -9.273452, 'Yes': -6.1019516}
{' No': -2.0984104, ' ': -7.196299, 'No': -6.836622, ' Yes': -0.1367728, 'Yes': -5.821089}
{' Generally': -4.373689, ' A': -6.8278213, ' Yes': -0.021079775, 'Yes': -5.6757984, ' It': -6.819329}
{' That': -4.8669105, ' Generally': -2.8595524, ' A': -5.422067, ' Yes': -0.1778126, ' It': -2.5565758}
{' That': -3.5290759, ' No': -2.3768542, ' Generally': -2.2658007, ' Yes': -0.9881804, ' It': -1.007149}
{' No': -0.74032116, ' Generally': -4.661786, 'No': -5.0661974, ' A': -4.802674, ' Yes': -0.7027807}
{' No': -0.007347672, 'No': -4.938719, ' ': -9.512251, ' A': -10.193703, ' Generally': -10.822632}
{' That': -3.078429, ' No': -2.154225, ' Generally': -2.257245, ' Yes': -4.061591, ' It': -0.39789087}
{' That': -5.8176355, ' No': -0.08899396, ' Generally': -3.8466349, 'No': -3.915, ' It': -3.3321388}
{' No': -0.017189503, ' Generally': -6.4179645, 'No': -4.2719135, ' A': -7.975954, ' Yes': -7.024019}
{' No': -0.009764585, 'No': -4.6413736, ' ': -9.812459, ' Generally': -11.905994, ' A': -12.392157}
{' That': -4.162114, ' No': -0.9993371, ' Generally': -1.80659, ' Yes': -4.8026705, ' It': -0.8930367}
{' No': -0.06559756, ' Generally': -3.7000003, 'No': -4.4247627, ' A': -6.51325, ' Yes': -3.7330744}
{' No': -0.007297956, 'No': -4.9350896, ' ': -9.7108, ' Generally': -11.481595, ' A': -12.470016}
{' No': -4.3527765, ' Generally': -3.931142, ' A': -6.9496017, ' Yes': -0.038655594, 'Yes': -5.8797083}
{' No': -0.010256996, ' ': -8.95744, ' Generally': -8.569312, 'No': -4.625182, ' Yes': -10.193847}
{' No': -0.007477373, 'No': -4.917355, ' Generally': -9.657549, ' ': -9.863701, ' A': -12.286456}
{' ': -10.201538, ' Generally': -10.649345, ' Yes': -0.0017918454, ' yes': -9.933538, 'Yes': -6.392227}
{' Yes': -0.0015142226, 'Yes': -6.558851, ' yes': -9.91657, ' ': -10.595668, ' Generally': -11.07396}
{' ': -9.801318, ' Generally': -10.039056, ' Yes': -0.0017833055, ' yes': -9.83775, 'Yes': -6.430381}
{' No': -8.880842, ' ': -9.354257, ' Yes': -0.0022955814, ' yes': -9.579329, 'Yes': -6.2485933}
{' Yes': -0.0015890829, 'Yes': -6.5120697, ' yes': -9.991828, ' ': -10.087251, ' No': -11.889278}
{' No': -0.4163382, ' Yes': -1.0907042, 'No': -5.781296, 'Yes': -7.1820908, ' ': -7.3601537}
{' No': -6.3868465, ' Generally': -4.549183, ' Yes': -0.018454118, 'Yes': -5.830032, ' It': -6.9116306}
{' That': -4.8399167, ' No': -3.5664012, ' Generally': -2.8480496, ' Yes': -0.19922139, ' It': -2.622731}
{' That': -3.2988296, ' No': -0.51541674, ' Generally': -3.4387944, ' Yes': -3.8235104, ' It': -1.2318283}
{' No': -0.03049065, ' Generally': -7.0407953, 'No': -4.860159, ' A': -7.7077346, ' Yes': -3.8852096}
{' No': -0.005159771, ' ': -9.864445, ' Generally': -12.113175, 'No': -5.2824807, ' A': -12.145545}
{' It': -0.6786351, ' No': -1.1262974, ' Generally': -2.4246125, ' That': -3.0708811, ' Yes': -4.8396287}
{' That': -6.9457216, ' No': -0.027854381, ' Generally': -5.2813716, 'No': -4.169849, ' It': -5.2886095}
{' No': -0.008578655, ' ': -10.050996, ' Generally': -9.079576, 'No': -4.7843523, ' A': -11.354615}
{' No': -0.006403143, 'No': -5.0588894, ' ': -10.651687, ' Generally': -12.866531, ' A': -13.464427}
{' That': -4.5931473, ' No': -0.38500795, ' Generally': -2.3621826, 'No': -4.592985, ' It': -1.6419907}
{' No': -0.009223146, ' ': -9.110648, ' Generally': -6.44237, 'No': -4.957658, ' Yes': -8.07495}
{' No': -0.004238667, ' ': -10.19482, ' Generally': -12.285357, 'No': -5.47654, ' A': -13.737545}
{' No': -1.0436664, ' Generally': -3.8950362, 'No': -5.8057094, ' Yes': -0.4768481, 'Yes': -6.6728816}
{' No': -0.005759802, ' ': -9.656465, ' Generally': -9.737363, 'No': -5.1844225, ' A': -12.104089}
{' No': -0.004721182, ' ': -10.158106, ' Generally': -10.815259, 'No': -5.3718476, ' A': -13.640611}
{' ': -9.515079, ' Generally': -9.187568, ' Yes': -0.0023798815, ' yes': -9.337375, 'Yes': -6.1693354}
{' ': -9.83655, ' Generally': -10.3438425, ' Yes': -0.0018969432, ' yes': -9.343982, 'Yes': -6.3712335}
{' ': -9.2107, ' Generally': -9.485306, ' Yes': -0.0022713847, ' yes': -9.349419, 'Yes': -6.2237873}
{' Yes': -0.0029861992, 'Yes': -6.04848, ' No': -8.518292, ' ': -8.656417, ' yes': -9.102288}
{' An': -12.006335, ' ': -9.644176, ' Yes': -0.0018154328, ' yes': -9.573855, 'Yes': -6.3984885}
{' Yes': -0.29480892, ' No': -1.3828675, 'Yes': -6.35542, 'No': -6.613998, ' ': -6.737983}
{' Generally': -4.783033, ' A': -7.2589545, ' Yes': -0.014031914, 'Yes': -5.821792, ' It': -7.920699}
{' No': -4.896282, ' Generally': -2.7782078, ' A': -5.131378, ' Yes': -0.15440008, ' It': -2.9852698}
{' That': -3.5064137, ' No': -0.8170658, ' Generally': -2.699432, ' Yes': -3.0146477, ' It': -0.9679867}
{' No': -0.17339006, ' Generally': -5.560469, 'No': -4.8367333, ' A': -5.601523, ' Yes': -1.9511857}
{' No': -0.005769994, ' ': -9.479824, ' Generally': -11.8037, 'No': -5.1769047, ' A': -11.018625}
{' That': -3.5594718, ' No': -1.6237687, ' Generally': -1.8171433, ' Yes': -3.5210006, ' It': -0.62308955}
{' That': -7.535148, ' No': -0.035858188, ' Generally': -4.532865, 'No': -4.0829387, ' It': -5.2684016}
{' No': -0.01154797, ' ': -9.375196, ' Generally': -7.4660554, 'No': -4.5462804, ' A': -9.121945}
{' No': -0.006139472, 'No': -5.1043277, ' ': -10.061265, ' A': -13.097023, ' Generally': -13.108373}
{' That': -4.9889665, ' No': -0.54404485, ' Generally': -1.8038238, 'No': -4.5955925, ' It': -1.558039}
{' No': -0.030203788, ' Generally': -4.6243906, 'No': -4.683448, ' A': -7.1205063, ' Yes': -4.6889887}
{' No': -0.005071403, ' ': -9.786737, ' Generally': -12.702674, 'No': -5.2996116, ' A': -13.038513}
{' No': -2.0712938, ' Generally': -3.3680217, ' A': -6.0991864, ' Yes': -0.18492992, 'Yes': -6.155869}
{' No': -0.0065078866, ' ': -9.249659, ' Generally': -9.769451, 'No': -5.0651984, ' A': -11.565368}
{' No': -0.0053549283, 'No': -5.2481394, ' ': -9.857315, ' Generally': -10.654823, ' A': -12.891642}
{' Yes': -0.001837644, 'Yes': -6.4780807, ' Generally': -8.797958, ' yes': -9.56513, ' ': -9.782449}
{' Yes': -0.0015597717, 'Yes': -6.5942907, ' yes': -9.500562, ' Generally': -9.6336355, ' ': -10.273524}
{' ': -9.601978, ' Generally': -8.551667, ' Yes': -0.002121091, ' yes': -9.496702, 'Yes': -6.349422}
{' Yes': -0.0026012075, 'Yes': -6.221111, ' Generally': -8.517464, ' No': -8.916094, ' ': -9.078277}
{' An': -11.8474045, ' ': -10.137675, ' Yes': -0.0016600101, ' yes': -9.651212, 'Yes': -6.4776654}
{' No': -0.7549081, ' ': -7.1359653, 'No': -6.137017, ' Yes': -0.6430479, 'Yes': -6.793576}
{' Generally': -4.034474, ' A': -6.641794, ' Yes': -0.027458727, 'Yes': -5.806526, ' It': -6.4615746}
{' That': -4.3954635, ' Generally': -2.3445263, ' A': -5.0641174, ' Yes': -0.35228723, ' It': -1.8431472}
{' That': -3.1487596, ' No': -1.7628382, ' Generally': -2.269964, ' Yes': -2.311319, ' It': -0.5992601}
{' No': -0.16658726, ' Yes': -2.0561097, ' Generally': -4.5591273, 'No': -4.7432876, ' A': -5.3840823}
{' No': -0.005265043, 'No': -5.268927, ' ': -9.791534, ' Generally': -10.762201, ' A': -10.896318}
{' That': -3.1268399, ' No': -2.3688767, ' Generally': -2.2805057, ' It': -0.33354896, ' This': -4.6850863}
{' That': -6.2596307, ' No': -0.06138311, ' Generally': -4.0038037, 'No': -4.15729, ' It': -3.8769405}
{' No': -0.010754774, 'No': -4.6516504, ' Generally': -6.9925756, ' A': -9.416509, ' ': -9.5539465}
{' No': -0.0059890146, 'No': -5.128517, ' ': -10.254248, ' Generally': -12.322797, ' A': -12.802698}
{' That': -4.284745, ' No': -0.87510586, ' Generally': -1.7347192, 'No': -5.0590277, ' It': -1.0303413}
{' No': -0.027232748, ' Generally': -4.2097964, 'No': -4.7249937, ' A': -7.727168, ' Yes': -6.2117248}
{' No': -0.004657702, ' ': -9.993037, ' Generally': -11.507302, 'No': -5.3850956, ' A': -12.672887}
{' No': -1.9431945, ' Generally': -2.5810254, ' A': -6.1590724, ' Yes': -0.25976104, 'Yes': -6.2237444}
{' No': -0.006268001, 'No': -5.124296, ' Generally': -8.618537, ' ': -9.382902, ' A': -11.111643}
{' No': -0.0047731632, ' ': -10.113696, ' Generally': -10.050779, 'No': -5.366765, ' A': -12.710153}
{' ': -9.575237, ' Generally': -8.591195, ' Yes': -0.0024807383, ' yes': -9.350416, 'Yes': -6.160052}
{' ': -9.959168, ' Generally': -9.659949, ' Yes': -0.0019887928, ' yes': -9.386422, 'Yes': -6.331929}
{' ': -9.302787, ' Generally': -8.78917, ' Yes': -0.0026471047, ' yes': -9.339086, 'Yes': -6.0814185}
{' Yes': -0.0032553812, 'Yes': -5.9465356, ' Generally': -8.702125, ' No': -8.7800665, ' ': -8.825137}
{' An': -12.224445, ' ': -9.786985, ' Yes': -0.0018486318, ' yes': -9.615377, 'Yes': -6.371729}
{' No': -1.0876961, ' ': -6.6481457, 'No': -6.2338195, ' Yes': -0.41873926, 'Yes': -6.3711066}
{' Generally': -3.9951298, ' A': -6.8181443, ' Yes': -0.028111458, 'Yes': -5.614638, ' It': -6.623023}
{' That': -4.733855, ' No': -4.778435, ' Generally': -2.5713508, ' Yes': -0.23462164, ' It': -2.355452}
{' It': -0.5486107, ' No': -1.3325139, ' Generally': -2.7644253, ' That': -3.0539074, ' Yes': -3.8524873}
{' No': -0.06667854, ' Generally': -5.5185905, 'No': -4.6042967, ' A': -6.2486143, ' Yes': -3.046636}
{' No': -0.0069977944, ' ': -9.645029, ' Generally': -11.456222, 'No': -4.978788, ' A': -11.433898}
{' It': -0.45557112, ' No': -1.842635, ' Generally': -2.057973, ' That': -3.4889839, ' Yes': -4.2290196}
{' That': -6.8233275, ' No': -0.053054698, ' Generally': -4.002189, 'No': -3.9029539, ' It': -4.652948}
{' No': -0.012052541, 'No': -4.510952, ' Generally': -7.191362, ' ': -9.417532, ' A': -9.464875}
{' No': -0.007458099, ' ': -10.183081, ' Generally': -12.663642, 'No': -4.908352, ' A': -13.403302}
{' That': -4.488479, ' No': -0.82083297, ' Generally': -1.6928002, 'No': -4.7024364, ' It': -1.1082779}
{' No': -0.019062847, ' ': -8.287405, ' Generally': -4.8917813, 'No': -4.63193, ' Yes': -6.967724}
{' No': -0.005156655, ' ': -9.900273, ' Generally': -12.5617075, 'No': -5.281472, ' A': -13.427632}
{' No': -1.7618886, ' Generally': -2.7826328, 'No': -6.0174656, ' Yes': -0.27919018, 'Yes': -6.0951824}
{' No': -0.007319271, ' ': -9.380774, ' Generally': -9.444714, 'No': -4.9462705, ' A': -11.710307}
{' No': -0.006397805, ' ': -9.893442, ' Generally': -10.499311, 'No': -5.0684323, ' A': -13.075441}
{' Yes': -0.0027674162, 'Yes': -6.1004653, ' Generally': -8.062238, ' yes': -9.26293, ' ': -9.539885}
{' Yes': -0.0021118904, 'Yes': -6.298204, ' Generally': -9.090757, ' yes': -9.260458, ' ': -10.093031}
{' ': -9.307347, ' Generally': -7.8665934, ' Yes': -0.0028586893, ' yes': -9.288308, 'Yes': -6.1017504}
{' No': -8.544282, ' ': -8.753921, ' Generally': -7.6322, ' Yes': -0.0037266526, 'Yes': -5.9303484}
{' An': -11.438373, ' ': -9.773236, ' Yes': -0.0022995837, ' yes': -9.359563, 'Yes': -6.1514845}
{' Yes': -0.65051365, ' No': -0.7504569, 'No': -5.754412, 'Yes': -6.431529, ' ': -6.889739}
{' Generally': -3.8373313, ' A': -6.6971693, ' Yes': -0.03141964, 'Yes': -5.7751865, ' It': -6.5774055}
{' That': -4.1383686, ' Generally': -2.4421005, ' A': -5.3990726, ' Yes': -0.4005699, ' It': -1.6120108}
{' That': -2.5196693, ' No': -3.0478122, ' Generally': -2.9738166, ' Yes': -2.6356688, ' It': -0.3223962}
{' No': -0.35896894, ' Yes': -1.3308679, ' Generally': -4.0455704, 'No': -4.674598, ' A': -4.938019}
{' No': -0.006853992, ' ': -9.527366, ' Generally': -10.359897, 'No': -5.006459, ' A': -10.757034}
{' That': -2.9768062, ' No': -2.8195436, ' Generally': -2.5761087, ' It': -0.27133346, ' This': -4.287222}
{' That': -4.315115, ' No': -0.23857324, ' Generally': -3.4080029, 'No': -3.9100647, ' It': -1.9842778}
{' No': -0.015909594, ' Generally': -6.3149433, 'No': -4.303269, ' A': -8.905317, ' Yes': -9.2247715}
{' No': -0.007663911, ' ': -10.045201, ' Generally': -11.914603, 'No': -4.8824844, ' A': -13.033431}
{' It': -0.34152973, ' Generally': -2.2022, ' No': -2.2597904, ' That': -3.203342, ' This': -5.0941715}
{' No': -0.056093812, ' Generally': -3.4397833, 'No': -4.3944726, ' A': -7.1036572, ' Yes': -4.8690534}
{' No': -0.0061342544, ' ': -9.752416, ' Generally': -11.024835, 'No': -5.110405, ' A': -12.893168}
{' No': -3.1055965, ' Generally': -2.9290314, ' A': -6.598762, ' Yes': -0.112741455, 'Yes': -5.841659}
{' No': -0.00853164, ' ': -9.234739, ' Generally': -8.431398, 'No': -4.8112316, ' A': -11.1478615}
{' No': -0.0063811284, 'No': -5.079871, ' Generally': -9.54952, ' ': -9.781562, ' Typically': -12.7559395}
{' Yes': -0.0022683397, 'Yes': -6.312525, ' Generally': -8.2337265, ' yes': -9.317553, ' ': -9.77906}
{' ': -10.067906, ' Generally': -8.809077, ' Yes': -0.0018418237, ' yes': -9.3044615, 'Yes': -6.4843435}
{' Yes': -0.0028487078, 'Yes': -6.197652, ' Generally': -7.5361333, ' yes': -9.236499, ' ': -9.273303}
{' An': -8.782479, ' No': -8.553416, ' Generally': -7.5112605, ' Yes': -0.0034596163, 'Yes': -6.0924597}
{' An': -10.663248, ' ': -9.815689, ' Yes': -0.0019173673, ' yes': -9.426626, 'Yes': -6.352648}
{' No': -0.9853765, ' ': -7.1646285, 'No': -6.1690555, ' Yes': -0.4751339, 'Yes': -6.5380583}
{' Generally': -3.6237948, ' A': -6.0689907, ' Yes': -0.041327003, 'Yes': -5.7866635, ' Cam': -6.102642}
{' That': -3.7243893, ' Generally': -2.2310653, ' A': -4.6835794, ' Yes': -0.5679679, ' It': -1.3676164}
{' That': -2.5240154, ' No': -2.0792236, ' Generally': -2.8355217, ' Yes': -4.3060856, ' It': -0.3689976}
{' No': -0.1176043, ' Yes': -2.5550833, ' Generally': -4.3054338, 'No': -4.5713625, ' A': -4.8863225}
{' No': -0.0062739383, ' ': -9.57458, ' Generally': -10.310342, 'No': -5.097977, ' A': -10.278849}
{' That': -3.0432873, ' No': -2.3685665, ' Generally': -2.3964822, ' It': -0.33610916, ' This': -4.3279305}
{' That': -5.4399896, ' No': -0.096836254, ' Generally': -3.6457577, 'No': -3.8965495, ' It': -3.3203106}
{' No': -0.01386957, ' ': -9.456716, ' Generally': -6.60604, 'No': -4.412252, ' A': -9.064067}
{' No': -0.0070988806, ' ': -10.242896, ' Generally': -11.482879, 'No': -4.959186, ' A': -12.259824}
{' That': -3.9999197, ' No': -1.3733023, ' Go': -4.8196235, ' Generally': -1.6397742, ' It': -0.7123508}
{' No': -0.06848445, ' Generally': -3.2463388, 'No': -4.5084295, ' A': -6.469054, ' Yes': -4.3759584}
{' No': -0.0055145207, ' ': -9.773825, ' Generally': -10.579706, 'No': -5.220333, ' A': -12.055653}
{' Yes': -0.3405101, ' No': -1.885205, ' Generally': -2.1226528, ' A': -5.481566, 'No': -5.988299}
{' No': -0.0080092, ' ': -9.25378, ' Generally': -8.277264, 'No': -4.88315, ' A': -10.589607}
{' No': -0.0055974144, 'No': -5.212428, ' Generally': -9.56688, ' ': -9.912616, ' A': -12.304078}
{' ': -10.216969, ' Generally': -8.521605, ' Yes': -0.0017264016, ' yes': -9.716713, 'Yes': -6.565143}
{' ': -10.463453, ' Generally': -9.133977, ' Yes': -0.0016016805, ' yes': -9.537608, 'Yes': -6.590053}
{' ': -9.761705, ' Generally': -7.6110616, ' Yes': -0.0023964318, ' yes': -9.443191, 'Yes': -6.387692}
{' No': -9.056843, ' ': -9.286711, ' Generally': -8.022198, ' Yes': -0.0025890775, 'Yes': -6.2813263}
{' Yes': -0.0015770249, 'Yes': -6.533862, ' yes': -9.71597, ' ': -10.273904, ' An': -11.145873}
{' No': -0.6215989, ' ': -7.9139514, 'No': -5.9017596, ' Yes': -0.7795122, 'Yes': -6.952262}
{' Generally': -3.274158, ' Yes': -0.058059253, 'Yes': -5.783572, ' It': -5.389692, ' Cam': -5.907279}
{' That': -3.685685, ' No': -4.815739, ' Generally': -2.1476545, ' Yes': -0.5824784, ' It': -1.3389673}
{' That': -2.402271, ' No': -2.0179956, ' Generally': -2.7575889, ' Yes': -4.424936, ' It': -0.38971668}
{' No': -0.088041894, ' Generally': -4.454928, 'No': -4.580992, ' A': -5.336247, ' Yes': -2.8754048}
{' No': -0.005766518, ' ': -10.187115, ' Generally': -10.395683, 'No': -5.1749997, ' A': -10.846302}
{' That': -3.0914147, ' No': -2.363027, ' Generally': -2.1665397, ' It': -0.3608356, ' This': -4.728088}
{' No': -0.11640983, ' It': -2.9731202, ' Generally': -3.5373504, 'No': -3.944895, ' That': -5.2580457}
{' No': -0.013602776, 'No': -4.441732, ' Generally': -6.5454326, ' A': -9.028556, ' ': -9.675445}
{' No': -0.007214323, ' ': -10.511457, ' Generally': -11.647531, 'No': -4.941376, ' A': -12.384321}
{' No': -0.9647751, ' It': -1.1128006, ' Generally': -1.4393234, ' That': -4.42803, ' Go': -4.9668064}
{' No': -0.042008437, ' Generally': -3.6992505, 'No': -4.6035256, ' Yes': -5.3789544, ' A': -7.253276}
{' No': -0.005384473, 'No': -5.238962, ' ': -10.171925, ' Generally': -10.932738, ' A': -12.394416}
{' No': -3.2031443, ' Generally': -2.6135142, ' A': -5.934695, ' Yes': -0.13114575, 'Yes': -6.064808}
{' No': -0.0077255373, 'No': -4.925425, ' Generally': -8.051578, ' ': -9.6386795, ' A': -10.573676}
{' No': -0.005441644, ' ': -10.285271, ' Generally': -9.590301, 'No': -5.237669, ' A': -12.343695}
{' ': -10.145589, ' Generally': -8.258317, ' Yes': -0.0032248818, ' yes': -9.0406275, 'Yes': -5.894868}
{' ': -10.278789, ' Generally': -8.4787245, ' Yes': -0.002940585, ' yes': -9.01821, 'Yes': -5.9814386}
{' An': -9.607999, ' Generally': -7.517173, ' Yes': -0.0041287136, ' yes': -8.988328, 'Yes': -5.7180696}
{' An': -8.844097, ' No': -8.603838, ' Generally': -7.615057, ' Yes': -0.004476752, 'Yes': -5.6872883}
{' An': -10.249377, ' ': -10.319046, ' Yes': -0.0027050767, ' yes': -9.081856, 'Yes': -5.9987736}
{' An': -8.117661, ' No': -0.22192162, 'No': -4.8574233, ' Yes': -1.6613538, 'Yes': -7.24106}
{' On': -7.0276837, ' Generally': -4.1608796, ' Yes': -0.024479812, 'Yes': -5.5703783, ' It': -6.889792}
{' That': -4.8919606, ' No': -5.4001865, ' Generally': -2.8673496, ' Yes': -0.15536535, ' It': -2.9014516}
{' It': -1.0307449, ' Yes': -1.4036505, ' No': -1.5860045, ' Generally': -2.4702249, ' That': -2.6896937}
{' No': -0.19316417, ' Generally': -5.1487436, 'No': -4.3388762, ' A': -6.044375, ' Yes': -1.8782113}
{' No': -0.0117892455, 'No': -4.453352, ' ': -10.071917, ' Generally': -11.108641, ' A': -11.246298}
{' It': -0.5188585, ' Generally': -1.9965501, ' No': -2.13218, ' That': -2.8798301, ' Yes': -3.4807801}
{' No': -0.076593496, ' Generally': -3.7333047, 'No': -3.735651, ' It': -4.0156593, ' That': -5.868686}
{' No': -0.020473525, ' Generally': -5.9465384, 'No': -4.075807, ' A': -8.542911, ' Yes': -8.32383}
{' No': -0.011036841, ' ': -10.621908, ' Generally': -11.831648, 'No': -4.515721, ' A': -12.761218}
{' That': -3.525979, ' No': -1.0508282, ' Go': -4.501748, ' Generally': -1.6836425, ' It': -0.9841778}
{' No': -0.06911975, ' Generally': -3.2350912, 'No': -4.154891, ' Yes': -4.811387, ' A': -6.8627214}
{' No': -0.009280477, ' ': -10.04831, ' Generally': -10.299706, 'No': -4.6943808, ' A': -12.23476}
{' No': -2.3652637, ' Generally': -2.406476, ' A': -5.835364, ' Yes': -0.22043698, 'Yes': -5.7364564}
{' No': -0.013677579, ' ': -9.540043, ' Generally': -8.007748, 'No': -4.33633, ' Yes': -10.131556}
{' No': -0.011676411, 'No': -4.472057, ' Generally': -8.998992, ' ': -10.225591, ' A': -11.777583}
{' ': -9.021356, ' Generally': -8.908229, ' Yes': -0.0044283154, ' yes': -8.999837, 'Yes': -5.5217543}
{' ': -9.465254, ' Generally': -9.211561, ' Yes': -0.0039655725, ' yes': -8.898557, 'Yes': -5.624811}
{' ': -8.801902, ' Generally': -8.144738, ' Yes': -0.00488385, ' yes': -8.928416, 'Yes': -5.4707575}
{' ': -8.549928, ' Generally': -8.756279, ' Yes': -0.005560912, ' yes': -8.755525, 'Yes': -5.3258576}
{' Yes': -0.0038348874, 'Yes': -5.6634183, ' yes': -8.842879, ' ': -8.898656, ' An': -10.286706}
{' No': -1.1339912, ' ': -6.609611, 'No': -5.16653, ' Yes': -0.40679163, 'Yes': -5.5262203}
{' No': -6.4323707, ' Generally': -4.3559337, ' Yes': -0.02560966, 'Yes': -5.1487346, ' It': -6.7859607}
{' That': -4.940526, ' No': -3.7235293, ' Generally': -3.05141, ' Yes': -0.1563372, ' It': -3.152259}
{' No': -0.3101277, ' Generally': -3.2126963, 'No': -3.715723, ' Yes': -2.665398, ' It': -2.3732858}
{' No': -0.029002596, ' Generally': -6.688552, 'No': -3.94341, ' A': -7.5780687, ' Yes': -4.9903116}
{' No': -0.013870173, ' ': -8.777839, ' Generally': -11.504197, 'No': -4.298631, ' A': -11.416484}
{' That': -2.9375381, ' No': -1.374279, ' Generally': -1.9292107, ' Yes': -3.1509225, ' It': -0.8142166}
{' That': -6.1575975, ' No': -0.07043071, ' Generally': -4.071367, 'No': -3.362207, ' It': -4.671938}
{' No': -0.025202055, ' ': -8.767662, ' Generally': -6.8864613, 'No': -3.7530422, ' A': -9.172106}
{' No': -0.016726095, 'No': -4.104868, ' ': -9.600924, ' Generally': -11.517153, ' A': -12.065618}
{' That': -4.0811725, ' No': -0.6294474, ' Generally': -1.7728934, ' Yes': -3.8168159, ' It': -1.564115}
{' No': -0.041740682, ' Generally': -4.2738914, 'No': -3.902197, ' A': -7.2451344, ' Yes': -5.4208965}
{' No': -0.0144051835, 'No': -4.2593026, ' ': -9.070601, ' Generally': -10.387138, ' A': -11.90432}
{' No': -1.131843, ' Generally': -2.8475566, 'No': -4.9475455, ' Yes': -0.50860167, 'Yes': -5.89219}
{' No': -0.018295845, 'No': -4.0353017, ' ': -8.525503, ' Generally': -8.605936, ' A': -10.621444}
{' No': -0.017758688, '\n': -11.727331, ' ': -8.856923, ' Generally': -9.024146, 'No': -4.0568767}
{' ': -9.883223, ' Generally': -9.281422, ' Yes': -0.0024470973, ' yes': -9.209973, 'Yes': -6.1278152}
