{' No': -0.011050761, ' Not': -12.512437, ' ': -10.515855, ' Generally': -11.123646, 'No': -4.5152335}
{' No': -0.005509425, 'No': -5.285226, ' Generally': -7.9312906, ' ': -10.364499, ' A': -11.494943}
{' No': -0.003494307, ' ': -10.914495, 'No': -5.6649723, ' A': -13.443659, ' no': -13.900012}
{' That': -2.8894677, ' No': -1.885111, ' Generally': -1.9878868, ' Yes': -4.1942596, ' It': -0.5079749}
{' That': -5.9511585, ' No': -0.063694656, ' Generally': -3.723328, 'No': -4.570603, ' It': -3.9201267}
{' No': -0.029776683, ' Generally': -4.1554384, 'No': -4.7640676, ' A': -7.0340223, ' It': -6.336743}
{' No': -0.004988614, ' ': -10.19805, ' Generally': -10.070129, 'No': -5.3234606, ' A': -11.177257}
{' That': -3.2655406, ' No': -2.2410657, ' Go': -3.7894285, ' Generally': -1.7518212, ' It': -0.4809052}
{' No': -0.17728363, ' Generally': -2.2153714, ' It': -3.4479346, 'No': -4.7525015, ' That': -6.214183}
{' No': -0.005297103, ' ': -10.281424, ' Generally': -9.542278, 'No': -5.268868, ' A': -10.840353}
{' No': -0.2264827, ' Generally': -2.4088995, 'No': -4.355635, ' Yes': -3.8316786, ' It': -2.9177134}
{' No': -0.006718669, ' ': -10.395103, ' Generally': -8.500366, 'No': -5.0469675, ' A': -10.948794}
{' No': -0.03533084, ' Generally': -5.735236, 'No': -4.8469534, ' A': -7.2505536, ' Yes': -3.8024719}
{' No': -0.023353506, ' ': -8.737613, ' Generally': -5.8086824, 'No': -4.1065097, ' It': -5.9766135}
{' That': -4.3147326, ' No': -0.26055235, ' Generally': -5.486951, 'No': -3.880614, ' It': -1.6839495}
{' No': -0.014236308, 'No': -4.285646, ' Generally': -8.969566, ' It': -9.279647, ' ': -9.361476}
{' No': -0.0115133, ' ': -9.743105, ' Generally': -10.636006, 'No': -4.4795213, ' It': -11.761774}
{' No': -0.010952892, ' ': -9.546475, ' Generally': -9.746931, 'No': -4.533768, ' A': -11.92132}
{' No': -0.010836294, ' ': -9.634584, 'No': -4.537743, ' A': -12.439245, ' no': -12.320647}
{' No': -0.014451443, 'No': -4.6153593, ' Generally': -5.8793764, ' It': -6.825877, ' Typically': -8.906335}
{' No': -0.015034685, 'No': -4.490123, ' Generally': -6.0339723, ' It': -7.0864644, ' That': -9.106856}
{' No': -0.009861494, ' ': -9.935354, ' Generally': -7.4823575, 'No': -4.7002683, ' It': -10.354948}
{' No': -0.0076646325, ' ': -9.788017, ' Generally': -8.207472, 'No': -4.924378, ' A': -11.05201}
{' No': -0.0065588835, ' ': -9.93286, 'No': -5.03894, ' A': -13.469899, ' no': -12.671211}
{' That': -2.8172083, ' No': -2.3320897, ' Generally': -2.502719, ' Yes': -3.825326, ' It': -0.36300972}
{' No': -0.13121936, ' Generally': -2.802381, 'No': -3.9863007, ' Yes': -4.849775, ' It': -3.8285456}
{' No': -0.08182928, ' Generally': -3.523222, 'No': -4.2504845, ' Yes': -3.9340096, ' It': -4.74564}
{' No': -0.007962816, ' ': -9.199014, ' Generally': -10.604679, 'No': -4.855922, ' A': -11.414893}
{' That': -3.5402863, ' No': -2.2796128, ' Generally': -1.8551037, ' Yes': -3.1824656, ' It': -0.5238488}
{' No': -0.3391417, ' Generally': -1.9137226, 'No': -4.588827, ' Yes': -4.6859126, ' It': -2.3997629}
{' No': -0.008621819, ' ': -9.479622, ' Generally': -10.066849, 'No': -4.774855, ' A': -11.051021}
{' No': -0.5396042, ' Generally': -2.3675518, 'No': -4.4284153, ' Yes': -1.5632992, ' It': -2.778301}
{' No': -0.011080595, ' ': -9.304464, ' Generally': -8.179404, 'No': -4.551345, ' A': -10.202897}
{' No': -0.31296903, ' Generally': -5.056406, 'No': -4.763073, ' A': -6.17752, ' Yes': -1.39192}
{' No': -0.013025435, ' ': -9.135161, ' Generally': -7.3605895, 'No': -4.4376144, ' It': -8.423536}
{' That': -8.479358, ' No': -0.015958043, ' Generally': -7.495089, 'No': -4.3599157, ' It': -6.2382016}
{' No': -0.009081787, 'No': -4.716517, ' ': -10.01842, ' Generally': -10.389847, ' It': -12.111631}
{' No': -0.0070704874, ' ': -10.426094, ' Generally': -11.852869, 'No': -4.961611, ' A': -13.152357}
{' No': -0.00864154, ' ': -9.76101, ' Generally': -11.073918, 'No': -4.765027, ' A': -13.335637}
{' No': -0.0056624496, 'No': -5.185878, ' ': -9.96105, ' no': -13.435469, '\n': -14.221621}
{' No': -0.00642864, ' ': -9.723229, ' Generally': -7.897397, 'No': -5.130873, ' It': -10.791654}
{' No': -0.006829627, 'No': -5.0839777, ' Generally': -7.6483297, ' ': -9.793866, ' It': -10.385154}
{' No': -0.0060592336, ' ': -10.263856, ' Generally': -9.038728, ' Typically': -12.250337, 'No': -5.137883}
{' No': -0.005257615, ' ': -9.811548, ' Generally': -9.391125, 'No': -5.2801466, ' A': -12.459927}
{' No': -0.0035537048, 'No': -5.655134, ' ': -10.044788, ' no': -13.283405, '\n': -14.2663765}
{' That': -2.6681888, ' No': -1.5932453, ' Generally': -2.530957, ' Yes': -4.509192, ' It': -0.4895885}
{' No': -0.0562917, ' Generally': -3.597231, 'No': -4.5043564, ' It': -4.601015, ' That': -6.4693484}
{' No': -0.021367326, ' Generally': -4.8651514, 'No': -4.6746135, ' Yes': -6.1797266, ' It': -7.220535}
{' No': -0.0044449605, ' ': -9.75002, ' Generally': -12.580616, 'No': -5.433726, ' A': -13.04073}
{' It': -0.51775175, ' No': -1.7816658, ' Generally': -1.8974781, ' That': -3.2952135, ' Yes': -4.1655807}
{' That': -6.9275794, ' No': -0.06479849, ' Generally': -3.3552513, 'No': -4.4600716, ' It': -4.451317}
{' No': -0.005189849, ' ': -9.72397, ' Generally': -11.617377, 'No': -5.278547, ' A': -12.624117}
{' No': -0.1083469, ' Generally': -3.327917, 'No': -4.039118, ' Yes': -3.8528879, ' It': -3.9757326}
{' No': -0.0076200673, ' ': -9.797293, ' Generally': -10.261248, 'No': -4.894516, ' A': -12.110045}
{' No': -0.036321282, ' Yes': -3.6422956, 'No': -4.7864203, ' Generally': -7.409757, ' ': -8.491957}
{' No': -0.014678422, 'No': -4.3372188, ' Generally': -6.920299, ' It': -8.662589, ' ': -8.82903}
{' No': -0.024597889, 'No': -4.092623, ' It': -5.299561, ' Generally': -6.4484835, ' That': -7.9852285}
{' No': -0.010350884, ' ': -9.678, ' Generally': -10.05875, 'No': -4.5881743, ' It': -12.280088}
{' No': -0.008380346, 'No': -4.7929106, ' ': -10.107421, ' Generally': -11.819949, ' A': -12.972558}
{' No': -0.009215505, ' ': -9.47428, ' Generally': -10.640656, 'No': -4.703683, ' A': -12.821212}
{' No': -0.00712259, ' ': -9.421837, 'No': -4.9605045, ' A': -13.704881, ' no': -12.734182}
{' No': -0.008588692, ' ': -9.319566, ' Generally': -6.557063, 'No': -4.9870925, ' It': -9.7013855}
{' No': -0.0096625695, ' ': -9.413951, ' Generally': -6.4566913, 'No': -4.862173, ' It': -9.343142}
{' No': -0.006648883, ' ': -9.948428, ' Generally': -8.113818, ' Typically': -11.481267, 'No': -5.0763183}
{' No': -0.005988655, 'No': -5.1632113, ' Generally': -8.802646, ' ': -9.506473, ' A': -11.715822}
{' No': -0.004532315, ' ': -9.6985035, 'No': -5.413826, ' A': -13.780155, ' no': -12.806686}
{' That': -3.1196055, ' No': -2.1744113, ' Generally': -2.0203242, ' Yes': -3.4266424, ' It': -0.45137355}
{' No': -0.08576378, ' Generally': -3.10692, ' It': -4.2474017, 'No': -4.3211493, ' Yes': -6.190845}
{' No': -0.035576876, ' Generally': -4.120944, 'No': -4.5776587, ' Yes': -5.6141005, ' It': -6.2156663}
{' No': -0.005332636, ' ': -9.405625, ' Generally': -12.313933, 'No': -5.254955, ' A': -12.438029}
{' No': -1.9665968, ' Go': -3.57588, ' Generally': -1.2704623, ' Yes': -3.2947369, ' It': -0.8203413}
{' No': -0.1529782, ' Generally': -2.4127684, 'No': -4.4395723, ' Yes': -5.5916986, ' It': -3.6753988}
{' No': -0.0060111396, ' ': -9.306739, ' Generally': -11.036723, 'No': -5.137534, ' A': -11.79937}
{' No': -0.37955347, ' Generally': -2.384503, 'No': -4.327887, ' Yes': -2.0139565, ' It': -3.041737}
{' No': -0.0072965752, ' ': -9.3292, ' Generally': -9.3651, 'No': -4.9527597, ' A': -11.212149}
{' No': -0.12965514, ' Generally': -5.769883, 'No': -4.7179193, ' A': -6.8398643, ' Yes': -2.2322342}
{' No': -0.023009641, ' Generally': -5.414809, ' Typically': -8.369855, 'No': -4.333173, ' It': -5.530139}
{' That': -5.4914074, ' No': -0.10573385, ' Generally': -5.0164223, 'No': -4.1543427, ' It': -2.6512623}
{' No': -0.009522532, ' ': -9.638755, ' Generally': -9.211461, 'No': -4.6839476, ' It': -10.320096}
{' No': -0.0077176103, ' ': -9.997555, ' Generally': -10.818488, 'No': -4.8784127, ' A': -12.500276}
{' No': -0.008703347, 'No': -4.764202, ' ': -9.56695, ' Generally': -9.875427, ' A': -12.501791}
{' No': -0.0063406397, ' ': -9.686304, 'No': -5.074757, ' A': -13.852851, ' no': -13.084477}
{' No': -0.009597513, ' Generally': -6.005927, ' Typically': -9.2488, 'No': -5.0186973, ' It': -8.843514}
{' No': -0.009741353, 'No': -4.9629827, ' Generally': -6.085423, ' It': -8.64917, ' ': -9.545307}
{' No': -0.0063004517, 'No': -5.1571755, ' Generally': -7.7501035, ' ': -10.013675, ' Typically': -11.152041}
{' No': -0.005854708, 'No': -5.1980233, ' Generally': -8.412608, ' ': -9.677659, ' A': -11.618528}
{' No': -0.004327084, ' ': -9.873998, 'No': -5.4581842, ' A': -14.0831175, ' no': -13.095867}
{' It': -0.27467504, ' Generally': -2.4477212, ' That': -2.7333903, ' No': -3.1456103, ' This': -4.523437}
{' That': -5.759093, ' No': -0.13477995, ' Generally': -2.60155, 'No': -4.3860044, ' It': -3.6700313}
{' No': -0.057405494, ' Generally': -3.4226224, 'No': -4.566353, ' Yes': -5.5137043, ' It': -5.5010395}
{' No': -0.005173971, 'No': -5.2858596, ' ': -9.622405, ' Generally': -10.843865, ' A': -12.017427}
{' That': -3.7056959, ' No': -2.5757196, ' Go': -3.7698038, ' Generally': -1.4932516, ' It': -0.5272405}
{' No': -0.292946, ' Generally': -1.8250465, ' It': -2.8478658, 'No': -4.6604385, ' A': -5.416588}
{' No': -0.0052744513, ' ': -9.555621, ' Generally': -10.067175, 'No': -5.272652, ' A': -11.450727}
{' That': -4.441657, ' No': -0.50366324, ' Generally': -1.9769318, ' Yes': -2.216493, ' It': -2.393594}
{' No': -0.0069613624, ' ': -9.614518, ' Generally': -8.574666, 'No': -5.0139837, ' A': -11.062537}
{' No': -0.12065105, ' Generally': -4.791918, 'No': -4.7631564, ' A': -6.469675, ' Yes': -2.369203}
{' No': -0.01966666, ' ': -8.462807, ' Generally': -6.115633, 'No': -4.1649833, ' It': -6.8851733}
{' That': -5.7550817, ' No': -0.08589277, ' Generally': -5.3068457, 'No': -3.78963, ' It': -3.016986}
{' No': -0.012731339, ' ': -9.527513, ' Generally': -9.993333, 'No': -4.382482, ' It': -11.183593}
{' No': -0.010870819, 'No': -4.5344377, ' ': -9.879064, ' Generally': -11.143866, ' A': -12.496931}
{' No': -0.010815145, ' ': -9.453789, ' Generally': -10.43617, 'No': -4.543316, ' A': -13.049876}
{' No': -0.0077766567, ' ': -9.583351, 'No': -4.8703823, ' A': -13.431619, ' no': -12.93125}
{' No': -0.0100523345, ' ': -9.23893, ' Generally': -6.3264155, ' Typically': -9.673824, 'No': -4.840977}
{' No': -0.010496818, ' ': -9.447716, ' Generally': -6.444861, 'No': -4.7572694, ' It': -9.681225}
{' No': -0.0074662664, ' ': -9.912666, ' Generally': -8.012364, ' Typically': -11.45356, 'No': -4.958836}
{' No': -0.006383169, ' ': -9.599008, ' Generally': -8.91628, 'No': -5.0922155, ' A': -12.224918}
{' No': -0.0049979594, '\n': -13.631098, ' ': -9.79447, 'No': -5.3134847, ' no': -13.04361}
{' That': -3.1281328, ' No': -2.1500525, ' Generally': -1.8834604, ' Yes': -4.0358157, ' It': -0.46581972}
{' That': -6.3868146, ' No': -0.090472765, ' Generally': -3.0365863, 'No': -4.0613966, ' It': -4.3376575}
{' No': -0.034095466, ' Generally': -4.084369, 'No': -4.4545894, ' Yes': -6.450946, ' It': -6.544688}
{' No': -0.0053947777, ' ': -9.500394, ' Generally': -11.98719, 'No': -5.241929, ' A': -12.691213}
{' That': -3.644545, ' No': -2.279755, ' Go': -3.831572, ' Generally': -1.5066897, ' It': -0.57387596}
{' No': -0.21137588, ' Generally': -2.0609605, 'No': -4.4157634, ' Yes': -5.980167, ' It': -3.3358626}
{' No': -0.0070496565, ' ': -9.4303, ' Generally': -10.957585, 'No': -4.9741974, ' A': -11.937377}
{' No': -0.43938005, ' Generally': -1.928716, ' Yes': -2.207473, ' It': -2.9201958, 'No': -4.216922}
{' No': -0.0089954175, 'No': -4.74635, ' Generally': -8.721825, ' ': -9.489429, ' A': -11.278113}
{' No': -0.08049784, ' Generally': -5.6495113, 'No': -4.663229, ' A': -6.941654, ' Yes': -2.7732315}
{' No': -0.0324699, 'No': -4.013789, ' It': -4.795228, ' Generally': -5.5048094, ' That': -8.167735}
{' That': -4.4424715, ' No': -0.24247678, ' Generally': -5.106738, 'No': -3.8867788, ' It': -1.7646612}
{' No': -0.012523572, ' ': -9.410052, ' Generally': -8.920265, 'No': -4.411072, ' It': -10.0408}
{' No': -0.009965277, 'No': -4.622836, ' ': -9.862559, ' Generally': -10.623044, ' It': -12.741969}
{' No': -0.00994884, ' ': -9.449295, ' Generally': -9.635147, 'No': -4.632, ' A': -12.435841}
{' No': -0.008818554, ' ': -9.628622, 'No': -4.7437086, ' A': -13.290682, ' no': -12.928239}
{' No': -0.015887672, ' Generally': -5.4612594, ' Typically': -8.596929, 'No': -4.640645, ' It': -6.7185526}
{' That': -8.807839, ' No': -0.017050045, ' Generally': -5.6494575, 'No': -4.4648247, ' It': -6.664555}
{' No': -0.008991268, 'No': -4.816059, ' Generally': -7.264255, ' ': -9.787591, ' It': -10.519259}
{' No': -0.0074172635, ' ': -9.53254, ' Generally': -8.086373, ' Typically': -11.619107, 'No': -4.9649425}
{' No': -0.0052009346, 'No': -5.273296, ' ': -9.793965, ' no': -13.071238, '\n': -14.265177}
{' That': -2.823237, ' No': -2.9644096, ' Generally': -2.1948898, ' Yes': -4.278344, ' It': -0.33733824}
{' That': -4.457544, ' No': -0.28949314, ' Generally': -2.479158, 'No': -4.1827197, ' It': -2.0935817}
{' No': -0.0947852, ' Generally': -3.0403397, 'No': -4.317983, ' It': -4.391855, ' Yes': -4.743449}
{' No': -0.006262183, ' ': -9.48999, ' Generally': -10.662233, 'No': -5.0946217, ' A': -12.013399}
{' That': -3.5383596, ' No': -3.2516625, ' Go': -4.1628904, ' Generally': -1.7142767, ' It': -0.38576823}
{' That': -4.9672885, ' No': -0.4065241, ' Generally': -1.6985582, 'No': -4.61268, ' It': -2.2104313}
{' No': -0.0073346426, ' ': -9.444258, ' Generally': -9.841033, 'No': -4.939856, ' A': -11.465373}
{' No': -0.61176664, ' Generally': -1.8080271, ' It': -2.0396783, ' Yes': -2.2839525, ' That': -4.2132945}
{' No': -0.009958053, ' ': -9.398053, ' Generally': -8.159186, 'No': -4.6581836, ' A': -10.767545}
{' No': -0.044274025, ' Generally': -5.695267, 'No': -4.6173806, ' A': -6.858425, ' Yes': -3.5798097}
{' No': -0.026956612, ' ': -8.350809, ' Generally': -5.506296, 'No': -4.135515, ' It': -5.2732196}
{' That': -4.2806334, ' No': -0.21240772, ' Generally': -5.3126693, 'No': -3.9103425, ' It': -1.9213692}
{' No': -0.014265326, ' ': -9.438789, ' Generally': -8.34911, 'No': -4.2972946, ' It': -8.89595}
{' No': -0.010803395, ' ': -9.9867325, ' Generally': -9.921007, 'No': -4.5459366, ' A': -11.216355}
{' No': -0.009614664, ' ': -9.444327, ' Generally': -9.490998, 'No': -4.66826, ' A': -11.846755}
{' No': -0.008238444, ' ': -9.628323, 'No': -4.8125196, ' A': -12.626573, ' no': -12.824836}
{' No': -0.014160373, 'No': -4.736948, ' Generally': -5.6043224, ' It': -6.951996, ' Typically': -8.836151}
{' That': -8.71112, ' No': -0.016537312, ' Generally': -5.6018777, 'No': -4.5499673, ' It': -6.5396614}
{' No': -0.0080670025, ' ': -9.80557, ' Generally': -7.322346, ' Typically': -10.748636, 'No': -4.928836}
{' No': -0.007518151, ' ': -9.47911, ' Generally': -7.640016, 'No': -4.9797716, ' A': -10.77558}
{' No': -0.0053528324, ' ': -9.853403, 'No': -5.2440705, ' A': -13.651847, ' no': -12.975499}
{' That': -2.5942338, ' No': -3.872369, ' Generally': -3.0635636, ' It': -0.21620305, ' This': -4.1459594}
{' No': -0.24479215, ' It': -2.3745031, ' Generally': -2.5837033, 'No': -4.175378, ' That': -4.4393644}
{' No': -0.08704917, ' Generally': -3.0525603, 'No': -4.3754764, ' It': -4.7325892, ' Yes': -5.137628}
{' No': -0.0062369932, ' ': -9.494746, ' Generally': -10.523287, 'No': -5.100059, ' A': -11.55049}
{' It': -0.39753026, ' Generally': -1.8137289, ' No': -3.2357662, ' That': -3.3832498, ' Go': -3.4820945}
{' That': -4.690154, ' No': -0.5698289, ' Go': -4.7848063, ' Generally': -1.4812287, ' It': -1.9269761}
{' No': -0.006518866, 'No': -5.0641837, ' ': -9.493419, ' Generally': -9.541213, ' A': -10.797973}
{' That': -4.3308873, ' No': -0.46169335, ' Generally': -1.9224001, ' Yes': -2.8780942, ' It': -2.2970777}
{' No': -0.008716573, ' ': -9.410383, ' Generally': -8.0728855, 'No': -4.8012238, ' A': -10.4349575}
{' No': -0.044646103, ' Generally': -5.481381, 'No': -4.7266736, ' A': -6.749575, ' Yes': -3.5692966}
{' No': -0.028345237, 'No': -4.1270847, ' Generally': -5.057556, ' It': -5.548153, ' Typically': -8.048286}
{' That': -5.5213876, ' No': -0.09959291, ' Generally': -4.836598, 'No': -4.164513, ' It': -2.7467906}
{' No': -0.012715583, 'No': -4.415988, ' Generally': -8.079301, ' It': -9.215064, ' ': -9.851042}
{' No': -0.008749223, ' ': -10.309721, ' Generally': -9.936899, 'No': -4.7551136, ' A': -11.646873}
{' No': -0.009765187, ' ': -9.901324, ' Generally': -9.257764, 'No': -4.6512446, ' A': -12.154308}
{' No': -0.00773623, ' ': -9.980135, ' Generally': -12.920458, 'No': -4.873029, ' A': -12.683996}
{' No': -0.011177632, ' Generally': -5.8102937, ' Typically': -9.17287, 'No': -4.8818746, ' It': -8.675713}
{' No': -0.011831465, ' Generally': -5.8744946, ' Typically': -9.531889, 'No': -4.781023, ' It': -8.219238}
{' No': -0.006993775, ' ': -10.267732, ' Generally': -7.446645, ' Typically': -10.988307, 'No': -5.068813}
{' No': -0.0068890406, ' ': -10.0097, ' Generally': -7.938382, 'No': -5.0470767, ' A': -11.253271}
{' No': -0.0043610265, ' ': -10.333431, 'No': -5.445576, ' A': -14.29586, ' no': -13.492895}
{' That': -2.5914176, ' No': -3.421358, ' Generally': -2.216471, ' Yes': -4.562645, ' It': -0.3190977}
{' No': -0.1792215, ' Generally': -2.3800766, ' It': -3.3112211, 'No': -4.297721, ' That': -5.3057528}
{' No': -0.09272395, ' Generally': -2.959381, 'No': -4.395691, ' Yes': -4.6800785, ' It': -4.9656982}
{' No': -0.0057780286, 'No': -5.1734967, ' ': -9.859465, ' Generally': -10.454906, ' A': -11.661806}
{' That': -3.4982936, ' No': -2.9980283, ' Go': -3.5314624, ' Generally': -1.6213559, ' It': -0.45261082}
{' No': -0.47321823, ' Go': -4.711047, ' Generally': -1.4757415, 'No': -4.7081175, ' It': -2.3472986}
{' No': -0.0061771357, ' ': -9.78373, ' Generally': -9.60978, 'No': -5.1136827, ' A': -11.286006}
{' No': -0.52013266, ' Generally': -1.8360641, ' Yes': -2.2251306, ' It': -2.5724323, 'No': -4.3898363}
{' No': -0.00863643, ' ': -9.767448, ' Generally': -8.0671625, 'No': -4.80678, ' A': -10.705772}
{' No': -0.04305207, ' Generally': -5.5213447, 'No': -4.7499614, ' A': -6.7231283, ' Yes': -3.6044667}
{' No': -0.032791104, ' Generally': -5.0416546, 'No': -3.8346403, ' Yes': -7.799421, ' It': -6.162832}
{' No': -0.114809126, ' It': -2.8784046, 'No': -3.538172, ' Generally': -4.6349034, ' That': -4.91535}
{' No': -0.0185625, 'No': -4.0209637, ' Generally': -8.189956, ' ': -9.824205, ' It': -10.135894}
{' No': -0.015839648, ' ': -10.088799, ' Generally': -9.054207, 'No': -4.1672387, ' A': -10.976698}
{' No': -0.019080952, ' ': -9.761559, ' Generally': -8.958388, 'No': -3.9805503, ' A': -11.629573}
{' No': -0.013359792, 'No': -4.327349, ' ': -9.927631, ' A': -12.180854, ' no': -12.295714}
{' No': -0.016660882, 'No': -4.3842754, ' Generally': -5.7463646, ' It': -8.1184025, ' Typically': -8.904976}
{' No': -0.015935088, ' Generally': -5.868482, ' Typically': -9.348775, 'No': -4.3975134, ' It': -8.334302}
{' No': -0.013529848, 'No': -4.3960505, ' Generally': -6.9962296, ' ': -10.117632, ' Typically': -10.300095}
{' No': -0.01143341, 'No': -4.5166135, ' Generally': -7.9712586, ' ': -9.925614, ' Typically': -11.454203}
{' No': -0.007867412, ' ': -10.129642, 'No': -4.8557296, ' A': -12.817848, ' no': -12.575726}
{' That': -2.6321273, ' No': -2.2901187, ' Generally': -1.866409, ' Yes': -3.2935157, ' It': -0.57220423}
{' No': -0.29066178, ' Generally': -2.0420406, 'No': -3.8917456, ' Yes': -4.159919, ' It': -2.9997299}
{' No': -0.09216629, ' Generally': -3.1741328, 'No': -4.1152105, ' Yes': -4.200818, ' It': -4.9679885}
{' No': -0.0110874055, 'No': -4.5219817, ' ': -9.698814, ' Generally': -9.77489, ' A': -10.646334}
{' That': -3.0220604, ' No': -2.752581, ' Go': -3.2249985, ' Generally': -1.6683903, ' It': -0.5753709}
{' No': -0.28034976, ' Generally': -2.0038185, 'No': -4.324114, ' Yes': -4.43996, ' It': -2.8966768}
{' No': -0.011792562, ' ': -9.69226, ' Generally': -9.099441, 'No': -4.4654436, ' A': -10.36625}
{' No': -0.6456362, ' Generally': -2.2701573, 'No': -4.340363, ' Yes': -1.2779108, ' It': -3.2049582}
{' No': -0.012797806, ' ': -9.792034, ' Generally': -7.6445994, 'No': -4.417306, ' A': -10.236579}
{' No': -0.108005345, ' Generally': -5.309791, 'No': -4.3292193, ' A': -7.133271, ' Yes': -2.502073}
{' No': -0.03323324, 'No': -3.4981205, ' Generally': -6.5943193, ' It': -7.8861628, ' ': -8.319514}
{' No': -0.053226992, 'No': -3.193232, ' It': -5.1285787, ' Generally': -6.3727264, ' That': -6.4712873}
{' No': -0.03362219, ' ': -8.742581, ' Generally': -9.07271, 'No': -3.4210293, ' It': -10.563393}
{' No': -0.03280059, ' ': -8.950737, ' Generally': -10.247679, 'No': -3.4405937, ' A': -10.888533}
{' No': -0.028118754, '\n': -11.023394, ' ': -8.434954, ' Generally': -9.9431, 'No': -3.596688}
{' No': -0.024095684, '\n': -11.30712, ' ': -8.542395, 'No': -3.7476919, ' A': -11.757126}
{' No': -0.020564789, 'No': -4.0212173, ' Generally': -6.3763933, ' ': -8.329726, ' It': -8.630714}
{' No': -0.02323527, ' ': -8.614457, ' Generally': -6.545133, 'No': -3.86462, ' It': -8.879916}
{' No': -0.021104733, ' ': -8.974688, ' Generally': -7.4326353, ' Typically': -10.53239, 'No': -3.9102132}
{' No': -0.018105432, ' ': -8.581307, ' Generally': -8.072639, 'No': -4.052943, ' A': -11.206069}
{' No': -0.0127201695, '\n': -11.593353, ' ': -8.908833, 'No': -4.383833, ' no': -12.073626}
{' That': -2.5361083, ' No': -1.7217107, ' Generally': -2.1655486, ' Yes': -2.7072527, ' It': -0.7033028}
{' No': -0.14541563, ' Generally': -3.037988, 'No': -3.3933861, ' Yes': -5.091733, ' It': -3.5739129}
{' No': -0.055049423, ' Generally': -4.4667215, 'No': -3.611541, ' Yes': -4.7921424, ' It': -5.9365535}
{' No': -0.015730152, ' ': -8.676458, ' Generally': -10.901471, 'No': -4.174755, ' A': -11.302742}
{' No': -2.0176256, ' Go': -2.9997153, ' Generally': -1.4217697, ' Yes': -2.328283, ' It': -0.9642979}
{' No': -0.1473196, ' Generally': -2.7095354, 'No': -3.808206, ' Yes': -4.4393673, ' It': -3.9217887}
{' No': -0.0172707, ' ': -8.5558405, ' Generally': -9.665736, 'No': -4.0859427, ' A': -10.594113}
{' No': -0.25295043, ' Generally': -2.912401, 'No': -3.5319917, ' Yes': -2.3292978, ' It': -3.8683546}
{' No': -0.020031031, ' ': -8.666491, ' Generally': -8.958195, 'No': -3.939106, ' A': -10.738102}
{' No': -0.025800651, ' ': -7.770183, ' Generally': -7.6096067, 'No': -3.9340436, ' Yes': -5.38109}
{' No': -0.025400914, ' Generally': -5.740757, 'No': -3.906569, ' Yes': -8.806681, ' It': -7.082468}
{' That': -5.4178886, ' No': -0.076231346, ' Generally': -5.861151, 'No': -3.5823822, ' It': -3.328589}
{' No': -0.016759124, ' ': -9.721082, ' Generally': -9.746168, 'No': -4.107476, ' It': -10.988796}
{' No': -0.01385452, ' ': -9.997069, ' Generally': -10.76098, 'No': -4.2926383, ' It': -12.2605295}
{' No': -0.014164967, ' Not': -12.689077, ' ': -9.451016, ' Generally': -10.025005, 'No': -4.274098}
{' No': -0.010975432, ' ': -9.706392, 'No': -4.5241966, ' A': -13.209923, ' no': -12.294789}
{' No': -0.013963612, ' ': -9.429286, ' Generally': -6.483379, 'No': -4.455251, ' It': -7.896894}
{' No': -0.012801729, ' ': -9.581705, ' Generally': -6.743362, 'No': -4.4999194, ' It': -8.615931}
{' No': -0.009869079, ' ': -10.096279, ' Generally': -7.885273, 'No': -4.6748085, ' It': -10.852694}
{' No': -0.008358346, ' ': -9.872381, ' Generally': -8.212309, ' Typically': -11.656027, 'No': -4.831875}
{' No': -0.0066334014, ' ': -9.914826, 'No': -5.0276656, ' A': -13.542239, ' no': -12.6248665}
{' That': -2.6919851, ' No': -2.5104609, ' Generally': -2.481042, ' Yes': -2.9241953, ' It': -0.4133311}
{' That': -3.9587495, ' No': -0.359989, ' Generally': -2.6919115, 'No': -4.1141148, ' It': -1.7909316}
{' No': -0.07260537, ' Generally': -3.4371681, 'No': -4.2917957, ' Yes': -4.3285713, ' It': -5.2465706}
{' No': -0.008387436, ' ': -9.58348, ' Generally': -11.039428, 'No': -4.7970185, ' A': -12.260008}
{' It': -0.60846955, ' Generally': -1.6054293, ' No': -2.293799, ' Yes': -3.3305135, ' Go': -3.333201}
{' No': -0.18999878, ' Generally': -2.2494242, 'No': -4.3685074, ' Yes': -4.773926, ' It': -3.5525055}
{' No': -0.008408354, ' ': -9.560158, ' Generally': -9.995757, 'No': -4.7995763, ' A': -11.200079}
{' No': -0.6555157, ' Yes': -1.1991483, ' Generally': -2.318325, ' It': -3.2469175, 'No': -4.5816917}
{' No': -0.010631209, ' ': -9.542556, ' Generally': -8.123755, 'No': -4.5912795, ' A': -10.596141}
{' No': -0.02578695, ' Generally': -6.543147, 'No': -4.615749, ' A': -8.23839, ' Yes': -4.3147554}
{' No': -0.038717985, ' Generally': -5.0022893, ' Typically': -7.8726525, 'No': -3.9196289, ' It': -4.706883}
{' That': -3.2924478, ' No': -0.5697803, 'No': -4.0026684, ' It': -1.0318011, ' This': -4.988109}
{' No': -0.014448178, ' ': -9.89437, ' Generally': -8.79799, 'No': -4.273004, ' It': -9.10385}
{' No': -0.01158427, ' ': -10.339728, ' Generally': -10.15858, 'No': -4.473656, ' It': -11.221859}
