{' No': -1.7681766, '\n': -6.35613, 'No': -5.675157, ' Yes': -0.20745045, 'Yes': -4.486917}
{' No': -0.3757868, '\n': -3.0376594, 'No': -4.5887613, ' Yes': -1.3799354, 'Yes': -6.198518}
{' No': -4.0782166, '\n': -3.0456452, ' Yes': -0.09244979, ' Sur': -4.811299, 'Yes': -4.279576}
{' No': -0.03161992, 'No': -4.125669, '\n': -4.3882694, ' Yes': -6.2217293, ' ': -8.080169}
{' No': -0.066206135, '\n': -4.9807763, 'No': -4.503729, ' Yes': -3.1243422, 'Yes': -7.4228153}
{' No': -0.026538417, 'No': -3.8996155, ' Yes': -5.6411333, '\n': -6.1475916, ' ': -8.812001}
{' No': -0.053471938, '\n': -5.523908, 'No': -3.4017308, ' Yes': -4.2592287, 'Yes': -7.9101152}
{' No': -0.035095174, '\n': -4.574024, ' ': -7.3938103, 'No': -3.8176897, ' Yes': -6.5497417}
{' No': -0.09045162, 'No': -3.4295535, '\n': -3.6137595, ' Yes': -3.7183504, ' Sur': -6.801887}
{' No': -0.026009666, 'No': -3.8883617, '\n': -5.8355584, ' Yes': -6.22354, ' ': -8.538361}
{' No': -0.12351701, '\n': -5.346694, 'No': -3.888335, ' Yes': -2.4255226, 'Yes': -6.124455}
{' No': -2.5509806, '\n': -6.480978, 'No': -6.82865, ' Yes': -0.093701184, 'Yes': -4.7605767}
{' Yes': -0.03755998, ' No': -4.0106015, 'Yes': -4.4622674, '\n': -5.086703, ' yes': -7.961036}
{' No': -0.312573, ' Yes': -1.4471383, '\n': -3.9854147, 'No': -4.5504155, 'Yes': -6.2270355}
{' Yes': -0.44324058, ' No': -1.4522414, ' Sur': -2.7312748, '\n': -3.2013314, 'Yes': -4.5178065}
{' No': -0.018888809, 'No': -4.410521, '\n': -5.293144, ' Yes': -6.7241898, ' ': -8.34749}
{' Yes': -0.060180593, ' No': -3.1566331, 'Yes': -4.5077133, '\n': -5.733859, 'No': -7.465774}
{' No': -3.4686294, '\n': -3.3545601, 'No': -6.0270796, ' Yes': -0.1100059, 'Yes': -3.3716807}
{' No': -3.9108708, '\n': -3.3712437, 'No': -6.5901613, ' Yes': -0.09540682, 'Yes': -3.3900447}
{' No': -0.9365883, '\n': -2.0143147, 'No': -3.4599266, ' Yes': -0.8643781, 'Yes': -3.9980278}
{' No': -3.3708038, '\n': -2.5895884, 'No': -6.049025, ' Yes': -0.1693365, 'Yes': -3.1644328}
{' No': -0.17864177, '\n': -2.7656684, ' ': -6.498822, 'No': -2.3548138, ' Yes': -5.790134}
{' No': -1.20969, '\n': -2.8498821, 'No': -3.7839868, ' Yes': -0.5265674, 'Yes': -3.578243}
{' No': -6.7143407, '\n': -4.141986, ' ': -7.1742744, ' Yes': -0.050495822, 'Yes': -3.482422}
{' No': -6.574822, '\n': -4.125005, ' ': -7.423127, ' Yes': -0.057152893, 'Yes': -3.30667}
{' No': -4.5916786, '\n': -2.790512, ' ': -6.2047267, ' Yes': -0.119239904, 'Yes': -3.3044758}
{'\n': -3.3332198, ' ': -6.6435323, ' Yes': -0.083904974, ' yes': -7.8843465, 'Yes': -3.1556613}
{' No': -0.60131174, '\n': -1.7708617, ' Yes': -1.8106813, 'No': -2.4652262, ' Unfortunately': -4.436158}
{' Yes': -0.1688388, ' No': -2.8248215, '\n': -3.0574229, 'Yes': -3.239275, 'No': -5.019852}
{' Yes': -0.18758821, ' No': -2.4322782, '\n': -3.166193, 'Yes': -3.4505675, 'No': -4.89682}
{' No': -1.9124432, '\n': -2.6534252, 'No': -4.7488976, ' Yes': -0.28002357, 'Yes': -4.2210865}
{' Yes': -0.8622787, ' No': -0.9185074, '\n': -2.072007, 'No': -3.479916, 'Yes': -3.9153602}
{' No': -0.38124558, '\n': -2.1783876, 'No': -3.2888782, ' Yes': -1.8587693, 'Yes': -5.3925524}
{' Yes': -0.3347049, ' No': -1.5504909, '\n': -3.3931096, 'Yes': -3.8316033, 'No': -4.2886233}
{' No': -1.2456838, '\n': -3.0186498, 'No': -4.162348, ' Yes': -0.46517757, 'Yes': -4.249668}
{' No': -1.7821863, '\n': -1.8578353, 'No': -4.487678, ' Yes': -0.44975063, 'Yes': -4.073499}
{'\n': -2.35465, ' ': -6.405301, ' Yes': -0.1430011, ' yes': -7.830503, 'Yes': -3.334415}
{' No': -0.35300672, '\n': -1.6415561, 'No': -3.3124604, ' Yes': -3.5259361, ' Unfortunately': -3.6447508}
{' No': -0.49840632, '\n': -2.0360575, 'No': -3.1296165, ' Yes': -1.6720399, ' Unfortunately': -4.4447813}
{' No': -9.656883, '\n': -7.5823054, ' Yes': -0.015005095, ' yes': -8.829033, 'Yes': -4.263168}
{' No': -7.157877, '\n': -6.854109, ' Yes': -0.017097881, ' yes': -8.265556, 'Yes': -4.2209744}
{' Yes': -0.013132266, 'Yes': -4.509474, '\n': -6.733677, ' yes': -8.379778, ' Sur': -8.4083805}
{' Yes': -0.043762084, ' No': -3.5284421, 'Yes': -4.4409633, '\n': -7.3459277, 'No': -7.473949}
{' No': -8.542625, '\n': -8.638608, ' Yes': -0.008250045, ' yes': -8.339619, 'Yes': -4.8938966}
{' No': -0.037790034, '\n': -5.739503, ' ': -8.027015, 'No': -3.862081, ' Yes': -4.4099402}
{' No': -0.05876116, 'No': -3.3591838, ' Yes': -4.4817686, '\n': -4.6099906, ' ': -7.9330344}
{' No': -0.10625406, '\n': -3.9358284, 'No': -3.4822133, ' Yes': -3.0329201, 'Yes': -7.092107}
{' Yes': -0.25432736, ' No': -1.6009822, 'Yes': -4.4304786, '\n': -5.2773795, 'No': -5.288341}
{' Yes': -0.19988278, ' No': -1.8044512, 'Yes': -4.6434803, 'No': -5.744215, '\n': -5.835081}
{' No': -0.062684864, ' Yes': -3.209991, 'No': -4.1876807, '\n': -5.4222236, 'Yes': -7.6483192}
{' No': -0.5827131, '\n': -4.911448, 'No': -4.320651, ' Yes': -0.8808756, 'Yes': -5.181285}
{' No': -0.054189894, ' Yes': -3.4391785, 'No': -4.2097435, '\n': -5.390011, ' ': -7.7106647}
{' No': -1.0621043, '\n': -4.6176043, ' Yes': -0.49067605, ' Sur': -4.0250864, 'Yes': -4.9374094}
{' No': -0.31606403, '\n': -5.273143, 'No': -4.3863535, ' Yes': -1.3918391, 'Yes': -5.5186415}
{' No': -7.6855454, '\n': -4.0432725, ' ': -7.603968, ' Yes': -0.038069364, 'Yes': -3.9975703}
{' No': -4.9652534, '\n': -3.0482366, ' ': -6.8859153, ' Yes': -0.0819681, 'Yes': -3.821529}
{' Yes': -0.0980038, '\n': -2.9808123, 'Yes': -3.5534706, ' No': -4.5973783, ' ': -6.496002}
{'\n': -3.1126385, ' ': -6.656173, ' Yes': -0.09599872, ' yes': -7.5793777, 'Yes': -3.113142}
{' Yes': -0.36107245, ' No': -1.9987009, '\n': -2.0699518, 'Yes': -3.8549764, 'No': -4.7497954}
{' Yes': -0.25586596, ' No': -1.6669568, '\n': -4.161843, 'Yes': -4.195994, 'No': -5.17348}
{' No': -0.092795566, '\n': -5.0382967, 'No': -3.4358451, ' Yes': -3.0314493, 'Yes': -6.855641}
{' No': -0.11631219, '\n': -3.581295, 'No': -3.661703, ' Yes': -2.908209, 'Yes': -7.056534}
{' No': -3.3167367, '\n': -3.195862, ' Yes': -0.107309975, ' Sur': -5.9800773, 'Yes': -3.9252152}
{' No': -0.062403582, 'No': -3.3152149, '\n': -4.0127974, ' Yes': -5.3597836, ' Not': -7.1327233}
{' No': -0.4433657, '\n': -4.6524796, 'No': -4.1255975, ' Yes': -1.1249282, 'Yes': -4.9916253}
{' No': -4.5698085, '\n': -4.928957, 'No': -8.076356, ' Yes': -0.037496544, 'Yes': -3.9882429}
{' Yes': -0.019907653, 'Yes': -4.166928, '\n': -5.9204316, ' No': -6.7818813, ' yes': -8.609756}
{' No': -0.89711875, '\n': -3.6864862, 'No': -4.529126, ' Yes': -0.6020708, 'Yes': -4.9631014}
{' No': -4.895291, '\n': -3.4167464, ' Yes': -0.06515748, ' Sur': -5.1796556, 'Yes': -4.149281}
{' No': -0.054084063, ' Not': -6.9962344, '\n': -4.7324743, 'No': -3.4483175, ' Yes': -4.571897}
{' No': -0.15319556, '\n': -5.0428023, 'No': -4.2618856, ' Yes': -2.1344864, 'Yes': -6.294095}
{' No': -0.05455593, '\n': -5.2743244, 'No': -3.8347602, ' Yes': -3.6654165, 'Yes': -7.715249}
{' No': -0.2528065, '\n': -5.781096, 'No': -3.8623302, ' Yes': -1.6331853, 'Yes': -5.643046}
{' No': -0.016861686, 'No': -4.238894, '\n': -6.3784566, ' Yes': -7.9166417, ' ': -8.953491}
{' No': -0.07598051, '\n': -4.308233, 'No': -3.4964094, ' Yes': -3.6049113, 'Yes': -7.0560007}
{' No': -0.03989288, ' Not': -7.836186, '\n': -5.403521, 'No': -3.4784667, ' Yes': -5.8211656}
{' No': -0.45709136, '\n': -5.572718, 'No': -3.9963636, ' Yes': -1.088996, 'Yes': -4.881242}
{' No': -3.8933163, '\n': -4.8312187, 'No': -7.5482554, ' Yes': -0.046070017, 'Yes': -4.155845}
{' No': -5.330337, '\n': -6.210206, ' Yes': -0.018726401, ' yes': -8.665971, 'Yes': -4.48538}
{' No': -0.3715311, ' Yes': -1.2476298, 'No': -4.5487714, '\n': -4.672045, 'Yes': -6.018454}
{' No': -0.6528763, '\n': -3.0520175, 'No': -4.8916936, ' Yes': -0.8858971, 'Yes': -5.1006775}
{' No': -0.027029973, 'No': -4.1722283, ' Yes': -5.1067586, '\n': -5.4570565, ' Not': -7.786441}
{' Yes': -0.14036289, ' No': -2.2268934, 'Yes': -4.174361, '\n': -5.3539953, 'No': -6.021485}
{' No': -3.6887763, '\n': -4.242047, 'No': -6.183382, ' Yes': -0.08231603, 'Yes': -3.3027577}
{' No': -4.9845166, '\n': -4.1382375, 'No': -7.551478, ' Yes': -0.060656227, 'Yes': -3.364716}
{' No': -1.1617954, '\n': -2.6617, 'No': -3.746039, ' Yes': -0.56150115, 'Yes': -3.8712504}
{' Yes': -0.08858053, 'Yes': -3.1675086, '\n': -3.461221, ' No': -4.656875, ' ': -7.290051}
{' No': -0.13332564, 'No': -2.421827, '\n': -3.592882, ' Yes': -5.21686, ' Unfortunately': -6.8518114}
{' Yes': -0.61040413, ' No': -0.9712307, 'No': -3.6214437, '\n': -3.6586561, 'Yes': -3.7346926}
{' No': -8.093224, '\n': -4.7694893, ' ': -7.6328673, ' Yes': -0.044109557, 'Yes': -3.4002762}
{' Yes': -0.05540644, 'Yes': -3.25444, '\n': -4.432745, ' No': -6.1669173, ' ': -7.830686}
{' Yes': -0.1254142, '\n': -2.804497, 'Yes': -3.2102892, ' No': -4.390663, ' ': -6.2771606}
{' Yes': -0.114109315, '\n': -2.8891718, 'Yes': -3.008339, ' ': -6.5129967, ' yes': -7.550336}
{' No': -0.6298945, '\n': -1.5259918, 'No': -2.662535, ' Yes': -1.9357662, ' Unfortunately': -4.1579533}
{' Yes': -0.21417134, ' No': -2.3186064, 'Yes': -3.1615322, '\n': -3.2912567, 'No': -4.432252}
{' Yes': -0.23844628, ' No': -1.9469212, '\n': -3.4103193, 'Yes': -3.6820571, 'No': -4.6495886}
{' Yes': -0.26938358, ' No': -1.8053695, '\n': -3.0561838, 'Yes': -4.366269, 'No': -4.809451}
{' No': -2.254552, '\n': -2.525821, 'No': -4.8996115, ' Yes': -0.25495827, 'Yes': -3.4875517}
{' No': -0.24074206, '\n': -3.25198, 'No': -3.552149, ' Yes': -1.9715829, 'Yes': -5.795196}
{' No': -2.061544, '\n': -3.7118084, 'No': -4.9785304, ' Yes': -0.20178548, 'Yes': -3.8540204}
{' No': -2.5584085, '\n': -3.000003, 'No': -5.604665, ' Yes': -0.16498533, 'Yes': -3.9719517}
{' Yes': -0.7363639, ' No': -0.97158384, '\n': -2.1798072, 'No': -4.2251525, 'Yes': -4.8404074}
{' No': -5.341243, '\n': -2.033765, ' ': -6.390001, ' Yes': -0.17955148, 'Yes': -3.678634}
{' No': -0.33688533, '\n': -2.0189416, ' Yes': -2.3075695, 'No': -3.4273794, ' Unfortunately': -4.98073}
{' No': -0.46792895, ' Yes': -1.687539, '\n': -2.0004015, 'No': -3.3214042, 'Yes': -5.03414}
{' Yes': -0.013350368, 'Yes': -4.4579725, '\n': -6.720931, ' No': -8.628648, ' yes': -8.814725}
{' Yes': -0.019316034, 'Yes': -4.290905, ' No': -5.8726954, '\n': -6.195116, ' yes': -8.140306}
{' Yes': -0.03218991, 'Yes': -4.100019, '\n': -4.6461387, ' Sur': -5.7407846, ' No': -7.080812}
{' Yes': -0.053498477, ' No': -3.5012865, 'Yes': -4.0956736, '\n': -5.7756643, 'No': -6.9706316}
{' No': -5.301132, '\n': -6.8831, ' Yes': -0.01608299, ' yes': -8.066593, 'Yes': -4.685555}
{' No': -0.12199004, ' Yes': -2.484575, 'No': -3.8112278, '\n': -4.9287257, 'Yes': -6.574659}
{' No': -0.16955003, '\n': -3.9036598, 'No': -3.4928894, ' Yes': -2.2893867, 'Yes': -6.095579}
{' No': -0.31621563, ' Yes': -1.4847834, 'No': -3.8744335, '\n': -4.0303974, 'Yes': -5.764469}
{' No': -1.8239671, '\n': -3.8270032, 'No': -5.19108, ' Yes': -0.23148936, 'Yes': -4.1098347}
{' Yes': -0.25532344, ' No': -1.5928402, 'Yes': -4.5327873, '\n': -5.275799, 'No': -5.3517075}
{' No': -0.23936544, ' Yes': -1.7074862, 'No': -4.2331567, '\n': -4.305123, 'Yes': -5.867244}
{' No': -0.45569915, '\n': -4.509898, 'No': -4.0232306, ' Yes': -1.1084071, 'Yes': -5.226272}
{' No': -0.054992117, ' Yes': -3.658872, 'No': -3.9143898, '\n': -5.070062, ' Not': -7.5263605}
{' No': -0.5604823, '\n': -4.153319, 'No': -4.314793, ' Yes': -0.94968253, ' Sur': -5.138565}
{' No': -0.09165759, ' Yes': -2.7914064, 'No': -3.9522836, '\n': -5.306177, 'Yes': -6.747785}
{' No': -7.6719294, '\n': -4.309457, ' ': -7.8065896, ' Yes': -0.035857383, 'Yes': -3.8935137}
{' Yes': -0.104016796, '\n': -2.9329598, 'Yes': -3.6695437, ' No': -4.1531196, ' The': -6.5978537}
{' No': -3.896049, '\n': -2.7841127, ' ': -6.3830237, ' Yes': -0.11754008, 'Yes': -3.760408}
{'\n': -2.3653083, ' ': -6.5991774, ' Yes': -0.15438227, ' The': -7.417758, 'Yes': -3.0869937}
{' No': -1.6721973, '\n': -1.6940899, 'No': -4.442564, ' Yes': -0.5356198, 'Yes': -3.972643}
{' No': -0.6798802, ' Yes': -0.80080616, '\n': -4.01626, 'No': -4.13859, 'Yes': -4.6313972}
{' No': -0.10734514, '\n': -4.35132, 'No': -3.580152, ' Yes': -2.8281837, 'Yes': -6.7558203}
{' No': -0.2346367, ' Yes': -1.974131, '\n': -3.304089, 'No': -3.5395281, 'Yes': -5.9057636}
{' Yes': -0.16564281, ' No': -2.6136274, '\n': -3.0423343, 'Yes': -3.6379843, 'No': -5.7828684}
{' No': -0.077566676, '\n': -3.517136, ' ': -7.3385587, 'No': -3.215451, ' Yes': -5.567843}
{' No': -0.21786629, '\n': -4.208499, 'No': -3.8453019, ' Yes': -1.8638089, 'Yes': -5.5749516}
{' No': -3.4636047, '\n': -4.738837, 'No': -7.1467805, ' Yes': -0.05755126, 'Yes': -4.21943}
{' Yes': -0.022935111, 'Yes': -4.445779, ' No': -5.0969095, '\n': -5.4688044, ' yes': -8.369504}
{' No': -0.5932788, '\n': -4.0899615, 'No': -4.723688, ' Yes': -0.8744584, 'Yes': -5.673713}
{' Yes': -0.0899693, '\n': -3.1174579, 'Yes': -4.2099338, ' Sur': -4.248315, ' No': -4.5067954}
{' No': -0.018752513, 'No': -4.26481, '\n': -6.0485034, ' Yes': -6.36547, ' Not': -8.370109}
{' No': -0.09072798, ' Yes': -2.7621377, 'No': -4.3208704, '\n': -4.8974257, 'Yes': -6.872657}
{' No': -0.035907183, '\n': -5.645837, ' ': -8.72363, 'No': -3.720409, ' Yes': -4.9400015}
{' No': -0.10716182, '\n': -5.8279767, 'No': -3.4876833, ' Yes': -2.7135346, 'Yes': -6.4970384}
{' No': -0.028959032, '\n': -6.0538034, ' ': -8.653157, 'No': -3.6790805, ' Yes': -7.324374}
{' No': -0.04077106, 'No': -3.8119102, '\n': -4.3304605, ' Yes': -5.5102286, ' ': -8.182578}
{' No': -0.041843537, 'No': -3.3580453, '\n': -5.830875, ' Yes': -5.888057, ' ': -8.538327}
{' No': -0.5408508, '\n': -5.152648, 'No': -4.205947, ' Yes': -0.9502136, 'Yes': -4.6339674}
{' No': -2.007871, '\n': -4.5780215, 'No': -5.671937, ' Yes': -0.1778863, 'Yes': -4.234849}
{' No': -3.941206, '\n': -5.461834, ' Yes': -0.0343647, ' yes': -8.008841, 'Yes': -4.700554}
{' No': -0.19186985, '\n': -3.4178276, 'No': -4.1562138, ' Yes': -2.0970652, 'Yes': -6.643551}
{' Yes': -0.68452656, ' No': -1.1428243, '\n': -2.2551234, ' Sur': -2.9500983, 'Yes': -4.674837}
{' No': -0.011525119, 'No': -4.867657, '\n': -5.9696126, ' Yes': -7.0159254, ' ': -8.810231}
{' No': -2.0934024, '\n': -4.343618, 'No': -6.097907, ' Yes': -0.16861287, 'Yes': -4.2395945}
{' Yes': -0.1664837, '\n': -2.9163556, ' No': -3.0616555, 'Yes': -3.0922935, 'No': -5.323197}
{' Yes': -0.12687159, '\n': -3.0465379, 'Yes': -3.144005, ' No': -3.722464, 'No': -6.0566444}
{' Yes': -0.8888333, ' No': -1.0286343, '\n': -1.8151581, 'No': -3.2129068, 'Yes': -3.7317476}
{' No': -4.023765, '\n': -2.0926416, ' ': -6.2485576, ' Yes': -0.20989199, 'Yes': -3.116964}
{' No': -0.23022301, 'No': -2.2390904, '\n': -2.385506, ' Yes': -5.616796, ' ': -6.175651}
{' Yes': -0.53344256, ' No': -1.2502452, '\n': -2.7643976, 'Yes': -3.3761337, 'No': -3.6095858}
{' Yes': -0.051172134, 'Yes': -3.4470348, '\n': -4.164415, ' No': -6.745205, ' ': -7.270893}
{' No': -6.233194, '\n': -3.7683446, ' ': -7.166038, ' Yes': -0.0685883, 'Yes': -3.2289445}
{' No': -4.905947, '\n': -2.698056, ' ': -6.2399826, ' Yes': -0.13077986, 'Yes': -3.1249204}
{'\n': -2.995393, ' ': -6.563752, ' Yes': -0.10498203, ' yes': -7.8237214, 'Yes': -3.0521464}
{' No': -0.816376, ' Yes': -1.3518755, '\n': -1.6298848, 'No': -2.6942942, 'Yes': -4.127716}
{' No': -2.6675994, '\n': -2.9022472, 'No': -4.8084893, ' Yes': -0.19440347, 'Yes': -3.1910195}
{' No': -2.8694332, '\n': -3.7653456, 'No': -5.308541, ' Yes': -0.12740219, 'Yes': -3.403401}
{' No': -2.30085, '\n': -3.4569452, 'No': -4.935011, ' Yes': -0.17474748, 'Yes': -3.9569585}
{' No': -0.65757275, ' Yes': -1.2768203, '\n': -1.8351812, 'No': -3.4955797, 'Yes': -4.529315}
{' No': -0.385966, ' Yes': -1.5270773, '\n': -2.752192, 'No': -3.5051122, 'Yes': -5.175732}
{' Yes': -0.23410198, ' No': -1.9397808, '\n': -3.5396209, 'Yes': -3.7272315, 'No': -4.7332416}
{' No': -1.0508425, '\n': -2.5444376, 'No': -3.66663, ' Yes': -0.64427584, 'Yes': -4.12084}
{' No': -0.9709197, '\n': -1.2954532, 'No': -3.5492697, ' Yes': -1.2102767, 'Yes': -4.6573935}
{' No': -4.3960896, '\n': -2.0192506, ' ': -7.001629, ' Yes': -0.18826857, 'Yes': -3.719738}
{' No': -0.37279204, '\n': -1.5932261, 'No': -2.9960105, ' Yes': -3.3577602, ' Unfortunately': -4.3866525}
{' No': -0.3904877, '\n': -1.9660207, 'No': -3.201147, ' Yes': -2.0437336, 'Yes': -5.473364}
{' Yes': -0.015247875, 'Yes': -4.2807946, '\n': -6.990177, ' yes': -8.843277, ' No': -9.334845}
{' Yes': -0.020762365, 'Yes': -4.03918, '\n': -6.4281697, ' No': -7.147656, ' yes': -8.094828}
{' Yes': -0.013928798, 'Yes': -4.4655943, '\n': -6.5329566, ' Sur': -8.066718, ' yes': -8.493958}
{' Yes': -0.022770459, 'Yes': -4.3203797, ' No': -4.867991, '\n': -7.3459377, ' yes': -7.8191547}
{' No': -6.900009, '\n': -7.892192, ' Yes': -0.011441189, ' yes': -8.287757, 'Yes': -4.6517324}
{' No': -0.13163495, '\n': -4.4879484, 'No': -3.656089, ' Yes': -2.479436, 'Yes': -6.4303203}
{' No': -0.3871778, '\n': -3.6024544, 'No': -3.5850825, ' Yes': -1.3538011, 'Yes': -5.084611}
{' No': -0.33893088, '\n': -3.6794553, 'No': -3.6724744, ' Yes': -1.4699084, 'Yes': -5.470326}
{' Yes': -0.09590883, ' No': -2.6521242, 'Yes': -4.2285876, '\n': -5.5421104, 'No': -6.2744}
{' No': -2.2395976, '\n': -5.403229, 'No': -6.0760803, ' Yes': -0.13462485, 'Yes': -4.4548264}
{' No': -0.42881617, '\n': -3.8897, 'No': -4.1340203, ' Yes': -1.1859535, 'Yes': -5.126726}
{' No': -0.49280912, ' Yes': -1.0470655, 'No': -4.0594177, '\n': -4.305889, 'Yes': -5.083088}
{' No': -0.399691, ' Yes': -1.1926272, 'No': -4.433487, '\n': -4.709572, 'Yes': -5.84618}
{' Yes': -0.23317814, ' No': -1.934682, ' Sur': -3.3549757, 'Yes': -4.398455, '\n': -4.499175}
{' No': -0.13242033, '\n': -4.9806733, 'No': -3.8607395, ' Yes': -2.369315, 'Yes': -6.203995}
{' Yes': -0.038432524, 'Yes': -3.8460915, '\n': -4.2406683, ' No': -6.996045, ' ': -7.7963643}
{' No': -3.8214083, '\n': -2.7574396, 'No': -6.5846105, ' Yes': -0.12037954, 'Yes': -3.7393103}
{' No': -3.4316583, '\n': -2.8199868, 'No': -6.2793446, ' Yes': -0.12203456, 'Yes': -4.021475}
{'\n': -2.8104744, ' ': -6.7323127, ' Yes': -0.12091483, ' yes': -7.575936, 'Yes': -2.9760058}
{' No': -1.7872925, '\n': -1.9089907, 'No': -4.6086636, ' Yes': -0.43596262, 'Yes': -4.056221}
{' No': -3.352523, '\n': -5.2677145, 'No': -7.2259684, ' Yes': -0.054992177, 'Yes': -4.3990316}
{' No': -0.07703097, '\n': -4.149712, 'No': -3.593058, ' Yes': -3.5166671, 'Yes': -7.3341866}
{' No': -0.1301946, '\n': -2.9623077, ' ': -6.404635, 'No': -4.0288415, ' Yes': -3.0242658}
{' No': -4.0602965, '\n': -2.8397648, ' Yes': -0.2332148, ' Sur': -2.2961972, 'Yes': -3.6538997}
{' No': -0.039472107, '\n': -4.951291, ' ': -8.427691, 'No': -3.5504675, ' Yes': -6.00591}
{' No': -0.91395706, '\n': -4.064731, 'No': -4.436258, ' Yes': -0.5883898, 'Yes': -4.2899165}
{' Yes': -0.018569969, 'Yes': -4.8211894, ' No': -5.2007313, '\n': -5.4001293, ' ': -8.925755}
{' No': -6.1543717, '\n': -5.3704157, ' Yes': -0.020201622, ' yes': -8.534117, 'Yes': -4.355857}
{' Yes': -0.5417202, ' No': -0.9681289, '\n': -3.720456, 'No': -5.031729, 'Yes': -5.2957463}
{' Yes': -0.058539376, '\n': -3.5949678, 'Yes': -4.077739, ' No': -5.1654654, ' Sur': -5.1917086}
{' No': -0.032217737, ' Not': -8.60847, '\n': -5.360415, 'No': -3.762078, ' Yes': -5.751656}
{' No': -0.0802542, ' Yes': -3.203526, 'No': -3.9161954, '\n': -4.2274117, 'Yes': -6.985485}
{' No': -0.5625867, ' Yes': -0.9781332, 'No': -3.7470372, '\n': -3.9854035, 'Yes': -4.4641747}
{' No': -0.10169761, ' Yes': -2.7455955, 'No': -3.66617, '\n': -5.236963, 'Yes': -6.582113}
{' No': -0.028418452, '\n': -5.5871334, ' ': -8.8064785, 'No': -3.7682617, ' Yes': -6.9411225}
{' No': -0.083899856, '\n': -3.2800417, 'No': -3.3774254, ' Yes': -5.050555, ' Sur': -6.587117}
{' No': -0.04123619, 'No': -3.3048394, '\n': -5.957494, ' Yes': -7.228236, ' ': -9.103368}
{' No': -0.6332165, '\n': -3.638036, 'No': -3.982982, ' Yes': -0.8983532, 'Yes': -4.1975055}
{' Yes': -0.01733583, 'Yes': -4.5409274, '\n': -5.303465, ' No': -6.8336697, ' ': -8.155218}
{' No': -8.215532, '\n': -4.7446823, ' Yes': -0.025096983, ' yes': -8.052954, 'Yes': -4.185648}
{' Yes': -0.75203764, ' No': -0.7686717, '\n': -3.1264236, ' Hospital': -4.943444, 'No': -4.9491677}
{' Yes': -0.81276697, '\n': -1.329872, ' No': -1.9738693, ' Sur': -2.0465088, 'Yes': -4.4160748}
{' No': -0.06216665, 'No': -3.7084029, ' Yes': -3.97205, '\n': -4.167956, 'Yes': -7.7651844}
{' No': -5.581086, '\n': -4.5183196, ' Yes': -0.03759154, ' Patient': -7.3557005, 'Yes': -3.9160132}
{' No': -4.6228633, '\n': -3.1562567, ' ': -6.9380803, ' Yes': -0.09001267, 'Yes': -3.4503334}
{' Yes': -0.07318229, '\n': -3.3797386, 'Yes': -3.42307, ' No': -5.961659, ' ': -7.3159494}
{' Yes': -0.15483002, ' No': -2.7249956, '\n': -3.1117105, 'Yes': -3.6143446, 'No': -5.391013}
{' No': -5.606316, '\n': -2.4825828, ' ': -6.940068, ' Yes': -0.14551808, 'Yes': -3.0671086}
{' No': -0.15018745, '\n': -2.6214838, ' ': -6.661497, 'No': -2.8194342, ' Yes': -5.359788}
{' Yes': -0.71806383, ' No': -1.030499, '\n': -2.2520852, 'No': -3.7536738, 'Yes': -3.7596476}
{' No': -6.4325156, '\n': -3.329736, ' ': -6.9807367, ' Yes': -0.092722975, 'Yes': -3.006425}
{'\n': -3.7847154, ' ': -7.489359, ' Yes': -0.0777817, ' yes': -8.162962, 'Yes': -2.9810903}
{' Yes': -0.19512892, '\n': -2.2465377, 'Yes': -2.9927018, ' No': -4.137454, 'No': -5.9616637}
{' Yes': -0.18977082, '\n': -2.3120453, 'Yes': -2.6467164, ' ': -6.3855634, ' yes': -7.802878}
{' No': -0.7280553, '\n': -1.2897675, ' Yes': -2.015941, 'No': -2.5334105, ' Unfortunately': -4.494945}
{' No': -3.0892084, '\n': -2.5665796, 'No': -4.907785, ' Yes': -0.21834554, 'Yes': -2.7651858}
{' No': -2.5161853, '\n': -2.2439437, 'No': -4.575221, ' Yes': -0.28177017, 'Yes': -3.0883155}
{' Yes': -0.16967559, ' No': -2.6366975, '\n': -2.9265878, 'Yes': -3.861402, 'No': -5.192093}
{' No': -0.69689816, '\n': -1.5160663, 'No': -2.9280837, ' Yes': -1.5468851, 'Yes': -4.3517213}
{' No': -0.6920653, ' Yes': -1.2092505, '\n': -1.848279, 'No': -3.5050974, 'Yes': -4.6096735}
{' Yes': -0.34745452, ' No': -1.9140933, '\n': -2.4421942, 'Yes': -3.2996829, 'No': -4.172102}
{' No': -3.163509, '\n': -2.3733747, 'No': -5.5055327, ' Yes': -0.19387028, 'Yes': -3.3890224}
{' No': -2.4262416, '\n': -2.4775343, 'No': -4.9822893, ' Yes': -0.23239608, 'Yes': -3.8123522}
{' Yes': -0.090080574, '\n': -2.901955, 'Yes': -3.5612872, ' ': -6.87117, ' Sur': -7.093769}
{' No': -0.52702284, '\n': -1.717052, 'No': -3.2865689, ' Yes': -1.7463832, 'Yes': -5.01093}
{' No': -0.62492067, '\n': -1.7542466, 'No': -3.1694534, ' Yes': -1.4889247, 'Yes': -4.5177464}
{'\n': -6.4794946, ' ': -9.131655, ' Yes': -0.01630664, ' yes': -9.322006, 'Yes': -4.242932}
{'\n': -6.436709, ' ': -9.190015, ' Yes': -0.017506748, ' yes': -7.8763127, 'Yes': -4.1912966}
