{' B': -0.23135017, ' A': -1.5809976, ' "': -7.9659996, ' (': -9.101056, ' b': -9.176633}
{' B': -0.4325198, ' A': -1.0476472, ' "': -8.786174, " '": -9.8009205, ' (': -9.912826}
{' A': -0.9866704, ' B': -0.46703607, ' (': -9.803969, ' "': -9.064899, " '": -10.06521}
{' A': -0.82440823, ' B': -0.57780516, ' (': -9.779191, ' "': -8.804721, " '": -9.79263}
{' A': -1.3628731, ' B': -0.29606244, ' (': -9.850701, ' "': -9.003296, " '": -9.893946}
{' B': -0.67490524, ' A': -0.71248376, ' "': -8.881275, ' (': -9.624964, " '": -9.90227}
{' A': -0.54269385, ' B': -0.87129754, ' (': -9.606199, ' "': -8.670871, " '": -9.710554}
{' A': -0.6788452, ' B': -0.7084015, ' (': -9.745023, ' "': -8.885264, " '": -9.863012}
{' A': -0.4580858, ' B': -1.002098, ' (': -9.576498, ' "': -8.792608, " '": -9.831255}
{' A': -0.8529523, ' B': -0.55605066, ' (': -9.75407, ' "': -8.864986, " '": -9.802213}
{' b': -10.208517, ' A': -2.5581608, ' B': -0.0808735, ' "': -9.300077, " '": -10.274967}
{' A': -0.22575873, ' B': -1.6009227, ' "': -8.801378, ' (': -9.688509, 'A': -9.723028}
{' A': -0.3295303, ' B': -1.2716231, ' "': -8.96087, ' (': -9.613471, 'A': -9.785148}
{' A': -0.061741456, ' B': -2.8211713, ' "': -9.0776825, ' (': -9.555515, 'A': -9.626569}
{' A': -0.30082098, 'A': -9.778241, ' B': -1.3493935, ' (': -9.477094, ' "': -8.859019}
{' A': -0.1384467, 'A': -9.716912, ' B': -2.0485396, ' (': -9.485909, ' "': -8.945619}
{' A': -0.031651236, ' B': -3.4791245, ' "': -9.089565, ' (': -9.535438, 'A': -9.696287}
{' A': -0.03646828, 'A': -9.65159, ' B': -3.3383443, ' (': -9.573991, ' "': -9.168249}
{' A': -0.04666713, ' B': -3.0950162, ' "': -9.108161, ' (': -9.608188, 'A': -9.673601}
{' A': -0.016696334, 'A': -9.691861, ' B': -4.117589, ' (': -9.774481, ' "': -9.329177}
{' A': -0.18932623, 'A': -9.736756, ' B': -1.7595814, ' (': -9.602827, ' "': -8.91317}
{' A': -0.0050283303, ' B': -5.3517613, ' "': -9.283205, ' (': -9.668103, 'A': -9.78184}
{' A': -0.013570087, 'A': -9.666885, ' B': -4.325759, ' (': -9.788712, ' "': -9.486217}
{' A': -0.012096102, 'A': -9.692917, ' B': -4.4448733, ' (': -9.664773, ' "': -9.296515}
{' A': -0.016097168, 'A': -9.665884, ' B': -4.1541066, ' (': -9.766143, ' "': -9.399373}
{' A': -0.0054174303, ' B': -5.269686, ' "': -9.478739, ' (': -9.682761, 'A': -9.720492}
{' A': -0.006422219, 'A': -9.718615, ' B': -5.095827, ' (': -9.711711, ' "': -9.265282}
{' A': -0.01155219, ' B': -4.490834, ' "': -9.350601, 'A': -9.70625, ' (': -9.718903}
{' A': -0.00971475, ' B': -4.667546, ' "': -9.3679495, 'A': -9.67219, ' (': -9.7435255}
{' A': -0.00561222, 'A': -9.707125, ' B': -5.2319303, ' (': -9.776279, ' "': -9.462766}
{' A': -0.017820515, 'A': -9.69914, ' B': -4.052996, ' (': -9.824869, ' "': -9.135797}
{' A': -0.0018368678, 'A': -9.712616, ' B': -6.4881167, ' (': -9.276065, ' "': -9.252756}
{' A': -1.9771522, ' B': -0.14943165, ' (': -9.970906, ' "': -8.8250675, " '": -9.795477}
{' A': -1.1669352, ' B': -0.37356403, ' (': -9.644548, ' "': -8.667853, " '": -9.641111}
{' A': -1.638943, ' B': -0.21636236, ' (': -9.737777, ' "': -8.780642, " '": -9.71852}
{' B': -0.41808602, ' A': -1.0751448, ' "': -8.610052, ' (': -9.429475, " '": -9.507047}
{' B': -0.34440544, ' A': -1.2346108, ' "': -8.661858, " '": -9.597781, ' (': -9.738299}
{' A': -0.9024651, ' B': -0.52088857, ' (': -9.64245, ' "': -8.564662, " '": -9.4917345}
{' A': -0.8033001, ' B': -0.5946399, ' (': -9.534876, ' "': -8.821126, " '": -9.749026}
{' A': -0.49276912, ' B': -0.94528174, ' "': -8.465059, " '": -9.360577, ' (': -9.397521}
{' A': -1.2002009, ' B': -0.3588846, ' (': -9.536862, ' "': -8.723447, " '": -9.583079}
{' A': -0.5677141, ' B': -0.8376383, ' (': -9.334956, ' "': -8.661582, " '": -9.53967}
{' A': -0.4821328, ' B': -0.9622239, ' (': -9.322638, ' "': -8.4686985, " '": -9.39449}
{' A': -0.6383455, ' B': -0.7520597, ' "': -8.626655, ' (': -9.505578, " '": -9.525158}
{' A': -0.39979234, ' B': -1.1114355, ' "': -8.630038, ' (': -9.371466, " '": -9.54681}
{' A': -0.68792987, ' B': -0.69928813, ' (': -9.481563, ' "': -8.641308, " '": -9.502881}
{' b': -10.315019, ' A': -2.4431288, ' B': -0.091190554, ' "': -9.154455, " '": -10.035144}
{' A': -0.21366557, ' B': -1.6507993, ' (': -9.329382, ' "': -8.510032, " '": -9.444174}
{' A': -0.21174684, ' B': -1.6584766, ' (': -9.437237, ' "': -8.81063, " '": -9.715197}
{' A': -0.03445039, ' B': -3.3974683, ' "': -8.819659, ' (': -9.285507, 'A': -9.639383}
{' A': -0.26997125, ' B': -1.4433587, ' (': -9.244289, ' "': -8.63708, " '": -9.527338}
{' A': -0.11171959, ' B': -2.251263, ' (': -9.253057, ' "': -8.709778, " '": -9.55984}
{' A': -0.029816598, ' B': -3.5417333, ' (': -9.217202, ' "': -8.769496, " '": -9.653943}
{' A': -0.034242257, 'A': -9.691341, ' B': -3.402677, ' (': -9.296664, ' "': -8.92369}
{' A': -0.039875817, 'A': -9.706182, ' B': -3.2518508, ' (': -9.293602, ' "': -8.873565}
{' A': -0.012676222, 'A': -9.709293, ' B': -4.403688, ' (': -9.386269, ' "': -8.948578}
{' A': -0.15528932, ' B': -1.9421431, ' (': -9.312059, ' "': -8.709261, " '": -9.545646}
{' A': -0.007912888, ' B': -4.8930845, ' (': -9.289171, ' "': -8.841409, " '": -9.647685}
{' A': -0.013989967, 'A': -9.714226, ' B': -4.2990236, ' (': -9.492234, ' "': -9.202399}
{' A': -0.012514761, 'A': -9.71392, ' B': -4.417256, ' (': -9.305435, ' "': -8.967684}
{' A': -0.020424495, 'A': -9.699317, ' B': -3.9192374, ' (': -9.325586, ' "': -9.009342}
{' A': -0.007890661, 'A': -9.731634, ' B': -4.89048, ' (': -9.3133745, ' "': -9.114927}
{' A': -0.00700956, 'A': -9.736942, ' B': -5.0177627, ' (': -9.348827, ' "': -8.926433}
{' A': -0.014669288, ' B': -4.2534595, ' "': -9.043574, ' (': -9.395718, 'A': -9.730057}
{' A': -0.015331819, 'A': -9.683363, ' B': -4.209664, ' (': -9.341978, ' "': -8.984739}
{' A': -0.006921447, 'A': -9.735856, ' B': -5.02692, ' (': -9.368003, ' "': -9.075507}
{' A': -0.016531555, ' B': -4.132927, ' (': -9.485695, ' "': -8.898889, " '": -9.730458}
{' A': -0.002524717, 'A': -9.729673, ' B': -6.1427183, ' (': -9.221707, ' "': -8.935958}
{' A': -2.1612327, ' B': -0.12266229, ' (': -10.238285, ' "': -9.24348, " '": -10.155065}
{' A': -1.4677169, ' B': -0.26233545, ' (': -9.977369, ' "': -9.086866, " '": -10.014317}
{' B': -0.14663851, ' A': -1.9942927, ' "': -9.142805, " '": -10.0313225, ' (': -10.055945}
{' A': -1.2544677, ' B': -0.33626825, ' (': -9.703752, ' "': -8.976704, " '": -9.855053}
{' A': -1.919155, ' B': -0.1589945, ' (': -10.225282, ' "': -9.233884, " '": -10.082433}
{' A': -1.0369902, ' B': -0.438302, ' (': -9.854066, ' "': -8.892753, " '": -9.777586}
{' A': -1.0140127, ' B': -0.45109692, ' (': -9.81292, ' "': -9.138842, " '": -10.018211}
{' B': -0.5712204, ' A': -0.83284384, ' "': -8.935898, ' (': -9.726205, " '": -9.79335}
{' A': -1.4434389, ' B': -0.26976147, ' (': -9.818761, ' "': -9.034674, " '": -9.909463}
{' A': -0.69307303, ' B': -0.6939275, ' (': -9.605681, ' "': -8.9759245, " '": -9.862034}
{' A': -0.436213, ' B': -1.0409513, ' (': -9.462294, ' "': -8.794594, " '": -9.7167}
{' A': -0.7496405, ' B': -0.6403037, ' (': -9.788982, ' "': -9.046362, " '": -9.87054}
{' A': -0.5057078, ' B': -0.92493546, ' (': -9.58801, ' "': -8.959571, " '": -9.855668}
{' A': -0.8996405, ' B': -0.522672, ' (': -9.740085, ' "': -8.979163, " '": -9.793608}
{' b': -10.294096, ' A': -2.713734, ' B': -0.068815455, ' "': -9.497902, " '": -10.339317}
{' A': -0.23344007, ' B': -1.5712047, ' "': -8.753701, ' (': -9.51276, " '": -9.779003}
{' A': -0.29091448, 'A': -9.823792, ' B': -1.3779907, ' (': -9.64328, ' "': -9.076779}
{' A': -0.08012426, 'A': -9.720423, ' B': -2.5682318, ' (': -9.508861, ' "': -9.124861}
{' A': -0.34036332, ' B': -1.2444522, ' "': -8.884477, ' (': -9.440117, " '": -9.791305}
{' A': -0.14780241, ' B': -1.9875033, ' "': -9.003027, ' (': -9.4177685, 'A': -9.788268}
{' A': -0.030721176, ' B': -3.5084949, ' "': -9.167603, ' (': -9.462446, 'A': -9.782246}
{' A': -0.0327895, 'A': -9.730945, ' B': -3.4431229, ' (': -9.579922, ' "': -9.285961}
{' A': -0.06440468, 'A': -9.740822, ' B': -2.7799904, ' (': -9.483642, ' "': -9.081437}
{' A': -0.021472672, 'A': -9.7666, ' B': -3.8648543, ' (': -9.673633, ' "': -9.331991}
{' A': -0.26263964, ' B': -1.4669853, ' (': -9.562772, ' "': -8.974484, " '": -9.791452}
{' A': -0.004957283, 'A': -9.902393, ' B': -5.3657093, ' (': -9.5925455, ' "': -9.332284}
{' A': -0.016637001, 'A': -9.744049, ' B': -4.119828, ' (': -9.762155, ' "': -9.50413}
{' A': -0.012283019, 'A': -9.7722025, ' B': -4.427894, ' (': -9.636909, ' "': -9.396688}
{' A': -0.019831898, 'A': -9.736999, ' B': -3.9445238, ' (': -9.6659565, ' "': -9.364475}
{' A': -0.008164888, 'A': -9.782717, ' B': -4.8445144, ' (': -9.622467, ' "': -9.483535}
{' A': -0.0074668047, 'A': -9.813234, ' B': -4.9386306, ' (': -9.612776, ' "': -9.333745}
{' A': -0.013041438, 'A': -9.768829, ' B': -4.3668375, ' (': -9.711711, ' "': -9.422327}
{' A': -0.01995332, 'A': -9.69832, ' B': -3.9389288, ' (': -9.649233, ' "': -9.322507}
{' A': -0.00976019, 'A': -9.776519, ' B': -4.661146, ' (': -9.671328, ' "': -9.469809}
{' A': -0.022272767, 'A': -9.771658, ' B': -3.8279366, ' (': -9.804785, ' "': -9.299403}
{' A': -0.0019996043, 'A': -9.819521, ' B': -6.374699, ' (': -9.265662, ' "': -9.386828}
{' A': -1.864694, ' B': -0.16874065, ' (': -9.859216, ' "': -8.936889, " '": -9.868564}
{' A': -0.85493875, ' B': -0.55457705, ' (': -9.601991, ' "': -8.828198, " '": -9.737321}
{' A': -1.4225402, ' B': -0.2763723, ' (': -9.645514, ' "': -8.837163, " '": -9.739633}
{' A': -0.7812807, ' B': -0.6129286, ' (': -9.400934, ' "': -8.755129, " '": -9.593406}
{' A': -1.3594748, ' B': -0.29724184, ' (': -9.872588, ' "': -8.940784, " '": -9.866628}
{' A': -0.6708676, ' B': -0.71677554, ' (': -9.604153, ' "': -8.714948, " '": -9.675043}
{' B': -0.64314216, ' A': -0.74656814, ' "': -8.936867, ' (': -9.545097, " '": -9.762989}
{' A': -0.5176565, ' B': -0.9071676, ' (': -9.483585, ' "': -8.7237625, " '": -9.576247}
{' A': -1.0340983, ' B': -0.43995154, ' (': -9.561868, ' "': -8.83721, " '": -9.671613}
{' A': -0.4357783, ' B': -1.0417984, ' (': -9.332742, ' "': -8.786724, " '": -9.642435}
{' A': -0.2557698, ' B': -1.4905854, ' (': -9.276025, ' "': -8.695391, " '": -9.577706}
{' A': -0.4854299, ' B': -0.9566634, ' (': -9.5374975, ' "': -8.832498, " '": -9.645832}
{' A': -0.3543423, ' B': -1.2107762, ' (': -9.446196, ' "': -8.847042, " '": -9.692216}
{' A': -0.5985983, ' B': -0.7984789, ' (': -9.5159, ' "': -8.802544, " '": -9.611671}
{' b': -10.33594, ' A': -2.3755805, ' B': -0.097843796, ' "': -9.304133, " '": -10.136296}
{' A': -0.13239734, 'A': -9.700744, ' B': -2.0908058, ' (': -9.428392, ' "': -8.726234}
{' A': -0.18757974, 'A': -9.751235, ' B': -1.7680241, ' (': -9.506446, ' "': -8.957531}
{' A': -0.043755922, 'A': -9.70233, ' B': -3.158925, ' (': -9.441834, ' "': -9.072275}
{' A': -0.1856371, ' B': -1.777821, ' "': -8.807219, ' (': -9.292917, " '": -9.662622}
{' A': -0.09386072, ' B': -2.4171088, ' (': -9.242294, ' "': -8.84042, " '": -9.615458}
{' A': -0.011382469, ' B': -4.51036, ' "': -9.1650505, ' (': -9.349033, 'A': -9.800813}
{' A': -0.019299868, 'A': -9.740448, ' B': -3.9740956, ' (': -9.383803, ' "': -9.225959}
{' A': -0.03290893, ' B': -3.4412568, ' "': -9.063975, ' (': -9.362393, 'A': -9.719538}
{' A': -0.008953015, ' B': -4.7527785, ' "': -9.341204, ' (': -9.532325, 'A': -9.783798}
{' A': -0.14180122, ' B': -2.0262806, ' (': -9.454871, ' "': -8.9109125, " '": -9.704881}
{' A': -0.0035237966, 'A': -9.9099245, ' B': -5.7388577, ' (': -9.426687, ' "': -9.244503}
{' A': -0.011037686, 'A': -9.743187, ' B': -4.5379925, ' (': -9.574578, ' "': -9.370813}
{' A': -0.0069108265, 'A': -9.796958, ' B': -5.0260396, ' (': -9.394134, ' "': -9.145901}
{' A': -0.010942648, 'A': -9.752636, ' B': -4.549635, ' (': -9.4501705, ' "': -9.221366}
{' A': -0.003986276, ' B': -5.605781, ' "': -9.288747, ' (': -9.396226, 'A': -9.8069725}
{' A': -0.0040589296, 'A': -9.820922, ' B': -5.588461, ' (': -9.240948, ' "': -9.324357}
{' A': -0.0066695237, 'A': -9.774675, ' B': -5.061807, ' (': -9.444841, ' "': -9.202432}
{' A': -0.009924281, 'A': -9.756799, ' B': -4.650847, ' (': -9.401729, ' "': -9.171684}
{' A': -0.0050066444, ' B': -5.3626533, ' (': -9.274739, ' "': -9.341558, 'A': -9.780472}
{' A': -0.013680299, 'A': -9.728934, ' B': -4.323487, ' (': -9.474608, ' "': -9.066743}
{' A': -0.0012912257, ' B': -6.9788146, ' (': -9.012522, ' "': -9.159504, 'A': -9.779592}
{' A': -1.8881142, ' B': -0.16444707, ' (': -10.076318, ' "': -9.109641, " '": -10.007383}
{' A': -1.1716044, ' B': -0.37134784, ' (': -9.836306, ' "': -8.967948, " '": -9.863076}
{' A': -1.641207, ' B': -0.21573487, ' (': -9.921017, ' "': -9.047163, " '": -9.941561}
{' A': -0.95098287, ' B': -0.488962, ' (': -9.517226, ' "': -8.876374, " '": -9.72275}
{' A': -1.5922146, ' B': -0.22785965, ' (': -10.0952425, ' "': -9.107283, " '": -10.035147}
{' A': -0.77946675, ' B': -0.6143724, ' (': -9.791824, ' "': -8.827677, " '": -9.765114}
{' A': -0.8766419, ' B': -0.5387112, ' (': -9.74591, ' "': -9.053225, " '": -10.014312}
{' A': -0.57350713, ' B': -0.8299406, ' (': -9.621849, ' "': -8.838333, " '": -9.669189}
{' A': -1.136968, ' B': -0.38733232, ' (': -9.730721, ' "': -8.970963, " '": -9.77683}
{' A': -0.5920515, ' B': -0.8064699, ' (': -9.511108, ' "': -8.883405, " '": -9.734933}
{' A': -0.2862053, ' B': -1.3923035, ' (': -9.469224, ' "': -8.845169, " '": -9.680268}
{' A': -0.55655, ' B': -0.8522195, ' (': -9.734916, ' "': -8.963345, " '": -9.783558}
{' A': -0.40462273, ' B': -1.1014078, ' (': -9.619023, ' "': -8.9013815, " '": -9.826869}
{' A': -0.6898271, ' B': -0.69718933, ' (': -9.708559, ' "': -8.965581, " '": -9.767411}
{' b': -10.532972, ' A': -2.334591, ' B': -0.10211394, ' "': -9.382712, " '": -10.283965}
{' A': -0.17814268, ' B': -1.8154355, ' "': -8.7590065, ' (': -9.504247, " '": -9.683301}
{' A': -0.23943208, 'A': -9.784003, ' B': -1.5484264, ' (': -9.618047, ' "': -9.044182}
{' A': -0.062502936, 'A': -9.712258, ' B': -2.8094168, ' (': -9.4446945, ' "': -9.046236}
{' A': -0.23265396, ' B': -1.5741856, ' (': -9.414942, ' "': -8.855172, " '": -9.701496}
{' A': -0.09675037, 'A': -9.746868, ' B': -2.3873768, ' (': -9.550989, ' "': -9.04174}
{' A': -0.014410687, ' B': -4.2670884, ' "': -9.321606, ' (': -9.540929, 'A': -9.809225}
{' A': -0.031133616, ' B': -3.4950597, ' "': -9.221051, ' (': -9.544678, 'A': -9.744651}
{' A': -0.04219942, 'A': -9.754743, ' B': -3.1943407, ' (': -9.488051, ' "': -9.102534}
{' A': -0.013583017, 'A': -9.759969, ' B': -4.3267984, ' (': -9.660946, ' "': -9.316995}
{' A': -0.18862247, ' B': -1.7629765, ' "': -8.91006, ' (': -9.584546, 'A': -9.768228}
{' A': -0.004583093, 'A': -9.884248, ' B': -5.4507365, ' (': -9.621993, ' "': -9.305948}
{' A': -0.020103458, ' B': -3.9305592, ' "': -9.37423, ' (': -9.743803, 'A': -9.759336}
{' A': -0.011075774, ' B': -4.535053, ' "': -9.301702, ' (': -9.609523, 'A': -9.777862}
{' A': -0.020422852, 'A': -9.7504835, ' B': -3.9165387, ' (': -9.546855, ' "': -9.224103}
{' A': -0.0066944854, ' B': -5.052196, ' "': -9.382767, ' (': -9.573616, 'A': -9.798692}
{' A': -0.0048246738, ' B': -5.3975897, ' "': -9.310507, ' (': -9.5632515, 'A': -9.8266}
{' A': -0.0076654735, ' B': -4.9105606, ' "': -9.386575, ' (': -9.701308, 'A': -9.7772}
{' A': -0.0145890275, 'A': -9.750863, ' B': -4.2555404, ' (': -9.580743, ' "': -9.254239}
{' A': -0.0075558047, 'A': -9.786022, ' B': -4.9262033, ' (': -9.639959, ' "': -9.365477}
{' A': -0.016049799, 'A': -9.807814, ' B': -4.1594095, ' (': -9.736611, ' "': -9.067457}
{' A': -0.0014520831, ' B': -6.753948, ' "': -9.316198, ' (': -9.535022, 'A': -9.768229}
{' b': -9.785603, ' A': -1.6517639, ' B': -0.21340182, ' "': -8.560366, " '": -9.59408}
{' A': -0.8210397, ' B': -0.5807004, ' (': -9.683556, ' "': -8.412461, " '": -9.479822}
{' b': -9.823926, ' A': -1.3672615, ' B': -0.2947498, ' "': -8.5307665, " '": -9.551184}
{' A': -0.78227854, ' B': -0.61234146, ' (': -9.495961, ' "': -8.384644, " '": -9.357805}
{' A': -1.120226, ' B': -0.39555377, ' (': -9.844223, ' "': -8.535101, " '": -9.5004225}
{' A': -0.5620954, ' B': -0.8452756, ' (': -9.635565, ' "': -8.411716, " '": -9.436418}
{' A': -0.5325062, 'A': -9.677138, ' B': -0.88578916, ' "': -8.579703, " '": -9.591794}
{' A': -0.45849556, ' B': -1.0017943, ' "': -8.383667, " '": -9.367442, ' (': -9.575423}
{' B': -0.5706066, ' A': -0.834061, ' "': -8.426725, " '": -9.398292, ' (': -9.626836}
{' A': -0.41364738, ' B': -1.0840442, ' (': -9.516451, ' "': -8.412237, " '": -9.411586}
{' A': -0.1802493, ' B': -1.8054876, ' (': -9.454533, ' "': -8.388244, " '": -9.438782}
{' A': -0.36570838, ' B': -1.1848747, ' (': -9.608895, ' "': -8.471637, " '": -9.462878}
{' A': -0.28564593, 'A': -9.536772, ' B': -1.3945022, ' "': -8.457001, " '": -9.510396}
{' A': -0.4676061, ' B': -0.98623705, ' "': -8.452354, " '": -9.429893, ' (': -9.660637}
{' B': -0.11380471, ' A': -2.2330828, ' "': -8.866397, ' b': -9.59992, " '": -9.834224}
{' A': -0.07982499, 'A': -9.354251, ' B': -2.5738187, ' "': -8.512698, " '": -9.570092}
{' A': -0.14904635, ' B': -1.9803069, ' "': -8.685526, 'A': -9.415339, ' (': -9.65922}
{' A': -0.043445792, 'A': -9.365267, ' B': -3.1683197, ' (': -9.574688, ' "': -8.669303}
{' A': -0.16792573, 'A': -9.437012, ' B': -1.8702953, ' "': -8.484684, " '": -9.508726}
{' A': -0.07189574, 'A': -9.440607, ' B': -2.6745224, ' (': -9.557736, ' "': -8.714478}
{' A': -0.010899262, 'A': -9.421574, ' B': -4.5608315, ' (': -9.527347, ' "': -8.863214}
{' A': -0.018157268, ' B': -4.0381365, ' "': -8.95934, 'A': -9.417185, ' (': -9.645767}
{' A': -0.03100382, 'A': -9.40848, ' B': -3.502235, ' (': -9.655413, ' "': -8.801607}
{' A': -0.0069561405, 'A': -9.41663, ' B': -5.0234203, ' (': -9.832875, ' "': -8.96899}
{' A': -0.07223672, 'A': -9.408482, ' B': -2.669895, ' "': -8.694328, " '": -9.653808}
{' A': -0.0025110343, 'A': -9.496485, ' B': -6.1460366, ' (': -9.627311, ' "': -8.890086}
{' A': -0.012227449, 'A': -9.4021015, ' B': -4.4391356, ' (': -9.785107, ' "': -9.012752}
{' A': -0.0070313495, 'A': -9.426028, ' B': -5.0149546, ' (': -9.64629, ' "': -8.931343}
{' A': -0.014882459, 'A': -9.402055, ' B': -4.24088, ' (': -9.702777, ' "': -8.8840885}
{' A': -0.0044873506, 'A': -9.4373865, ' B': -5.4899206, ' (': -9.656781, ' "': -9.022377}
{' A': -0.004068445, 'A': -9.415015, ' B': -5.6075134, ' (': -9.613967, ' "': -8.836318}
{' A': -0.008280212, 'A': -9.437103, ' B': -4.8416786, ' (': -9.717554, ' "': -8.994255}
{' A': -0.008674966, 'A': -9.371265, ' B': -4.7952385, ' (': -9.682734, ' "': -8.948776}
{' A': -0.0042979876, 'A': -9.405644, ' B': -5.5345545, ' (': -9.714597, ' "': -9.059906}
{' A': -0.007539349, 'A': -9.424416, ' B': -4.9455447, ' (': -9.671651, ' "': -8.760128}
{' A': -0.001760915, 'A': -9.459574, ' B': -6.6094775, ' (': -9.257764, ' "': -8.826691}
{' b': -9.990382, ' A': -2.6580734, ' B': -0.072931446, ' (': -10.1703, ' "': -9.27963}
{' b': -10.204638, ' A': -1.6478561, ' B': -0.21414237, ' (': -9.786937, ' "': -9.05314}
{' b': -10.004924, ' A': -2.0733757, ' B': -0.13473889, ' (': -9.882489, ' "': -9.104595}
{' b': -10.207076, ' A': -1.3380569, ' B': -0.30476597, ' (': -9.481538, ' "': -8.975313}
{' b': -9.940229, ' A': -2.040252, ' B': -0.1395848, ' (': -10.0032835, ' "': -9.188851}
{' b': -10.19522, ' A': -1.2895615, ' B': -0.32261196, ' (': -9.672743, ' "': -8.856887}
{' b': -10.183424, ' A': -1.3101938, ' B': -0.31481707, ' (': -9.660195, ' "': -9.170789}
{' A': -0.95374995, ' B': -0.48724487, ' (': -9.419765, ' "': -8.827259, " '": -10.200221}
{' b': -10.001452, ' A': -1.759413, ' B': -0.18932565, ' (': -9.621991, ' "': -9.007227}
{' A': -1.04095, ' B': -0.43621558, ' (': -9.30762, ' "': -8.786598, " '": -10.226756}
{' A': -0.724822, ' B': -0.66332334, ' (': -9.208432, ' "': -8.581743, " '": -10.115211}
{' b': -10.234331, ' A': -0.95166075, ' B': -0.48854318, ' (': -9.465154, ' "': -8.833207}
{' A': -0.5326041, 'A': -9.943381, ' B': -0.88551503, ' (': -9.243359, ' "': -8.770501}
{' A': -0.8435284, ' B': -0.5631978, ' (': -9.326274, ' "': -8.736782, " '": -10.155674}
{' b': -9.819648, ' A': -2.2899337, ' B': -0.1070743, ' (': -10.183729, ' "': -9.281142}
{' A': -0.1801825, 'A': -9.70996, ' B': -1.8050679, ' (': -9.300854, ' "': -8.680092}
{' A': -0.32276273, 'A': -9.838355, ' B': -1.2892315, ' (': -9.331229, ' "': -8.919282}
{' A': -0.07521474, 'A': -9.621972, ' B': -2.6300566, ' (': -9.122187, ' "': -8.9628525}
{' A': -0.3342034, ' B': -1.2600704, ' "': -8.647899, ' (': -9.10701, 'A': -9.801415}
{' A': -0.15025118, 'A': -9.7223, ' B': -1.9726654, ' (': -9.1298065, ' "': -8.75152}
{' A': -0.036903452, 'A': -9.685115, ' B': -3.3290195, ' (': -9.037139, ' "': -8.814853}
{' A': -0.042009436, 'A': -9.677159, ' B': -3.199377, ' (': -9.21718, ' "': -9.020905}
{' A': -0.04614454, ' B': -3.106733, ' "': -9.012821, ' (': -9.274842, 'A': -9.662369}
{' A': -0.017629405, 'A': -9.633338, ' B': -4.065376, ' (': -9.370156, ' "': -9.152099}
{' A': -0.21673577, 'A': -9.728708, ' B': -1.6374816, ' (': -9.327364, ' "': -8.835274}
{' A': -0.00789625, 'A': -9.780294, ' B': -4.889934, ' (': -9.209606, ' "': -8.933451}
{' A': -0.015959797, 'A': -9.641438, ' B': -4.163663, ' (': -9.475252, ' "': -9.3446665}
{' A': -0.010013979, 'A': -9.636752, ' B': -4.64135, ' (': -9.272206, ' "': -9.192155}
{' A': -0.029182455, 'A': -9.667045, ' B': -3.5604076, ' (': -9.315143, ' "': -9.07964}
{' A': -0.0070177233, ' B': -5.0057187, ' "': -9.305375, ' (': -9.344994, 'A': -9.689419}
{' A': -0.0065963236, 'A': -9.703116, ' B': -5.0764375, ' (': -9.231634, ' "': -9.064792}
{' A': -0.010586029, 'A': -9.695745, ' B': -4.583458, ' (': -9.350884, ' "': -9.165844}
{' A': -0.0073776334, ' B': -4.9564567, ' "': -9.242051, ' (': -9.292245, 'A': -9.612509}
{' A': -0.005513082, 'A': -9.682187, ' B': -5.2592587, ' (': -9.297492, ' "': -9.291523}
{' A': -0.01162841, 'A': -9.7185755, ' B': -4.4882517, ' (': -9.299216, ' "': -9.107917}
{' A': -0.0011931151, 'A': -9.680115, ' B': -7.0538187, ' (': -9.059535, ' "': -9.208669}
{' A': -1.658789, ' B': -0.21197742, ' (': -9.42394, ' "': -7.9462466, " '": -9.184381}
{' A': -0.97118413, ' B': -0.47705302, ' (': -9.155899, ' "': -7.767095, " '": -9.098162}
{' A': -1.2870954, ' B': -0.3240847, ' (': -9.1524105, ' "': -7.8317866, " '": -9.046802}
{' A': -0.898987, ' B': -0.5238953, ' (': -9.0328045, ' "': -7.7347403, " '": -8.907279}
{' A': -1.3024192, ' B': -0.31822166, ' (': -9.399819, ' "': -7.870779, " '": -9.137638}
{' A': -0.82358634, ' B': -0.57924145, ' (': -9.2164135, ' "': -7.663363, " '": -8.936997}
{' A': -0.75812775, ' B': -0.6334597, ' (': -9.061344, ' "': -7.9081264, " '": -9.19234}
{' A': -0.55210817, ' B': -0.8594107, ' (': -8.942563, ' "': -7.685941, " '": -8.847998}
{' B': -0.45083836, ' A': -1.0157188, ' "': -7.788493, " '": -9.033749, ' (': -9.139997}
{' A': -0.3552184, ' B': -1.2101684, ' (': -8.883953, ' "': -7.725415, " '": -8.928638}
{' A': -0.370727, ' B': -1.17493, ' (': -8.837305, ' "': -7.585489, " '": -8.76687}
{' A': -0.4215387, ' B': -1.0695813, ' (': -8.952981, ' "': -7.7550697, " '": -8.941629}
{' A': -0.32758495, ' B': -1.278343, ' (': -8.866015, ' "': -7.733301, " '": -8.916823}
{' A': -0.4911312, ' B': -0.9487804, ' (': -8.903788, ' "': -7.7036934, " '": -8.879285}
{' B': -0.13111714, ' A': -2.1006873, ' "': -8.210488, " '": -9.390218, ' (': -9.771621}
{' A': -0.13994399, ' B': -2.0422323, ' "': -7.6751394, " '": -8.883555, ' (': -8.916478}
{' A': -0.24903911, ' B': -1.5154691, ' (': -8.983498, ' "': -7.8581157, " '": -9.076165}
{' A': -0.06967098, ' B': -2.7097485, ' (': -8.851579, ' "': -7.8841043, " '": -9.034802}
