{' No': -0.04760396, ' Yes': -3.703295, 'No': -4.0001245, '\n': -5.8247437, 'Yes': -7.8260674}
{' Yes': -0.1131895, ' No': -2.5803585, 'Yes': -4.0656834, '\n': -4.4884224, 'No': -6.093385}
{' Yes': -0.44740295, ' No': -1.1540947, '\n': -3.7653081, 'Yes': -4.5682335, 'No': -4.7900257}
{' No': -0.062279683, '\n': -3.3470333, ' ': -6.9407053, 'No': -3.8705223, ' Yes': -6.4529467}
{' No': -0.46006846, '\n': -1.9255854, 'No': -4.1595464, ' Yes': -1.6296775, 'Yes': -5.211655}
{' No': -0.030370282, 'No': -3.8674235, '\n': -4.9564643, ' Yes': -6.6246614, ' ': -7.8656054}
{' No': -0.104128316, ' Yes': -2.7617667, 'No': -3.9798892, '\n': -4.2387085, 'Yes': -6.650362}
{' No': -0.025229866, 'No': -4.0496836, ' Yes': -5.623456, '\n': -5.645093, ' ': -8.843074}
{' Yes': -0.14234495, ' No': -2.8126023, 'Yes': -3.2618937, '\n': -3.6257584, 'No': -5.169784}
{' No': -0.5932225, '\n': -1.2510749, ' Yes': -2.8155792, 'No': -2.9288664, ' Hospital': -3.4511497}
{' No': -2.9252658, '\n': -1.688909, ' Yes': -0.3527294, ' Sur': -4.1560836, 'Yes': -3.4149816}
{' No': -0.12640464, 'No': -2.7507026, '\n': -3.0674942, ' Yes': -5.3370404, ' Not': -6.7434425}
{' No': -1.0361556, '\n': -2.2709904, 'No': -3.7495344, ' Yes': -0.7052994, 'Yes': -4.0825253}
{' No': -0.74081165, '\n': -3.1578248, 'No': -4.094562, ' Yes': -0.79585207, 'Yes': -4.4960318}
{' Yes': -0.31479484, ' No': -1.9933549, '\n': -2.4403977, 'Yes': -3.4342117, 'No': -4.421631}
{' No': -0.66679054, '\n': -0.86430985, ' ': -5.4688134, 'No': -3.0157797, ' Unfortunately': -4.879536}
{'\n': -0.6631253, ' Yes': -1.2122204, ' No': -1.9058143, 'Yes': -3.9842424, 'No': -4.414668}
{' No': -0.31400627, ' Not': -5.3267417, '\n': -1.748216, 'No': -2.5643706, ' Unfortunately': -4.877746}
{' No': -0.3913928, '\n': -1.7354252, 'No': -2.9844236, ' Yes': -2.4559393, 'Yes': -5.607381}
{' No': -0.5041659, '\n': -1.2829955, 'No': -2.8808157, ' Yes': -2.9162045, 'Yes': -5.844074}
{' Yes': -0.02403921, 'Yes': -3.9863591, '\n': -5.733135, ' No': -6.582064, ' ': -8.468992}
{' No': -6.3276486, '\n': -5.5594444, ' Yes': -0.029398682, 'Yes': -3.8685482, ' Doctor': -6.6360974}
{' No': -3.8325317, '\n': -4.302001, ' Yes': -0.13853535, ' Sur': -2.7009666, 'Yes': -3.8033}
{' No': -0.039138082, 'No': -3.4717457, '\n': -5.46371, ' Yes': -6.0656805, ' ': -7.8179665}
{' No': -2.6785808, '\n': -5.0304675, ' Yes': -0.098643854, ' Patient': -5.0910373, 'Yes': -4.6410728}
{' No': -0.06200479, ' Yes': -3.1617224, 'No': -4.297148, '\n': -5.7470403, 'Yes': -7.4761205}
{' No': -0.053164, '\n': -4.3724976, 'No': -3.8530257, ' Yes': -4.0767694, 'Yes': -7.8891716}
{' No': -0.15563616, '\n': -3.7872546, 'No': -3.2614846, ' Yes': -2.5553496, 'Yes': -6.3177567}
{' No': -0.14329119, '\n': -2.695402, 'No': -3.4429379, ' Yes': -4.294357, ' Hospital': -4.218147}
{' No': -0.027209783, 'No': -3.9064515, '\n': -5.511251, ' Yes': -6.125919, ' ': -8.2544775}
{' No': -0.56283545, '\n': -2.9029653, 'No': -4.2185016, ' Yes': -1.1347063, ' Patient': -3.5254588}
{' No': -0.03076475, 'No': -3.9392288, '\n': -5.1013174, ' Yes': -5.4837313, ' ': -8.283652}
{' No': -0.07557865, ' Yes': -3.447256, 'No': -3.808935, '\n': -4.0733395, 'Yes': -7.2213135}
{' No': -0.11478439, '\n': -3.6059513, 'No': -3.762009, ' Yes': -3.1095085, ' Doctor': -4.5382295}
{' No': -0.03808132, '\n': -4.331664, 'No': -4.3788238, ' Yes': -6.288335, ' Hospital': -4.9946375}
{' No': -0.14831105, ' Yes': -2.3313763, '\n': -3.7500336, 'No': -4.584363, ' Sur': -5.409103}
{' No': -0.032378286, '\n': -4.61349, ' ': -8.197332, 'No': -4.2798433, ' Yes': -4.9654913}
{' No': -0.01164433, 'No': -4.597208, '\n': -7.023075, ' Yes': -7.689985, ' ': -9.549483}
{' Yes': -0.053896908, 'Yes': -3.3924148, '\n': -4.046963, ' No': -7.7454576, ' ': -7.979012}
{' Yes': -0.23131043, '\n': -2.3103566, ' No': -2.7777753, 'Yes': -3.4463332, 'No': -5.1816273}
{' No': -0.92100245, '\n': -0.78184605, 'No': -3.1309156, ' Yes': -2.665536, ' Unfortunately': -4.7602234}
{' Yes': -0.32814917, '\n': -1.7770094, ' No': -2.7921, 'Yes': -3.2931724, 'No': -5.367997}
{' No': -0.4764654, '\n': -1.4594117, 'No': -2.2201083, ' Yes': -4.331745, ' Unfortunately': -4.680601}
{' No': -0.4091423, '\n': -1.7660795, 'No': -2.8845353, ' Yes': -2.3384845, 'Yes': -5.3481374}
{' No': -0.4535647, ' Yes': -1.0673152, '\n': -4.783667, 'No': -4.8107862, 'Yes': -5.6069098}
{' No': -1.2963243, '\n': -5.020424, ' Yes': -0.36031002, 'Yes': -4.7436852, ' Doctor': -4.97041}
{' No': -0.057289664, '\n': -4.053644, ' ': -6.494463, 'No': -4.2205567, ' Hospital': -3.920754}
{' No': -0.07145802, '\n': -3.722642, 'No': -3.9851713, ' Yes': -3.912633, ' Sur': -5.445151}
{' No': -0.027129242, 'No': -3.8475027, '\n': -5.3416586, ' ': -8.136659, ' Yes': -8.3652725}
{' No': -0.031483978, '\n': -4.6237135, 'No': -4.31577, ' Yes': -4.999034, ' Patient': -7.575534}
{' No': -0.061838586, ' Yes': -3.7689462, 'No': -3.796715, '\n': -4.29962, 'Yes': -7.556286}
{' No': -0.052543394, '\n': -4.158788, ' ': -7.905818, 'No': -3.9430785, ' Yes': -4.194568}
{' No': -0.16821899, '\n': -2.7788088, ' Hospital': -2.8327143, 'No': -3.5514681, ' ': -5.8175526}
{' No': -0.28520775, '\n': -1.9750042, ' Yes': -3.0212383, ' Sur': -3.5254745, 'No': -3.7132492}
{' No': -0.053126294, '\n': -4.4772706, ' ': -7.817197, 'No': -3.230849, ' Yes': -8.432471}
{' No': -0.07611087, 'No': -3.3425064, '\n': -3.489952, ' Yes': -5.110199, ' Not': -7.9822073}
{' No': -0.030547313, '\n': -4.794385, ' ': -8.685139, 'No': -3.9299269, ' Yes': -6.3137484}
{' No': -0.6144864, ' Yes': -0.99315614, '\n': -2.975719, 'No': -3.861305, 'Yes': -4.5264034}
{' Yes': -0.19271359, ' No': -2.7470596, '\n': -3.0722241, ' Doctor': -3.0729299, 'Yes': -4.3102517}
{' No': -0.4877689, ' Hospital': -1.367646, '\n': -2.442195, 'No': -3.4540412, ' Yes': -5.2923627}
{' No': -0.6029145, '\n': -1.4504868, 'No': -3.7421184, ' Yes': -2.221962, ' Sur': -2.5969827}
{' No': -0.031797465, '\n': -5.4718075, ' ': -9.1223545, 'No': -3.624761, ' Yes': -8.894683}
{' No': -0.12612738, '\n': -3.0212708, 'No': -3.5749643, ' Pat': -4.5386086, ' Patient': -4.5609226}
{' No': -0.0427943, 'No': -4.134469, '\n': -4.2480745, ' Yes': -4.5315046, ' ': -8.022841}
{' No': -0.026580099, '\n': -5.404214, ' ': -9.229261, 'No': -3.8393357, ' Yes': -9.21178}
{' No': -0.054802645, 'No': -3.7451637, ' Yes': -4.1670747, '\n': -4.375235, ' Doctor': -6.9697824}
{' No': -0.030169388, '\n': -4.778994, ' ': -7.6020927, 'No': -4.0616, ' Hospital': -5.8135495}
{' No': -0.04427521, 'No': -3.6753635, '\n': -4.0482597, ' ': -8.078999, ' Sur': -9.6288185}
{' No': -0.040214498, 'No': -3.2937546, '\n': -6.2246876, ' Yes': -9.113986, ' ': -9.308555}
{' No': -0.08344913, '\n': -3.292929, 'No': -3.8311675, ' Yes': -4.8450303, ' Patient': -5.0958524}
{' No': -0.015586661, '\n': -7.6555114, ' ': -10.451242, 'No': -4.206201, ' Yes': -9.96596}
{' No': -0.1988492, ' Yes': -1.9959757, '\n': -3.557093, 'No': -4.4268994, 'Yes': -6.2493935}
{' No': -1.8599317, '\n': -3.4650626, ' Yes': -0.24623467, 'Yes': -4.8030715, ' Doctor': -4.015037}
{' No': -0.19576953, ' Hospital': -2.6505842, '\n': -2.7314656, 'No': -3.4011583, ' ': -5.674445}
{' No': -0.18341929, '\n': -2.0900068, 'No': -3.7459097, ' Sur': -4.487687, ' Yes': -5.1558313}
{' No': -0.027044546, '\n': -5.3766212, ' ': -8.453524, 'No': -3.8443985, ' Yes': -8.329798}
{'Pat': -3.806095, ' No': -0.4672278, '\n': -2.2022932, ' Yes': -2.084232, ' Patient': -2.6687887}
{' No': -0.015175011, '\n': -5.491924, ' ': -8.654884, 'No': -4.622274, ' Yes': -7.0498767}
{' Yes': -0.8996041, ' No': -0.90168494, '\n': -1.9373256, 'No': -3.7576323, 'Yes': -4.0590563}
{' No': -1.1253536, '\n': -2.006707, 'No': -3.9070444, ' Yes': -0.6967322, 'Yes': -3.969523}
{' No': -0.35311624, '\n': -1.5423597, ' ': -5.821679, 'No': -2.5452511, ' Yes': -7.004057}
{' No': -0.58086157, '\n': -1.1144272, ' ': -5.350551, 'No': -3.1860688, ' Yes': -2.8039775}
{' No': -0.180791, '\n': -2.6416254, ' ': -6.7643976, 'No': -2.3949099, ' Unfortunately': -7.2008653}
{' No': -0.18740323, '\n': -2.4405828, 'No': -3.0972981, ' Yes': -3.3784277, 'Yes': -6.3991265}
{' No': -0.16371347, 'No': -2.5666904, '\n': -2.6687546, ' Yes': -5.7580695, ' ': -7.1461844}
{' No': -3.9133232, '\n': -2.3203342, 'No': -5.476523, ' Yes': -0.21715613, 'Yes': -2.646262}
{' No': -4.397436, '\n': -3.0697558, 'No': -6.091099, ' Yes': -0.13711202, 'Yes': -2.727423}
{'\n': -0.9034948, ' No': -0.9597864, 'No': -2.1695223, ' Yes': -2.6280181, 'Yes': -4.736087}
{' Yes': -0.51990885, '\n': -1.240856, 'Yes': -2.5692444, ' No': -3.5534728, 'No': -5.0655937}
{' No': -0.97297657, '\n': -0.90426815, 'No': -1.9175625, ' Yes': -3.1599748, ' Unfortunately': -4.650461}
{' No': -1.1621928, '\n': -1.8220114, 'No': -2.8424256, ' Yes': -0.8685507, 'Yes': -3.1940093}
{' No': -0.7055949, '\n': -1.3173559, 'No': -1.9616526, ' Yes': -2.619194, 'Yes': -4.575849}
{' Yes': -0.056466877, ' No': -3.731462, '\n': -4.2010856, 'Yes': -4.227903, 'No': -7.4811683}
{' No': -3.4981287, '\n': -3.9849012, ' Yes': -0.06668077, 'Yes': -4.4393635, ' Doctor': -6.148591}
{' No': -0.15411396, '\n': -2.769335, 'No': -3.3467102, ' Hospital': -3.4447823, ' Yes': -4.7625866}
{' No': -0.16588229, '\n': -2.566759, ' ': -6.634283, 'No': -4.1633015, ' Yes': -2.8637254}
{' No': -0.04654629, '\n': -4.356879, ' ': -7.9849653, 'No': -3.457557, ' Yes': -7.6904154}
{' No': -0.26306006, '\n': -2.5004354, 'No': -3.6649592, ' Yes': -2.177874, 'Yes': -5.687592}
{' No': -0.024581946, 'No': -4.226616, '\n': -4.7663207, ' Yes': -6.9216805, ' ': -9.359959}
{' No': -3.5608802, '\n': -2.7536619, 'No': -5.577138, ' Yes': -0.16022645, 'Yes': -2.9911704}
{' No': -1.0146426, '\n': -0.78012645, 'No': -3.0306664, ' Yes': -2.3788357, ' Hospital': -3.6729696}
{' No': -0.99585444, '\n': -0.8189498, 'No': -3.2619333, ' Yes': -1.9894534, 'Yes': -4.654151}
{' No': -0.34121636, '\n': -1.7925962, 'No': -2.1568806, ' Yes': -5.845898, ' ': -6.5372496}
{' No': -0.5494243, ' Yes': -1.7536862, '\n': -1.7935783, 'No': -2.7280893, 'Yes': -4.5797644}
{' No': -0.4348971, '\n': -1.62028, 'No': -3.1472917, ' Yes': -2.256968, 'Yes': -5.30024}
{' No': -1.9724839, '\n': -1.5065511, 'No': -4.234262, ' Yes': -0.5314801, 'Yes': -3.403186}
{' No': -0.66508013, '\n': -0.97151285, 'No': -2.561801, ' Yes': -5.040248, ' Unfortunately': -4.5731783}
{' Yes': -0.44418854, '\n': -1.2497954, ' No': -3.404283, 'Yes': -3.5167572, ' ': -5.5569353}
{' No': -0.3750596, '\n': -1.7789445, 'No': -2.0508997, ' Yes': -6.0062447, ' Unfortunately': -4.8656754}
{' No': -0.47566578, '\n': -1.7916085, 'No': -2.912443, ' Yes': -1.956905, 'Yes': -5.0054874}
{' No': -0.6762127, '\n': -1.0280174, 'No': -2.597462, ' Yes': -3.0200996, 'Yes': -5.472292}
{' No': -7.2646523, '\n': -5.821718, ' Yes': -0.017933076, ' Nurse': -7.5164046, 'Yes': -4.327631}
{'\n': -5.0958343, ' Yes': -0.036535412, ' yes': -7.5900455, 'Yes': -3.6535876, ' Doctor': -5.9235682}
{' No': -6.721042, '\n': -4.1980605, ' Yes': -0.0862463, ' Sur': -3.1312823, 'Yes': -3.8874316}
{' No': -0.07151204, '\n': -3.9973981, ' ': -6.750488, 'No': -3.054628, ' Yes': -6.3249235}
{' No': -7.3203826, '\n': -5.8971725, ' Yes': -0.018381082, ' Patient': -5.7323413, 'Yes': -4.5361996}
{' No': -0.22143069, ' Yes': -1.8116425, '\n': -4.0325804, 'No': -4.2883444, 'Yes': -6.0118437}
{' No': -0.2098584, '\n': -3.1211894, 'No': -3.9518094, ' Yes': -2.1080346, 'Yes': -5.7421136}
{' No': -3.045744, '\n': -3.762411, ' Yes': -0.10561195, 'Yes': -4.418478, ' Doctor': -4.241127}
{' No': -0.71498495, '\n': -1.0298501, 'No': -3.0830898, ' Yes': -3.6843777, ' Hospital': -2.6396272}
{' No': -0.16936848, '\n': -2.4490945, 'No': -2.8930163, ' Yes': -4.5293784, ' ': -6.428663}
{' No': -0.93690825, '\n': -1.470754, 'No': -4.231546, ' Yes': -1.3336272, ' Patient': -2.4954257}
{' No': -0.026768398, 'No': -4.333239, '\n': -4.5704865, ' Yes': -6.01133, ' ': -8.263277}
{' No': -0.07322019, '\n': -3.9605548, 'No': -3.9942787, ' Yes': -3.4458206, 'Yes': -7.399143}
{' Yes': -0.73313934, ' No': -0.873278, ' Doctor': -2.8612502, '\n': -3.3948612, 'No': -5.2539787}
{' No': -0.05695046, 'No': -3.4828022, '\n': -4.184531, ' Hospital': -4.871875, ' ': -7.1758757}
{' No': -0.12808947, ' Yes': -2.8585658, ' Sur': -3.60539, '\n': -3.832605, 'No': -4.504392}
{' No': -0.17127866, ' Yes': -2.7799249, '\n': -3.0007005, ' Patient': -3.8172593, 'No': -4.0015817}
{' No': -0.009932769, '\n': -7.4519854, ' ': -10.010957, 'No': -4.737994, ' Yes': -7.653537}
{' Yes': -0.09287555, 'Yes': -3.1287868, '\n': -3.2030952, ' No': -5.9144373, ' ': -7.584557}
{' No': -4.9552526, '\n': -2.989381, ' Yes': -0.09970222, ' The': -6.39869, 'Yes': -3.4024727}
{' No': -0.9771907, '\n': -0.7874896, 'No': -2.8003507, ' Yes': -2.6303163, ' Hospital': -4.297219}
{'\n': -0.75645334, ' No': -1.2699687, ' Yes': -1.7288749, 'No': -3.1295135, 'Yes': -4.110831}
{' No': -0.5287085, ' Not': -4.676017, '\n': -1.5288515, 'No': -1.8115377, ' Unfortunately': -4.428269}
{' No': -0.6683473, '\n': -0.9976414, ' Yes': -2.9246125, 'No': -2.9354942, ' Unfortunately': -5.6881948}
{' No': -0.32969043, ' Yes': -1.48916, '\n': -3.4460614, 'No': -4.025752, 'Yes': -5.3929954}
{' No': -1.7847505, '\n': -3.25857, ' Yes': -0.26798102, 'Yes': -4.434069, ' Doctor': -4.501906}
{' No': -0.09121941, '\n': -3.0280745, 'No': -3.4016821, ' Hospital': -5.606371, ' ': -6.9734325}
{' No': -0.1155297, '\n': -2.5777125, ' ': -7.2602305, 'No': -3.4717233, ' Yes': -6.946868}
{' No': -0.06867736, '\n': -4.442836, ' ': -8.192748, 'No': -2.9209871, ' Unfortunately': -8.763085}
{' No': -0.24450462, '\n': -2.8992972, 'No': -3.5812144, ' Yes': -2.1921957, ' Patient': -4.1124377}
{' No': -0.4973442, ' Yes': -1.3300507, '\n': -2.5024557, 'No': -3.5375054, 'Yes': -4.5247774}
{' No': -0.39987454, ' Yes': -1.6563864, '\n': -2.726756, ' Doctor': -3.1707807, 'No': -3.8111029}
{' No': -0.22716193, ' Hospital': -2.4240422, '\n': -2.67219, 'No': -3.3328457, ' Yes': -5.602753}
{' No': -0.3285473, '\n': -1.7083576, 'No': -3.2542481, ' Yes': -3.324332, ' Sur': -4.049998}
{' No': -0.07223794, ' Not': -7.7192054, '\n': -4.696534, 'No': -2.8258522, ' Yes': -7.893812}
{'Pat': -5.5371537, ' No': -0.14402644, '\n': -2.6975658, 'No': -3.0736318, ' Yes': -4.7116723}
{' No': -0.037577983, '\n': -5.3264475, ' ': -8.740405, 'No': -3.4959807, ' Yes': -6.593175}
{' No': -1.0118511, '\n': -2.5604157, 'No': -4.231034, ' Yes': -0.6543623, 'Yes': -4.1250787}
{' No': -3.1266685, '\n': -2.7878811, ' Yes': -0.26414636, 'Yes': -4.256294, ' Doctor': -2.2378418}
{' No': -0.76570266, '\n': -2.2720485, ' ': -5.225688, 'No': -3.9789326, ' Hospital': -0.91840875}
{' No': -1.4597462, '\n': -1.2214744, 'No': -4.4953012, ' Yes': -1.8773754, ' Sur': -1.2510366}
{' No': -0.065379664, '\n': -4.3049846, ' ': -7.8364706, 'No': -3.0329125, ' Yes': -7.633772}
{'Pat': -3.8546104, ' No': -0.21052222, '\n': -2.6481347, 'No': -3.618687, ' Patient': -3.3661637}
{' No': -0.0363316, '\n': -4.583508, ' ': -8.081501, 'No': -3.8909533, ' Yes': -5.43648}
{' No': -0.03362176, '\n': -5.566432, ' ': -9.026097, 'No': -3.543536, ' Yes': -8.647492}
{' No': -0.032863904, '\n': -5.370802, 'No': -4.095194, ' Yes': -4.602314, ' Doctor': -7.4560204}
{' No': -0.03736233, 'No': -3.8519945, '\n': -4.300786, ' Hospital': -6.786784, ' ': -7.739445}
{' No': -0.03849471, '\n': -4.121842, ' ': -7.797903, 'No': -3.8926473, ' Sur': -7.606329}
{' No': -0.037358183, '\n': -6.2901134, ' ': -9.04341, 'No': -3.368386, ' Yes': -8.923324}
{' No': -0.030489728, '\n': -4.710555, 'No': -4.008258, ' Yes': -7.259497, ' Patient': -7.153481}
{' No': -0.022642966, '\n': -6.2870755, ' ': -8.66384, 'No': -3.9171872, ' Yes': -7.8727517}
{' No': -0.3782857, ' Yes': -1.4256872, '\n': -3.0662873, 'No': -3.9649003, 'Yes': -5.2014346}
{' No': -2.433263, '\n': -3.9260304, ' Yes': -0.14733632, 'Yes': -4.772765, ' Doctor': -4.0205665}
{' No': -0.15503435, ' Hospital': -2.4887784, '\n': -3.5536568, 'No': -3.672538, ' ': -5.8135366}
{' No': -0.110076696, '\n': -2.7125185, 'No': -3.660278, ' Yes': -4.97245, ' Sur': -5.809251}
{' No': -0.037866358, '\n': -5.235143, ' ': -8.02306, 'No': -3.4751847, ' Yes': -8.163344}
{' No': -0.13046268, '\n': -3.2684076, ' Yes': -3.4898777, 'No': -3.7760408, ' Patient': -4.0738254}
{' No': -0.012441853, 'No': -4.6285286, '\n': -6.2101116, ' Yes': -7.8068957, ' ': -8.942591}
{' No': -0.3952307, '\n': -2.4713702, 'No': -2.88145, ' Yes': -1.7530948, 'Yes': -4.5548353}
{' No': -0.39638102, '\n': -2.4121053, 'No': -2.9589152, ' Yes': -1.7491242, 'Yes': -4.7406}
{' No': -0.28173718, '\n': -2.0450294, 'No': -2.195689, ' ': -6.043235, ' Yes': -6.8109403}
{' No': -0.27876893, '\n': -1.8850484, ' ': -6.054565, 'No': -2.7505689, ' Yes': -3.8042548}
{' No': -0.15064657, 'No': -2.2109396, '\n': -3.5787206, ' ': -7.2265515, ' Yes': -7.4715323}
{' No': -0.12765455, '\n': -3.2865212, ' ': -7.2531757, 'No': -2.581054, ' Yes': -5.3815413}
{' No': -0.15784211, '\n': -3.007444, ' ': -7.032525, 'No': -2.3712993, ' Yes': -6.5002947}
{' No': -3.0445006, '\n': -3.03011, 'No': -4.9159374, ' Yes': -0.17833567, 'Yes': -2.8425505}
{' Yes': -0.15583172, 'Yes': -2.6944118, ' No': -3.238361, '\n': -3.542123, 'No': -4.990707}
{' No': -0.77647406, '\n': -1.3450832, 'No': -2.060358, ' Yes': -2.054312, 'Yes': -4.1999874}
{' Yes': -0.47097397, '\n': -1.8122958, ' No': -2.2397041, 'Yes': -2.5054111, 'No': -3.9080808}
{' No': -0.6484113, '\n': -1.400334, 'No': -1.7858814, ' Yes': -3.157292, 'Yes': -4.9674497}
{' No': -0.4342418, '\n': -2.3643794, 'No': -2.2403598, ' Yes': -2.0122695, 'Yes': -4.3105373}
{' No': -0.68018526, '\n': -1.4416524, 'No': -1.6771812, ' Yes': -2.9483507, 'Yes': -4.516889}
{' No': -5.151356, '\n': -4.359658, ' ': -7.4225545, ' Yes': -0.049124226, 'Yes': -3.5831933}
{' No': -3.429743, '\n': -4.487644, ' Yes': -0.061752994, 'Yes': -4.5800886, ' Doctor': -5.4203515}
{' No': -0.37812695, '\n': -2.7166889, 'No': -3.506066, ' Yes': -3.7533596, ' Hospital': -1.6881741}
{' No': -0.5598164, '\n': -1.6553478, 'No': -3.9811628, ' Yes': -1.6531906, ' Sur': -4.4171767}
{' No': -0.08413778, '\n': -3.4758537, ' ': -6.7746415, 'No': -3.0746772, ' Yes': -6.711247}
{' No': -0.3097731, '\n': -1.9678769, 'No': -3.2955804, ' Yes': -2.8193593, ' Patient': -4.3727193}
{' No': -0.02656339, 'No': -4.0559783, '\n': -5.21648, ' Yes': -5.785032, ' ': -8.689175}
{' No': -4.5562534, '\n': -3.2867942, 'No': -6.80999, ' Yes': -0.10114288, 'Yes': -3.0916896}
{' No': -1.2564803, '\n': -1.0457563, 'No': -3.4044178, ' Yes': -1.25999, ' Hospital': -3.6035547}
{' No': -1.0026592, '\n': -1.0479892, 'No': -3.602131, ' Yes': -1.4418854, 'Yes': -4.368408}
{' No': -0.22746006, '\n': -2.248702, ' ': -6.460247, 'No': -2.4186032, ' Yes': -5.2881227}
{' No': -0.42066783, '\n': -2.416365, 'No': -3.0165007, ' Yes': -1.6638016, 'Yes': -4.790636}
{' No': -0.44031408, '\n': -2.5477493, 'No': -3.6279762, ' Yes': -1.4191045, 'Yes': -4.8279614}
{' No': -3.8058734, '\n': -2.2381241, 'No': -6.2744637, ' Yes': -0.18881187, 'Yes': -3.243156}
{'\n': -0.65998465, ' No': -0.90991217, 'No': -3.027374, ' Yes': -4.168556, ' ': -5.1455536}
{' Yes': -0.37346184, '\n': -1.3596545, 'Yes': -3.5269783, ' No': -3.9320347, ' ': -5.9216657}
{' No': -0.3767245, '\n': -1.6809409, 'No': -2.1300204, ' Yes': -5.978758, ' Unfortunately': -6.212343}
{' No': -0.51939434, '\n': -1.355183, 'No': -2.7446768, ' Yes': -2.678778, 'Yes': -5.3968205}
{' No': -0.6977412, '\n': -1.0191543, 'No': -2.9037004, ' Yes': -2.5842922, 'Yes': -5.2247853}
{' Yes': -0.030069815, 'Yes': -3.732546, '\n': -5.6502023, ' Nurse': -7.050505, ' No': -7.2680926}
{' Yes': -0.03580691, 'Yes': -3.6459675, ' Doctor': -5.544689, '\n': -5.5726924, ' yes': -7.852099}
{' No': -4.113692, '\n': -3.2593482, ' Yes': -0.15723076, ' Sur': -2.9572263, 'Yes': -3.392361}
{' No': -0.099622674, 'No': -2.6012115, '\n': -4.043659, ' Yes': -6.5341907, ' ': -6.861982}
{' No': -4.208909, '\n': -4.9803057, ' Yes': -0.049979303, ' Patient': -4.6659937, 'Yes': -4.1755114}
{' No': -0.24488549, ' Yes': -1.6914072, 'No': -4.001633, '\n': -4.6867228, 'Yes': -5.5894055}
{' No': -0.3519415, ' Yes': -1.6537604, '\n': -2.8318055, 'No': -3.342355, 'Yes': -4.6774306}
{' No': -2.6368406, '\n': -3.0878386, ' Yes': -0.2485616, 'Yes': -4.1795306, ' Doctor': -2.5150924}
{' No': -0.9031622, '\n': -1.2100298, 'No': -3.6921654, ' Yes': -2.9090254, ' Hospital': -1.5806677}
{' No': -0.23070607, '\n': -2.1938655, ' ': -6.346293, 'No': -2.5646315, ' Yes': -4.279359}
{' No': -1.4170771, '\n': -1.3168936, 'No': -4.316678, ' Yes': -1.0263262, ' Patient': -2.3709803}
{' No': -0.06336655, '\n': -3.8206944, ' ': -7.1670666, 'No': -3.7314703, ' Yes': -4.2631307}
{' No': -0.13925618, ' Yes': -2.5919006, '\n': -3.3845735, 'No': -4.0477586, 'Yes': -6.402779}
{' Doctor': -0.521502, ' No': -1.6912253, ' Yes': -1.6951221, '\n': -3.6478238, 'Doctor': -5.305817}
{' No': -0.08001287, ' Hospital': -3.1580122, '\n': -4.0542197, 'No': -4.34745, ' Yes': -6.09076}
{' No': -0.15360224, '\n': -2.953876, 'No': -4.280315, ' Yes': -3.1431632, ' Sur': -3.518743}
{' No': -0.10344638, '\n': -3.3572915, 'No': -4.3506365, ' Yes': -4.6305213, ' Patient': -3.4603436}
{' No': -0.015782425, '\n': -5.7262545, ' ': -7.631837, 'No': -4.547391, ' Yes': -6.715253}
{' No': -7.3846107, '\n': -3.7024496, ' ': -7.8933907, ' Yes': -0.063631006, 'Yes': -3.3391395}
{' Yes': -0.09405309, '\n': -3.0000226, 'Yes': -3.3904815, ' No': -5.8924446, ' The': -6.553207}
{' No': -1.0706885, '\n': -0.6487792, 'No': -3.03397, ' Yes': -3.260031, ' Hospital': -3.4602318}
{' No': -2.0368025, '\n': -0.6820549, 'No': -4.284949, ' Yes': -1.1575933, 'Yes': -3.791947}
{' No': -0.30246314, '\n': -2.00345, 'No': -2.2320535, ' Yes': -5.205089, ' Unfortunately': -5.223844}
{' No': -0.30496964, '\n': -1.8812063, ' Yes': -2.64068, 'No': -3.428207, 'Yes': -6.0883117}
{' No': -2.0669327, '\n': -3.680109, 'No': -5.431862, ' Yes': -0.1958029, 'Yes': -3.953615}
{' No': -3.143302, '\n': -3.7030098, ' Yes': -0.39874005, 'Yes': -4.2870207, ' Doctor': -1.4252445}
{' No': -0.0648769, '\n': -4.1139355, ' ': -7.0773163, 'No': -3.8589823, ' Hospital': -3.7643893}
{' No': -0.09059916, '\n': -2.9051037, 'No': -3.7414474, ' Yes': -5.172041, ' Sur': -6.818325}
{' No': -0.07527309, 'No': -2.850322, '\n': -4.3028445, ' ': -7.8181033, ' Not': -8.318345}
{' No': -0.08501852, 'No': -3.529343, ' Yes': -3.9119992, '\n': -3.9205325, ' Patient': -4.5948734}
{' No': -0.081660196, '\n': -4.1367445, 'No': -4.112759, ' Yes': -3.109454, 'Yes': -7.1018395}
{' No': -0.09617437, '\n': -4.6513405, 'No': -4.5920296, ' Yes': -2.6815226, ' Doctor': -6.036361}
{' No': -0.07949335, 'No': -3.277083, '\n': -3.38127, ' Hospital': -6.060715, ' ': -7.0579987}
{' No': -0.094605066, '\n': -2.7772238, ' ': -6.770855, 'No': -3.8418086, ' Yes': -5.514199}
{' No': -0.03427396, 'No': -3.5424085, '\n': -5.4928403, ' Yes': -8.550043, ' ': -8.76377}
{' No': -0.035218216, ' Not': -8.563577, '\n': -5.078818, 'No': -3.785874, ' Yes': -5.3104715}
{' No': -0.02130808, '\n': -5.160365, ' ': -8.725352, 'No': -4.3090334, ' Yes': -6.4313955}
