{' No': -0.018724639, 'No': -4.150448, '\n': -6.2535415, ' Yes': -7.238859, ' ': -9.299589}
{' No': -0.02963098, ' Not': -7.7431145, '\n': -5.203648, 'No': -3.8528178, ' Yes': -6.419668}
{' No': -0.021072896, ' Not': -9.34981, '\n': -5.866667, 'No': -4.075705, ' Yes': -7.1261215}
{' No': -0.02976913, '\n': -4.642829, ' ': -8.685378, 'No': -4.0492682, ' Yes': -6.2813463}
{' No': -0.22797912, '\n': -5.149699, 'No': -3.849916, ' Yes': -1.7539113, 'Yes': -5.7993865}
{' No': -0.044169668, '\n': -4.207141, 'No': -4.151004, ' Yes': -5.880442, ' Hospital': -5.025075}
{' No': -0.06351255, '\n': -3.1128135, 'No': -4.462934, ' Yes': -5.683065, ' ': -7.3307533}
{' No': -0.015236376, 'No': -4.4299817, ' Yes': -6.3970304, '\n': -6.81374, ' Not': -8.346516}
{' No': -0.030725846, '\n': -5.082318, 'No': -3.9831772, ' Yes': -6.3353543, ' Unfortunately': -6.084006}
{' No': -0.015247451, 'No': -4.4921513, '\n': -5.9884396, ' Yes': -6.7482076, ' Not': -9.128414}
{' No': -0.01896553, 'No': -4.1098046, '\n': -6.1769333, ' Yes': -8.640937, ' ': -9.40301}
{' No': -0.038642086, '\n': -6.1643615, 'No': -3.7063494, ' Yes': -4.5262995, 'Yes': -8.57781}
{' No': -0.032364987, 'No': -4.093238, '\n': -4.791112, ' Yes': -5.833966, ' Hospital': -5.870393}
{' No': -0.027946873, '\n': -4.180094, ' ': -7.9963346, 'No': -4.4524407, ' Yes': -9.042894}
{' No': -0.023535341, '\n': -6.712517, ' ': -9.1523075, 'No': -3.8529437, ' Yes': -7.3975964}
{' No': -0.023129983, ' Not': -10.048178, '\n': -6.919194, 'No': -3.8815072, ' Yes': -6.7918563}
{' No': -0.018865727, 'No': -4.040182, '\n': -7.079176, ' Yes': -8.859315, ' ': -9.675611}
{' No': -0.015384293, '\n': -5.4616904, ' ': -9.0369005, 'No': -4.5887504, ' Yes': -7.323028}
{' No': -0.33859575, ' Yes': -1.3281586, 'No': -4.5865526, '\n': -4.881431, 'Yes': -5.962222}
{' No': -0.021342117, 'No': -5.009995, '\n': -5.1840863, ' Hospital': -5.302754, ' Yes': -5.8778653}
{' No': -0.081776105, '\n': -2.8517306, 'No': -4.6490307, ' Yes': -4.9099903, ' Sur': -6.6150184}
{' No': -0.008706892, 'No': -4.905788, '\n': -7.409238, ' Yes': -7.5974092, ' ': -9.599781}
{' No': -0.014812103, 'No': -4.750711, ' Yes': -5.475015, '\n': -6.545245, ' ': -9.366787}
{' No': -0.012278436, 'No': -4.637875, '\n': -6.2112584, ' Yes': -8.144629, ' ': -8.913729}
{' No': -0.19828966, '\n': -2.5600069, ' ': -6.170774, 'No': -2.33193, ' Yes': -6.245883}
{' No': -0.37308925, '\n': -2.7080424, 'No': -2.4468462, ' Yes': -1.942061, 'Yes': -4.509999}
{' No': -0.14588133, '\n': -2.8799798, ' ': -6.409608, 'No': -2.5876958, ' Yes': -6.5501986}
{' No': -0.23707163, '\n': -2.1802726, 'No': -2.4272742, ' Yes': -5.2292514, ' ': -6.099139}
{' No': -0.13356291, 'No': -2.3805988, '\n': -3.5486705, ' Unfortunately': -6.484488, ' ': -6.997107}
{' No': -0.10714716, 'No': -2.5650442, '\n': -3.90929, ' Yes': -5.827268, ' ': -7.4041}
{' No': -0.17258352, 'No': -2.2092886, '\n': -3.134896, ' Yes': -6.0279093, ' ': -6.569537}
{' No': -0.3537956, '\n': -2.6583285, 'No': -2.6041846, ' Yes': -2.0014071, ' Unfortunately': -4.914951}
{' No': -1.9290715, '\n': -3.4147203, 'No': -4.058098, ' Yes': -0.27263853, 'Yes': -3.2104015}
{' No': -0.88244736, ' Yes': -1.2164241, '\n': -1.5575113, 'No': -2.9317405, 'Yes': -4.252219}
{' No': -0.7650774, '\n': -1.2721841, ' Yes': -1.833618, 'No': -2.6951082, 'Yes': -4.1589007}
{' No': -0.32794827, 'No': -2.3183887, '\n': -2.3416314, ' Yes': -2.7786376, ' Unfortunately': -4.314381}
{' No': -0.4885018, '\n': -2.6724656, 'No': -2.621133, ' Yes': -1.4905541, 'Yes': -4.3261557}
{' No': -0.37747267, ' Yes': -2.0388248, 'No': -2.4411457, '\n': -2.5074546, 'Yes': -4.8102117}
{' No': -0.060553446, 'No': -3.3836772, '\n': -4.0618196, ' Yes': -4.9822717, ' ': -8.148751}
{' No': -0.55515105, ' Yes': -0.9655171, '\n': -3.89625, 'No': -4.1124496, 'Yes': -4.9066315}
{' No': -0.03272157, ' Yes': -4.4731474, '\n': -4.5902033, 'No': -4.821921, ' Hospital': -6.658215}
{' No': -0.12707014, '\n': -2.6482475, ' ': -6.4182515, 'No': -4.287394, ' Yes': -3.4825711}
{' No': -0.041956846, 'No': -3.6637084, '\n': -4.678225, ' Yes': -5.368098, ' Unfortunately': -7.3703904}
{' No': -0.042824347, '\n': -4.519961, 'No': -3.8545613, ' Yes': -4.769751, ' Unfortunately': -7.773321}
{' No': -0.03446538, 'No': -3.8169134, '\n': -4.6832614, ' Yes': -6.1270323, ' ': -8.433442}
{' No': -0.51099, '\n': -3.1536994, 'No': -2.9681416, ' Yes': -1.2310352, 'Yes': -4.3930397}
{' No': -0.9473504, '\n': -1.7291974, 'No': -3.3107307, ' Yes': -0.98109144, 'Yes': -4.4590597}
{' Yes': -0.7102564, '\n': -1.2898595, ' No': -1.6362666, 'Yes': -3.9174137, 'No': -4.32925}
{' No': -0.16239817, '\n': -2.6221302, 'No': -2.7877376, ' Yes': -4.6096067, ' Not': -6.1168838}
{' No': -0.24529356, '\n': -2.4294024, 'No': -2.935664, ' Yes': -2.676688, 'Yes': -6.0062876}
{' No': -0.42515594, '\n': -3.0186234, 'No': -3.8326647, ' Yes': -1.31934, 'Yes': -4.980519}
{' No': -0.41599894, '\n': -1.5739179, ' Yes': -2.554852, 'No': -3.0971951, ' Unfortunately': -5.667828}
{' No': -0.59521616, '\n': -1.0434184, 'No': -3.0352912, ' Yes': -3.4916472, ' Unfortunately': -4.7731853}
{' No': -1.5379031, '\n': -0.5257341, 'No': -4.322983, ' Yes': -1.8113157, 'Yes': -4.8425083}
{' No': -0.18513462, '\n': -2.3940253, 'No': -3.0374103, ' Yes': -6.0720496, ' Unfortunately': -3.8102927}
{' No': -0.15350336, '\n': -2.552744, 'No': -2.9199104, ' Yes': -5.5049453, ' Unfortunately': -5.504177}
{' No': -0.21286114, '\n': -2.1226854, 'No': -2.8570547, ' Yes': -4.471175, ' ': -6.7855043}
{' No': -3.2113612, '\n': -4.5316257, 'No': -6.4963894, ' Yes': -0.07521641, 'Yes': -3.9566786}
{' Yes': -0.03813649, 'Yes': -3.8319995, ' No': -4.5601373, '\n': -5.5819597, ' yes': -7.6073236}
{' No': -3.631485, '\n': -3.8184106, ' Yes': -0.15373598, ' Sur': -2.679033, 'Yes': -3.9397104}
{' No': -0.018666644, 'No': -4.2100177, ' Yes': -6.1597605, '\n': -6.733106, ' ': -8.863369}
{' Yes': -0.08553275, ' No': -2.9311955, 'Yes': -4.2170935, '\n': -4.684816, 'No': -6.335189}
{' No': -0.031889517, 'No': -4.0581346, ' Yes': -4.553423, '\n': -5.8041954, ' ': -8.436422}
{' No': -0.039817166, '\n': -4.6212935, ' ': -8.047027, 'No': -3.862041, ' Yes': -4.9098845}
{' No': -0.07574027, 'No': -3.1846058, ' Yes': -3.9673817, '\n': -4.6198573, ' Unfortunately': -6.7701807}
{' No': -0.10901064, '\n': -3.4712503, 'No': -3.3829038, ' Yes': -3.3730562, ' Hospital': -6.947221}
{' No': -0.025059458, '\n': -5.880162, ' ': -8.767813, 'No': -4.141175, ' Yes': -5.185883}
{' No': -0.067828104, '\n': -4.059422, ' ': -7.776131, 'No': -3.4457386, ' Yes': -4.217145}
{' No': -0.03515407, '\n': -4.561929, ' ': -7.861985, 'No': -3.8545508, ' Yes': -6.1559405}
{' No': -0.04854785, '\n': -4.0519104, ' ': -8.213852, 'No': -3.5977936, ' Yes': -6.160507}
{' No': -0.078478456, '\n': -4.3795075, 'No': -3.8347898, ' Yes': -3.2289357, 'Yes': -7.437334}
{' No': -0.059327327, ' Hospital': -3.5925303, ' Yes': -4.6447706, 'No': -4.772214, '\n': -4.816989}
{' No': -0.06519578, '\n': -3.9389675, 'No': -4.6438413, ' Yes': -3.4653726, ' Sur': -7.047749}
{' No': -0.028690578, 'No': -3.943161, '\n': -5.2331295, ' Yes': -6.0133533, ' Not': -7.991121}
{' No': -0.010776705, '\n': -6.640434, ' ': -9.1733675, 'No': -4.703926, ' Yes': -8.6096115}
{' No': -0.2742673, '\n': -2.2743511, 'No': -2.88019, ' Yes': -2.660534, ' Unfortunately': -5.3333035}
{' No': -1.8031164, '\n': -3.1798139, 'No': -4.146088, ' Yes': -0.30283433, 'Yes': -3.4372833}
{' No': -0.8037373, '\n': -0.873451, 'No': -3.0565543, ' Yes': -3.140901, ' Unfortunately': -3.6765246}
{' No': -2.314838, '\n': -0.9856792, 'No': -4.5352144, ' Yes': -0.7460399, 'Yes': -3.442844}
{' No': -0.27387393, '\n': -2.1787775, 'No': -2.8048778, ' Yes': -3.8865485, ' Unfortunately': -3.431419}
{' No': -0.26663247, '\n': -2.0180323, 'No': -2.7670958, ' Yes': -3.6738267, ' Unfortunately': -5.0491734}
{' No': -0.021626454, '\n': -5.341874, ' ': -8.606723, 'No': -4.2346582, ' Yes': -6.3459096}
{' Yes': -0.3172185, ' No': -1.3878706, 'Yes': -4.5984282, '\n': -5.097667, 'No': -5.218565}
{' No': -0.120666586, ' Hospital': -2.8857613, '\n': -3.4180243, 'No': -4.1031833, ' Yes': -5.3095703}
{' No': -0.036799494, '\n': -3.9197948, 'No': -4.2267394, ' Yes': -6.9774656, ' ': -7.9109483}
{' No': -0.020578785, 'No': -4.0051727, '\n': -6.325144, ' ': -8.879135, ' Yes': -9.035459}
{' No': -0.017352631, ' Not': -9.383547, '\n': -5.861039, 'No': -4.284162, ' Yes': -8.059522}
{' No': -0.027282057, '\n': -4.7111063, ' ': -8.832639, 'No': -4.435853, ' Yes': -5.1529074}
{' No': -0.041782197, 'No': -3.8166254, ' Yes': -4.56714, '\n': -4.829439, 'Yes': -8.675615}
{' No': -0.08529754, '\n': -3.316062, 'No': -3.5791442, ' Yes': -4.982568, ' Hospital': -4.8178277}
{' No': -0.11225634, '\n': -2.5557091, 'No': -3.7734158, ' Yes': -5.4425917, ' ': -7.450394}
{' No': -0.027709207, '\n': -6.1954484, 'No': -3.7090292, ' Yes': -7.832915, ' Unfortunately': -8.958378}
{' No': -0.03536931, ' Not': -8.204953, '\n': -5.311614, 'No': -3.7253945, ' Yes': -5.3072486}
{' No': -0.020834846, '\n': -5.3607817, ' ': -9.103587, 'No': -4.184369, ' Yes': -7.642667}
{' No': -0.029468844, '\n': -4.583914, ' ': -8.860937, 'No': -4.4113216, ' Yes': -5.0531807}
{' No': -0.4205366, ' Yes': -1.1340262, '\n': -4.659264, 'No': -4.8155575, 'Yes': -5.8713818}
{' No': -0.12297332, ' Hospital': -2.76673, '\n': -3.6736915, 'No': -4.0099974, ' Yes': -5.043721}
{' No': -0.089404374, '\n': -2.9198105, 'No': -4.282365, ' Yes': -4.209771, ' Sur': -6.57066}
{' No': -0.023114916, ' Not': -9.272071, '\n': -6.0536647, 'No': -3.917089, ' Yes': -8.107509}
{' No': -0.024970965, ' Not': -8.692948, '\n': -5.546249, 'No': -4.183759, ' Yes': -5.36317}
{' No': -0.016373526, '\n': -5.342759, ' ': -8.920995, 'No': -4.56193, ' Yes': -7.154679}
{' No': -0.025532858, 'No': -3.8708203, '\n': -5.5172944, ' Yes': -8.300703, ' ': -9.488257}
{' No': -0.62160283, '\n': -4.027265, 'No': -4.4736824, ' Yes': -0.89537215, ' Doctor': -3.9995267}
{' No': -0.040592767, 'No': -3.7206655, '\n': -4.5813355, ' Yes': -5.5100827, ' Hospital': -7.3151665}
{' No': -0.028848602, '\n': -4.2838683, ' ': -8.634043, 'No': -4.2628784, ' Yes': -8.544646}
{' No': -0.037270576, 'No': -3.4036949, '\n': -6.107827, ' Yes': -7.2031, ' ': -9.023297}
{' No': -0.044347044, '\n': -4.4436426, 'No': -3.6436493, ' Yes': -5.3678713, 'Yes': -8.699676}
{' No': -0.013329891, 'No': -4.3710165, '\n': -7.639873, ' Yes': -9.565652, ' ': -10.220399}
{' No': -0.055943027, '\n': -3.6153853, ' ': -7.6247334, 'No': -4.5108037, ' Yes': -4.1556287}
{' No': -4.131805, '\n': -4.242964, ' Yes': -0.04392238, 'Yes': -4.6346207, ' Doctor': -6.4894133}
{' No': -0.24112804, ' Hospital': -2.1890688, '\n': -2.7438822, 'No': -4.058072, ' Yes': -4.2083387}
{' No': -0.18506266, '\n': -1.9818573, 'No': -4.0629253, ' Yes': -4.931566, ' Sur': -5.5773754}
{' No': -0.031207774, 'No': -3.7854912, '\n': -4.970047, ' Yes': -7.6141715, ' ': -8.615825}
{' No': -0.15010169, ' Yes': -2.7543478, '\n': -3.0794916, 'No': -4.075145, ' Patient': -5.5658402}
{' No': -0.016720943, 'No': -4.51686, '\n': -5.2614164, ' Yes': -8.255266, ' ': -8.812272}
{' No': -0.15128657, '\n': -2.4980655, ' ': -6.691415, 'No': -3.142446, ' Yes': -4.3465357}
{' Yes': -0.6233867, ' No': -1.1377625, '\n': -2.3082678, 'Yes': -3.8319495, 'No': -3.9209101}
{' No': -0.24668005, '\n': -1.9417102, ' ': -5.998606, 'No': -2.762875, ' Yes': -4.833308}
{' No': -0.35965708, '\n': -1.552328, 'No': -2.8340986, ' Yes': -3.6311069, 'Yes': -6.211269}
{' No': -0.12846027, 'No': -2.5828307, '\n': -3.197497, ' Unfortunately': -6.438511, ' Yes': -6.8060284}
{' No': -0.13806131, 'No': -2.8625026, '\n': -2.8778496, ' Yes': -4.3599467, ' ': -7.2588263}
{' No': -0.13087043, '\n': -3.1312823, ' ': -7.1916265, 'No': -2.5621943, ' Yes': -7.353812}
{' No': -0.77635664, '\n': -1.8413668, 'No': -2.8103418, ' Yes': -1.2188368, 'Yes': -3.973378}
{' Yes': -0.4316807, ' No': -1.5011292, '\n': -2.843868, 'Yes': -3.2848241, 'No': -3.5996742}
{' No': -0.60609627, '\n': -1.2142849, 'No': -2.5314865, ' Yes': -3.0069656, ' Unfortunately': -4.0192432}
{' No': -2.2349799, '\n': -1.1386683, 'No': -3.812786, ' Yes': -0.73684144, 'Yes': -2.7182105}
{' No': -0.5598734, '\n': -1.4112222, 'No': -2.1433752, ' Yes': -3.25592, ' Unfortunately': -4.036012}
{' No': -1.0321867, '\n': -2.1158812, 'No': -2.945101, ' Yes': -0.84670275, 'Yes': -3.3695204}
{' No': -0.4147245, '\n': -1.8768522, 'No': -2.0818179, ' Yes': -3.1137447, ' Unfortunately': -4.7659664}
{' No': -0.4272598, ' Yes': -1.185448, '\n': -3.5480158, 'No': -4.742947, 'Yes': -5.6100636}
{' Yes': -0.027307477, 'Yes': -4.3189826, '\n': -4.635195, ' No': -5.919945, ' yes': -7.9075336}
{' No': -0.124826446, '\n': -3.0236871, 'No': -4.068678, ' Yes': -3.226583, ' Hospital': -4.72188}
{' No': -0.17091738, '\n': -2.4704568, 'No': -4.4078293, ' Yes': -2.8669562, 'Yes': -6.993345}
{' No': -0.035531975, '\n': -4.8389053, 'No': -3.6629102, ' Yes': -7.656412, ' Unfortunately': -8.308552}
{' No': -0.29573953, ' Yes': -1.815452, '\n': -2.7577794, 'No': -3.8447964, 'Yes': -5.405584}
{' No': -0.025605932, 'No': -4.3023105, '\n': -4.6153674, ' Yes': -6.49233, ' ': -8.68184}
{' No': -2.0437548, '\n': -2.59453, 'No': -4.0542316, ' Yes': -0.31778544, 'Yes': -3.0317023}
{' No': -0.73708737, ' Yes': -1.5044328, '\n': -1.5214826, 'No': -2.8089063, 'Yes': -4.4692173}
{' No': -2.1577606, '\n': -1.0714552, 'No': -4.444206, ' Yes': -0.7076837, 'Yes': -3.4575005}
{' No': -0.28413713, '\n': -2.0533843, 'No': -2.223676, ' Unfortunately': -5.46754, ' Yes': -5.9467535}
{' No': -0.616411, ' Yes': -1.4632431, '\n': -1.9008291, 'No': -2.8227043, 'Yes': -4.302582}
{' No': -0.2699956, '\n': -2.0434046, ' Yes': -2.77764, 'No': -3.2100987, 'Yes': -5.9494343}
{' No': -1.8877226, '\n': -1.5365186, 'No': -4.103184, ' Yes': -0.5408483, 'Yes': -3.4621015}
{' No': -0.57670754, '\n': -1.2735536, ' Yes': -2.6825044, 'No': -2.7837064, ' Unfortunately': -4.6186485}
{' No': -3.5669975, '\n': -1.119156, ' ': -5.7537913, ' Yes': -0.5007839, 'Yes': -3.5562077}
{' No': -0.24465731, '\n': -2.293081, 'No': -2.467302, ' Yes': -6.520189, ' Unfortunately': -3.6494386}
{' No': -0.32772025, '\n': -2.0210357, 'No': -2.4237707, ' Yes': -3.190269, ' Unfortunately': -4.6931605}
{' No': -0.33086085, '\n': -1.6347758, 'No': -2.873635, ' Yes': -3.6968617, 'Yes': -6.5387845}
{' Yes': -0.040122166, 'Yes': -3.5630884, '\n': -4.787757, ' Nurse': -6.9509683, ' No': -7.0245886}
{' Yes': -0.021419024, 'Yes': -4.0430045, '\n': -5.9263053, ' yes': -7.5002165, ' Doctor': -8.840705}
{' Yes': -0.15935595, ' Sur': -2.5098047, '\n': -3.1826806, 'Yes': -3.924027, ' ': -6.4943905}
{' No': -0.02749199, '\n': -5.465066, ' ': -8.651605, 'No': -3.835601, ' Yes': -6.9771667}
{'\n': -5.815488, ' Yes': -0.01723801, ' Patient': -7.7195044, ' yes': -8.045955, 'Yes': -4.358289}
{' No': -0.10249266, '\n': -3.9580488, 'No': -4.1704745, ' Yes': -2.8031762, 'Yes': -6.9025145}
{' No': -1.3259794, '\n': -3.3386593, 'No': -5.261101, ' Yes': -0.3856505, 'Yes': -4.4094214}
{' Yes': -0.60985786, ' No': -0.8952354, '\n': -3.5446095, 'No': -4.761635, 'Yes': -4.9363465}
{' No': -0.22855045, '\n': -1.9039311, 'No': -3.6819978, ' Yes': -3.976172, ' Hospital': -4.8972573}
{' No': -0.059319545, 'No': -3.4166172, '\n': -3.9541042, ' Yes': -5.455001, ' Unfortunately': -7.617839}
{' No': -0.5159415, '\n': -1.9322224, 'No': -4.021406, ' Yes': -1.5264357, ' Patient': -4.246132}
{' No': -0.017503351, '\n': -5.143766, ' ': -8.380204, 'No': -4.591472, ' Yes': -6.9371347}
{' No': -0.047270402, '\n': -3.8419173, ' ': -7.74337, 'No': -3.874041, ' Yes': -5.6957855}
{' No': -0.47638458, ' Yes': -1.1269374, '\n': -3.4895244, 'No': -4.553594, ' Doctor': -4.763551}
{' No': -0.053079147, '\n': -3.9458458, 'No': -3.7302296, ' Yes': -5.494014, ' Hospital': -5.7375193}
{' No': -0.44976473, '\n': -1.8420892, ' Yes': -2.1274877, ' Sur': -2.8358064, 'No': -4.020369}
{' No': -0.18895248, ' Yes': -2.2008638, '\n': -3.3444872, 'No': -4.04988, ' Patient': -5.4044847}
{' No': -0.014015231, '\n': -5.9953456, ' ': -8.527158, 'No': -4.523378, ' Yes': -8.082625}
{' No': -0.5964608, ' Yes': -1.4589773, '\n': -1.8778939, 'No': -3.0971322, 'Yes': -4.6759114}
{' No': -3.7222793, '\n': -3.4871356, 'No': -6.053841, ' Yes': -0.103419214, 'Yes': -3.2856357}
{' No': -0.60064584, '\n': -1.0340451, 'No': -2.754956, ' Unfortunately': -4.2199006, ' Yes': -4.845856}
{' No': -1.8217741, '\n': -0.8102765, 'No': -4.1358914, ' Yes': -1.0623403, 'Yes': -3.8439927}
{' No': -0.31345665, 'No': -1.999158, '\n': -2.322873, ' Unfortunately': -3.541377, ' ': -6.2678003}
{' No': -0.37794802, '\n': -1.633939, 'No': -2.6783304, ' Yes': -3.2290986, ' Unfortunately': -5.679114}
{' No': -0.041398194, 'No': -3.9045799, '\n': -4.156806, ' Yes': -5.469615, ' ': -8.236264}
{' No': -2.6816616, '\n': -4.4610443, 'No': -6.5831947, ' Yes': -0.097824216, 'Yes': -4.527464}
{' No': -0.10856387, '\n': -3.008367, 'No': -3.4913535, ' Yes': -6.2846785, ' Hospital': -3.9985552}
{' No': -0.080904394, '\n': -2.9191246, 'No': -3.9305842, ' Yes': -5.9154835, ' Sur': -7.7665477}
{' No': -0.045794684, 'No': -3.4109697, '\n': -4.521928, ' Unfortunately': -7.82982, ' ': -8.461137}
{' No': -0.04165306, 'No': -3.659918, '\n': -4.4013557, ' Yes': -6.253334, ' Patient': -8.276946}
{' No': -0.096635535, '\n': -3.0137115, ' ': -6.928588, 'No': -3.4441164, ' Yes': -4.7045302}
{' No': -0.076547556, '\n': -5.194315, 'No': -3.7627618, ' Yes': -3.149572, 'Yes': -7.1892257}
{' No': -0.08768734, '\n': -3.759829, 'No': -4.0168824, ' Yes': -5.679171, ' Hospital': -3.3175857}
{' No': -0.054017875, '\n': -3.5012107, 'No': -4.029968, ' Yes': -5.6337485, ' ': -8.0186}
{' No': -0.024148017, 'No': -3.8090618, '\n': -6.730202, ' Yes': -8.238683, ' Not': -8.995226}
{' No': -0.037448894, ' Not': -7.7026477, '\n': -4.525865, 'No': -3.8698175, ' Yes': -5.662016}
{' No': -0.015788602, 'No': -4.3308845, '\n': -6.3149137, ' Yes': -7.584966, ' ': -9.110829}
{' No': -0.16839933, '\n': -2.798322, 'No': -3.5296984, ' Yes': -2.8106816, 'Yes': -6.268447}
{' No': -2.206831, '\n': -3.7115285, ' Yes': -0.199707, 'Yes': -4.4571, ' Doctor': -3.4846742}
{' No': -0.8545127, '\n': -2.7633932, 'No': -4.459668, ' Yes': -3.6759598, ' Hospital': -0.7648349}
{' No': -0.53049636, '\n': -1.5291249, 'No': -3.8465, ' Yes': -2.3282795, ' Sur': -2.7581232}
{' No': -0.019498896, 'No': -4.077223, '\n': -6.3394547, ' Yes': -8.086384, ' Not': -8.954781}
{' No': -0.16786249, '\n': -3.020264, ' Yes': -3.3011956, 'No': -3.6056046, ' Patient': -4.1566086}
{' No': -0.013637338, '\n': -6.042228, ' ': -8.492201, 'No': -4.6275077, ' Yes': -6.8524547}
{' No': -0.03732056, '\n': -4.4662814, ' ': -8.352515, 'No': -3.7023137, ' Yes': -8.510934}
{' No': -0.042694453, 'No': -3.9569705, ' Yes': -4.318133, '\n': -4.8939404, ' Doctor': -6.7182655}
{' No': -0.051381625, '\n': -3.6759982, 'No': -4.1685553, ' Yes': -6.608548, ' Hospital': -5.1271396}
{' No': -0.025050353, '\n': -4.6019187, ' ': -8.8028555, 'No': -4.245805, ' Yes': -9.033063}
{' No': -0.026172463, 'No': -3.6934488, '\n': -7.312902, ' Yes': -9.096806, ' ': -9.651737}
{' No': -0.034126736, 'No': -3.95081, '\n': -4.768681, ' Yes': -5.228247, 'Yes': -8.821632}
{' No': -0.016663728, 'No': -4.2167616, '\n': -6.486235, ' ': -8.887223, ' Yes': -9.455612}
{' No': -0.043598887, '\n': -3.7771192, ' ': -7.4217687, 'No': -4.335137, ' Yes': -5.1533875}
{' Yes': -0.55490595, ' No': -0.93809223, '\n': -4.353629, ' Doctor': -4.5626307, 'Yes': -5.290337}
{' No': -0.2582462, ' Hospital': -1.7324398, '\n': -3.5651424, 'No': -4.414553, ' Yes': -5.536679}
{' No': -0.10429482, '\n': -2.7930403, 'No': -4.2661314, ' Yes': -4.325734, ' Sur': -4.8217}
{' No': -0.016347477, '\n': -6.075277, ' ': -8.926891, 'No': -4.313392, ' Yes': -8.251991}
{' No': -0.10196336, '\n': -3.2664416, ' Yes': -3.754717, 'No': -4.029391, ' Patient': -4.8427486}
{' No': -0.009183142, 'No': -4.9282675, '\n': -6.396344, ' ': -8.963986, ' Yes': -9.679151}
{' No': -0.14949788, '\n': -2.5881767, 'No': -2.8960474, ' Yes': -5.0846367, ' ': -6.5052485}
{' No': -0.17594673, '\n': -3.3124478, 'No': -2.9250214, ' Yes': -2.7065024, 'Yes': -5.824052}
{' No': -0.12900122, '\n': -2.8819213, ' ': -6.4873476, 'No': -2.803634, ' Yes': -6.897429}
{' No': -0.22439682, '\n': -2.0928564, ' ': -6.390683, 'No': -2.8331444, ' Yes': -4.2241683}
{' No': -0.0760261, 'No': -2.88054, '\n': -4.2488356, ' Yes': -6.744584, ' Unfortunately': -7.306538}
{' No': -0.103454575, '\n': -3.7358625, 'No': -2.66255, ' Yes': -5.9202194, ' Unfortunately': -7.3162036}
{' No': -0.109356195, 'No': -2.75791, '\n': -3.2557926, ' ': -7.137974, ' Yes': -8.065537}
{' No': -0.455778, ' Yes': -1.9964752, '\n': -2.1457539, 'No': -2.3324316, 'Yes': -4.5132995}
{' Yes': -0.26690105, ' No': -2.021902, 'Yes': -2.987747, '\n': -3.4722328, 'No': -4.011858}
{' No': -0.57342523, '\n': -1.3807144, 'No': -2.1789072, ' Yes': -2.9582822, ' Unfortunately': -4.785639}
{' Yes': -0.74699324, '\n': -1.2876368, ' No': -1.8325435, 'Yes': -2.8298445, 'No': -3.6376352}
{' No': -0.5490229, '\n': -1.5779383, 'No': -1.8996221, ' Yes': -3.0434227, 'Yes': -4.976715}
{' No': -0.576398, ' Yes': -1.3449508, '\n': -2.5698557, 'No': -2.5969229, 'Yes': -3.8523052}
{' No': -0.55078346, '\n': -1.6091255, 'No': -1.7611431, ' Yes': -3.2518294, 'Yes': -5.008133}
{' No': -0.16676429, '\n': -2.7090786, 'No': -3.7611475, ' Yes': -2.8119934, 'Yes': -6.413777}
{' Yes': -0.044134784, ' No': -3.8483472, 'Yes': -4.471211, '\n': -4.8888955, ' Doctor': -6.416201}
{' No': -0.23919107, ' Hospital': -1.9730873, '\n': -3.3702216, ' Yes': -3.944139, 'No': -4.2613354}
{' No': -0.3065622, '\n': -2.1605947, 'No': -4.6769958, ' Yes': -2.0641706, ' Sur': -5.0372386}
{' No': -0.025776982, '\n': -5.4915166, ' ': -8.681021, 'No': -3.9007616, ' Yes': -7.509375}
{' No': -0.09397046, ' Yes': -3.328515, '\n': -3.4126651, 'No': -4.0901823, 'Yes': -7.1036634}
{' No': -0.015072743, '\n': -5.531174, ' ': -8.599607, 'No': -4.6178274, ' Yes': -7.1450047}
{' No': -1.8897873, '\n': -2.6901758, 'No': -4.082256, ' Yes': -0.32786724, 'Yes': -3.1963327}
{' No': -0.65741587, '\n': -1.0989404, ' Yes': -2.7001421, 'No': -2.8427396, ' Hospital': -4.4604077}
{' No': -1.5031291, '\n': -1.3709996, 'No': -4.1289434, ' Yes': -0.7438594, 'Yes': -3.7946043}
{' No': -0.152102, ' Not': -6.7261887, '\n': -2.857937, 'No': -2.5654588, ' Yes': -5.744309}
{' No': -0.28832373, '\n': -2.1384327, ' Yes': -2.7495186, 'No': -2.8883696, ' Patient': -5.190294}
{' No': -0.08849861, '\n': -3.3751464, 'No': -3.4371636, ' Yes': -4.085014, ' ': -7.3750567}
{'\n': -1.0962714, ' Yes': -1.1067293, ' No': -1.2627715, 'No': -3.6155562, 'Yes': -3.8751142}
{' No': -0.68472606, '\n': -0.9380239, 'No': -2.650655, ' Yes': -4.565074, ' Unfortunately': -4.6889396}
{' Yes': -0.5973752, '\n': -0.9378426, 'Yes': -3.5853856, ' No': -3.8561127, ' Sur': -5.7987704}
{' No': -0.18527327, '\n': -2.6075144, 'No': -2.487338, ' Yes': -6.1256967, ' Unfortunately': -4.938889}
{' No': -0.42052904, '\n': -1.561627, 'No': -2.4733722, ' Yes': -3.3627877, ' Unfortunately': -5.4750943}
{' No': -0.3028712, '\n': -1.6909155, ' ': -6.4071536, 'No': -2.910907, ' Yes': -4.0312037}
