{' No': -0.09881018, ' Yes': -2.6181371, 'No': -4.0900593, '\n': -5.7983394, 'Yes': -6.7311544}
{' Yes': -0.5875258, ' No': -1.3578811, '\n': -2.0081131, 'Yes': -3.4622664, 'No': -3.9807045}
{' No': -0.17926893, 'No': -2.3454885, '\n': -2.770568, ' Yes': -6.0058236, ' ': -6.5170083}
{' No': -0.4288528, ' Yes': -1.5638777, '\n': -2.6093202, 'No': -2.9428678, 'Yes': -4.560044}
{' No': -6.280149, '\n': -3.7362156, ' ': -7.2089124, ' Yes': -0.06512656, 'Yes': -3.326555}
{' No': -4.743809, '\n': -4.239245, 'No': -7.112128, ' Yes': -0.06054186, 'Yes': -3.4023178}
{' Yes': -0.45899346, '\n': -1.8535075, ' No': -1.8806968, 'Yes': -3.4812005, 'No': -3.8524601}
{' No': -6.9957066, '\n': -2.7729542, ' ': -6.3807306, ' Yes': -0.119134404, 'Yes': -3.0782886}
{' No': -0.34714982, '\n': -2.0030737, 'No': -2.4874716, ' Yes': -3.213811, ' Unfortunately': -3.7575731}
{' Yes': -0.108922906, 'Yes': -3.3528285, '\n': -3.3816907, ' No': -3.5375366, 'No': -5.8465624}
{' Yes': -0.13950476, ' No': -2.752702, '\n': -3.385671, 'Yes': -3.6193516, 'No': -5.405143}
{' Yes': -0.39861837, ' No': -1.6751, '\n': -2.256332, 'Yes': -4.0618167, 'No': -4.197847}
{' No': -0.78045243, '\n': -1.4002491, ' Yes': -1.4063565, 'No': -3.3621519, 'Yes': -4.3789554}
{' No': -0.15162717, '\n': -2.6279187, 'No': -3.140795, ' Yes': -4.036532, ' Unfortunately': -5.732233}
{' No': -2.017098, '\n': -3.4739652, 'No': -4.8249474, ' Yes': -0.21921195, 'Yes': -3.8529913}
{' No': -1.5913314, '\n': -3.0061493, 'No': -4.5625587, ' Yes': -0.33483112, 'Yes': -4.096412}
{' No': -1.0083696, '\n': -1.406542, 'No': -3.700943, ' Yes': -1.0688249, 'Yes': -4.6039715}
{' Yes': -0.26227945, '\n': -1.6563414, 'Yes': -3.5342293, ' No': -5.0441127, ' ': -6.1687665}
{' No': -0.47443354, '\n': -1.3103749, ' Unfortunately': -3.3391566, 'No': -3.4742122, ' Yes': -3.563726}
{' No': -0.6183926, '\n': -2.1836333, 'No': -3.5167594, ' Yes': -1.2110211, 'Yes': -4.7047553}
{' No': -7.260491, '\n': -6.9006186, ' Yes': -0.014069877, ' yes': -8.568643, 'Yes': -4.432023}
{' No': -7.147571, '\n': -6.9718018, ' Yes': -0.015058888, ' yes': -8.240175, 'Yes': -4.358364}
{' Yes': -0.027850887, 'Yes': -4.1837134, ' Sur': -5.17979, '\n': -5.3777633, ' No': -7.025495}
{' No': -0.029154163, 'No': -3.9860175, ' Yes': -4.888857, '\n': -6.1512794, ' ': -8.490213}
{' No': -3.6491237, '\n': -5.864921, ' Yes': -0.044780362, ' Patient': -6.2309904, 'Yes': -4.48735}
{' No': -0.031527095, '\n': -5.1914124, ' ': -8.4815855, 'No': -3.9764178, ' Yes': -5.0716844}
{' No': -0.14087042, ' Yes': -2.3778985, 'No': -3.794061, '\n': -4.3094015, 'Yes': -6.470641}
{' No': -0.06540543, '\n': -3.9628546, ' ': -7.4964066, 'No': -3.487618, ' Yes': -4.401007}
{' No': -0.06342179, '\n': -5.1653123, 'No': -3.8942113, ' Yes': -3.3730018, 'Yes': -7.559321}
{' No': -1.2379673, '\n': -5.1941247, 'No': -5.295031, ' Yes': -0.3706099, 'Yes': -4.865187}
{' No': -0.06359544, ' Yes': -3.1567407, 'No': -4.423264, '\n': -5.080378, 'Yes': -7.6330986}
{' No': -0.13964313, ' Yes': -2.2556424, 'No': -4.17125, '\n': -4.806294, 'Yes': -6.7103577}
{' No': -0.11855531, ' Yes': -2.4018443, 'No': -4.3962517, '\n': -5.2092266, ' Hospital': -6.298294}
{' No': -1.7909782, '\n': -4.957839, ' Yes': -0.24360725, ' Sur': -3.5067985, 'Yes': -4.8178797}
{' No': -0.29193476, ' Yes': -1.5167539, '\n': -3.8842025, 'No': -4.7943053, 'Yes': -5.937284}
{'\n': -3.851362, ' ': -7.6166754, ' Yes': -0.047174297, ' The': -7.817473, 'Yes': -3.7569904}
{' Yes': -0.082248345, '\n': -3.1718495, 'Yes': -3.7358603, ' No': -4.603473, ' The': -6.7541785}
{' Yes': -0.5785611, ' No': -1.4636186, '\n': -1.7978623, 'No': -4.031476, 'Yes': -4.0954185}
{' Yes': -0.13719551, '\n': -2.644262, 'Yes': -2.9223955, ' ': -6.8702717, ' The': -7.0036564}
{' No': -0.3724691, '\n': -1.6858406, 'No': -2.9511757, ' Yes': -3.1341705, ' Unfortunately': -4.124962}
{' No': -0.41397426, '\n': -3.6318831, 'No': -3.8756764, ' Yes': -1.2584778, 'Yes': -4.9607615}
{' No': -0.13812426, ' Yes': -2.446697, 'No': -3.4572022, '\n': -4.80586, 'Yes': -6.2255516}
{' No': -0.16494834, '\n': -3.1211534, 'No': -3.5449474, ' Yes': -2.5731838, 'Yes': -6.6563115}
{' Yes': -0.47149852, ' No': -1.3166103, '\n': -2.5225143, 'Yes': -4.2842307, 'No': -4.9474506}
{' No': -0.06736983, 'No': -3.2816432, ' Yes': -4.337025, '\n': -4.3600845, ' Not': -7.0557785}
{' No': -0.62239707, '\n': -4.753947, 'No': -3.9436822, ' Yes': -0.8612239, 'Yes': -4.426341}
{' No': -1.1537737, '\n': -3.9420998, 'No': -4.6236258, ' Yes': -0.44613403, 'Yes': -4.223525}
{' No': -4.5845776, '\n': -5.27396, 'No': -8.384669, ' Yes': -0.02873057, 'Yes': -4.4100437}
{' No': -0.54939985, ' Yes': -0.9493289, '\n': -3.9978728, 'No': -4.419685, 'Yes': -5.524753}
{' No': -3.3433156, '\n': -4.1157417, ' Yes': -0.07232712, ' Sur': -7.1732974, 'Yes': -4.1355023}
{' No': -0.053299796, 'No': -3.462899, ' Yes': -4.318118, '\n': -5.232247, ' Not': -6.8528175}
{' No': -0.18222192, '\n': -5.315686, 'No': -3.7974007, ' Yes': -1.9997592, 'Yes': -5.808799}
{' No': -0.026275935, 'No': -3.8736994, '\n': -5.4718304, ' Yes': -7.201811, ' ': -8.935364}
{' No': -0.18706433, '\n': -5.267909, 'No': -3.8966572, ' Yes': -1.9492217, 'Yes': -6.036006}
{' No': -0.022254787, 'No': -3.923212, ' Yes': -6.6901774, '\n': -7.118011, ' ': -9.459294}
{' No': -0.0389009, 'No': -4.0358243, '\n': -4.427107, ' Yes': -5.016867, ' Sur': -6.740185}
{' No': -0.053653177, 'No': -3.3362918, ' Yes': -4.4130244, '\n': -5.692779, ' Not': -7.7191367}
{' No': -0.12970866, '\n': -5.321805, 'No': -3.7764695, ' Yes': -2.3916256, 'Yes': -6.270904}
{' No': -0.72658145, ' Yes': -0.7523212, '\n': -3.8039663, 'No': -4.3712845, 'Yes': -4.6513023}
{' Yes': -0.03777419, ' No': -3.9130049, 'Yes': -4.611642, '\n': -5.101441, 'No': -8.006565}
{' No': -0.11758016, '\n': -4.9848475, 'No': -4.108854, ' Yes': -2.450813, 'Yes': -7.0098815}
{' No': -0.6511162, ' Yes': -0.9861631, '\n': -2.807385, ' Sur': -3.5650032, 'No': -4.804356}
{' No': -0.026545148, ' Not': -7.8979135, '\n': -5.9648814, 'No': -4.126095, ' Yes': -5.0176697}
{' No': -0.46924865, '\n': -4.352782, 'No': -4.2911844, ' Yes': -1.0791539, 'Yes': -4.941064}
{' No': -0.72172534, '\n': -2.9835622, 'No': -3.2738435, ' Yes': -0.9041594, 'Yes': -3.964605}
{' No': -1.2425414, '\n': -2.9243307, 'No': -3.9280672, ' Yes': -0.49039567, 'Yes': -3.7609644}
{' No': -0.3120591, '\n': -2.846187, 'No': -3.0291133, ' Yes': -1.8668038, 'Yes': -5.2911487}
{' Yes': -0.3725881, ' No': -1.6656771, '\n': -2.654378, 'Yes': -3.322171, 'No': -4.311761}
{' No': -0.14412151, '\n': -3.706719, 'No': -2.3985121, ' Yes': -4.210648, ' Unfortunately': -6.9203777}
{' No': -0.66590893, ' Yes': -0.8948996, 'No': -3.3778594, '\n': -3.742712, 'Yes': -4.0245686}
{' Yes': -0.059107564, 'Yes': -3.3896012, '\n': -3.92635, ' No': -5.9545045, ' ': -7.5279984}
{' No': -4.375074, '\n': -4.051342, 'No': -6.6862617, ' Yes': -0.06854445, 'Yes': -3.3865774}
{' Yes': -0.31173706, ' No': -2.054283, '\n': -2.4545517, 'Yes': -3.425764, 'No': -4.0930805}
{' No': -6.8076043, '\n': -2.9644797, ' ': -6.6683283, ' Yes': -0.10448338, 'Yes': -3.1254659}
{' No': -0.3422777, '\n': -2.1862643, 'No': -2.6034148, ' Yes': -2.5917819, ' Unfortunately': -4.111452}
{' No': -2.7924962, '\n': -3.4171586, 'No': -5.049895, ' Yes': -0.1517281, 'Yes': -3.28188}
{' No': -2.8818016, '\n': -3.5691779, 'No': -5.6522603, ' Yes': -0.121700525, 'Yes': -3.6711237}
{' Yes': -0.46370566, ' No': -1.4058404, '\n': -2.4625134, 'No': -3.969952, 'Yes': -4.1467843}
{' No': -1.9364065, '\n': -2.0891697, 'No': -4.5757055, ' Yes': -0.37236735, 'Yes': -3.584348}
{' No': -0.069807366, ' Not': -6.5750885, '\n': -4.1027756, 'No': -3.184555, ' Yes': -5.1088505}
{' No': -2.0066245, '\n': -3.788391, 'No': -5.0659046, ' Yes': -0.20354694, 'Yes': -4.036949}
{' Yes': -0.46446154, ' No': -1.4469634, '\n': -2.254262, 'Yes': -4.118081, 'No': -4.522473}
{' No': -0.5227275, ' Yes': -1.6703295, '\n': -1.7252593, 'No': -3.5802984, 'Yes': -5.5783033}
{' Yes': -0.26489082, '\n': -1.6633931, 'Yes': -3.749376, ' No': -4.603323, ' Sur': -5.3822856}
{' No': -0.21776453, '\n': -2.1425576, 'No': -3.1760144, ' Yes': -4.133726, ' Unfortunately': -4.5177255}
{' No': -0.7080058, '\n': -2.070381, 'No': -3.4612176, ' Yes': -1.1223315, 'Yes': -4.416208}
{' Yes': -0.018616056, 'Yes': -4.3428063, '\n': -5.7370696, ' No': -6.3290977, ' ': -8.823441}
{' No': -4.0326943, '\n': -5.6490846, 'No': -7.5128174, ' Yes': -0.038225785, 'Yes': -4.20682}
{' No': -6.3687754, '\n': -4.225647, ' Yes': -0.059669677, ' Sur': -3.729269, 'Yes': -4.1525254}
{' No': -0.07019092, '\n': -4.97835, 'No': -3.677256, ' Yes': -3.378916, 'Yes': -7.3012986}
{' No': -2.9522064, '\n': -6.611628, 'No': -7.015633, ' Yes': -0.06667968, 'Yes': -4.661082}
{' No': -0.06525711, ' Yes': -3.2961261, 'No': -4.0595956, '\n': -4.8375554, 'Yes': -7.4801264}
{' No': -0.3606359, '\n': -3.973816, 'No': -3.8183901, ' Yes': -1.365765, 'Yes': -5.319952}
{' No': -0.09147215, ' Yes': -3.430484, 'No': -3.6283886, '\n': -3.6619196, ' ': -7.260638}
{' No': -0.07691246, '\n': -4.318066, 'No': -3.5870042, ' Yes': -3.4607527, 'Yes': -7.38802}
{' Yes': -0.5362702, ' No': -0.9401456, '\n': -4.731289, 'No': -4.9543653, 'Yes': -4.971092}
{' No': -0.2557012, ' Yes': -1.7084906, '\n': -3.7792819, 'No': -4.079834, 'Yes': -5.6019764}
{' No': -0.19222644, '\n': -4.2876925, 'No': -4.000778, ' Yes': -1.9688891, 'Yes': -6.199524}
{' No': -0.08199321, ' Yes': -3.2261753, 'No': -3.7225492, '\n': -4.420843, ' Not': -7.094507}
{' No': -0.52196884, ' Yes': -1.0178242, '\n': -3.739668, 'No': -4.422758, 'Yes': -5.450714}
{' No': -0.10407268, '\n': -4.0026093, 'No': -4.139593, ' Yes': -2.793522, 'Yes': -6.8859105}
{' No': -6.408983, '\n': -3.771129, ' ': -7.7025237, ' Yes': -0.044877734, 'Yes': -4.0048785}
{' Yes': -0.21694684, '\n': -2.3756938, ' No': -2.6146843, 'Yes': -3.8576422, 'No': -5.5655465}
{' No': -1.2466956, '\n': -1.6098664, 'No': -3.8495378, ' Yes': -0.76498145, 'Yes': -4.1578245}
{' No': -6.462313, '\n': -1.8163402, ' ': -6.3662286, ' Yes': -0.23439872, 'Yes': -3.1951795}
{' No': -0.52910566, '\n': -1.2567325, 'No': -3.2018676, ' Yes': -3.0165951, ' Unfortunately': -3.978868}
{' No': -0.09634283, ' Yes': -2.7571914, 'No': -3.9960182, '\n': -4.7609086, 'Yes': -6.735104}
{' No': -0.056531332, ' Yes': -3.528882, 'No': -3.8896096, '\n': -5.415864, 'Yes': -7.7013235}
{' No': -0.123414904, '\n': -2.9463499, 'No': -3.350792, ' Yes': -3.62072, ' ': -7.071726}
{' No': -1.3215352, '\n': -2.4684048, 'No': -4.7892914, ' Yes': -0.48207098, 'Yes': -4.058132}
{' No': -0.07310431, '\n': -3.6614392, ' ': -7.6378164, 'No': -3.2084115, ' Yes': -5.6275835}
{' No': -0.2216316, '\n': -4.067901, 'No': -3.9435518, ' Yes': -1.8504786, 'Yes': -5.569154}
{' No': -0.24939655, '\n': -3.3861802, 'No': -4.070752, ' Yes': -1.7962011, 'Yes': -5.79586}
{' No': -2.9592276, '\n': -5.881692, 'No': -7.277369, ' Yes': -0.06526284, 'Yes': -4.901746}
{' No': -0.14638592, ' Yes': -2.2893207, '\n': -4.079474, 'No': -4.155997, 'Yes': -6.982632}
{' No': -0.7533821, '\n': -2.3740487, 'No': -4.7391586, ' Yes': -0.92029804, ' Sur': -3.9338384}
{' No': -0.019337544, 'No': -4.308989, ' Yes': -5.946461, '\n': -5.996186, ' Not': -8.02356}
{' No': -0.16185015, ' Yes': -2.1993027, '\n': -4.0383782, 'No': -4.2307243, 'Yes': -6.2072387}
{' No': -0.030357009, '\n': -5.779781, ' ': -9.119962, 'No': -3.6613767, ' Yes': -6.9639735}
{' No': -0.2070742, ' Yes': -1.8414583, 'No': -3.7417572, 'Yes': -5.812105, '\n': -6.495053}
{' No': -0.023805892, '\n': -6.155729, ' ': -8.907315, 'No': -3.8953345, ' Yes': -7.107073}
{' No': -0.031435136, '\n': -4.567816, ' ': -8.387423, 'No': -4.0115433, ' Yes': -6.262499}
{' No': -0.031443257, '\n': -6.003096, ' ': -8.737497, 'No': -3.6754403, ' Yes': -5.904639}
{' No': -0.07201238, '\n': -4.744704, 'No': -3.7936578, ' Yes': -3.3129506, 'Yes': -6.9450183}
{' No': -0.14390887, ' Yes': -2.2115397, 'No': -4.386909, '\n': -4.5643225, 'Yes': -6.6457295}
{' No': -2.9175563, '\n': -5.758233, 'No': -6.890088, ' Yes': -0.07283741, 'Yes': -4.453693}
{' No': -0.05694573, ' Yes': -3.4865472, 'No': -4.431534, '\n': -4.7099476, ' Hospital': -5.8696136}
{' No': -0.3298446, '\n': -2.681569, 'No': -4.412493, ' Yes': -2.0919008, ' Sur': -2.632392}
{' No': -0.010631871, 'No': -4.812111, ' Yes': -6.6307354, '\n': -7.0397816, ' ': -9.396383}
{' No': -0.16382954, ' Yes': -2.080114, 'No': -4.4050746, '\n': -4.5281157, 'Yes': -6.2140856}
{' No': -1.1489488, '\n': -2.2830696, 'No': -3.554489, ' Yes': -0.65201765, 'Yes': -3.5489638}
{' No': -1.7015923, '\n': -2.118966, 'No': -4.0234785, ' Yes': -0.44409847, 'Yes': -3.3590324}
{' No': -0.30304363, '\n': -1.9814645, 'No': -2.639685, ' Yes': -3.0651438, ' ': -5.9232063}
{' No': -1.3897526, '\n': -1.6416885, 'No': -3.7904596, ' Yes': -0.70118445, 'Yes': -3.3505297}
{' No': -0.16030538, 'No': -2.3289397, '\n': -3.1039777, ' Yes': -5.811039, ' ': -6.5702343}
{' No': -0.30362698, '\n': -2.8873308, 'No': -2.7828252, ' Yes': -2.0020657, 'Yes': -4.968828}
{' Yes': -0.055174503, 'Yes': -3.4339466, '\n': -4.1294312, ' No': -5.562872, ' ': -7.422161}
{' No': -4.5476704, '\n': -3.9143581, 'No': -6.799459, ' Yes': -0.07364862, 'Yes': -3.269634}
{' No': -3.3283029, '\n': -2.5335448, 'No': -5.263136, ' Yes': -0.17908506, 'Yes': -3.22279}
{' No': -7.23378, '\n': -2.9759448, ' ': -6.6550083, ' Yes': -0.10864094, 'Yes': -3.0156095}
{' No': -0.29052275, '\n': -2.2325468, 'No': -2.5275967, ' Yes': -3.1954985, ' Unfortunately': -4.162654}
{' No': -3.0910137, '\n': -3.133393, 'No': -5.2942953, ' Yes': -0.1442539, 'Yes': -3.2752962}
{' Yes': -0.25530082, ' No': -1.8137286, '\n': -3.5397377, 'Yes': -3.8377364, 'No': -4.5742397}
{' No': -1.9580537, '\n': -2.641104, 'No': -4.40246, ' Yes': -0.2874413, 'Yes': -3.8302326}
{' No': -1.1470693, '\n': -1.4017061, 'No': -3.569627, ' Yes': -0.962438, 'Yes': -3.8268807}
{' No': -0.096238025, 'No': -3.012593, '\n': -3.454074, ' Yes': -4.814986, ' Not': -7.1021276}
{' No': -1.6629544, '\n': -3.2241993, 'No': -4.481903, ' Yes': -0.30986986, 'Yes': -3.8456707}
{' No': -1.009001, '\n': -2.0379963, 'No': -3.8553066, ' Yes': -0.7660849, 'Yes': -4.2802644}
{' No': -0.5026992, '\n': -1.5505146, ' Yes': -2.0963612, 'No': -3.0511537, 'Yes': -5.56147}
{' Yes': -0.41796237, '\n': -1.3117671, ' No': -3.1839802, 'Yes': -3.7085106, 'No': -6.0340586}
{' No': -0.42343885, '\n': -1.3679961, 'No': -3.0087714, ' Unfortunately': -4.152166, ' Yes': -4.283342}
{' No': -0.38682613, '\n': -2.2356381, 'No': -3.0790086, ' Yes': -1.8812414, 'Yes': -5.230847}
{' No': -7.0186505, '\n': -6.411879, ' Yes': -0.01594066, ' yes': -8.799559, 'Yes': -4.347272}
{' No': -5.0807815, '\n': -5.96805, ' Yes': -0.02699084, ' yes': -8.107199, 'Yes': -4.0676327}
{' Yes': -0.027293205, 'Yes': -4.174554, ' Sur': -5.1824827, '\n': -5.464511, ' No': -7.2668824}
{' No': -0.036034524, '\n': -5.779097, ' ': -8.336699, 'No': -4.03811, ' Yes': -4.2699327}
{' Yes': -0.04591768, ' No': -3.6581347, 'Yes': -4.3676796, '\n': -5.4359264, 'No': -7.316171}
{' No': -0.06062748, '\n': -4.9468217, 'No': -4.1654205, ' Yes': -3.3456824, 'Yes': -7.6043854}
{' No': -0.3770227, '\n': -3.8947878, 'No': -3.7455852, ' Yes': -1.3374376, 'Yes': -5.2054834}
{' No': -0.06468574, 'No': -3.5328958, ' Yes': -3.8251226, '\n': -4.6079445, ' ': -7.7154455}
{' No': -0.08268597, '\n': -5.3492837, 'No': -3.866463, ' Yes': -2.9523242, 'Yes': -7.035078}
{' Yes': -0.15429157, ' No': -2.1244988, 'Yes': -4.4916115, '\n': -4.8030267, 'No': -5.9819202}
{' No': -0.1932699, '\n': -3.6049652, 'No': -3.9337637, ' Yes': -2.0732386, 'Yes': -6.016565}
{' No': -0.24777882, '\n': -3.815013, 'No': -3.9318721, ' Yes': -1.7487421, 'Yes': -5.916104}
{' No': -0.13354029, ' Yes': -2.4609976, 'No': -3.8016808, '\n': -4.34208, ' Hospital': -6.4357367}
{' No': -2.3413525, '\n': -4.665556, ' Yes': -0.18494046, ' Sur': -3.0434148, 'Yes': -4.495981}
{' No': -0.31328344, ' Yes': -1.5295235, '\n': -3.6056244, 'No': -4.0288043, 'Yes': -5.3411517}
{' No': -6.9121695, '\n': -3.7456994, ' ': -7.8845162, ' Yes': -0.056288417, 'Yes': -3.5377676}
{' Yes': -0.15192506, ' No': -2.83883, '\n': -2.8561695, 'Yes': -3.9147596, 'No': -5.8167324}
{' No': -1.5538938, '\n': -1.745422, 'No': -4.0658565, ' Yes': -0.56017464, 'Yes': -4.0227427}
{'\n': -2.1067567, ' ': -6.549547, ' Yes': -0.20303959, ' The': -6.754014, 'Yes': -2.8496346}
{' No': -0.42832813, '\n': -1.5792394, 'No': -3.136635, ' Yes': -2.696032, ' Unfortunately': -4.2182007}
{' No': -0.18726046, ' Yes': -2.2640598, '\n': -3.2190654, 'No': -3.7409713, 'Yes': -5.959388}
{' No': -0.23148568, ' Yes': -1.8705124, '\n': -3.4575238, 'No': -4.0408497, 'Yes': -5.946514}
{' No': -0.08609154, ' Yes': -3.5757823, '\n': -3.5952106, 'No': -3.6821702, ' Hospital': -7.7393565}
{' Yes': -0.79095805, ' No': -0.87054217, '\n': -2.3450828, 'No': -4.076799, 'Yes': -4.318803}
{' No': -0.049160983, 'No': -3.2302046, '\n': -5.426339, ' Yes': -5.7100077, ' Not': -8.141834}
{' No': -0.61055386, ' Yes': -1.0046445, '\n': -2.9430063, 'No': -3.8067188, 'Yes': -4.332861}
{' No': -0.63588256, '\n': -3.6605828, 'No': -4.9235125, ' Yes': -0.84027785, 'Yes': -5.2307253}
{' No': -5.9613786, '\n': -5.5820184, ' Yes': -0.016520588, ' yes': -8.417812, 'Yes': -4.644631}
{' No': -0.21692945, ' Yes': -1.8847874, '\n': -3.7846804, 'No': -4.0823526, 'Yes': -6.3302083}
{' No': -2.546845, '\n': -2.6364312, ' Yes': -0.23544171, ' Sur': -3.2214, 'Yes': -4.156327}
{' No': -0.03701905, ' Not': -8.182517, '\n': -5.2073736, 'No': -3.5647423, ' Yes': -6.377784}
{' No': -0.3600207, ' Yes': -1.7493066, '\n': -2.4525766, 'No': -4.0288115, ' Patient': -4.635363}
{' No': -0.041933913, '\n': -4.4890447, ' ': -8.46113, 'No': -3.6649446, ' Yes': -5.552119}
{' Yes': -0.33168268, ' No': -1.4090028, 'Yes': -4.170819, '\n': -4.262499, 'No': -4.8876977}
{' No': -0.030776, 'No': -3.8338573, '\n': -5.3832865, ' Yes': -5.615796, ' ': -8.723435}
{' No': -0.073781624, 'No': -3.3956025, '\n': -3.5911078, ' Yes': -4.729629, ' Sur': -7.6210284}
{' No': -0.056566145, ' Not': -8.549456, '\n': -5.43065, 'No': -3.041435, ' Yes': -6.136062}
{' No': -1.0079404, '\n': -2.7548828, 'No': -4.1185455, ' Yes': -0.6454412, 'Yes': -3.7663212}
{' No': -1.933425, '\n': -3.601163, 'No': -6.1563096, ' Yes': -0.20499912, 'Yes': -4.5863295}
{' No': -7.5254045, '\n': -5.2710147, ' Yes': -0.01608602, ' yes': -8.164773, 'Yes': -4.637813}
{' No': -0.4247721, '\n': -3.382112, 'No': -4.4680347, ' Yes': -1.252388, ' Hospital': -4.592167}
{' No': -0.86824256, '\n': -1.6685011, 'No': -4.519051, ' Yes': -1.3645042, ' Sur': -2.170481}
{' No': -0.050157525, '\n': -4.3060303, ' ': -8.055687, 'No': -3.59128, ' Yes': -5.0036488}
{' No': -2.3926218, '\n': -2.0873866, ' Yes': -0.3841988, ' Patient': -3.096502, 'Yes': -3.668428}
{' Yes': -0.1229998, '\n': -2.7715023, 'Yes': -3.4672017, ' No': -3.936709, 'No': -6.745423}
{' Yes': -0.106493056, '\n': -2.7745018, 'Yes': -3.405098, ' No': -5.5829463, ' ': -6.9412785}
{' No': -0.43973055, '\n': -1.8891306, ' Yes': -1.9849194, 'No': -2.8528564, 'Yes': -5.039517}
{' No': -3.4295514, '\n': -2.2984004, 'No': -6.3614783, ' Yes': -0.18393083, 'Yes': -3.4478545}
{' No': -0.22879633, '\n': -2.2856162, 'No': -2.3814166, ' Yes': -5.053412, ' ': -6.4482703}
{' No': -0.60227627, '\n': -2.0865827, 'No': -3.296612, ' Yes': -1.299847, 'Yes': -4.217255}
{' No': -5.189001, '\n': -2.7294104, ' ': -6.8787513, ' Yes': -0.13935696, 'Yes': -2.8722844}
{' No': -5.0289483, '\n': -3.3641493, 'No': -7.0907936, ' Yes': -0.09368757, 'Yes': -3.0728307}
{' Yes': -0.50645864, '\n': -1.5613885, ' No': -2.1388612, 'Yes': -3.1587145, 'No': -3.8022041}
{' Yes': -0.2390127, '\n': -2.0759668, 'Yes': -2.4769964, ' ': -6.693791, ' No': -6.780501}
{' No': -0.81317085, '\n': -1.3327345, 'No': -2.6212096, ' Yes': -1.6652751, 'Yes': -4.1990924}
{' No': -3.4974408, '\n': -2.5507607, 'No': -5.2327886, ' Yes': -0.20680311, 'Yes': -2.6553867}
{' No': -4.184995, '\n': -2.7283132, 'No': -6.2823114, ' Yes': -0.14293653, 'Yes': -3.0139744}
{' Yes': -0.34888193, ' No': -1.8603661, '\n': -2.3249924, 'Yes': -3.8759108, 'No': -4.262855}
{' No': -0.72324014, '\n': -1.3360025, ' Yes': -1.5968325, 'No': -3.3075829, 'Yes': -4.582779}
{' No': -0.26426187, ' Not': -6.5901475, '\n': -1.9578024, 'No': -2.5437646, ' Yes': -4.828402}
{' No': -1.7069913, '\n': -2.4679852, 'No': -4.1085835, ' Yes': -0.38792998, 'Yes': -3.4895918}
{' Yes': -0.16378917, '\n': -2.3870423, 'Yes': -3.0843518, ' No': -4.609691, 'No': -6.747809}
{' Yes': -0.6390827, ' No': -1.3654487, '\n': -1.7864845, 'No': -3.8567703, 'Yes': -4.122927}
{' Yes': -0.15008853, '\n': -2.2842515, 'Yes': -3.4610567, ' Sur': -5.79906, ' ': -6.6119432}
{' No': -0.31393847, '\n': -1.8021853, 'No': -2.7479727, ' Yes': -3.6458688, ' Unfortunately': -5.069937}
{' No': -0.50823075, '\n': -1.8877625, 'No': -3.0489259, ' Yes': -1.7215028, 'Yes': -4.7561173}
{'\n': -6.128204, ' ': -9.374634, ' Yes': -0.016752094, ' yes': -9.365225, 'Yes': -4.2561836}
{'\n': -6.041762, ' ': -9.147523, ' Yes': -0.020918775, ' yes': -7.840237, 'Yes': -4.035586}
{' Yes': -0.024006426, 'Yes': -4.3096337, '\n': -5.1312847, ' Sur': -5.640784, ' ': -8.050467}
{' No': -0.1858459, ' Yes': -2.5527053, '\n': -3.0603194, 'No': -3.2449982, 'Yes': -5.77844}
{' Yes': -0.019312264, 'Yes': -4.3124413, '\n': -5.736479, ' Patient': -6.5969887, ' yes': -7.9809647}
{' No': -0.051689643, '\n': -3.9184859, ' Yes': -4.0830045, 'No': -4.3734326, ' ': -7.6048717}
{' Yes': -0.06354609, '\n': -3.581296, ' No': -3.8790479, 'Yes': -4.514533, ' ': -7.654097}
{' No': -0.30143693, '\n': -2.1221156, 'No': -3.9006112, ' Yes': -2.2068458, ' Hospital': -5.3558707}
{' No': -0.12911005, '\n': -3.0398822, ' Yes': -3.11326, 'No': -3.6516623, 'Yes': -6.737869}
{' Yes': -0.17349967, ' No': -2.4611716, '\n': -3.144405, 'Yes': -4.254688, ' Patient': -4.456392}
{' No': -0.44961238, ' Yes': -1.1943767, '\n': -3.5708394, 'No': -3.8471494, 'Yes': -4.7092195}
{' No': -2.9229102, '\n': -4.8447256, 'No': -7.0087595, ' Yes': -0.07649743, 'Yes': -4.595033}
{' No': -0.18475324, ' Yes': -2.051027, 'No': -3.8304248, '\n': -4.1594863, 'Yes': -6.34497}
{' Yes': -0.5006835, ' Sur': -1.710633, '\n': -2.3374279, ' No': -2.345353, 'Yes': -4.3148217}
{' Yes': -0.19514194, ' No': -2.1785746, '\n': -3.4373004, 'Yes': -4.00352, ' Patient': -4.868005}
{' No': -6.767743, '\n': -3.315026, ' Yes': -0.0933657, ' The': -7.230355, 'Yes': -2.9990737}
{' No': -6.518173, '\n': -2.6460025, ' ': -6.7006264, ' Yes': -0.12590487, 'Yes': -3.1411138}
{' Yes': -0.331252, ' No': -1.814311, '\n': -2.5427237, 'Yes': -3.9759068, 'No': -4.379798}
{' No': -5.903534, '\n': -1.9207977, ' Yes': -0.21997876, ' The': -6.5604153, 'Yes': -3.1081986}
{' No': -0.2672278, 'No': -2.407269, '\n': -2.4487576, ' Yes': -3.423945, ' Unfortunately': -4.5433373}
