{' ': -10.746939, ' Generally': -9.173347, ' Yes': -0.0015200131, ' yes': -10.15593, 'Yes': -6.613252}
{' Yes': -0.0055859056, ' Generally': -5.7953086, 'Yes': -6.655814, ' No': -6.9008226, ' Typically': -9.697566}
{' Yes': -0.021429194, ' No': -4.1247635, ' Generally': -5.8135586, 'Yes': -6.464338, 'No': -9.094186}
{' No': -9.391123, ' Generally': -8.510568, ' Yes': -0.0013711442, ' yes': -9.859355, 'Yes': -6.930158}
{' No': -9.049402, ' ': -10.5367985, ' Yes': -0.0011826726, ' yes': -10.193588, 'Yes': -6.9128876}
{' No': -2.3573446, ' Generally': -2.1264849, ' Typically': -6.0199156, ' Yes': -0.26293483, ' It': -4.76052}
{' No': -0.21976788, ' Generally': -2.9593978, ' Typically': -6.703847, 'No': -5.0797744, ' Yes': -2.003425}
{' Yes': -0.16052258, ' No': -2.0290797, ' Generally': -4.2732067, 'Yes': -6.7666793, 'No': -7.1744056}
{' Yes': -0.0060496386, ' No': -5.3993106, 'Yes': -6.5985227, ' ': -9.51254, ' yes': -10.055282}
{' Generally': -3.6800327, ' Typically': -7.9043202, ' Yes': -0.028429246, 'Yes': -6.7552433, ' It': -7.398749}
{' Generally': -5.2906876, ' Typically': -9.877743, ' Yes': -0.0062735802, ' yes': -10.197113, 'Yes': -6.891773}
{' No': -11.722577, ' ': -10.97992, ' Yes': -0.0011406023, ' yes': -10.389637, 'Yes': -6.834493}
{' No': -6.333325, ' Generally': -5.054545, ' Typically': -9.18813, ' Yes': -0.009953355, 'Yes': -6.589194}
{' Yes': -0.0016167861, 'Yes': -6.6412783, ' No': -8.39074, ' yes': -9.9935, ' ': -10.821}
{' No': -0.06954522, ' ': -9.071351, 'No': -5.418742, ' Yes': -2.7746594, 'Yes': -9.034858}
{' Yes': -0.002244086, 'Yes': -6.570458, ' Generally': -7.3072, ' yes': -9.813077, ' It': -10.227677}
{' Generally': -6.5092626, ' Yes': -0.0034610524, ' yes': -9.554312, 'Yes': -6.3749204, ' It': -10.073392}
{' No': -8.9828415, ' Generally': -6.4762135, ' Yes': -0.004295654, 'Yes': -6.0873127, ' It': -9.39554}
{' Yes': -0.00999261, ' No': -5.161335, 'Yes': -6.0870795, ' Generally': -6.5687575, ' A': -8.591667}
{' ': -10.519102, ' Generally': -8.44591, ' Yes': -0.0019119335, ' yes': -9.7474785, 'Yes': -6.463122}
{' ': -11.186853, ' A': -12.323468, ' Yes': -0.0014961967, ' yes': -10.072252, 'Yes': -6.5525556}
{' Generally': -5.983658, ' Typically': -9.782282, ' Yes': -0.00385481, ' yes': -9.428249, 'Yes': -6.8586135}
{' Generally': -5.0697384, ' Typically': -9.21198, ' Yes': -0.008193975, ' yes': -9.379031, 'Yes': -6.584211}
{' No': -8.224183, ' Generally': -5.6908135, ' Yes': -0.0054355897, ' yes': -9.236983, 'Yes': -6.584935}
{' Yes': -0.0016439507, 'Yes': -6.875024, ' Generally': -7.76562, ' yes': -9.507346, ' A': -10.182065}
{' No': -11.7492285, ' ': -10.829931, ' Yes': -0.0010583155, ' yes': -9.905685, 'Yes': -6.937052}
{' That': -5.747061, ' No': -4.4037113, ' Generally': -1.8323098, ' Yes': -0.27679273, ' It': -2.9660513}
{' No': -2.3679516, ' Generally': -2.2008452, ' Typically': -6.118481, ' Yes': -0.2519373, ' It': -4.9384837}
{' No': -5.1434875, ' Generally': -4.4191866, ' A': -7.623014, ' Yes': -0.020718917, 'Yes': -6.6086745}
{' No': -6.7062745, ' ': -9.575878, ' Yes': -0.0027435087, ' yes': -9.645072, 'Yes': -6.6319222}
{' Generally': -3.0884678, ' Typically': -7.451421, ' Yes': -0.05264209, 'Yes': -6.6777124, ' It': -6.115573}
{' Generally': -4.7307677, ' Typically': -9.469921, ' A': -9.301759, ' Yes': -0.010391115, 'Yes': -6.790702}
{' Yes': -0.0012513612, 'Yes': -6.749623, ' yes': -10.088377, ' ': -10.85803, ' A': -11.85747}
{' No': -7.0963087, ' Generally': -4.5701303, ' A': -8.611102, ' Yes': -0.013737765, 'Yes': -6.3975554}
{' No': -9.629768, ' ': -10.74404, ' Yes': -0.0015823987, ' yes': -9.694773, 'Yes': -6.5735483}
{' Yes': -0.6670997, ' No': -0.7311447, 'No': -5.792118, 'Yes': -6.906161, ' A': -7.22853}
{' Generally': -6.7495365, ' Yes': -0.0030004864, ' yes': -9.841639, 'Yes': -6.5074964, ' It': -8.768576}
{' Generally': -6.303795, ' Yes': -0.0039488743, ' yes': -9.695723, 'Yes': -6.299605, ' It': -9.4471035}
{' No': -6.6315956, ' Generally': -6.4542828, ' Yes': -0.0060141394, 'Yes': -5.900063, ' It': -9.050222}
{' No': -2.0121343, ' Generally': -6.0571814, 'No': -6.7213054, ' Yes': -0.15171027, 'Yes': -5.890783}
{' Yes': -0.0021727008, 'Yes': -6.4525867, ' Generally': -7.727083, ' yes': -9.913301, ' No': -10.211368}
{' Yes': -0.0014207453, 'Yes': -6.6256633, ' No': -10.200088, ' yes': -10.272397, ' ': -11.159471}
{' Generally': -5.958298, ' Typically': -9.805624, ' Yes': -0.0036667068, ' yes': -9.7546625, 'Yes': -7.0470357}
{' No': -9.2715645, ' Generally': -5.216203, ' Typically': -9.305644, ' Yes': -0.0069444356, 'Yes': -6.831022}
{' No': -6.9112945, ' Generally': -5.269182, ' Typically': -9.254584, ' Yes': -0.0079267705, 'Yes': -6.6093135}
{' No': -10.411055, ' Generally': -7.5361266, ' Yes': -0.0015130286, ' yes': -9.815853, 'Yes': -7.0874248}
{' Yes': -0.0008709767, 'Yes': -7.1428647, ' yes': -10.30494, ' No': -10.521139, ' ': -11.143837}
{' No': -2.6189716, ' Generally': -1.4558382, ' Typically': -5.5138326, ' Yes': -0.45352644, ' It': -3.231103}
{' No': -0.36255625, ' Generally': -1.9085308, 'No': -4.8964896, ' Yes': -2.0427568, ' It': -4.7402244}
{' No': -1.4936687, ' Generally': -3.016482, 'No': -6.3723097, ' Yes': -0.32800975, 'Yes': -6.722911}
{' No': -4.613362, ' ': -9.437278, ' A': -9.776817, ' Yes': -0.011496477, 'Yes': -6.6883893}
{' Yes': -0.062219236, ' Generally': -2.9477916, ' It': -5.565269, 'Yes': -6.727965, ' In': -7.137693}
{' Generally': -4.4267673, ' Typically': -9.199728, ' A': -9.648426, ' Yes': -0.013430106, 'Yes': -6.9080963}
{' ': -10.935816, ' Generally': -11.102661, ' Yes': -0.0010665503, ' yes': -10.276484, 'Yes': -6.926218}
{' Yes': -0.01684447, ' Generally': -4.359759, ' No': -6.4127874, 'Yes': -6.5468225, ' A': -8.733353}
{' No': -7.7122498, ' Generally': -9.768299, ' Yes': -0.0018028322, ' yes': -9.918911, 'Yes': -6.7146683}
{' No': -0.38740355, ' Generally': -7.735296, 'No': -5.558933, ' Yes': -1.1527272, 'Yes': -7.4981475}
{' Yes': -0.0028632325, 'Yes': -6.142755, ' Generally': -7.5954704, ' yes': -9.252396, ' It': -10.271418}
{' ': -9.864725, ' Generally': -6.917479, ' Yes': -0.0043977248, ' yes': -8.866326, 'Yes': -5.788033}
{' No': -8.220509, ' Generally': -7.093254, ' Yes': -0.0058256905, ' yes': -8.842594, 'Yes': -5.4561067}
{' No': -4.829687, ' Generally': -7.0991063, ' Yes': -0.014406574, ' yes': -8.616193, 'Yes': -5.357935}
{' ': -9.8112, ' Generally': -8.963424, ' Yes': -0.0031257425, ' yes': -8.987037, 'Yes': -5.886926}
{' Yes': -0.002670414, 'Yes': -5.98872, ' yes': -9.18276, ' ': -10.187106, ' No': -11.415324}
{' Yes': -0.0027960476, 'Yes': -6.46922, ' Generally': -6.9280424, ' yes': -8.926202, ' ': -10.022313}
{' ': -9.726695, ' Generally': -6.1503115, ' Yes': -0.00446807, ' yes': -8.891196, 'Yes': -6.2249155}
{' No': -8.946841, ' Generally': -6.5814576, ' Yes': -0.0039931587, ' yes': -8.712412, 'Yes': -6.1687055}
{' Yes': -0.0019486619, 'Yes': -6.4666944, ' Generally': -8.5332155, ' yes': -9.016799, ' ': -10.040019}
{' Yes': -0.0018028322, 'Yes': -6.420361, ' yes': -9.320658, ' ': -9.958628, ' No': -10.511915}
{' No': -5.033084, ' Generally': -2.561923, ' Yes': -0.1481582, 'Yes': -5.903649, ' It': -3.198789}
{' No': -1.2506411, ' Generally': -2.1534407, 'No': -5.165436, ' Yes': -0.57719636, ' It': -4.202389}
{' No': -3.8846312, ' ': -8.021386, ' Generally': -4.573146, ' Yes': -0.03519389, 'Yes': -6.137555}
{' Yes': -0.015892213, ' No': -4.341551, 'Yes': -6.116956, ' ': -8.238235, ' yes': -9.0562}
{' Generally': -3.7332819, ' Yes': -0.029653514, 'Yes': -6.245579, ' In': -7.3101077, ' It': -6.5488544}
{' Generally': -5.1933937, ' Typically': -9.727154, ' Yes': -0.0075360453, ' yes': -9.434082, 'Yes': -6.427463}
{' Yes': -0.0018601585, 'Yes': -6.3594384, ' yes': -9.548407, ' ': -10.086575, ' A': -12.5722475}
{' No': -8.91359, ' Generally': -5.4602613, ' Yes': -0.0068428903, ' yes': -9.150992, 'Yes': -6.211388}
{' No': -10.09087, ' ': -10.114799, ' Yes': -0.0019932704, ' yes': -9.415375, 'Yes': -6.3147635}
{' Yes': -0.3800754, ' No': -1.1674232, 'No': -6.0192924, 'Yes': -6.4652934, ' ': -7.910293}
{' ': -10.969418, ' Generally': -8.27347, ' Yes': -0.0015360115, ' yes': -10.044798, 'Yes': -6.735945}
{' ': -10.21716, ' Generally': -7.347021, ' Yes': -0.0024571961, ' yes': -9.701025, 'Yes': -6.406061}
{' Yes': -0.04580835, ' No': -3.2465491, 'Yes': -5.8866854, ' Generally': -6.177581, 'No': -7.78889}
{' No': -0.9160011, ' Generally': -6.691136, 'No': -5.798369, ' Yes': -0.5222805, 'Yes': -6.319283}
{' No': -9.104712, ' Generally': -9.116009, ' Yes': -0.0018221807, ' yes': -9.839952, 'Yes': -6.518778}
{' No': -7.021354, ' ': -9.737672, ' Yes': -0.0024377783, ' yes': -10.17702, 'Yes': -6.546737}
{' ': -10.064129, ' Generally': -6.8698163, ' Yes': -0.0021599764, ' yes': -9.620843, 'Yes': -6.9606066}
{' No': -8.915487, ' ': -9.671959, ' Generally': -6.339051, ' Yes': -0.0032489807, 'Yes': -6.7730837}
{' No': -6.6765776, ' ': -9.231265, ' Generally': -6.418931, ' Yes': -0.004502859, 'Yes': -6.6227274}
{' ': -9.967494, ' Generally': -8.4648485, ' Yes': -0.0012377517, ' yes': -9.694636, 'Yes': -7.0430903}
{' No': -8.362115, ' ': -10.0927725, ' Yes': -0.0011781361, ' yes': -10.188903, 'Yes': -7.0584555}
{' Yes': -0.25102475, ' Generally': -2.0852761, ' No': -2.8539815, ' It': -3.5342963, ' Typically': -6.080334}
{' No': -0.43501797, ' Generally': -2.6886497, 'No': -5.059175, ' Yes': -1.3206992, ' It': -5.1506934}
{' Yes': -0.19119793, ' No': -1.8603512, ' Generally': -4.2028213, 'Yes': -6.716737, 'No': -6.889016}
{' Yes': -0.0747218, ' No': -2.6551185, 'Yes': -6.762878, ' ': -8.266622, 'No': -8.422364}
{' Generally': -3.9119544, ' Typically': -8.241462, ' Yes': -0.023584038, 'Yes': -6.669379, ' It': -6.7791934}
{' ': -9.919069, ' Generally': -5.933847, ' Yes': -0.0037769089, ' yes': -10.122328, 'Yes': -6.947735}
{' No': -11.214315, ' ': -10.446203, ' Yes': -0.0009808101, ' yes': -10.409084, 'Yes': -7.00935}
{' Yes': -0.006706667, ' Generally': -5.428002, 'Yes': -6.624374, ' No': -7.2823124, ' Typically': -9.592026}
{' No': -8.236273, ' ': -10.276276, ' Yes': -0.0014236111, ' yes': -10.118412, 'Yes': -6.83886}
{' No': -1.2806836, ' ': -8.092756, 'No': -6.7518826, ' Yes': -0.32917786, 'Yes': -6.900728}
{' Yes': -0.0022093155, 'Yes': -6.4621644, ' Generally': -7.6350765, ' yes': -9.49194, ' ': -10.394857}
{' Yes': -0.0026503936, 'Yes': -6.290522, ' Generally': -7.4276533, ' yes': -9.337077, ' ': -9.861048}
{' No': -5.785204, ' ': -8.861895, ' Generally': -7.421844, ' Yes': -0.007202136, 'Yes': -5.770183}
{' No': -2.571354, ' Generally': -7.391723, 'No': -7.227428, ' Yes': -0.08519738, 'Yes': -5.758596}
{' ': -9.716494, ' Generally': -9.029255, ' Yes': -0.0021864988, ' yes': -9.328796, 'Yes': -6.285038}
{' No': -8.852466, ' ': -9.672908, ' Yes': -0.0019712918, ' yes': -9.5814085, 'Yes': -6.386508}
{' ': -9.681817, ' Generally': -7.2235117, ' Yes': -0.0021243752, ' yes': -9.193229, 'Yes': -6.7531652}
{' No': -9.338377, ' Generally': -6.424004, ' Yes': -0.0034313854, ' yes': -9.1344595, 'Yes': -6.5416107}
{' No': -7.0219, ' Generally': -6.524332, ' Yes': -0.004404725, ' yes': -8.948513, 'Yes': -6.4127736}
{' Yes': -0.0014976274, 'Yes': -6.7593307, ' Generally': -8.829456, ' yes': -9.205755, ' ': -9.832743}
{' No': -9.049071, ' ': -9.605715, ' Yes': -0.001409582, ' yes': -9.586213, 'Yes': -6.7713523}
{' Yes': -0.21359177, ' Generally': -2.0918152, ' No': -3.353389, ' It': -3.843299, ' Typically': -6.01129}
{' No': -0.330848, ' Yes': -1.7023443, ' Generally': -2.5136273, 'No': -4.748845, ' It': -5.8017416}
{' No': -2.3500738, ' Generally': -4.0760875, 'No': -7.1754823, ' Yes': -0.12353049, 'Yes': -6.4903336}
{' No': -2.9747837, ' ': -7.6448674, 'No': -8.393451, ' Yes': -0.054818008, 'Yes': -6.538948}
{' Yes': -0.02556013, ' Generally': -3.8162856, 'Yes': -6.5518584, ' It': -7.4587665, ' Typically': -8.140845}
{' ': -9.618556, ' Generally': -5.659604, ' Yes': -0.0049716593, ' yes': -9.586762, 'Yes': -6.701919}
{' No': -11.143033, ' ': -9.802462, ' Yes': -0.0013165927, ' yes': -9.8929, 'Yes': -6.734979}
{' No': -7.529436, ' Generally': -4.888615, ' Typically': -9.096388, ' Yes': -0.01036353, 'Yes': -6.3883824}
{' No': -8.198715, ' ': -9.830143, ' Yes': -0.0017549442, ' yes': -9.6363535, 'Yes': -6.61394}
{' No': -0.49845028, ' ': -7.5886984, 'No': -5.728125, ' Yes': -0.9475583, 'Yes': -7.2473817}
{' Generally': -7.0679235, ' Yes': -0.0025418699, ' yes': -9.550544, 'Yes': -6.550065, ' It': -9.364417}
{' Generally': -6.6307397, ' Yes': -0.0035389895, ' yes': -9.383364, 'Yes': -6.252932, ' It': -9.768536}
{' No': -6.157654, ' Generally': -6.6677065, ' Yes': -0.007034051, 'Yes': -5.758009, ' It': -9.100707}
{' No': -2.1588662, ' Generally': -6.147306, 'No': -6.874666, ' Yes': -0.1308033, 'Yes': -5.7986474}
{' ': -10.018752, ' Generally': -9.1947565, ' Yes': -0.0020169816, ' yes': -9.509584, 'Yes': -6.342734}
{' No': -9.662368, ' ': -9.98203, ' Yes': -0.0016284874, ' yes': -9.819774, 'Yes': -6.531617}
{' ': -9.993545, ' Generally': -6.594812, ' Yes': -0.0026468672, ' yes': -9.348561, 'Yes': -6.8458853}
{' No': -9.608895, ' Generally': -5.8864083, ' Yes': -0.004441489, ' yes': -9.279783, 'Yes': -6.6370897}
{' No': -7.7716737, ' Generally': -5.953129, ' Yes': -0.004857196, ' yes': -9.070338, 'Yes': -6.5254335}
{' ': -10.083827, ' Generally': -8.289696, ' Yes': -0.0015410869, ' yes': -9.395394, 'Yes': -6.785867}
{' No': -10.027356, ' ': -10.00705, ' Yes': -0.0012205068, ' yes': -9.721268, 'Yes': -6.8450904}
{' No': -3.4508834, ' Generally': -1.6107819, ' Typically': -5.4136233, ' Yes': -0.3970485, ' It': -2.584581}
{' No': -0.66420627, ' Generally': -1.9308326, 'No': -5.1998186, ' Yes': -1.149678, ' It': -4.8814135}
{' No': -3.0608354, ' Generally': -3.7796028, ' A': -7.800853, ' Yes': -0.075995296, 'Yes': -6.48976}
{' No': -4.393019, ' ': -8.369207, ' Yes': -0.014349131, ' yes': -9.565786, 'Yes': -6.519896}
{' Generally': -3.4292552, ' Typically': -7.650428, ' Yes': -0.037354533, 'Yes': -6.6810884, ' It': -6.5965357}
{' Yes': -0.006589843, ' Generally': -5.2566395, 'Yes': -6.8132324, ' ': -9.725689, ' yes': -9.771692}
{' No': -11.991034, ' ': -10.225532, ' Yes': -0.0012720687, ' yes': -9.963902, 'Yes': -6.7477164}
{' No': -7.5283775, ' Generally': -4.9078865, ' Typically': -8.987012, ' Yes': -0.00999249, 'Yes': -6.4862456}
{' No': -8.403167, ' ': -10.192042, ' Yes': -0.0015979785, ' yes': -9.796519, 'Yes': -6.683408}
{' No': -1.5886095, ' ': -8.019447, 'No': -6.8424945, ' Yes': -0.23234922, 'Yes': -6.649986}
{' Generally': -7.234787, ' Yes': -0.002817444, ' yes': -9.37027, 'Yes': -6.284926, ' It': -9.856787}
{' Yes': -0.004188328, 'Yes': -6.056495, ' Generally': -6.4723654, ' yes': -9.177464, ' ': -9.797104}
{' No': -5.3182926, ' ': -8.633799, ' Generally': -6.3831196, ' Yes': -0.011236461, 'Yes': -5.527361}
{' No': -1.9044226, ' Generally': -6.2671847, 'No': -6.1857142, ' Yes': -0.17223339, 'Yes': -5.450866}
{' ': -9.712323, ' Generally': -8.44472, ' Yes': -0.002698323, ' yes': -9.2323675, 'Yes': -6.0986514}
{' No': -9.338023, ' ': -9.642562, ' Yes': -0.0020301826, ' yes': -9.572241, 'Yes': -6.321072}
{' ': -9.660626, ' Generally': -5.9208, ' Yes': -0.004407301, ' yes': -9.048308, 'Yes': -6.5849466}
{' No': -7.9558167, ' Generally': -5.0699396, ' Yes': -0.008990606, ' yes': -8.981303, 'Yes': -6.304681}
{' No': -4.544568, ' ': -8.4443245, ' Generally': -5.3032937, ' Yes': -0.018826308, 'Yes': -6.0716524}
{' ': -9.804155, ' Generally': -8.038439, ' Yes': -0.0018351951, ' yes': -9.140188, 'Yes': -6.6456985}
{' Yes': -0.0016941628, 'Yes': -6.637209, ' No': -8.414368, ' ': -9.392574, ' yes': -9.574066}
{' No': -2.278957, ' Generally': -1.423738, ' Typically': -5.1799674, ' Yes': -0.6754985, ' It': -2.1241775}
{' No': -0.27624446, ' Generally': -2.427911, 'No': -4.6168737, ' Yes': -2.0199215, ' It': -5.5140657}
{' No': -1.8044412, ' Generally': -3.709125, 'No': -6.5076284, ' Yes': -0.21582769, 'Yes': -6.3977957}
{' No': -3.1603575, ' ': -7.7180843, 'No': -8.435056, ' Yes': -0.045874618, 'Yes': -6.412741}
{' Generally': -3.36431, ' Yes': -0.040715557, 'Yes': -6.35097, ' In': -7.511372, ' It': -6.3584924}
{' Yes': -0.0095933005, ' Generally': -4.851169, 'Yes': -6.572238, ' ': -9.552121, ' yes': -9.557845}
{' No': -11.172316, ' ': -9.818127, ' Yes': -0.0013758601, ' yes': -9.863233, 'Yes': -6.6866436}
{' No': -6.688266, ' Generally': -4.1645365, ' Typically': -8.404191, ' Yes': -0.019662103, 'Yes': -6.315106}
{' No': -7.103908, ' ': -9.764249, ' Yes': -0.0026393374, ' yes': -9.499276, 'Yes': -6.416354}
{' No': -0.8196983, ' ': -7.6344466, 'No': -5.89814, ' Yes': -0.58936125, 'Yes': -6.770658}
{' Yes': -0.003276072, 'Yes': -6.150113, ' Generally': -7.107913, ' It': -9.091949, ' yes': -9.284524}
{' Generally': -6.4314113, ' Yes': -0.0047704712, ' yes': -9.096306, 'Yes': -5.8889484, ' It': -9.4129715}
{' No': -7.8740144, ' Generally': -7.1049542, ' Yes': -0.005556836, ' yes': -9.07125, 'Yes': -5.5262914}
{' No': -4.62629, ' Generally': -7.145502, ' Yes': -0.015719132, ' yes': -8.823152, 'Yes': -5.4316278}
{' ': -9.925201, ' Generally': -9.003158, ' Yes': -0.0028035194, ' yes': -9.239924, 'Yes': -5.9898014}
{' Yes': -0.002139128, 'Yes': -6.208337, ' yes': -9.551318, ' ': -10.147817, ' No': -11.665649}
{' Generally': -5.911082, ' Typically': -9.557964, ' Yes': -0.004497768, ' yes': -9.049089, 'Yes': -6.5353336}
{' ': -9.480897, ' Generally': -5.722441, ' Yes': -0.0055611515, ' yes': -9.026531, 'Yes': -6.3016915}
{' No': -7.7036967, ' Generally': -5.6683307, ' Yes': -0.0063454984, ' yes': -8.874593, 'Yes': -6.2257457}
{' ': -9.955966, ' Generally': -8.0518875, ' Yes': -0.0020047377, ' yes': -9.161, 'Yes': -6.5035095}
{' No': -11.124161, ' ': -10.054924, ' Yes': -0.001473273, ' yes': -9.524249, 'Yes': -6.6179013}
{' That': -4.773013, ' No': -4.643199, ' Generally': -2.1625795, ' Yes': -0.33134368, ' It': -2.0313673}
{' No': -1.1373199, ' Generally': -1.8729365, 'No': -5.204918, ' Yes': -0.7689651, ' It': -3.2472498}
{' No': -3.0425334, ' Generally': -3.7559202, 'No': -7.572902, ' Yes': -0.07857291, 'Yes': -6.1957374}
{' No': -5.917413, ' ': -8.658328, ' Yes': -0.004825392, ' yes': -9.360404, 'Yes': -6.311195}
{' Generally': -3.1594036, ' Yes': -0.05119999, 'Yes': -6.339503, ' In': -7.055115, ' It': -5.8140993}
{' Generally': -4.4558625, ' Typically': -9.030184, ' Yes': -0.013595948, ' yes': -9.56638, 'Yes': -6.558365}
{' Yes': -0.0016070532, 'Yes': -6.5035486, ' yes': -9.736396, ' ': -10.218125, ' Generally': -12.630142}
{' Yes': -0.01414006, ' Generally': -4.520993, 'Yes': -6.234593, ' No': -7.7366548, ' Typically': -8.685049}
{' No': -9.27723, ' ': -10.29959, ' Yes': -0.0018824317, ' yes': -9.548129, 'Yes': -6.411554}
{' No': -0.7583403, ' ': -7.675395, 'No': -5.730052, ' Yes': -0.6423716, 'Yes': -6.7288084}
{' Generally': -6.7062783, ' Yes': -0.0037490875, ' yes': -9.2781515, 'Yes': -6.25466, ' It': -8.073113}
{' Yes': -0.0060455, ' Generally': -5.824084, 'Yes': -6.021918, ' It': -8.522773, ' yes': -9.0617075}
{' No': -4.917341, ' Generally': -5.632364, ' Yes': -0.016942672, 'Yes': -5.432176, ' It': -7.3252006}
{' No': -1.517212, ' Generally': -5.5048256, 'No': -5.8295827, ' Yes': -0.2640783, 'Yes': -5.573448}
{' Generally': -7.2845883, ' A': -9.705052, ' Yes': -0.0033425125, ' yes': -9.205785, 'Yes': -6.06077}
{' No': -9.0869255, ' ': -10.198811, ' Yes': -0.0022225205, ' yes': -9.497213, 'Yes': -6.228394}
{' Generally': -5.2742934, ' Typically': -8.968303, ' Yes': -0.007071807, ' yes': -8.935193, 'Yes': -6.6020885}
{' Yes': -0.013247805, ' Generally': -4.5862136, 'Yes': -6.3038745, ' No': -8.4233885, ' It': -8.506732}
{' No': -5.5126834, ' Generally': -4.7972784, ' A': -8.488431, ' Yes': -0.015428118, 'Yes': -6.1751566}
{' Yes': -0.0023902168, 'Yes': -6.664783, ' Generally': -7.0752015, ' yes': -9.120455, ' ': -9.683592}
{' No': -8.721746, ' ': -9.934986, ' Yes': -0.0016141589, ' yes': -9.398039, 'Yes': -6.6458874}
{' Yes': -0.7922952, ' It': -1.3004205, ' Generally': -1.6058329, ' No': -3.7332876, ' That': -4.03322}
{' No': -0.42864823, ' Generally': -1.7687953, 'No': -4.565771, ' Yes': -2.3063507, ' It': -3.086792}
{' No': -1.9809551, ' Generally': -2.4543822, ' A': -5.9727645, ' Yes': -0.26761457, 'Yes': -6.331997}
{' No': -3.9623594, ' ': -8.404185, 'No': -9.015885, ' Yes': -0.021533573, 'Yes': -6.3497477}
{' Generally': -3.0065696, ' Yes': -0.061793316, 'Yes': -6.4129205, ' In': -6.9442296, ' It': -5.274621}
{' Generally': -4.231973, ' Typically': -8.8693285, ' A': -8.987071, ' Yes': -0.016654698, 'Yes': -6.6202083}
{' No': -11.475873, ' ': -10.092638, ' Yes': -0.0014714812, ' yes': -9.84097, 'Yes': -6.610425}
{' No': -6.7872257, ' Generally': -4.167227, ' A': -8.3556, ' Yes': -0.01999856, 'Yes': -6.2454505}
{' No': -7.152591, ' Generally': -9.472004, ' Yes': -0.0026381414, ' yes': -9.503768, 'Yes': -6.421217}
{' No': -0.117579624, ' ': -8.008563, ' Generally': -8.03642, 'No': -5.1550264, ' Yes': -2.2640316}
{' Generally': -6.6259823, ' Yes': -0.0033858714, ' yes': -9.497314, 'Yes': -6.379191, ' It': -8.878542}
{' Generally': -6.231702, ' Typically': -9.796269, ' Yes': -0.0043576136, ' yes': -9.319848, 'Yes': -6.1813097}
{' Yes': -0.0063026114, 'Yes': -5.710179, ' Generally': -6.3387055, ' No': -7.1230283, ' yes': -9.299143}
{' No': -2.538537, ' Generally': -6.0617967, 'No': -7.049624, ' Yes': -0.09059622, 'Yes': -5.672646}
{' Yes': -0.00301902, 'Yes': -6.184428, ' Generally': -7.2220073, ' yes': -9.412924, ' ': -10.126557}
{' No': -10.078121, ' ': -10.37353, ' Yes': -0.0017853368, ' yes': -9.809685, 'Yes': -6.408441}
{' Yes': -0.0048815734, ' Generally': -5.7000465, 'Yes': -6.7082334, ' yes': -9.232435, ' Typically': -9.5376625}
{' Generally': -5.0135775, ' Typically': -9.043242, ' Yes': -0.008712064, ' yes': -9.215756, 'Yes': -6.4847174}
{' No': -7.9189277, ' Generally': -5.4968567, ' Yes': -0.006567104, ' yes': -8.990562, 'Yes': -6.4078026}
{' Yes': -0.0018778943, 'Yes': -6.7941957, ' Generally': -7.447571, ' yes': -9.340274, ' ': -10.285474}
{' Yes': -0.0012209846, 'Yes': -6.83992, ' No': -9.778664, ' yes': -9.863358, ' ': -10.283503}
{' No': -5.038878, ' Generally': -1.8444334, ' Typically': -5.63138, ' Yes': -0.2577043, ' It': -3.1335623}
{' No': -0.89361227, ' Generally': -1.3891319, ' Typically': -5.0554585, ' Yes': -1.2085764, ' It': -4.009266}
{' No': -3.0554612, ' Generally': -3.0023932, ' A': -6.803036, ' Yes': -0.10765037, 'Yes': -6.4822774}
{' No': -4.102565, ' ': -8.76776, 'No': -9.199801, ' Yes': -0.01865887, 'Yes': -6.461564}
{' Generally': -3.4128585, ' Yes': -0.03861018, 'Yes': -6.6042757, ' In': -7.6266165, ' It': -6.2898097}
{' Generally': -4.512042, ' Typically': -9.214423, ' Yes': -0.0126375295, ' yes': -9.752147, 'Yes': -6.7182837}
{' ': -10.535132, ' Generally': -11.994276, ' Yes': -0.0012663401, ' yes': -10.067882, 'Yes': -6.741716}
{' No': -8.181578, ' Generally': -4.5587597, ' Typically': -8.81868, ' Yes': -0.0132735325, 'Yes': -6.3557696}
{' No': -8.950145, ' Generally': -10.405139, ' Yes': -0.0016132033, ' yes': -9.787036, 'Yes': -6.598899}
{' No': -0.6765521, ' Generally': -7.290682, 'No': -5.6670394, ' Yes': -0.7221587, 'Yes': -6.922836}
{' Generally': -7.263859, ' Typically': -10.943512, ' Yes': -0.003634163, ' yes': -9.181742, 'Yes': -5.900858}
{' Generally': -7.2425604, ' Typically': -10.76868, ' Yes': -0.0043882057, ' yes': -9.002566, 'Yes': -5.6698117}
{' No': -8.356984, ' Generally': -6.801371, ' Yes': -0.0064976877, ' yes': -8.889909, 'Yes': -5.3475947}
{' No': -5.822506, ' Generally': -6.669668, ' Yes': -0.0099050775, ' yes': -8.734634, 'Yes': -5.288265}
{' ': -10.556066, ' Generally': -8.0508795, ' Yes': -0.0036767551, ' yes': -9.064164, 'Yes': -5.7608104}
{' No': -11.409532, ' ': -10.836088, ' Yes': -0.0036565976, ' yes': -9.100306, 'Yes': -5.658272}
{' Generally': -6.6003776, ' Typically': -10.196236, ' Yes': -0.0034447832, ' yes': -8.92268, 'Yes': -6.3046145}
