{' 2': -0.5821651, ' 1': -1.0164589, ' two': -2.836449, ' one': -4.4423275, ' number': -5.336175}
{' #': -6.1748676, ' 1': -0.051468853, ' 2': -3.8969142, ' one': -3.7437751, ' two': -6.2151303}
{' #': -6.097767, ' 1': -0.057285186, ' 2': -3.6494002, ' one': -3.784273, ' two': -6.0076756}
{' number': -6.3943596, ' #': -6.3570786, ' 1': -0.040798567, ' 2': -4.364044, ' one': -3.8010027}
{' #': -6.0530515, ' 1': -0.07633703, ' 2': -3.1553087, ' one': -3.8018978, ' two': -5.550799}
{' number': -6.5840063, ' #': -6.662976, ' 1': -0.026955448, ' 2': -5.3278813, ' one': -3.996865}
{' number': -6.49745, ' #': -6.4152656, ' 1': -0.0357982, ' 2': -4.5846205, ' one': -3.8766963}
{' 1': -0.03465412, ' one': -3.8930924, ' 2': -4.6578226, ' #': -6.4257293, ' number': -6.4939237}
{' #': -5.988891, ' 1': -0.06767974, ' 2': -3.3516285, ' one': -3.80272, ' two': -5.7606134}
{' number': -6.442366, ' #': -6.2337494, ' 1': -0.035859115, ' 2': -4.667672, ' one': -3.854493}
{' 1': -0.03803711, ' one': -3.9722638, ' 2': -4.2772317, ' #': -6.395023, ' number': -6.478685}
{' number': -6.5143266, ' #': -6.4708695, ' 1': -0.032424893, ' 2': -4.8416805, ' one': -3.9098032}
{' 1': -0.034871418, ' one': -3.9265645, ' 2': -4.569648, ' #': -6.4577913, ' number': -6.4862995}
{' number': -6.6772094, ' #': -6.592937, ' 1': -0.027726788, ' 2': -5.059097, ' one': -4.0384645}
{' #': -6.360147, ' 1': -0.048848983, ' 2': -3.751106, ' one': -3.9843063, ' two': -6.1817894}
{' number': -6.6755996, ' #': -6.7477736, ' 1': -0.02606968, ' 2': -5.964855, ' one': -3.9004421}
{' number': -5.651573, ' 1': -0.51123863, ' 2': -1.068669, ' one': -4.257586, ' two': -3.322817}
{' number': -5.708326, ' 1': -0.31201348, ' 2': -1.5046462, ' one': -4.060564, ' two': -3.797361}
{' number': -5.9772058, ' 1': -0.15334812, ' 2': -2.2143927, ' one': -4.007966, ' two': -4.63795}
{' 1': -0.15044299, ' 2': -2.2551317, ' one': -3.9490783, ' two': -4.5964346, ' number': -5.9022145}
{' number': -5.71405, ' 1': -0.29696435, ' 2': -1.5584027, ' one': -4.015218, ' two': -3.8114045}
{' number': -5.6986604, ' 1': -0.25106052, ' 2': -1.716036, ' one': -4.026829, ' two': -4.0226803}
{' number': -6.0354996, ' 1': -0.107584, ' 2': -2.6205654, ' one': -4.010166, ' two': -5.0917416}
{' 1': -0.110109165, ' 2': -2.572479, ' one': -4.0700736, ' two': -5.0892253, ' #': -6.1027617}
{' 1': -0.12611088, ' 2': -2.444224, ' one': -3.9702709, ' two': -4.9003453, ' #': -5.9461484}
{' 1': -0.07092302, ' 2': -3.2139418, ' one': -3.9027483, ' two': -5.657774, ' #': -6.102732}
{' 1': -0.09713908, ' 2': -2.737764, ' one': -4.0463367, ' two': -5.1746593, ' number': -6.070904}
{' #': -6.0470605, ' 1': -0.09056202, ' 2': -2.866607, ' one': -3.9146357, ' two': -5.33834}
{' #': -6.158441, ' 1': -0.0673048, ' 2': -3.2878854, ' one': -3.9111044, ' two': -5.713502}
{' 1': -0.06852217, ' 2': -3.242806, ' one': -3.9370675, ' two': -5.6908455, ' #': -6.155927}
{' number': -5.7873683, ' 1': -0.19970657, ' 2': -1.9480759, ' one': -3.9801593, ' two': -4.3054748}
{' 1': -0.054332364, ' 2': -3.551292, ' one': -4.042356, ' two': -5.9325857, ' number': -6.203143}
{' #': -6.2530785, ' 1': -0.07166834, ' 2': -3.1147249, ' one': -4.0626254, ' two': -5.638183}
{' number': -6.3374643, ' 1': -0.047928188, ' 2': -3.8201027, ' one': -3.9487135, ' two': -6.252843}
{' #': -6.0151825, ' 1': -0.10323739, ' 2': -2.683777, ' one': -3.9683535, ' two': -5.1380005}
{' #': -6.2280664, ' 1': -0.05731119, ' 2': -3.554494, ' one': -3.8913527, ' two': -5.9564342}
{' number': -6.239255, ' 1': -0.060730394, ' 2': -3.4046822, ' one': -3.9764023, ' two': -5.822924}
{' number': -6.219619, ' 1': -0.050315727, ' 2': -3.8467498, ' one': -3.834812, ' two': -6.193788}
{' number': -6.163455, ' 1': -0.058978323, ' 2': -3.5409389, ' one': -3.8526466, ' two': -5.9149}
{' #': -6.326074, ' 1': -0.046087746, ' 2': -3.9533658, ' one': -3.8952336, ' two': -6.327221}
{' #': -6.0466714, ' 1': -0.080916665, ' 2': -3.0288804, ' one': -3.9006512, ' two': -5.467409}
{' 1': -0.029563507, ' one': -4.04547, ' 2': -4.8404455, ' number': -6.49403, ' #': -6.6637526}
{' 1': -0.03863428, ' one': -3.9382577, ' 2': -4.298611, ' number': -6.344899, ' #': -6.3808084}
{' number': -6.40958, ' #': -6.3965254, ' 1': -0.035123512, ' 2': -4.539705, ' one': -3.9435022}
{' number': -6.1339555, ' 1': -0.05614847, ' 2': -3.605526, ' one': -3.886034, ' two': -6.039457}
{' number': -6.4142466, ' #': -6.35413, ' 1': -0.03253406, ' 2': -4.77475, ' one': -3.951214}
{' number': -6.3667064, ' #': -6.4012094, ' 1': -0.038314655, ' 2': -4.229267, ' one': -4.0085163}
{' number': -6.393304, ' #': -6.3736744, ' 1': -0.03855858, ' 2': -4.200744, ' one': -4.0171657}
{' 1': -0.03646024, ' one': -3.9767067, ' 2': -4.386396, ' number': -6.3702464, ' #': -6.423914}
{' number': -6.5354753, ' #': -6.540981, ' 1': -0.03143803, ' 2': -4.6795664, ' one': -4.0310373}
{' number': -6.3491707, ' 1': -0.053413276, ' 2': -3.5832381, ' one': -4.004953, ' two': -5.993936}
{' number': -6.534035, ' #': -6.7207913, ' 1': -0.026312834, ' 2': -5.50993, ' one': -3.9823139}
{' number': -5.4952216, ' 1': -0.64759684, ' 2': -0.8943066, ' one': -4.2618146, ' two': -3.0924914}
{' #': -5.7061133, ' 1': -0.18971433, ' 2': -1.9918325, ' one': -4.012584, ' two': -4.4372287}
{' 1': -0.1886029, ' 2': -1.9941219, ' one': -4.0313935, ' two': -4.460924, ' #': -5.6861515}
{' #': -5.856167, ' 1': -0.09948361, ' 2': -2.7319546, ' one': -3.9749587, ' two': -5.2237644}
{' #': -5.6252794, ' 1': -0.18694167, ' 2': -2.018223, ' one': -3.9757445, ' two': -4.4243016}
{' #': -5.501296, ' 1': -0.26421016, ' 2': -1.6874164, ' one': -3.9281905, ' two': -3.950846}
{' 1': -0.104197234, ' 2': -2.6761653, ' one': -3.9883258, ' two': -5.196955, ' #': -5.7290297}
{' 1': -0.12957594, ' 2': -2.3885024, ' one': -4.080616, ' two': -4.954838, ' #': -5.76006}
{' #': -5.580424, ' 1': -0.14980815, ' 2': -2.2549164, ' one': -3.9826708, ' two': -4.7411814}
{' 1': -0.0906498, ' 2': -2.8965063, ' one': -3.8879287, ' two': -5.356698, ' #': -5.6850686}
{' #': -5.7123637, ' 1': -0.114765, ' 2': -2.569452, ' one': -3.984281, ' two': -4.977348}
{' #': -5.6378336, ' 1': -0.098960795, ' 2': -2.7946527, ' one': -3.850687, ' two': -5.248946}
{' #': -5.7891054, ' 1': -0.072113715, ' 2': -3.217499, ' one': -3.894219, ' two': -5.6671376}
{' #': -5.77815, ' 1': -0.08827754, ' 2': -2.9142644, ' one': -3.914207, ' two': -5.380059}
{' #': -5.502889, ' 1': -0.25202337, ' 2': -1.7175272, ' one': -3.9753394, ' two': -4.0883555}
{' #': -5.923647, ' 1': -0.07014226, ' 2': -3.2041888, ' one': -4.00897, ' two': -5.6034837}
{' #': -5.864677, ' 1': -0.06871253, ' 2': -3.2293112, ' one': -3.998934, ' two': -5.7357445}
{' #': -5.9095707, ' 1': -0.05626692, ' 2': -3.612381, ' one': -3.9010448, ' two': -6.0356236}
{' #': -5.5872083, ' 1': -0.15064359, ' 2': -2.2591546, ' one': -3.932113, ' two': -4.73064}
{' 1': -0.0648369, ' 2': -3.3768487, ' one': -3.8945067, ' two': -5.814701, ' #': -5.863101}
{' #': -5.840385, ' 1': -0.07148529, ' 2': -3.2185588, ' one': -3.9260478, ' two': -5.606994}
{' number': -6.0434556, ' #': -5.9105325, ' 1': -0.054156486, ' 2': -3.8023539, ' one': -3.7742186}
{' #': -5.808381, ' 1': -0.061698277, ' 2': -3.5324662, ' one': -3.8095067, ' two': -5.9168844}
{' number': -6.140045, ' #': -5.9188976, ' 1': -0.051555328, ' 2': -3.8348444, ' one': -3.8371367}
{' #': -5.719668, ' 1': -0.109725624, ' 2': -2.6449714, ' one': -3.8854976, ' two': -5.0874877}
{' number': -6.2328997, ' #': -6.151105, ' 1': -0.034400046, ' 2': -4.6702147, ' one': -3.9515753}
{' number': -6.2006297, ' #': -6.0268235, ' 1': -0.04108116, ' 2': -4.287707, ' one': -3.880856}
{' number': -6.205856, ' #': -5.982838, ' 1': -0.04059767, ' 2': -4.3615756, ' one': -3.8571794}
{' 1': -0.070953354, ' 2': -3.290996, ' one': -3.8254814, ' #': -5.726869, ' two': -5.729226}
{' number': -6.2549634, ' #': -5.987072, ' 1': -0.038420938, ' 2': -4.515313, ' one': -3.8572016}
{' number': -6.201686, ' #': -5.987979, ' 1': -0.043652058, ' 2': -3.9922755, ' one': -4.0198917}
{' number': -6.233184, ' #': -6.024429, ' 1': -0.042754237, ' 2': -4.100133, ' one': -3.9489698}
{' number': -6.208977, ' #': -6.001803, ' 1': -0.039391197, ' 2': -4.343312, ' one': -3.9212785}
{' number': -6.38799, ' #': -6.128317, ' 1': -0.03495301, ' 2': -4.518916, ' one': -3.994086}
{' #': -5.9608173, ' 1': -0.06289266, ' 2': -3.3506672, ' one': -4.011476, ' two': -5.838447}
{' number': -6.354203, ' #': -6.284759, ' 1': -0.03069868, ' 2': -5.5748076, ' one': -3.8090532}
{' number': -5.5714693, ' 1': -0.4571213, ' 2': -1.1828771, ' one': -4.0400295, ' two': -3.3406181}
{' number': -5.6824107, ' 1': -0.30245647, ' 2': -1.5458187, ' one': -3.976624, ' two': -3.8039117}
{' number': -5.7298427, ' 1': -0.29106966, ' 2': -1.5830219, ' one': -3.9530492, ' two': -3.842898}
{' number': -5.8582544, ' 1': -0.14919518, ' 2': -2.2895036, ' one': -3.8560145, ' two': -4.579008}
{' 1': -0.23364748, ' 2': -1.8365014, ' one': -3.7683191, ' two': -3.9773417, ' number': -5.6087003}
{' number': -5.6660743, ' 1': -0.1980827, ' 2': -1.984288, ' one': -3.874211, ' two': -4.229342}
{' number': -5.7393394, ' 1': -0.16583557, ' 2': -2.182887, ' one': -3.821437, ' two': -4.463733}
{' 1': -0.09172331, ' 2': -2.850726, ' one': -3.9220245, ' two': -5.3094616, ' #': -5.9850097}
{' 1': -0.1120999, ' 2': -2.6396058, ' one': -3.8184633, ' two': -5.0178423, ' #': -5.775683}
{' #': -5.898983, ' 1': -0.07716173, ' 2': -3.1479204, ' one': -3.8149567, ' two': -5.5441413}
{' number': -5.7142744, ' 1': -0.15836078, ' 2': -2.23183, ' one': -3.8551953, ' two': -4.4740725}
{' 1': -0.07217054, ' 2': -3.2825375, ' one': -3.7685473, ' two': -5.6750455, ' #': -5.8871794}
{' #': -5.912607, ' 1': -0.08264538, ' 2': -3.0623908, ' one': -3.7901535, ' two': -5.4279895}
{' #': -6.0247965, ' 1': -0.060898192, ' 2': -3.5278645, ' one': -3.8100188, ' two': -5.9088635}
{' #': -5.707798, ' 1': -0.16383389, ' 2': -2.2069056, ' one': -3.7661233, ' two': -4.4978104}
{' number': -5.896259, ' 1': -0.081769705, ' 2': -3.068666, ' one': -3.8300376, ' two': -5.2950683}
{' #': -6.095302, ' 1': -0.060168948, ' 2': -3.428312, ' one': -3.9791198, ' two': -5.908359}
{' number': -6.177638, ' #': -6.18439, ' 1': -0.04637459, ' 2': -4.0697947, ' one': -3.8065844}
{' #': -5.811424, ' 1': -0.11378841, ' 2': -2.6202962, ' one': -3.8190455, ' two': -4.991174}
{' 1': -0.08034856, ' 2': -3.1863415, ' one': -3.6633217, ' two': -5.4099555, ' #': -5.874802}
{' number': -5.8803883, ' 1': -0.096390486, ' 2': -2.854323, ' one': -3.7972379, ' two': -5.0882144}
{' number': -6.086067, ' #': -6.10317, ' 1': -0.051899813, ' 2': -3.924111, ' one': -3.725827}
{' 1': -0.05378217, ' one': -3.743563, ' 2': -3.832739, ' number': -6.048305, ' #': -6.0693245}
{' number': -6.1850424, ' #': -6.149522, ' 1': -0.045640387, ' 2': -4.1452117, ' one': -3.7806773}
{' #': -5.9344263, ' 1': -0.083630554, ' 2': -3.0539672, ' one': -3.7669818, ' two': -5.4055653}
{' number': -6.303663, ' #': -6.3957367, ' 1': -0.031444058, ' 2': -5.045869, ' one': -3.9065657}
{' 1': -0.06066731, ' one': -3.648144, ' 2': -3.693209, ' two': -5.90057, ' number': -5.9871354}
{' 1': -0.036366772, ' one': -3.8093693, ' 2': -4.7652526, ' number': -6.2241945, ' #': -6.2257605}
{' number': -5.960594, ' #': -5.987993, ' 1': -0.059081446, ' 2': -3.627563, ' one': -3.7732654}
{' number': -6.2540765, ' #': -6.161063, ' 1': -0.035531856, ' 2': -4.914825, ' one': -3.791389}
{' number': -6.218592, ' #': -6.2041845, ' 1': -0.03878657, ' 2': -4.3730035, ' one': -3.9109197}
{' number': -6.291077, ' #': -6.307105, ' 1': -0.038470365, ' 2': -4.400899, ' one': -3.8884041}
{' number': -6.244067, ' #': -6.243429, ' 1': -0.035332385, ' 2': -4.723811, ' one': -3.8683708}
{' 1': -0.030224, ' one': -3.9629421, ' 2': -5.018984, ' #': -6.384729, ' number': -6.4182878}
{' number': -6.2718115, ' #': -6.298156, ' 1': -0.045168784, ' 2': -3.9748294, ' one': -3.9262722}
{' number': -6.358186, ' #': -6.5225816, ' 1': -0.029208722, ' 2': -5.8989134, ' one': -3.8038247}
{' #': -5.3864985, ' 1': -0.51969236, ' 2': -1.0924557, ' one': -3.991847, ' two': -3.1654212}
{' 1': -0.17593828, ' 2': -2.1196847, ' one': -3.806977, ' two': -4.442364, ' #': -5.5677214}
{' #': -5.5406446, ' 1': -0.18914042, ' 2': -2.0415897, ' one': -3.8232176, ' two': -4.328869}
{' 1': -0.09273513, ' 2': -2.8823812, ' one': -3.8465152, ' two': -5.268968, ' #': -5.731401}
{' #': -5.5080643, ' 1': -0.18262202, ' 2': -2.0947618, ' one': -3.7576418, ' two': -4.365485}
{' #': -5.4418893, ' 1': -0.23491439, ' 2': -1.8360401, ' one': -3.7856898, ' two': -3.9881892}
{' #': -5.6179676, ' 1': -0.11223126, ' 2': -2.6435213, ' one': -3.8340232, ' two': -5.0281143}
{' #': -5.6978855, ' 1': -0.11124995, ' 2': -2.6301994, ' one': -3.8750095, ' two': -5.072401}
{' 1': -0.14008886, ' 2': -2.3897321, ' one': -3.791126, ' two': -4.7266784, ' #': -5.479032}
{' 1': -0.09414759, ' 2': -2.929555, ' one': -3.7244995, ' two': -5.2481904, ' #': -5.569528}
{' 1': -0.09489346, ' 2': -2.8687427, ' one': -3.8369913, ' two': -5.191598, ' #': -5.6682177}
{' #': -5.582982, ' 1': -0.09993689, ' 2': -2.8213055, ' one': -3.7707856, ' two': -5.2006965}
{' #': -5.6370206, ' 1': -0.09414175, ' 2': -2.8925843, ' one': -3.7928472, ' two': -5.259497}
{' #': -5.6576033, ' 1': -0.081527695, ' 2': -3.1352615, ' one': -3.726406, ' two': -5.447912}
{' #': -5.3961244, ' 1': -0.22905329, ' 2': -1.8650434, ' one': -3.7223086, ' two': -4.077333}
{' number': -5.7348585, ' 1': -0.09840194, ' 2': -2.8077714, ' one': -3.871412, ' two': -5.064848}
{' #': -5.7509, ' 1': -0.0710215, ' 2': -3.2916558, ' one': -3.8211472, ' two': -5.6687794}
{' number': -6.0583215, ' #': -5.881121, ' 1': -0.051414568, ' 2': -3.9700432, ' one': -3.7319238}
{' #': -5.522175, ' 1': -0.12496982, ' 2': -2.5388758, ' one': -3.754774, ' two': -4.879815}
{' 1': -0.066796415, ' 2': -3.4583843, ' one': -3.731122, ' #': -5.7387905, ' two': -5.782618}
{' 1': -0.07340132, ' 2': -3.3341985, ' one': -3.6798463, ' two': -5.604715, ' #': -5.7717576}
{' number': -5.9257636, ' #': -5.7986455, ' 1': -0.058896385, ' 2': -3.759803, ' one': -3.6677887}
{' 1': -0.06373583, ' 2': -3.554794, ' one': -3.7240217, ' #': -5.744398, ' two': -5.858415}
{' 1': -0.053234093, ' one': -3.7467556, ' 2': -3.8723829, ' #': -5.884527, ' number': -6.069733}
{' #': -5.653723, ' 1': -0.089772955, ' 2': -2.9976916, ' one': -3.7130618, ' two': -5.323776}
{' 1': -0.037574887, ' one': -3.7911758, ' 2': -4.754133, ' #': -6.072526, ' number': -6.135778}
{' number': -6.1046643, ' #': -5.9460177, ' 1': -0.043506302, ' 2': -4.3389297, ' one': -3.765386}
{' number': -6.0776267, ' #': -5.8997917, ' 1': -0.04274347, ' 2': -4.471267, ' one': -3.7309623}
{' #': -5.649436, ' 1': -0.07295838, ' 2': -3.3128266, ' one': -3.7384112, ' two': -5.667087}
{' 1': -0.041974004, ' one': -3.7016726, ' 2': -4.625344, ' #': -5.8263197, ' number': -6.043719}
{' number': -6.049175, ' #': -5.8779836, ' 1': -0.0465132, ' 2': -4.1376824, ' one': -3.7952886}
{' number': -6.1190968, ' #': -5.9454966, ' 1': -0.046607174, ' 2': -4.133315, ' one': -3.7773733}
{' 1': -0.042754237, ' one': -3.766839, ' 2': -4.396102, ' #': -5.9365582, ' number': -6.0685844}
{' number': -6.260107, ' #': -6.0797606, ' 1': -0.037722748, ' 2': -4.683265, ' one': -3.7996361}
{' 1': -0.06325497, ' 2': -3.4808004, ' one': -3.8180385, ' two': -5.8114595, ' #': -5.8734827}
{' number': -6.0754538, ' #': -6.305992, ' 1': -0.037789352, ' 2': -4.8777685, ' one': -3.723811}
{' #': -5.405342, ' 1': -0.7084239, ' 2': -0.82090986, ' one': -4.3859577, ' two': -3.0679686}
{' 1': -0.48627868, ' 2': -1.1112024, ' two': -3.4231513, ' one': -4.19661, ' #': -5.4207745}
{' #': -5.4215603, ' 1': -0.4530451, ' 2': -1.1724379, ' one': -4.17738, ' two': -3.4731236}
{' 1': -0.24950211, ' 2': -1.7221451, ' one': -4.034315, ' two': -4.109449, ' #': -5.4090986}
{' #': -5.4212537, ' 1': -0.3568384, ' 2': -1.396353, ' one': -4.0106854, ' two': -3.6419353}
{' #': -5.3602333, ' 1': -0.33787066, ' 2': -1.4432192, ' one': -4.048688, ' two': -3.7168853}
{' 1': -0.24862748, ' 2': -1.7363384, ' one': -3.971375, ' two': -4.086793, ' #': -5.388025}
{' #': -5.4240556, ' 1': -0.29168776, ' 2': -1.563342, ' one': -4.0972486, ' two': -3.96329}
{' #': -5.378771, ' 1': -0.18896984, ' 2': -2.0059006, ' one': -4.0060987, ' two': -4.465144}
{' #': -5.4287195, ' 1': -0.12921904, ' 2': -2.44783, ' one': -3.9139154, ' two': -4.922172}
{' #': -5.419988, ' 1': -0.2465169, ' 2': -1.7559373, ' one': -3.949678, ' two': -4.010921}
{' #': -5.308501, ' 1': -0.22957446, ' 2': -1.8408073, ' one': -3.8309536, ' two': -4.1492844}
{' #': -5.482405, ' 1': -0.10366401, ' 2': -2.7251105, ' one': -3.9053376, ' two': -5.1960273}
{' #': -5.504225, ' 1': -0.113572314, ' 2': -2.590381, ' one': -3.943429, ' two': -5.1039524}
{' #': -5.321859, ' 1': -0.26727283, ' 2': -1.6599463, ' one': -3.9980426, ' two': -4.0483665}
{' number': -5.854026, ' 1': -0.13760081, ' 2': -2.3195333, ' one': -4.1580057, ' two': -4.7481775}
{' #': -5.5239, ' 1': -0.14956398, ' 2': -2.278022, ' one': -3.9237547, ' two': -4.665797}
{' #': -5.5908623, ' 1': -0.11824746, ' 2': -2.5756736, ' one': -3.8481188, ' two': -4.93822}
{' #': -5.3925605, ' 1': -0.16649362, ' 2': -2.1541169, ' one': -3.94098, ' two': -4.6026144}
{' 1': -0.08719582, ' 2': -2.9404557, ' one': -3.9152462, ' two': -5.417623, ' #': -5.625903}
{' #': -5.535928, ' 1': -0.16623218, ' 2': -2.1709683, ' one': -3.9015439, ' two': -4.4694624}
{' #': -5.501859, ' 1': -0.10840769, ' 2': -2.7736583, ' one': -3.6496577, ' two': -5.0130935}
{' #': -5.4358673, ' 1': -0.13388899, ' 2': -2.4819398, ' one': -3.7031794, ' two': -4.723973}
{' #': -5.563832, ' 1': -0.11242839, ' 2': -2.6739995, ' one': -3.7625747, ' two': -4.9502807}
{' #': -5.3201466, ' 1': -0.2323229, ' 2': -1.8369583, ' one': -3.8155043, ' two': -4.0763073}
{' #': -5.8343015, ' 1': -0.06253574, ' 2': -3.4874413, ' one': -3.852685, ' two': -5.7740335}
{' 1': -0.0886631, ' 2': -3.002981, ' one': -3.7547243, ' two': -5.32338, ' #': -5.559317}
{' #': -5.5721, ' 1': -0.08505519, ' 2': -3.0608697, ' one': -3.7650628, ' two': -5.3718038}
{' #': -5.4397125, ' 1': -0.09684374, ' 2': -2.8310928, ' one': -3.8682287, ' two': -5.313804}
{' number': -6.144517, ' #': -5.6724973, ' 1': -0.047853783, ' 2': -3.992758, ' one': -3.871712}
{' number': -6.1615987, ' #': -5.822057, ' 1': -0.051713057, ' 2': -3.652417, ' one': -4.070401}
{' number': -6.1642137, ' #': -5.7626414, ' 1': -0.053053945, ' 2': -3.6763923, ' one': -3.9739618}
{' number': -6.1902494, ' #': -5.7959337, ' 1': -0.04746926, ' 2': -3.8656795, ' one': -3.9964457}
{' 1': -0.042994637, ' 2': -4.002553, ' one': -4.0441904, ' #': -5.9022284, ' number': -6.3173957}
{' #': -5.6481843, ' 1': -0.15121676, ' 2': -2.2565005, ' one': -3.958769, ' two': -4.616604}
{' 1': -0.040844202, ' one': -4.00247, ' 2': -4.130532, ' #': -6.2344294, ' number': -6.2428627}
{' #': -5.540679, ' 1': -0.24257424, ' 2': -1.7554413, ' one': -3.9450047, ' two': -4.1568427}
{' #': -5.5386257, ' 1': -0.14553739, ' 2': -2.320607, ' one': -3.8423545, ' two': -4.755414}
{' #': -5.596721, ' 1': -0.13977501, ' 2': -2.3644722, ' one': -3.8502147, ' two': -4.7939687}
{' #': -5.728676, ' 1': -0.073265724, ' 2': -3.2307343, ' one': -3.8322074, ' two': -5.664826}
{' #': -5.4720616, ' 1': -0.17880118, ' 2': -2.0950952, ' one': -3.8345115, ' two': -4.486361}
{' 1': -0.1123469, ' 2': -2.6184523, ' one': -3.899462, ' two': -5.0762453, ' #': -5.601429}
{' #': -5.547522, ' 1': -0.11938187, ' 2': -2.5521822, ' one': -3.8667173, ' two': -5.0351753}
{' #': -5.593542, ' 1': -0.12103444, ' 2': -2.5131052, ' one': -3.931177, ' two': -5.044231}
{' #': -5.4247966, ' 1': -0.14138693, ' 2': -2.3615005, ' one': -3.8360107, ' two': -4.804759}
{' #': -5.5608454, ' 1': -0.074542366, ' 2': -3.2410102, ' one': -3.7943811, ' two': -5.6816344}
{' 1': -0.09867248, ' 2': -2.8039737, ' one': -3.8646157, ' two': -5.1904726, ' #': -5.608773}
{' 1': -0.08713462, ' 2': -3.0249166, ' one': -3.7496197, ' two': -5.4554453, ' #': -5.552873}
{' #': -5.5499773, ' 1': -0.08187585, ' 2': -3.1159544, ' one': -3.7644584, ' two': -5.523114}
{' 1': -0.07892043, ' 2': -3.122309, ' one': -3.8428805, ' #': -5.5851912, ' two': -5.595251}
{' #': -5.320847, ' 1': -0.21965094, ' 2': -1.8858191, ' one': -3.8213277, ' two': -4.2190785}
{' #': -5.867543, ' 1': -0.06254716, ' 2': -3.443925, ' one': -3.904796, ' two': -5.8299003}
{' 1': -0.074740425, ' 2': -3.1530252, ' one': -3.9241433, ' two': -5.658707, ' #': -5.7056136}
{' 1': -0.05342013, ' one': -3.7584085, ' 2': -3.8641596, ' #': -5.806516, ' number': -6.0264373}
{' #': -5.471829, ' 1': -0.12052913, ' 2': -2.5646572, ' one': -3.8076248, ' two': -4.9799886}
{' 1': -0.06114737, ' 2': -3.598043, ' one': -3.7590804, ' #': -5.7059503, ' two': -5.964174}
{' 1': -0.06147717, ' 2': -3.5431457, ' one': -3.8187, ' #': -5.729723, ' two': -5.904798}
{' number': -5.9869976, ' #': -5.7641735, ' 1': -0.053461313, ' 2': -3.9497354, ' one': -3.6898918}
{' number': -5.9450955, ' #': -5.7010612, ' 1': -0.058399595, ' 2': -3.7328668, ' one': -3.7187617}
{' number': -6.0908604, ' #': -5.8042293, ' 1': -0.047401384, ' 2': -4.1666355, ' one': -3.7414818}
{' #': -5.584147, ' 1': -0.083208255, ' 2': -3.0862505, ' one': -3.7602713, ' two': -5.4980397}
{' number': -6.2383366, ' #': -6.034593, ' 1': -0.03392576, ' 2': -4.9675083, ' one': -3.860706}
{' number': -6.1545973, ' #': -5.92189, ' 1': -0.03919635, ' 2': -4.609972, ' one': -3.7945976}
{' number': -6.160126, ' #': -5.8563437, ' 1': -0.039793096, ' 2': -4.5849323, ' one': -3.789665}
{' 1': -0.06144598, ' 2': -3.6106825, ' one': -3.7547522, ' #': -5.603249, ' number': -5.900917}
{' number': -6.162972, ' #': -5.814798, ' 1': -0.03723178, ' 2': -4.911829, ' one': -3.7683163}
{' number': -6.0579243, ' #': -5.769587, ' 1': -0.04638064, ' 2': -4.077995, ' one': -3.859445}
{' number': -6.195766, ' #': -5.9120264, ' 1': -0.040432505, ' 2': -4.4047627, ' one': -3.8488219}
{' number': -6.12599, ' #': -5.8777833, ' 1': -0.04011162, ' 2': -4.4408264, ' one': -3.8515413}
{' number': -6.333183, ' #': -6.003445, ' 1': -0.03322985, ' 2': -4.9528003, ' one': -3.8906496}
{' number': -6.14374, ' #': -5.867584, ' 1': -0.05299619, ' 2': -3.7219775, ' one': -3.9088824}
{' number': -6.271206, ' #': -6.2216725, ' 1': -0.03185752, ' 2': -5.8845663, ' one': -3.7258232}
{' 1': -0.504327, ' 2': -1.0800277, ' two': -3.3754337, ' one': -4.1935816, ' number': -5.659452}
{' 1': -0.3124596, ' 2': -1.5084987, ' two': -3.8385081, ' one': -3.996551, ' number': -5.6539125}
{' #': -5.7030964, ' 1': -0.28800178, ' 2': -1.5872533, ' one': -3.9734762, ' two': -3.913652}
{' #': -5.847888, ' 1': -0.16365093, ' 2': -2.162306, ' one': -3.9410653, ' two': -4.555779}
{' #': -5.658847, ' 1': -0.27126732, ' 2': -1.6556591, ' one': -3.918135, ' two': -3.937096}
{' number': -5.6909394, ' 1': -0.23415923, ' 2': -1.7848679, ' one': -4.0025287, ' two': -4.156448}
{' #': -5.7523284, ' 1': -0.15868086, ' 2': -2.2032156, ' one': -3.9202166, ' two': -4.6052275}
{' #': -5.9655724, ' 1': -0.10544894, ' 2': -2.6144056, ' one': -4.096635, ' two': -5.238985}
{' 1': -0.14159258, ' 2': -2.3148713, ' one': -3.9653838, ' two': -4.8209114, ' #': -5.713638}
{' #': -5.82785, ' 1': -0.08453388, ' 2': -2.9652827, ' one': -3.9229736, ' two': -5.4829206}
{' number': -5.680587, ' 1': -0.18732761, ' 2': -2.0373812, ' one': -3.8969126, ' two': -4.334935}
{' 1': -0.091558754, ' 2': -2.8576834, ' one': -3.914669, ' two': -5.3917885, ' #': -5.847981}
{' #': -5.9213233, ' 1': -0.07359203, ' 2': -3.1488233, ' one': -3.943526, ' two': -5.67107}
{' #': -5.943491, ' 1': -0.066901565, ' 2': -3.2760937, ' one': -3.9607368, ' two': -5.8149533}
{' #': -5.633419, ' 1': -0.21350034, ' 2': -1.8840439, ' one': -3.9313576, ' two': -4.293681}
{' number': -5.942098, ' 1': -0.09958093, ' 2': -2.6878452, ' one': -4.120424, ' two': -5.188607}
