{' No': -0.01724444, 'No': -4.245142, '\n': -6.1593676, ' Yes': -7.7318993, ' ': -9.192548}
{' No': -0.02108781, 'No': -4.262453, '\n': -5.3593082, ' Yes': -6.54776, ' Unfortunately': -8.115021}
{' No': -0.042586967, '\n': -5.1071525, 'No': -3.4422853, ' Yes': -6.029542, ' Unfortunately': -8.12123}
{' No': -0.0282166, 'No': -3.7568254, '\n': -5.8653097, ' Yes': -6.6520085, ' ': -8.964443}
{' No': -1.0985996, '\n': -3.1930053, 'No': -3.8399918, ' Yes': -0.54002297, 'Yes': -3.984843}
{' No': -0.58941424, '\n': -1.1373533, 'No': -2.7616248, ' Hospital': -3.3619742, ' Yes': -4.4656653}
{' No': -1.7074344, '\n': -1.9272354, 'No': -4.497357, ' Yes': -0.46679765, 'Yes': -3.7567255}
{' No': -0.10277323, ' Not': -6.261088, '\n': -3.3944085, 'No': -2.9673476, ' Yes': -4.9523554}
{' No': -0.16024087, '\n': -2.678, 'No': -2.8321764, ' Yes': -4.194939, ' Patient': -5.9370327}
{' No': -0.2038792, '\n': -3.7149131, 'No': -3.817347, ' Yes': -2.0129516, 'Yes': -5.724512}
{' Yes': -0.20588343, ' No': -2.6465037, '\n': -2.7088568, 'Yes': -3.241503, 'No': -4.9317093}
{' No': -0.579412, '\n': -1.0353141, ' ': -5.7781534, 'No': -3.182441, ' Unfortunately': -3.425214}
{' No': -1.4223648, '\n': -1.191898, 'No': -3.9629495, ' Yes': -0.90948075, 'Yes': -3.7141073}
{' No': -0.26517826, '\n': -2.0213332, 'No': -2.9422736, ' Yes': -5.4130435, ' Unfortunately': -3.3005137}
{' No': -0.28858817, '\n': -2.0961442, 'No': -2.644799, ' Yes': -3.032618, 'Yes': -5.922215}
{' No': -0.3812267, '\n': -1.7222644, 'No': -2.995721, ' Yes': -2.5428784, 'Yes': -5.57742}
{' Yes': -0.676877, ' No': -0.7925291, 'No': -4.1957254, '\n': -4.3779345, 'Yes': -4.5425916}
{' No': -0.9179484, '\n': -4.823279, 'No': -4.227826, ' Yes': -0.57532555, 'Yes': -4.49747}
{' Yes': -0.62291634, ' No': -0.9906321, '\n': -3.7270231, ' Surgery': -3.7723935, ' Sur': -4.134221}
{' No': -0.0264572, '\n': -5.8559375, ' ': -8.4155445, 'No': -3.7915916, ' Yes': -8.246247}
{' No': -0.047594644, 'No': -3.691893, '\n': -4.4067006, ' Yes': -4.9574246, ' Patient': -6.543038}
{' No': -0.021107413, '\n': -6.6423798, ' ': -9.321703, 'No': -4.0308957, ' Yes': -6.4137955}
{' No': -0.045514874, 'No': -3.753906, ' Yes': -4.4708495, '\n': -4.7201304, ' ': -8.086947}
{' No': -0.064347975, '\n': -5.0081496, 'No': -3.335695, ' Yes': -3.986673, 'Yes': -7.7692327}
{' No': -0.101030186, 'No': -3.3210614, '\n': -3.453035, ' Hospital': -4.00122, ' Not': -5.997297}
{' No': -0.03417003, 'No': -3.6634405, '\n': -5.080339, ' Yes': -7.033668, ' ': -8.020137}
{' No': -0.07432469, '\n': -3.6144705, 'No': -3.2772284, ' Yes': -5.3863173, ' Patient': -6.8581834}
{' No': -0.021820216, 'No': -3.9922485, '\n': -6.0628037, ' Yes': -7.476404, ' ': -9.042804}
{' No': -0.036841545, '\n': -4.507619, ' ': -8.30889, 'No': -3.7187297, ' Yes': -7.631724}
{' No': -0.16803607, ' Doctor': -2.3706307, ' Yes': -3.6009543, 'No': -4.0578694, '\n': -4.29492}
{' No': -0.021926468, ' Not': -7.1415267, '\n': -5.7454195, 'No': -4.1925597, ' Hospital': -6.6144834}
{' No': -0.043857366, '\n': -3.657146, ' ': -7.4695525, 'No': -4.20137, ' Yes': -6.7068157}
{' No': -0.02670271, '\n': -4.8620315, 'No': -4.285085, ' Yes': -6.398353, ' Patient': -6.5503235}
{' No': -0.0133092925, '\n': -7.7720895, ' ': -9.942271, 'No': -4.370449, ' Yes': -9.6060705}
{' No': -0.6889592, '\n': -1.8527204, 'No': -3.2793255, ' Yes': -1.2658043, 'Yes': -4.5115943}
{' No': -0.9750837, '\n': -2.747287, 'No': -3.4556859, ' Yes': -0.7030405, 'Yes': -3.738443}
{' No': -0.52518284, ' Not': -5.3618727, '\n': -1.2688353, 'No': -2.4552593, ' Unfortunately': -3.561554}
{' No': -0.19810674, 'No': -2.5951653, '\n': -2.791847, ' Yes': -4.0594673, ' Unfortunately': -4.0729446}
{' No': -0.26031053, '\n': -2.2498047, 'No': -2.3644996, ' Unfortunately': -4.108394, ' Yes': -5.1731997}
{' No': -0.20496452, '\n': -2.266318, 'No': -2.6762817, ' Yes': -5.6983666, ' Unfortunately': -4.9615464}
{' No': -0.030485123, '\n': -5.9070144, 'No': -4.245716, ' Yes': -4.373728, 'Yes': -8.650881}
{' No': -2.2506824, '\n': -6.212802, 'No': -6.454883, ' Yes': -0.12689562, 'Yes': -4.8166995}
{' No': -0.051938295, 'No': -3.7828815, '\n': -4.0591135, ' Hospital': -5.291341, ' Hosp': -6.4648604}
{' No': -0.026965307, '\n': -4.287812, 'No': -4.466153, ' ': -7.714192, ' Surgery': -7.8990808}
{' No': -0.013989484, 'No': -4.469672, '\n': -6.1026278, ' ': -9.151595, ' Yes': -9.988027}
{' No': -0.017544115, '\n': -5.6170425, 'No': -4.376499, ' Yes': -7.6080475, ' Patient': -7.693306}
{' No': -0.029047512, 'No': -3.7471104, '\n': -5.6798387, ' Yes': -6.6181836, ' ': -9.302935}
{' No': -0.054837964, ' Not': -7.57753, '\n': -5.2785296, 'No': -3.2418377, ' Yes': -4.815313}
{' No': -0.056771286, ' Not': -7.20541, '\n': -3.8019702, ' ': -7.6040196, 'No': -3.477828}
{' No': -0.06331771, '\n': -3.3855581, 'No': -3.6575558, ' ': -7.453493, ' Yes': -7.906257}
{' No': -0.03415091, 'No': -3.5638063, '\n': -5.566112, ' Yes': -7.0924196, ' Not': -8.212373}
{' No': -0.04328147, ' Not': -7.3711643, '\n': -5.2609425, 'No': -3.4660702, ' Yes': -5.4427104}
{' No': -0.03178584, 'No': -3.5795188, '\n': -5.9518538, ' Yes': -7.7536135, ' Not': -8.670877}
{' No': -0.059051473, 'No': -3.433321, '\n': -4.3299727, ' Yes': -4.528454, ' ': -7.98245}
{' No': -0.14892805, '\n': -4.7406983, 'No': -3.6994078, ' Yes': -2.2839665, 'Yes': -6.339422}
{' No': -0.024176897, 'No': -4.03214, '\n': -5.4985075, ' Not': -7.0709105, ' Unfortunately': -7.716592}
{' No': -0.18876679, '\n': -2.0557177, ' ': -6.449324, 'No': -3.3031979, ' Yes': -5.853463}
{' No': -0.04138695, 'No': -3.4836838, '\n': -5.048833, ' Yes': -6.4879203, ' Not': -6.986413}
{' No': -0.037406325, '\n': -4.6946898, 'No': -3.7527306, ' Yes': -6.641162, ' Unfortunately': -6.8573523}
{' No': -0.029096724, ' Not': -8.372147, '\n': -5.534172, 'No': -3.755922, ' Yes': -7.045549}
{' No': -0.026171852, '\n': -6.309579, ' ': -9.292375, 'No': -3.7391903, ' Yes': -9.584373}
{' No': -0.045087967, 'No': -3.253204, '\n': -5.93407, ' Yes': -5.9911575, ' ': -9.100623}
{' No': -0.025779428, 'No': -3.8608546, '\n': -5.5816145, ' Not': -8.364885, ' ': -8.4780445}
{' No': -0.030136583, '\n': -5.0691853, ' ': -8.8896475, 'No': -3.7693756, ' Unfortunately': -9.843962}
{' No': -0.021764237, 'No': -3.8783257, '\n': -7.486541, ' Yes': -9.459056, ' Not': -9.642206}
{' No': -0.026497835, ' Not': -10.234169, '\n': -7.4267983, 'No': -3.680661, ' Yes': -8.2997875}
{' No': -0.04374104, '\n': -6.7354198, ' ': -9.241805, 'No': -3.1859393, ' Yes': -9.48824}
{' No': -0.014387768, '\n': -6.2564244, ' ': -9.288181, 'No': -4.4365945, ' Yes': -7.900063}
{' No': -0.069493786, ' Yes': -3.1254702, 'No': -4.080831, '\n': -5.397756, 'Yes': -7.4618998}
{' No': -0.0102081, ' Not': -8.38917, '\n': -6.304729, ' ': -8.183126, 'No': -4.8908844}
{' No': -0.018235141, 'No': -4.5707498, '\n': -4.9402356, ' ': -8.183633, ' Yes': -9.067482}
{' No': -0.009584754, 'No': -4.776503, '\n': -7.30093, ' Yes': -8.633596, ' Unfortunately': -9.299854}
{' No': -0.011254969, 'No': -4.5834785, '\n': -7.781627, ' Yes': -7.924831, ' Unfortunately': -9.731572}
{' No': -0.023110524, '\n': -6.320113, ' ': -8.934551, 'No': -3.8822296, ' Yes': -8.616237}
{' No': -0.11543316, 'No': -2.4920065, '\n': -3.7669852, ' Yes': -6.6018047, ' Unfortunately': -7.066073}
{' No': -0.18004906, 'No': -2.373622, ' Yes': -3.2823474, '\n': -3.5245771, 'Yes': -6.0126977}
{' No': -0.15280625, '\n': -3.2052047, ' ': -6.710643, 'No': -2.3415308, ' Unfortunately': -5.9509053}
{' No': -0.20787866, '\n': -2.2341523, ' ': -6.4604506, 'No': -2.5812764, ' Unfortunately': -6.3196487}
{' No': -0.12686163, '\n': -4.4317627, 'No': -2.2716334, ' Yes': -7.5632668, ' Unfortunately': -5.967426}
{' No': -0.10509578, '\n': -4.7165685, 'No': -2.4324825, ' Yes': -7.5985913, ' Unfortunately': -6.472394}
{' No': -0.2066083, '\n': -3.2044373, 'No': -1.9725194, ' Yes': -6.2078514, ' Unfortunately': -5.909776}
{' Yes': -0.7766541, ' No': -0.96569335, '\n': -2.5364313, 'No': -3.0024116, 'Yes': -3.6620717}
{' No': -0.67193884, ' Yes': -1.0509424, 'No': -2.633584, '\n': -3.1968927, 'Yes': -3.7696924}
{' No': -0.56767476, '\n': -1.2549841, 'No': -2.2915099, ' Yes': -3.931446, ' Unfortunately': -4.2345333}
{' No': -0.5224813, '\n': -1.7152705, 'No': -2.041547, ' Yes': -2.6354842, 'Yes': -4.537915}
{' No': -0.30668774, '\n': -2.1696734, 'No': -2.2184002, ' Yes': -3.7988865, ' Unfortunately': -4.3409476}
{' No': -0.34622535, 'No': -2.1255546, ' Yes': -2.4386442, '\n': -2.6127126, 'Yes': -4.9153647}
{' No': -0.2971816, '\n': -2.4415965, 'No': -2.0442271, ' Yes': -3.4729686, ' Unfortunately': -5.574546}
{' No': -0.35123456, '\n': -3.850569, 'No': -3.6154902, ' Yes': -1.426035, 'Yes': -4.9878}
{' Yes': -0.4051452, ' No': -1.2238957, '\n': -4.2560453, 'Yes': -4.3091326, 'No': -4.6271186}
{' No': -0.0609132, '\n': -4.344755, 'No': -3.816988, ' Yes': -4.349369, ' Hospital': -5.383524}
{' No': -0.13632451, '\n': -2.5544705, ' ': -6.555074, 'No': -3.889313, ' Yes': -3.6949275}
{' No': -0.027962195, 'No': -3.80403, '\n': -5.8459377, ' Yes': -6.497072, ' Unfortunately': -7.66091}
{' No': -0.08575567, '\n': -3.6508324, 'No': -3.0603404, ' Yes': -5.157659, ' Unfortunately': -6.7310567}
{' No': -0.053885266, '\n': -4.88884, 'No': -3.1490312, ' Yes': -6.6167626, ' Unfortunately': -8.26129}
{' No': -1.1206197, '\n': -2.9757776, 'No': -3.3602147, ' Yes': -0.5860909, 'Yes': -3.5199099}
{' No': -0.398031, '\n': -1.4791849, 'No': -2.7397096, ' Unfortunately': -4.572288, ' Not': -4.763485}
{'\n': -1.0202572, ' No': -1.2064335, ' Yes': -1.2269377, 'No': -3.7084513, 'Yes': -4.1834326}
{' No': -0.16096571, 'No': -2.6886604, '\n': -2.7097976, ' Unfortunately': -5.457009, ' Not': -5.53101}
{' No': -0.12868653, 'No': -2.9305851, '\n': -3.077819, ' Yes': -4.052114, ' Patient': -6.654519}
{' No': -0.13761258, '\n': -3.0344539, 'No': -3.2503388, ' Yes': -3.25192, 'Yes': -6.4993467}
{' Yes': -0.64613175, ' No': -1.3674759, '\n': -1.7825606, 'Yes': -3.6518059, 'No': -3.7635958}
{' No': -0.67310256, '\n': -0.8802176, 'No': -3.2752578, ' Unfortunately': -3.5577705, ' ': -5.5538034}
{' No': -1.0604335, '\n': -0.89851296, 'No': -3.4627826, ' Yes': -1.6525735, 'Yes': -4.2641363}
{' No': -0.29886448, '\n': -1.8354379, 'No': -2.9402256, ' Unfortunately': -3.3055935, ' Not': -5.8266087}
{' No': -0.23118417, '\n': -2.3262787, 'No': -2.7030735, ' Yes': -3.4001808, ' Unfortunately': -5.6029606}
{' No': -0.3613678, '\n': -1.5237899, 'No': -2.8831475, ' Yes': -3.7714095, ' Unfortunately': -6.1800165}
{' No': -0.9489546, '\n': -4.1626635, 'No': -4.133469, ' Yes': -0.57035166, 'Yes': -4.2015104}
{' No': -0.87936425, '\n': -4.1109567, 'No': -4.0515428, ' Yes': -0.62711555, 'Yes': -4.4278035}
{' No': -0.84989387, '\n': -2.0385516, 'No': -3.531828, ' Yes': -1.024464, ' Sur': -3.4202523}
{' No': -0.04576386, ' Not': -7.865989, '\n': -5.018706, 'No': -3.3079534, ' Yes': -7.8140025}
{' No': -0.026260572, 'No': -3.9025915, '\n': -5.5690436, ' Yes': -6.484686, ' ': -9.233811}
{' No': -0.028554967, '\n': -5.9441185, ' ': -9.073239, 'No': -3.7126367, ' Yes': -7.0364056}
{' No': -0.07209751, '\n': -4.022905, 'No': -3.6196, ' Yes': -3.751636, 'Yes': -7.283473}
{' No': -0.07663886, 'No': -3.26774, ' Yes': -3.8072066, '\n': -4.4791565, 'Yes': -7.564653}
{' No': -0.15251942, ' Not': -5.4509916, '\n': -3.4771252, 'No': -3.605919, ' Hospital': -2.6806812}
{' No': -0.04556172, 'No': -3.474507, '\n': -4.57169, ' Yes': -6.4069576, ' Unfortunately': -7.5527496}
{' No': -0.101034746, '\n': -3.116669, 'No': -3.3025365, ' Yes': -4.4573274, ' Patient': -6.470179}
{' No': -0.037818693, '\n': -4.90459, ' ': -8.341042, 'No': -3.5680366, ' Yes': -6.949205}
{' No': -0.028335242, '\n': -5.3749633, ' ': -8.773425, 'No': -3.8296425, ' Yes': -6.653428}
{' No': -0.04760671, '\n': -5.606246, 'No': -4.1357107, ' Yes': -3.8659716, ' Doctor': -5.359935}
{' No': -0.02527394, ' Not': -7.011506, '\n': -5.436172, 'No': -4.2613254, ' Hospital': -5.5195994}
{' No': -0.03810448, 'No': -4.1062407, '\n': -4.1657615, ' Yes': -5.3943934, ' ': -7.758192}
{' No': -0.023884634, ' Not': -9.118855, '\n': -6.328761, 'No': -3.8490245, ' Yes': -8.430392}
{' No': -0.016149258, '\n': -7.5678196, ' ': -9.736078, 'No': -4.1825385, ' Yes': -8.991333}
{' No': -0.51770926, '\n': -1.7342315, ' Yes': -1.8763479, 'No': -2.8120205, 'Yes': -4.859081}
{' No': -0.6419588, ' Yes': -1.0772291, '\n': -2.7864385, 'No': -3.0748696, 'Yes': -4.1240144}
{' No': -0.33434862, ' Not': -5.3959675, '\n': -1.7248971, 'No': -3.0165212, ' Unfortunately': -3.0515134}
{' No': -1.1290532, '\n': -0.6502247, 'No': -3.3715093, ' Yes': -2.3186874, 'Yes': -4.895809}
{' No': -0.12574771, ' Not': -5.828438, '\n': -3.4252472, 'No': -2.9218445, ' Unfortunately': -3.6874065}
{' No': -0.16641569, '\n': -2.5927901, 'No': -2.6354175, ' Unfortunately': -5.7927237, ' Yes': -6.1795015}
{' No': -0.03712482, 'No': -3.7222707, '\n': -4.638378, ' Yes': -6.073318, ' ': -9.012307}
{' No': -0.12477958, ' Yes': -2.4792166, 'No': -3.7889204, '\n': -4.715657, 'Yes': -6.5789375}
{' No': -0.030967306, ' Not': -7.658969, '\n': -4.4534354, ' ': -7.6356153, 'No': -4.063461}
{' No': -0.04139838, 'No': -3.823087, '\n': -4.017682, ' ': -8.203701, ' Yes': -8.5332985}
{' No': -0.026745256, ' Not': -9.06363, '\n': -5.4584026, ' ': -8.82001, 'No': -3.8317356}
{' No': -0.020554932, 'No': -4.0678535, '\n': -5.883691, ' Yes': -8.464108, ' Not': -9.45527}
{' No': -0.063144304, '\n': -5.1662784, ' ': -8.4719515, 'No': -2.9405987, ' Yes': -6.144214}
{' No': -0.0632805, 'No': -2.9260807, '\n': -5.5461464, ' Yes': -5.7489667, ' ': -8.604919}
{' No': -0.10260229, '\n': -3.5004008, ' ': -6.083674, 'No': -2.7627223, ' Yes': -7.171659}
{' No': -0.146143, '\n': -2.698782, ' ': -6.572618, 'No': -2.7103026, ' Yes': -7.9673915}
{' No': -0.042142473, 'No': -3.2796855, '\n': -5.7867618, ' Yes': -8.150139, ' ': -8.582044}
{' No': -0.041323587, 'No': -3.3746078, '\n': -5.5057607, ' Yes': -6.6261377, ' Not': -8.5391245}
{' No': -0.04859703, 'No': -3.1170704, '\n': -5.9681697, ' Yes': -8.084411, ' ': -8.956426}
{' No': -0.086559646, '\n': -3.6980536, ' ': -7.5863953, 'No': -2.9215546, ' Yes': -5.7953033}
{' No': -0.086113825, ' Yes': -3.2748017, 'No': -3.309512, '\n': -5.0431104, 'Yes': -6.8229046}
{' No': -0.11594594, '\n': -3.5907059, ' ': -6.634239, 'No': -2.5826797, ' Unfortunately': -6.5757694}
{' No': -0.0835561, '\n': -3.1127117, 'No': -3.4047973, ' ': -6.97664, ' Yes': -7.1560073}
{' No': -0.03162146, '\n': -6.056098, ' ': -8.836499, 'No': -3.5723908, ' Yes': -8.187207}
{' No': -0.0530371, '\n': -4.6991053, 'No': -3.2120504, ' Yes': -7.8571315, ' Unfortunately': -6.797168}
{' No': -0.08185988, '\n': -4.298086, ' ': -8.111317, 'No': -2.7497027, ' Yes': -7.8793163}
{' No': -0.034560703, '\n': -7.0580916, ' ': -9.624942, 'No': -3.4132912, ' Unfortunately': -10.153678}
{' No': -0.07144758, 'No': -2.7128239, '\n': -6.590912, ' Yes': -6.8643913, ' ': -9.807867}
{' No': -0.054575317, '\n': -5.43713, ' ': -8.53709, 'No': -3.0353851, ' Unfortunately': -8.592106}
{' No': -0.045872122, '\n': -4.822298, ' ': -8.8110485, 'No': -3.31481, ' Unfortunately': -8.868172}
{' No': -0.047975898, 'No': -3.0814536, '\n': -7.6223392, ' Unfortunately': -8.590479, ' Yes': -9.0266075}
{' No': -0.0470847, '\n': -6.3852286, 'No': -3.1307907, ' Yes': -7.904279, ' Unfortunately': -9.153643}
{' No': -0.09180975, '\n': -5.7719355, ' ': -8.875335, 'No': -2.4744143, ' Yes': -9.405407}
{' No': -0.03067299, 'No': -3.6146152, '\n': -5.8188195, ' ': -9.165079, ' Yes': -9.232467}
{' No': -0.03557212, '\n': -6.1840415, ' ': -9.077281, 'No': -3.450138, ' Yes': -7.076038}
{' No': -0.030332372, 'No': -3.628761, '\n': -6.2158275, ' Hospital': -7.7307754, ' ': -8.117858}
{' No': -0.032297947, '\n': -4.901681, ' ': -8.29373, 'No': -3.7325618, ' no': -9.731586}
{' No': -0.029321218, '\n': -7.268234, ' ': -9.575189, 'No': -3.576606, ' Unfortunately': -10.052632}
{' No': -0.022957923, 'No': -3.8463905, '\n': -6.828374, ' ': -9.454858, ' Yes': -9.881445}
{' No': -0.047590394, '\n': -6.524395, ' ': -9.413062, 'No': -3.1046581, ' Unfortunately': -10.604286}
{' No': -0.10560864, 'No': -2.5907066, '\n': -3.783404, ' Yes': -6.494887, ' ': -7.5738482}
{' No': -0.10756887, '\n': -4.103594, 'No': -2.6078758, ' Yes': -4.5591908, 'Yes': -7.4527125}
{' No': -0.07618123, '\n': -4.0239525, ' ': -7.2726645, 'No': -2.914831, ' Unfortunately': -8.813905}
{' No': -0.09120406, '\n': -3.5082378, ' ': -7.4889235, 'No': -2.8813381, ' Yes': -8.571537}
{' No': -0.06816145, 'No': -2.8306868, '\n': -5.140932, ' Yes': -7.7056403, ' ': -8.17658}
{' No': -0.06505506, '\n': -5.548196, ' ': -8.522597, 'No': -2.8403902, ' Yes': -8.342948}
{' No': -0.14946252, 'No': -2.1546924, '\n': -3.8520093, ' ': -7.3204613, ' Yes': -7.772289}
{' No': -0.30475846, 'No': -1.8220122, '\n': -2.7764914, ' Yes': -3.5489278, ' Unfortunately': -5.3941536}
{' No': -0.51352024, '\n': -2.9028864, 'No': -1.912446, ' Yes': -1.7442886, 'Yes': -3.896466}
{' No': -0.5255373, '\n': -1.5080813, ' ': -5.225065, 'No': -1.7903975, ' Unfortunately': -4.795805}
{' No': -0.5797419, '\n': -1.5246748, 'No': -1.6268953, ' Yes': -4.3445196, ' Unfortunately': -5.3130655}
{' No': -0.31172624, 'No': -1.5743833, '\n': -3.0881028, ' Unfortunately': -4.7796407, ' Yes': -5.613228}
{' No': -0.32038796, 'No': -1.6795037, '\n': -2.9240904, ' Yes': -3.6820288, 'Yes': -5.6104536}
{' No': -0.34382033, '\n': -2.7996955, 'No': -1.5446774, ' Yes': -4.6723876, ' Unfortunately': -5.670816}
{' No': -0.08718002, 'No': -2.9145112, '\n': -4.0488286, ' Yes': -4.5427346, 'Yes': -7.652407}
{' No': -0.22835076, '\n': -4.0610623, 'No': -3.1697607, ' Yes': -1.9729778, 'Yes': -5.3788385}
{' No': -0.0691407, 'No': -3.2271109, '\n': -3.7926857, ' Yes': -6.1384478, ' Unfortunately': -6.9453516}
{' No': -0.08128919, '\n': -3.1479068, ' ': -6.7232428, 'No': -3.4894636, ' Yes': -5.993749}
{' No': -0.06386422, '\n': -4.766293, 'No': -2.95871, ' Yes': -7.8155746, ' Unfortunately': -7.663938}
{' No': -0.06426496, '\n': -4.4817147, ' ': -8.131684, 'No': -3.0229402, ' Yes': -6.6560364}
{' No': -0.08649687, '\n': -4.621474, ' ': -7.950238, 'No': -2.6312375, ' Yes': -8.07284}
{' No': -0.28117302, '\n': -3.1323369, 'No': -2.282565, ' Yes': -2.3943362, 'Yes': -5.0386515}
{' No': -0.5089997, '\n': -1.3133763, ' ': -5.6887593, 'No': -2.1269424, ' Unfortunately': -5.929897}
{' No': -0.8110074, '\n': -1.3240669, ' Yes': -1.5055779, 'No': -3.052138, 'Yes': -4.140202}
{' No': -0.16129503, 'No': -2.3434737, '\n': -3.0859013, ' Yes': -5.804071, ' Unfortunately': -6.2071133}
{' No': -0.18526308, '\n': -2.8043807, ' ': -7.148902, 'No': -2.2906687, ' Yes': -5.3056436}
{' No': -0.2043902, 'No': -2.3629975, '\n': -2.6916318, ' Yes': -3.9208035, 'Yes': -6.4192967}
{' No': -0.4200562, '\n': -2.7253578, 'No': -2.46934, ' Yes': -1.7405423, 'Yes': -4.3791685}
{' No': -0.2626639, '\n': -1.9876776, 'No': -2.5953283, ' Unfortunately': -4.1340666, ' ': -6.26031}
{' No': -0.6852758, '\n': -1.1012763, ' Yes': -2.3261046, 'No': -2.9537046, 'Yes': -4.8421817}
{' No': -0.1946122, '\n': -2.8977885, ' ': -7.135467, 'No': -2.2313685, ' Unfortunately': -4.451732}
{' No': -0.19855808, '\n': -2.8463697, 'No': -2.162288, ' Yes': -5.6430693, ' Unfortunately': -6.3483477}
{' No': -0.25251007, 'No': -2.057192, '\n': -2.4478436, ' Yes': -5.372017, ' Unfortunately': -6.231476}
{' No': -2.2434204, '\n': -4.562035, 'No': -5.265883, ' Yes': -0.16062224, 'Yes': -3.6543658}
{' No': -1.9085859, '\n': -5.248536, 'No': -4.8377523, ' Yes': -0.20764866, 'Yes': -3.7121706}
{' No': -0.62876433, '\n': -3.131442, 'No': -3.5864096, ' Yes': -1.0170205, ' Sur': -4.092944}
{' No': -0.04178083, '\n': -6.4401326, ' ': -8.66972, 'No': -3.2480989, ' Yes': -8.795754}
{' No': -0.06726284, '\n': -4.443905, 'No': -3.3672888, ' Yes': -4.121784, ' Patient': -6.6385684}
{' No': -0.037134595, '\n': -6.0541916, ' ': -8.673062, 'No': -3.4459746, ' Yes': -6.272833}
{' No': -0.08132747, '\n': -3.9021015, 'No': -3.2902546, ' Yes': -3.949789, 'Yes': -7.2160697}
{' No': -0.069524266, '\n': -4.9936023, 'No': -2.923326, ' Yes': -5.1463866, 'Yes': -8.538405}
{' No': -0.09655262, 'No': -2.9649417, '\n': -3.5016463, ' Hospital': -5.239825, ' ': -6.377591}
{' No': -0.04579974, '\n': -5.12674, ' ': -8.226921, 'No': -3.274029, ' Yes': -8.100695}
{' No': -0.05140723, 'No': -3.3116708, '\n': -4.424641, ' Yes': -6.9873524, ' ': -8.221125}
{' No': -0.04265943, '\n': -5.1174483, ' ': -8.634226, 'No': -3.3504233, ' Yes': -7.820863}
{' No': -0.06968427, 'No': -3.2508366, '\n': -4.089591, ' Yes': -4.5359144, ' ': -7.7844186}
{' No': -0.16889067, ' Yes': -2.2405934, 'No': -3.6440816, '\n': -4.0620446, 'Yes': -6.2337093}
{' No': -0.16217019, '\n': -3.241001, 'No': -3.3088796, ' Yes': -4.958439, ' Hospital': -2.9618547}
{' No': -0.2094765, '\n': -2.0375824, 'No': -3.137285, ' Yes': -4.5058727, ' ': -6.0766}
{' No': -0.053844627, '\n': -4.461672, ' ': -8.220636, 'No': -3.318409, ' Yes': -5.560512}
{' No': -0.036188338, '\n': -5.260805, ' ': -8.898124, 'No': -3.5524368, ' Yes': -6.6105022}
{' No': -0.1636058, ' Yes': -2.824771, 'No': -2.8921843, '\n': -3.477185, 'Yes': -6.094149}
{' No': -0.49065062, ' Yes': -1.2641664, 'No': -2.9241965, '\n': -3.3964903, 'Yes': -4.344687}
{' No': -0.11412509, 'No': -2.6837738, '\n': -3.7421768, ' Unfortunately': -4.279389, ' ': -7.3730006}
{' No': -0.456147, '\n': -1.5566604, 'No': -2.674378, ' Yes': -2.5988185, 'Yes': -5.1687965}
{' No': -0.07105958, '\n': -4.656869, 'No': -2.8877022, ' Yes': -7.780111, ' Unfortunately': -6.075626}
{' No': -0.09863163, 'No': -2.6702335, '\n': -3.861634, ' Unfortunately': -6.435576, ' Yes': -6.747313}
{' No': -0.031202609, '\n': -5.271231, ' ': -8.794098, 'No': -3.718737, ' Yes': -6.865436}
{' No': -0.07603426, 'No': -3.2924514, ' Yes': -3.4867225, '\n': -5.501798, 'Yes': -7.182996}
{' No': -0.04732102, 'No': -3.4344554, '\n': -4.3952975, ' ': -7.2478266, ' Unfortunately': -8.075112}
{' No': -0.06717194, '\n': -3.833205, ' ': -7.528285, 'No': -3.1623905, ' Yes': -8.325709}
{' No': -0.030547924, 'No': -3.5682333, '\n': -6.454654, ' ': -9.143334, ' Unfortunately': -9.724124}
{' No': -0.030452617, '\n': -5.412895, ' ': -8.95032, 'No': -3.7002485, ' Yes': -7.780863}
{' No': -0.049968094, 'No': -3.2884383, '\n': -4.6328382, ' Yes': -6.993326, ' ': -7.9491086}
{' No': -0.05155759, '\n': -5.222784, ' ': -8.026794, 'No': -3.1563928, ' Yes': -6.5627494}
{' No': -0.030142112, '\n': -4.512602, ' ': -7.6489305, 'No': -4.1879196, ' Yes': -6.4091916}
{' No': -0.03870559, 'No': -3.8985572, '\n': -4.0871444, ' ': -8.028408, ' Yes': -8.508139}
{' No': -0.029336074, 'No': -3.6702435, '\n': -5.9231114, ' Yes': -7.56703, ' ': -9.23186}
{' No': -0.019033384, 'No': -4.58493, ' Yes': -5.3613887, '\n': -5.672056, 'Pat': -9.09708}
{' No': -0.039471984, '\n': -5.5563436, ' ': -8.707121, 'No': -3.3972638, ' Yes': -6.886153}
{' No': -0.051202122, '\n': -4.1751738, ' ': -7.5704336, 'No': -3.5049639, ' Yes': -5.685651}
{' No': -0.12062132, ' Yes': -2.598597, 'No': -3.8526766, '\n': -4.276118, ' Doctor': -6.515899}
{' No': -0.034530655, '\n': -4.225317, 'No': -4.495308, ' Yes': -5.230003, ' Not': -7.3185596}
{' No': -0.06919251, '\n': -3.2768338, 'No': -4.424783, ' Yes': -4.2305675, ' Sur': -7.1269464}
{' No': -0.018138815, 'No': -4.334614, '\n': -6.0723667, ' Yes': -6.2462664, ' Band': -8.803538}
